Time,Lexus - Encore 30 TVC,Lexus - Encore 30 TVC,Lexus - Encore 30 TVC,Lexus - Encore 30 TVC,Lexus - Encore 30 TVC,Lexus - Encore 30 TVC,Lexus - Encore 30 TVC,Lexus - Encore 30 TVC,Lexus - Encore 30 TVC,Lexus - Encore 30 TVC,Lexus - Encore 30 TVC,Lexus - Encore 30 TVC
21.4,-0.1464,0.4045,0.2648,0.3763,0.4913,0.4338,0.514,0.4412,0.4776,0.5004,0.4678,0.4841
21.5,-0.1534,0.3905,0.2566,0.3552,0.4831,0.4191,0.4976,0.4342,0.4659,0.4972,0.4633,0.4803
21.6,-0.1553,0.3752,0.2466,0.3314,0.4701,0.4008,0.4771,0.4239,0.4505,0.4927,0.4587,0.4757
21.7,-0.1513,0.3594,0.2357,0.3056,0.453,0.3793,0.4528,0.4113,0.4321,0.4869,0.4545,0.4707
21.8,-0.1407,0.3441,0.2245,0.2785,0.4323,0.3554,0.4255,0.3972,0.4113,0.4794,0.4507,0.465
21.9,-0.1238,0.3295,0.2139,0.2507,0.4087,0.3297,0.3964,0.3826,0.3895,0.4706,0.4477,0.4591
22,-0.1016,0.3156,0.2046,0.2223,0.3828,0.3026,0.3671,0.3686,0.3678,0.461,0.4463,0.4536
22.1,-0.0754,0.3022,0.1969,0.1936,0.3557,0.2747,0.3389,0.3562,0.3476,0.4515,0.447,0.4493
22.2,-0.0466,0.2895,0.1909,0.1646,0.3286,0.2466,0.313,0.3465,0.3298,0.4429,0.4503,0.4466
22.3,-0.0165,0.2783,0.1862,0.1355,0.3029,0.2192,0.2905,0.3401,0.3153,0.4353,0.456,0.4457
22.4,0.0137,0.2692,0.1826,0.1073,0.2798,0.1935,0.272,0.337,0.3045,0.4287,0.4638,0.4462
22.5,0.0427,0.2621,0.1805,0.0813,0.2608,0.171,0.2582,0.3375,0.2979,0.4234,0.4735,0.4484
22.6,0.0685,0.2566,0.1804,0.0594,0.247,0.1532,0.2494,0.342,0.2957,0.4199,0.4848,0.4523
22.7,0.0896,0.2526,0.1822,0.0432,0.2394,0.1413,0.2451,0.3505,0.2978,0.4183,0.4975,0.4579
22.8,0.1055,0.2501,0.1853,0.0336,0.2386,0.1361,0.2447,0.3629,0.3038,0.418,0.5107,0.4644
22.9,0.1162,0.249,0.1894,0.0307,0.2454,0.1381,0.2478,0.379,0.3134,0.4183,0.523,0.4707
23,0.1225,0.2489,0.1945,0.0343,0.2603,0.1473,0.2545,0.3982,0.3264,0.4187,0.5336,0.4762
23.1,0.1244,0.2493,0.2013,0.0441,0.2834,0.1637,0.2652,0.4204,0.3428,0.4196,0.5426,0.4811
23.2,0.1213,0.2502,0.2106,0.0602,0.3144,0.1873,0.2804,0.4451,0.3628,0.4219,0.5509,0.4864
23.3,0.1124,0.252,0.2226,0.082,0.353,0.2175,0.2999,0.4718,0.3859,0.4264,0.5591,0.4928
23.4,0.0974,0.255,0.237,0.1084,0.3975,0.2529,0.3228,0.4996,0.4112,0.4334,0.5673,0.5003
23.5,0.077,0.2585,0.2536,0.1382,0.4453,0.2917,0.348,0.5272,0.4376,0.4427,0.5752,0.509
23.6,0.0528,0.2617,0.2723,0.1709,0.4932,0.332,0.3745,0.5536,0.464,0.4549,0.5831,0.519
23.7,0.0268,0.264,0.2926,0.2062,0.5384,0.3723,0.4017,0.578,0.4898,0.4703,0.5918,0.531
23.8,0.001,0.2657,0.3141,0.2433,0.5791,0.4112,0.4293,0.5997,0.5145,0.4892,0.6023,0.5458
23.9,-0.0231,0.2674,0.3358,0.2813,0.6144,0.4478,0.4569,0.6181,0.5375,0.5108,0.6147,0.5628
24,-0.0445,0.2699,0.357,0.3192,0.6442,0.4817,0.4843,0.6329,0.5586,0.5337,0.6281,0.5809
24.1,-0.0624,0.2735,0.3774,0.3571,0.6691,0.5131,0.5112,0.6438,0.5775,0.5565,0.6414,0.599
24.2,-0.0766,0.2787,0.3975,0.3952,0.6897,0.5425,0.537,0.6509,0.5939,0.5781,0.6538,0.6159
24.3,-0.0872,0.2861,0.4175,0.433,0.7067,0.5698,0.5611,0.6542,0.6076,0.5979,0.6645,0.6312
24.4,-0.0944,0.2959,0.4368,0.4698,0.7204,0.5951,0.5829,0.6541,0.6185,0.6159,0.673,0.6444
24.5,-0.0981,0.3083,0.455,0.505,0.7304,0.6177,0.6021,0.651,0.6265,0.6316,0.6789,0.6553
24.6,-0.0972,0.3229,0.4716,0.5386,0.736,0.6373,0.6182,0.6457,0.632,0.6447,0.6824,0.6635
24.7,-0.0909,0.3393,0.487,0.5707,0.7365,0.6536,0.631,0.6394,0.6352,0.6553,0.6841,0.6697
24.8,-0.0786,0.3578,0.5017,0.601,0.7323,0.6667,0.6403,0.6332,0.6367,0.6644,0.6848,0.6746
24.9,-0.0598,0.3793,0.5156,0.6299,0.7242,0.6771,0.6464,0.6277,0.6371,0.6731,0.6851,0.6791
25,-0.0341,0.4042,0.5284,0.6576,0.713,0.6853,0.6503,0.6231,0.6367,0.6818,0.6847,0.6833
25.1,-0.0014,0.4323,0.5397,0.6842,0.6985,0.6914,0.6526,0.6192,0.6359,0.6904,0.6828,0.6866
25.2,0.0381,0.4621,0.5493,0.7092,0.6809,0.695,0.6539,0.6158,0.6349,0.6983,0.6789,0.6886
25.3,0.083,0.4925,0.557,0.7314,0.6607,0.6961,0.6544,0.6129,0.6337,0.7056,0.6733,0.6894
25.4,0.132,0.5224,0.5626,0.7501,0.6392,0.6947,0.6542,0.6109,0.6325,0.712,0.6662,0.6891
25.5,0.1839,0.5515,0.5658,0.7652,0.6177,0.6914,0.6533,0.6102,0.6317,0.7175,0.6576,0.6876
25.6,0.2378,0.5799,0.5664,0.7773,0.5976,0.6875,0.652,0.6107,0.6313,0.7215,0.647,0.6842
25.7,0.2925,0.6072,0.564,0.7875,0.5797,0.6836,0.6505,0.612,0.6312,0.7232,0.6338,0.6785
25.8,0.3467,0.6329,0.5581,0.7961,0.5644,0.6803,0.649,0.6136,0.6313,0.7222,0.6178,0.67
25.9,0.3992,0.6565,0.5484,0.8033,0.5519,0.6776,0.6478,0.6155,0.6316,0.7187,0.5994,0.659
26,0.4493,0.6777,0.5353,0.8096,0.5421,0.6759,0.6472,0.618,0.6326,0.7129,0.5793,0.6461
26.1,0.4972,0.697,0.5183,0.8155,0.5348,0.6752,0.6478,0.6212,0.6345,0.705,0.558,0.6315
26.2,0.5427,0.7144,0.4968,0.8212,0.5297,0.6755,0.6498,0.6249,0.6373,0.6947,0.5361,0.6154
26.3,0.5837,0.7292,0.4708,0.8262,0.5267,0.6764,0.6531,0.6285,0.6408,0.682,0.514,0.598
26.4,0.6176,0.7403,0.4405,0.8297,0.5257,0.6777,0.6576,0.6314,0.6445,0.6672,0.4925,0.5799
26.5,0.6425,0.7471,0.4064,0.8312,0.527,0.6791,0.663,0.6331,0.6481,0.651,0.4725,0.5618
26.6,0.6583,0.7491,0.3694,0.8305,0.5304,0.6804,0.6692,0.6338,0.6515,0.6346,0.4544,0.5445
26.7,0.6664,0.7465,0.3298,0.8273,0.5356,0.6814,0.6759,0.6337,0.6548,0.6188,0.4385,0.5286
26.8,0.6681,0.7394,0.2887,0.8211,0.5425,0.6818,0.6831,0.6332,0.6581,0.6043,0.4246,0.5145
26.9,0.6641,0.7283,0.2477,0.8122,0.5511,0.6817,0.6905,0.6324,0.6614,0.5918,0.4124,0.5021
27,0.6546,0.7137,0.2087,0.801,0.5623,0.6816,0.698,0.6316,0.6648,0.5814,0.4016,0.4915
27.1,0.6405,0.6961,0.1734,0.7875,0.5763,0.6819,0.7053,0.6304,0.6678,0.5728,0.3922,0.4825
27.2,0.6235,0.6753,0.1425,0.7711,0.5929,0.682,0.7114,0.628,0.6697,0.5652,0.3837,0.4745
27.3,0.6056,0.6508,0.1157,0.7506,0.6115,0.681,0.7151,0.6239,0.6695,0.5582,0.3753,0.4668
27.4,0.5885,0.6222,0.0929,0.7252,0.6321,0.6787,0.7151,0.6178,0.6665,0.5519,0.3661,0.459
27.5,0.5731,0.5901,0.0752,0.695,0.6556,0.6753,0.711,0.6106,0.6608,0.5468,0.3557,0.4513
27.6,0.5591,0.5566,0.0638,0.6612,0.6825,0.6718,0.7032,0.6029,0.6531,0.5435,0.3445,0.444
27.7,0.5457,0.5239,0.0593,0.626,0.7124,0.6692,0.693,0.5955,0.6443,0.5428,0.3331,0.438
27.8,0.5314,0.4942,0.0621,0.5913,0.7442,0.6677,0.6819,0.5892,0.6355,0.545,0.3233,0.4341
27.9,0.5151,0.4687,0.0719,0.5584,0.7763,0.6673,0.6708,0.5843,0.6276,0.5503,0.3166,0.4335
28,0.497,0.4478,0.0884,0.5279,0.8074,0.6677,0.6602,0.581,0.6206,0.5586,0.3145,0.4365
28.1,0.4781,0.4319,0.1109,0.5003,0.8363,0.6683,0.6502,0.5786,0.6144,0.5695,0.317,0.4432
28.2,0.4601,0.4213,0.1377,0.4757,0.8617,0.6687,0.6409,0.5761,0.6085,0.5816,0.3233,0.4524
28.3,0.4445,0.4159,0.1668,0.4547,0.8825,0.6686,0.6323,0.5725,0.6024,0.5933,0.3321,0.4627
28.4,0.4324,0.4151,0.1963,0.4378,0.8987,0.6683,0.6242,0.5674,0.5958,0.6033,0.3425,0.4729
28.5,0.4241,0.4186,0.2254,0.4252,0.9116,0.6684,0.6158,0.561,0.5884,0.6109,0.3541,0.4825
28.6,0.4207,0.4259,0.2537,0.4171,0.9222,0.6697,0.6063,0.5537,0.58,0.6158,0.3672,0.4915
28.7,0.4241,0.4373,0.2812,0.4144,0.931,0.6727,0.5958,0.5463,0.571,0.6181,0.3819,0.5
28.8,0.4367,0.453,0.3077,0.4181,0.938,0.6781,0.5851,0.5397,0.5624,0.6178,0.3975,0.5077
28.9,0.4593,0.4731,0.3332,0.4287,0.9436,0.6861,0.5757,0.5345,0.5551,0.6153,0.4139,0.5146
29,0.4903,0.4972,0.3575,0.4454,0.9483,0.6968,0.5676,0.5308,0.5492,0.6111,0.4308,0.521
29.1,0.5256,0.5239,0.3805,0.4664,0.9534,0.7099,0.5605,0.5286,0.5445,0.6059,0.4487,0.5273
29.2,0.5601,0.5513,0.4028,0.4897,0.96,0.7249,0.5534,0.5278,0.5406,0.5995,0.4677,0.5336
29.3,0.5898,0.578,0.4252,0.5138,0.9683,0.7411,0.5455,0.5293,0.5374,0.5917,0.4881,0.5399
29.4,0.6123,0.6038,0.4491,0.5383,0.9779,0.7581,0.5366,0.5343,0.5354,0.5815,0.5096,0.5455
29.5,0.6268,0.6291,0.4751,0.5636,0.9889,0.7763,0.5264,0.5442,0.5353,0.5682,0.5313,0.5497
29.6,0.6324,0.6543,0.5035,0.5902,1.0016,0.7959,0.5147,0.5596,0.5372,0.5518,0.5523,0.552
29.7,0.628,0.6792,0.5341,0.6174,1.016,0.8167,0.5014,0.5809,0.5411,0.5331,0.572,0.5526
29.8,0.614,0.7032,0.5672,0.6446,1.0317,0.8381,0.4867,0.6079,0.5473,0.5133,0.5903,0.5518
29.9,0.5918,0.7263,0.6031,0.6714,1.0482,0.8598,0.4713,0.6413,0.5563,0.4933,0.6072,0.5502
