Time,Bacardi - Dance Floor 15 TVC,Bacardi - Dance Floor 15 TVC,Bacardi - Dance Floor 15 TVC,Bacardi - Dance Floor 15 TVC,Bacardi - Dance Floor 15 TVC,Bacardi - Dance Floor 15 TVC,Bacardi - Dance Floor 15 TVC,Bacardi - Dance Floor 15 TVC,Bacardi - Dance Floor 15 TVC,Bacardi - Dance Floor 15 TVC,Bacardi - Dance Floor 15 TVC,Bacardi - Dance Floor 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
8.9,-0.2308,0.2922,0.4588,0.2311,0.3748,0.303,0.4282,0.5542,0.4912,0.4342,0.3902,0.4122
9,-0.2307,0.2972,0.4667,0.2339,0.3982,0.316,0.429,0.5598,0.4944,0.4401,0.3955,0.4178
9.1,-0.2262,0.3053,0.4757,0.2415,0.4246,0.3331,0.4316,0.5667,0.4991,0.447,0.4006,0.4238
9.2,-0.2174,0.316,0.4854,0.2544,0.4529,0.3537,0.4359,0.5745,0.5052,0.4551,0.4052,0.4301
9.3,-0.2055,0.3288,0.4955,0.2721,0.4822,0.3771,0.4419,0.5827,0.5123,0.4638,0.4087,0.4362
9.4,-0.1922,0.3433,0.5051,0.2935,0.5116,0.4025,0.4494,0.5905,0.5199,0.472,0.4106,0.4413
9.5,-0.1782,0.3588,0.5135,0.3172,0.5402,0.4287,0.4582,0.5972,0.5277,0.4794,0.4104,0.4449
9.6,-0.1639,0.3741,0.52,0.342,0.5665,0.4542,0.4682,0.6024,0.5353,0.4862,0.4082,0.4472
9.7,-0.1499,0.3887,0.5243,0.3665,0.5894,0.478,0.4791,0.6057,0.5424,0.4929,0.4043,0.4486
9.8,-0.1368,0.402,0.5261,0.3897,0.608,0.4989,0.4906,0.6067,0.5486,0.4996,0.3987,0.4491
9.9,-0.1253,0.4141,0.5258,0.4105,0.6223,0.5164,0.5024,0.6054,0.5539,0.5061,0.3912,0.4487
10,-0.1156,0.425,0.5238,0.4278,0.6324,0.5301,0.5143,0.602,0.5582,0.512,0.3818,0.4469
10.1,-0.1076,0.4346,0.5205,0.4413,0.6385,0.5399,0.5253,0.5969,0.5611,0.5168,0.3708,0.4438
10.2,-0.1008,0.4428,0.516,0.451,0.6407,0.5458,0.5348,0.5903,0.5625,0.5205,0.3583,0.4394
10.3,-0.0958,0.4497,0.5106,0.4573,0.6395,0.5484,0.5422,0.5822,0.5622,0.5228,0.345,0.4339
10.4,-0.093,0.4554,0.5044,0.4607,0.6353,0.548,0.547,0.5728,0.5599,0.5235,0.3311,0.4273
10.5,-0.0929,0.4599,0.4974,0.461,0.6285,0.5447,0.5489,0.5622,0.5556,0.5218,0.3171,0.4194
10.6,-0.0951,0.4626,0.4896,0.4577,0.619,0.5384,0.5476,0.5506,0.5491,0.5174,0.3031,0.4103
10.7,-0.0988,0.4632,0.4809,0.4509,0.6064,0.5287,0.5432,0.538,0.5406,0.5104,0.2898,0.4001
10.8,-0.1029,0.4614,0.4714,0.4409,0.5905,0.5157,0.5359,0.5244,0.5302,0.5017,0.278,0.3899
10.9,-0.1059,0.4573,0.4617,0.4287,0.5712,0.5,0.5268,0.5103,0.5186,0.4923,0.2688,0.3805
11,-0.1069,0.4518,0.4525,0.4154,0.5491,0.4823,0.517,0.4966,0.5068,0.4831,0.2633,0.3732
11.1,-0.1048,0.4457,0.445,0.4021,0.5252,0.4637,0.5077,0.4846,0.4961,0.4746,0.262,0.3683
11.2,-0.0989,0.4399,0.4395,0.39,0.5008,0.4454,0.4996,0.475,0.4873,0.4671,0.265,0.366
11.3,-0.089,0.4348,0.4357,0.3796,0.4765,0.4281,0.4931,0.4681,0.4806,0.4606,0.2723,0.3665
11.4,-0.0749,0.4305,0.4336,0.3714,0.453,0.4122,0.4885,0.4639,0.4762,0.4559,0.2843,0.3701
11.5,-0.0563,0.427,0.4334,0.365,0.4307,0.3979,0.4861,0.4627,0.4744,0.4532,0.301,0.3771
11.6,-0.0332,0.4237,0.4353,0.3601,0.4103,0.3852,0.4863,0.4647,0.4755,0.4529,0.3221,0.3875
