Time,Gippsland Dairy - The Taste Made Me Do It 30 TVC,Gippsland Dairy - The Taste Made Me Do It 30 TVC,Gippsland Dairy - The Taste Made Me Do It 30 TVC,Gippsland Dairy - The Taste Made Me Do It 30 TVC,Gippsland Dairy - The Taste Made Me Do It 30 TVC,Gippsland Dairy - The Taste Made Me Do It 30 TVC,Gippsland Dairy - The Taste Made Me Do It 30 TVC,Gippsland Dairy - The Taste Made Me Do It 30 TVC,Gippsland Dairy - The Taste Made Me Do It 30 TVC,Gippsland Dairy - The Taste Made Me Do It 30 TVC,Gippsland Dairy - The Taste Made Me Do It 30 TVC,Gippsland Dairy - The Taste Made Me Do It 30 TVC
20.9,-0.2481,0.5334,0.8597,0.5122,0.7121,0.6122,0.5137,0.6641,0.5889,0.6218,0.6811,0.6514
21,-0.2665,0.5383,0.8464,0.5202,0.7081,0.6141,0.5077,0.6507,0.5792,0.6149,0.6709,0.6429
21.1,-0.2882,0.5469,0.8323,0.527,0.7061,0.6166,0.503,0.6369,0.5699,0.614,0.6612,0.6376
21.2,-0.3121,0.5579,0.8177,0.5318,0.7056,0.6187,0.4993,0.623,0.5611,0.6182,0.652,0.6351
21.3,-0.3364,0.5707,0.802,0.5342,0.7062,0.6202,0.497,0.6085,0.5527,0.6268,0.6435,0.6351
21.4,-0.3597,0.5847,0.7846,0.5343,0.7076,0.6209,0.4965,0.5926,0.5445,0.6389,0.6357,0.6373
21.5,-0.3812,0.5998,0.7654,0.5322,0.7094,0.6208,0.4977,0.575,0.5363,0.6535,0.6287,0.6411
21.6,-0.3995,0.6154,0.7448,0.5281,0.7109,0.6195,0.5002,0.5556,0.5279,0.6693,0.6222,0.6457
21.7,-0.4126,0.6304,0.7233,0.5226,0.7114,0.617,0.5034,0.5348,0.5191,0.6845,0.6159,0.6502
21.8,-0.4178,0.6439,0.7013,0.5165,0.71,0.6133,0.507,0.5134,0.5102,0.6985,0.6096,0.6541
21.9,-0.4141,0.6554,0.6795,0.5105,0.7065,0.6085,0.5116,0.4925,0.5021,0.7116,0.6041,0.6578
22,-0.4016,0.6648,0.6586,0.5049,0.7015,0.6032,0.5179,0.4739,0.4959,0.7248,0.5999,0.6623
22.1,-0.3814,0.6724,0.6394,0.4995,0.6952,0.5974,0.5261,0.4591,0.4926,0.739,0.5976,0.6683
22.2,-0.3543,0.6783,0.6221,0.4937,0.6879,0.5908,0.5363,0.4486,0.4924,0.7543,0.5976,0.676
22.3,-0.3201,0.6818,0.6065,0.4861,0.6795,0.5828,0.5481,0.442,0.4951,0.7708,0.5999,0.6854
22.4,-0.2785,0.6825,0.592,0.4763,0.6698,0.5731,0.5613,0.4389,0.5001,0.7882,0.6042,0.6962
22.5,-0.2288,0.6805,0.5788,0.4649,0.6589,0.5619,0.5751,0.4388,0.507,0.8063,0.6101,0.7082
22.6,-0.1716,0.6764,0.5674,0.4525,0.6475,0.55,0.5889,0.4419,0.5154,0.825,0.6172,0.7211
22.7,-0.1086,0.671,0.5582,0.4397,0.6363,0.538,0.6024,0.448,0.5252,0.8439,0.6248,0.7344
22.8,-0.0411,0.6643,0.5515,0.4265,0.6255,0.526,0.6157,0.4575,0.5366,0.8629,0.6328,0.7479
22.9,0.0291,0.6557,0.5476,0.4129,0.6147,0.5138,0.6295,0.4706,0.55,0.8824,0.6414,0.7619
23,0.0999,0.6445,0.5468,0.4001,0.6032,0.5016,0.6451,0.4878,0.5664,0.9029,0.6507,0.7768
23.1,0.1678,0.6304,0.5495,0.3895,0.5901,0.4898,0.6628,0.5093,0.5861,0.9245,0.6609,0.7927
23.2,0.2285,0.614,0.5561,0.3822,0.5754,0.4788,0.6824,0.5349,0.6087,0.9467,0.672,0.8093
23.3,0.2777,0.5967,0.5663,0.379,0.5598,0.4694,0.7031,0.5634,0.6333,0.9684,0.6836,0.826
23.4,0.3134,0.5794,0.5794,0.3799,0.5446,0.4622,0.7239,0.5932,0.6586,0.9888,0.6953,0.8421
23.5,0.3358,0.5629,0.595,0.3853,0.5309,0.4581,0.7443,0.6231,0.6837,1.0078,0.7068,0.8573
23.6,0.3465,0.5484,0.6127,0.3962,0.5193,0.4578,0.7642,0.6525,0.7084,1.0259,0.7182,0.872
23.7,0.3473,0.5364,0.6324,0.4128,0.51,0.4614,0.7837,0.6815,0.7326,1.0431,0.7299,0.8865
23.8,0.3391,0.5274,0.6535,0.4339,0.5027,0.4683,0.8031,0.7101,0.7566,1.0591,0.7422,0.9007
23.9,0.3221,0.5212,0.6753,0.4582,0.4978,0.478,0.8227,0.7381,0.7804,1.0733,0.7554,0.9144
24,0.2972,0.5176,0.6969,0.4847,0.4958,0.4903,0.8424,0.7655,0.804,1.0851,0.7699,0.9275
24.1,0.2651,0.5163,0.7175,0.5132,0.4979,0.5055,0.8617,0.7927,0.8272,1.0947,0.7864,0.9405
24.2,0.2264,0.5169,0.7371,0.5428,0.5051,0.5239,0.8803,0.8203,0.8503,1.1024,0.8056,0.954
24.3,0.1814,0.5189,0.7557,0.5718,0.5178,0.5448,0.8979,0.8484,0.8732,1.1082,0.828,0.9681
24.4,0.131,0.5211,0.7728,0.5981,0.5355,0.5668,0.9142,0.8767,0.8955,1.1117,0.8532,0.9824
24.5,0.077,0.5231,0.7879,0.62,0.5576,0.5888,0.9288,0.9039,0.9164,1.1121,0.8807,0.9964
24.6,0.0219,0.5245,0.801,0.6368,0.5831,0.61,0.9412,0.9288,0.935,1.1094,0.9099,1.0096
24.7,-0.0321,0.5256,0.8126,0.6485,0.6112,0.6299,0.9511,0.951,0.951,1.1039,0.9399,1.0219
24.8,-0.0836,0.5266,0.8233,0.6546,0.6413,0.6479,0.9578,0.9707,0.9642,1.096,0.9694,1.0327
24.9,-0.1315,0.5274,0.8338,0.6544,0.6732,0.6638,0.9608,0.9885,0.9746,1.0852,0.9965,1.0409
25,-0.1755,0.5273,0.8442,0.6478,0.7065,0.6772,0.9597,1.0041,0.9819,1.0711,1.0195,1.0453
25.1,-0.2157,0.5258,0.8543,0.6346,0.7412,0.6879,0.9545,1.0174,0.9859,1.0534,1.0373,1.0453
25.2,-0.2525,0.5226,0.8636,0.6151,0.7769,0.696,0.945,1.0276,0.9863,1.0327,1.0496,1.0411
25.3,-0.2868,0.5183,0.8718,0.5894,0.8124,0.7009,0.9313,1.0343,0.9828,1.0098,1.0562,1.033
25.4,-0.3193,0.5135,0.878,0.5582,0.8461,0.7022,0.9131,1.0367,0.9749,0.9849,1.0568,1.0208
25.5,-0.3496,0.5084,0.8812,0.5231,0.8756,0.6993,0.8901,1.0338,0.962,0.9579,1.0507,1.0043
25.6,-0.376,0.5025,0.8804,0.4853,0.8989,0.6921,0.8622,1.0247,0.9435,0.9286,1.0382,0.9834
25.7,-0.3963,0.495,0.8754,0.4461,0.9143,0.6802,0.8304,1.0091,0.9197,0.8977,1.02,0.9589
25.8,-0.4087,0.4857,0.8668,0.4069,0.9211,0.664,0.7957,0.9877,0.8917,0.8664,0.9973,0.9318
25.9,-0.4123,0.4748,0.8555,0.3694,0.9188,0.6441,0.7593,0.9616,0.8604,0.8358,0.9714,0.9036
26,-0.4065,0.4631,0.8423,0.3351,0.907,0.621,0.7228,0.9316,0.8272,0.8071,0.9436,0.8754
26.1,-0.3906,0.4512,0.828,0.3059,0.8854,0.5957,0.6877,0.8991,0.7934,0.7811,0.9151,0.8481
26.2,-0.3638,0.4394,0.8132,0.2841,0.8541,0.5691,0.656,0.8652,0.7606,0.7586,0.8872,0.8229
26.3,-0.3275,0.4279,0.7986,0.2709,0.8144,0.5426,0.6292,0.831,0.7301,0.7399,0.8609,0.8004
26.4,-0.2852,0.4175,0.7846,0.2667,0.7688,0.5177,0.6082,0.7972,0.7027,0.7249,0.8364,0.7806
26.5,-0.2413,0.4095,0.771,0.2706,0.7202,0.4954,0.5933,0.7635,0.6784,0.713,0.8133,0.7632
26.6,-0.1989,0.4047,0.7571,0.2817,0.6714,0.4765,0.5842,0.7296,0.6569,0.7038,0.7912,0.7475
26.7,-0.1597,0.4037,0.7422,0.2987,0.6246,0.4616,0.5808,0.6953,0.638,0.6973,0.7698,0.7336
26.8,-0.1247,0.4063,0.7263,0.3204,0.5821,0.4512,0.5835,0.6611,0.6223,0.6944,0.7495,0.722
26.9,-0.0954,0.4122,0.7102,0.3458,0.5456,0.4457,0.5927,0.6283,0.6105,0.6961,0.7309,0.7135
27,-0.073,0.4215,0.6952,0.3734,0.5165,0.445,0.608,0.598,0.603,0.7027,0.7147,0.7087
27.1,-0.0573,0.4341,0.6821,0.4016,0.4956,0.4486,0.6282,0.5708,0.5995,0.7137,0.7014,0.7075
27.2,-0.047,0.4495,0.6712,0.4289,0.4831,0.456,0.6514,0.546,0.5987,0.7279,0.691,0.7094
27.3,-0.04,0.4676,0.6618,0.4545,0.4792,0.4669,0.6752,0.5231,0.5991,0.7441,0.6831,0.7136
27.4,-0.0344,0.4883,0.653,0.4782,0.4843,0.4812,0.6972,0.5021,0.5997,0.7614,0.6773,0.7193
27.5,-0.0278,0.5118,0.6443,0.4999,0.4976,0.4988,0.7154,0.4835,0.5995,0.7791,0.673,0.7261
27.6,-0.0175,0.5378,0.6356,0.5196,0.5175,0.5185,0.7291,0.4669,0.598,0.7966,0.6698,0.7332
27.7,-0.0008,0.5654,0.627,0.5369,0.5413,0.5391,0.7378,0.4513,0.5946,0.813,0.667,0.74
27.8,0.0231,0.5931,0.6193,0.5519,0.5666,0.5592,0.7411,0.4357,0.5884,0.8277,0.6644,0.7461
27.9,0.0533,0.6197,0.6141,0.565,0.5917,0.5783,0.7392,0.4203,0.5798,0.8412,0.6619,0.7515
28,0.0879,0.6439,0.6134,0.5762,0.6159,0.596,0.7332,0.4065,0.5699,0.8543,0.6594,0.7569
28.1,0.1256,0.6649,0.6181,0.5854,0.6384,0.6119,0.7243,0.3955,0.5599,0.8676,0.6566,0.7621
28.2,0.1656,0.6819,0.6277,0.593,0.6583,0.6256,0.7134,0.3878,0.5506,0.8802,0.6527,0.7665
28.3,0.2078,0.694,0.6404,0.5993,0.6743,0.6368,0.701,0.3831,0.5421,0.8906,0.6468,0.7687
28.4,0.2513,0.7006,0.6536,0.605,0.6854,0.6452,0.6877,0.3809,0.5343,0.8973,0.6382,0.7678
28.5,0.2952,0.7012,0.6653,0.6103,0.6906,0.6505,0.6746,0.3813,0.528,0.9004,0.6269,0.7636
28.6,0.3388,0.6962,0.6738,0.6154,0.6898,0.6526,0.6633,0.3843,0.5238,0.9008,0.6129,0.7568
28.7,0.3815,0.686,0.6787,0.6205,0.6832,0.6518,0.6547,0.3903,0.5225,0.8994,0.5966,0.748
28.8,0.423,0.6706,0.68,0.6259,0.6712,0.6485,0.6498,0.3994,0.5246,0.8968,0.5785,0.7376
28.9,0.4624,0.6493,0.6785,0.6318,0.6543,0.6431,0.6494,0.4116,0.5305,0.8929,0.5588,0.7258
29,0.5,0.6217,0.6755,0.6384,0.6333,0.6359,0.6542,0.4268,0.5405,0.8875,0.5385,0.713
29.1,0.5363,0.5885,0.673,0.6461,0.6087,0.6274,0.6646,0.4451,0.5548,0.8808,0.5184,0.6996
29.2,0.5723,0.551,0.6723,0.6556,0.5811,0.6183,0.6801,0.4662,0.5732,0.8729,0.4992,0.6861
29.3,0.6086,0.5112,0.674,0.6674,0.5513,0.6093,0.6999,0.4893,0.5946,0.864,0.4813,0.6726
29.4,0.6445,0.471,0.6783,0.6817,0.5203,0.601,0.7229,0.5136,0.6182,0.8539,0.4652,0.6596
29.5,0.6796,0.4319,0.6849,0.6982,0.4885,0.5934,0.7482,0.5381,0.6432,0.8419,0.4517,0.6468
29.6,0.7132,0.3948,0.6932,0.7159,0.4561,0.586,0.7747,0.5619,0.6683,0.8259,0.441,0.6335
29.7,0.7438,0.3606,0.7021,0.7334,0.423,0.5782,0.8004,0.5833,0.6918,0.8037,0.4333,0.6185
29.8,0.7687,0.3299,0.7104,0.749,0.3901,0.5695,0.8229,0.6012,0.7121,0.7736,0.4281,0.6008
29.9,0.7848,0.3035,0.718,0.7612,0.3582,0.5597,0.8402,0.6156,0.7279,0.7361,0.4251,0.5806
