Time,Truecore - The Inner Strength 30 TVC,Truecore - The Inner Strength 30 TVC,Truecore - The Inner Strength 30 TVC,Truecore - The Inner Strength 30 TVC,Truecore - The Inner Strength 30 TVC,Truecore - The Inner Strength 30 TVC,Truecore - The Inner Strength 30 TVC,Truecore - The Inner Strength 30 TVC,Truecore - The Inner Strength 30 TVC,Truecore - The Inner Strength 30 TVC,Truecore - The Inner Strength 30 TVC,Truecore - The Inner Strength 30 TVC
21.4,0.2815,0.6278,0.5364,0.6746,0.3667,0.5207,0.5527,0.4614,0.5071,0.5104,0.6048,0.5576
21.5,0.2486,0.6328,0.5325,0.6749,0.379,0.527,0.5725,0.4596,0.5161,0.522,0.6052,0.5636
21.6,0.2182,0.638,0.5301,0.6733,0.3928,0.5331,0.5923,0.4604,0.5263,0.5323,0.6041,0.5682
21.7,0.1914,0.6428,0.5288,0.6704,0.4071,0.5387,0.6119,0.4636,0.5378,0.5413,0.6015,0.5714
21.8,0.168,0.647,0.5288,0.6663,0.4213,0.5438,0.6314,0.4689,0.5501,0.5488,0.5977,0.5733
21.9,0.1476,0.6505,0.5303,0.6613,0.4347,0.548,0.6506,0.4756,0.5631,0.5548,0.5934,0.5741
22,0.1304,0.653,0.5337,0.6551,0.4467,0.5509,0.6692,0.4833,0.5763,0.5597,0.5891,0.5744
22.1,0.1166,0.6541,0.5392,0.6475,0.4562,0.5519,0.6861,0.4915,0.5888,0.5638,0.5853,0.5746
22.2,0.106,0.6529,0.5462,0.6383,0.4619,0.5501,0.6999,0.4994,0.5996,0.5679,0.5816,0.5748
22.3,0.0974,0.6491,0.5533,0.6272,0.4632,0.5452,0.7094,0.5065,0.608,0.572,0.5773,0.5746
22.4,0.0895,0.6425,0.5596,0.6139,0.4602,0.537,0.7144,0.5122,0.6133,0.5755,0.5718,0.5737
22.5,0.0817,0.6336,0.5649,0.5991,0.453,0.526,0.715,0.5166,0.6158,0.5781,0.5646,0.5714
22.6,0.0739,0.6226,0.5686,0.5836,0.4424,0.513,0.7119,0.5199,0.6159,0.5795,0.556,0.5677
22.7,0.0653,0.6095,0.5708,0.5681,0.4288,0.4984,0.7054,0.5227,0.6141,0.5799,0.5463,0.5631
22.8,0.056,0.5943,0.5716,0.5529,0.4122,0.4826,0.6964,0.5253,0.6108,0.5801,0.5364,0.5583
22.9,0.0465,0.5771,0.5706,0.5382,0.3928,0.4655,0.6857,0.5275,0.6066,0.5808,0.5267,0.5538
23,0.0371,0.5588,0.5679,0.524,0.371,0.4475,0.6741,0.5286,0.6014,0.5828,0.5177,0.5503
23.1,0.0282,0.5406,0.5638,0.5109,0.3481,0.4295,0.6617,0.5286,0.5951,0.5864,0.5099,0.5482
23.2,0.0211,0.5234,0.5589,0.4992,0.3254,0.4123,0.6483,0.5274,0.5878,0.5914,0.5032,0.5473
23.3,0.0171,0.5079,0.5535,0.4888,0.3037,0.3962,0.6338,0.5251,0.5794,0.5969,0.4977,0.5473
23.4,0.0164,0.494,0.5478,0.4792,0.2834,0.3813,0.6184,0.5218,0.5701,0.6019,0.4939,0.5479
23.5,0.0179,0.4817,0.5423,0.4704,0.2646,0.3675,0.6019,0.5185,0.5602,0.6055,0.4925,0.549
23.6,0.0197,0.4715,0.5377,0.4629,0.2483,0.3556,0.5845,0.5157,0.5501,0.6072,0.4938,0.5505
23.7,0.0207,0.4636,0.5346,0.4571,0.2356,0.3464,0.5669,0.514,0.5405,0.607,0.498,0.5525
23.8,0.0213,0.4578,0.5329,0.4534,0.2269,0.3401,0.5504,0.5133,0.5319,0.6053,0.5051,0.5552
23.9,0.022,0.4541,0.5323,0.4511,0.2222,0.3366,0.536,0.5133,0.5246,0.6025,0.515,0.5588
24,0.0232,0.4523,0.5326,0.4499,0.2206,0.3352,0.5242,0.5132,0.5187,0.5993,0.5271,0.5632
24.1,0.0243,0.4522,0.5337,0.4493,0.2217,0.3355,0.5149,0.5124,0.5137,0.5963,0.5407,0.5685
24.2,0.0257,0.4533,0.5353,0.4492,0.2244,0.3368,0.5079,0.5103,0.5091,0.5938,0.5543,0.574
24.3,0.0282,0.4548,0.5366,0.4494,0.2278,0.3386,0.5025,0.5061,0.5043,0.5918,0.5666,0.5792
24.4,0.0322,0.4555,0.5372,0.449,0.2308,0.3399,0.4988,0.4996,0.4992,0.5902,0.5771,0.5836
24.5,0.0376,0.4546,0.5371,0.4474,0.2329,0.3401,0.4964,0.4909,0.4937,0.5889,0.5858,0.5874
24.6,0.0448,0.4515,0.5361,0.4441,0.2335,0.3388,0.4952,0.4799,0.4876,0.5881,0.593,0.5905
24.7,0.0539,0.4463,0.5334,0.4392,0.2326,0.3359,0.4946,0.4668,0.4807,0.5876,0.5983,0.593
24.8,0.0659,0.4393,0.5279,0.4332,0.2304,0.3318,0.4939,0.4516,0.4728,0.5867,0.6014,0.5941
24.9,0.0806,0.4305,0.5189,0.4265,0.2271,0.3268,0.4923,0.4347,0.4635,0.5848,0.602,0.5934
25,0.0966,0.4195,0.5067,0.4188,0.223,0.3209,0.4889,0.4166,0.4527,0.5813,0.6002,0.5908
25.1,0.1117,0.4061,0.4924,0.41,0.2186,0.3143,0.483,0.3981,0.4405,0.5762,0.5969,0.5865
25.2,0.1256,0.3903,0.4766,0.3998,0.2144,0.3071,0.4747,0.3796,0.4271,0.5689,0.5923,0.5806
25.3,0.1388,0.3726,0.4597,0.3882,0.2109,0.2995,0.4646,0.3618,0.4132,0.5589,0.5863,0.5726
25.4,0.1521,0.3534,0.4427,0.3756,0.2084,0.292,0.4529,0.3459,0.3994,0.546,0.5785,0.5623
25.5,0.1652,0.3337,0.4255,0.3626,0.2076,0.2851,0.4402,0.3331,0.3866,0.5302,0.569,0.5496
25.6,0.1771,0.3146,0.4077,0.35,0.2097,0.2799,0.4267,0.3241,0.3754,0.5123,0.5585,0.5354
25.7,0.1867,0.2974,0.3891,0.3383,0.2162,0.2772,0.4135,0.3195,0.3665,0.4932,0.5482,0.5207
25.8,0.1939,0.2831,0.3711,0.3285,0.2275,0.278,0.4021,0.3198,0.3609,0.4738,0.5397,0.5068
25.9,0.1993,0.2727,0.3557,0.3213,0.2437,0.2825,0.3935,0.3254,0.3595,0.4555,0.5339,0.4947
26,0.2027,0.2672,0.3447,0.3176,0.2649,0.2912,0.3878,0.3363,0.3621,0.4395,0.5317,0.4856
26.1,0.2034,0.2668,0.3398,0.3176,0.2906,0.3041,0.384,0.3521,0.3681,0.4268,0.533,0.4799
26.2,0.2009,0.2725,0.3419,0.3217,0.3202,0.3209,0.3813,0.3718,0.3765,0.418,0.5376,0.4778
26.3,0.1958,0.285,0.3507,0.3302,0.3526,0.3414,0.3792,0.3949,0.387,0.4139,0.5458,0.4798
26.4,0.1889,0.3049,0.3667,0.3436,0.3867,0.3651,0.378,0.4213,0.3997,0.4153,0.5574,0.4863
26.5,0.1809,0.3318,0.3897,0.3615,0.4215,0.3915,0.3775,0.4513,0.4144,0.4226,0.5724,0.4975
26.6,0.1733,0.3644,0.4181,0.3832,0.4563,0.4197,0.3776,0.4839,0.4308,0.4359,0.5907,0.5133
26.7,0.1678,0.4005,0.4482,0.4071,0.4898,0.4485,0.3778,0.5166,0.4472,0.4546,0.6119,0.5332
26.8,0.1662,0.4377,0.4769,0.4317,0.5202,0.4759,0.3779,0.547,0.4624,0.4784,0.6355,0.557
26.9,0.1697,0.4736,0.5029,0.4551,0.5442,0.4996,0.3775,0.573,0.4753,0.5068,0.6606,0.5837
27,0.1791,0.5068,0.5265,0.4759,0.559,0.5174,0.3766,0.5939,0.4852,0.5395,0.6859,0.6127
27.1,0.1946,0.5356,0.5486,0.4926,0.5635,0.528,0.3748,0.6095,0.4921,0.5758,0.7111,0.6435
27.2,0.2155,0.5595,0.5691,0.5043,0.5578,0.5311,0.3719,0.6201,0.496,0.6143,0.7363,0.6753
27.3,0.2403,0.5784,0.5878,0.5107,0.5433,0.527,0.3682,0.6266,0.4974,0.6534,0.7615,0.7075
27.4,0.2678,0.5925,0.6045,0.5119,0.521,0.5164,0.3645,0.6301,0.4973,0.6915,0.7865,0.739
27.5,0.297,0.6014,0.6195,0.5089,0.4925,0.5007,0.362,0.6317,0.4968,0.7272,0.8106,0.7689
27.6,0.3278,0.6053,0.6331,0.5028,0.46,0.4814,0.361,0.6321,0.4965,0.7599,0.8333,0.7966
27.7,0.36,0.6043,0.6456,0.4946,0.4264,0.4605,0.3617,0.6313,0.4965,0.7887,0.8548,0.8217
27.8,0.3928,0.5987,0.6577,0.4856,0.3942,0.4399,0.3639,0.6296,0.4967,0.8128,0.8754,0.8441
27.9,0.4254,0.5885,0.6698,0.4762,0.3653,0.4208,0.3676,0.6273,0.4975,0.8314,0.895,0.8632
28,0.4572,0.574,0.682,0.4666,0.3398,0.4032,0.373,0.6247,0.4988,0.8445,0.9126,0.8786
28.1,0.4865,0.5557,0.6942,0.457,0.3171,0.387,0.3802,0.6219,0.5011,0.8526,0.9279,0.8902
28.2,0.5114,0.5346,0.7062,0.448,0.2975,0.3727,0.3889,0.6189,0.5039,0.8558,0.94,0.8979
28.3,0.5292,0.5115,0.7177,0.4398,0.2814,0.3606,0.3983,0.6153,0.5068,0.8542,0.9489,0.9016
28.4,0.5376,0.4877,0.728,0.4321,0.2693,0.3507,0.4077,0.6103,0.509,0.8482,0.9547,0.9015
28.5,0.5359,0.4642,0.7358,0.4244,0.261,0.3427,0.4171,0.6028,0.51,0.8384,0.9569,0.8976
28.6,0.5239,0.4427,0.7396,0.4163,0.2562,0.3363,0.4268,0.5919,0.5093,0.8255,0.9546,0.8901
28.7,0.5011,0.4247,0.7384,0.4085,0.2552,0.3319,0.4367,0.5771,0.5069,0.8106,0.9474,0.879
28.8,0.4665,0.4118,0.7322,0.4017,0.2583,0.33,0.4466,0.5583,0.5024,0.7941,0.9352,0.8646
28.9,0.4205,0.4045,0.7207,0.3965,0.2651,0.3308,0.4561,0.5355,0.4958,0.7763,0.9185,0.8474
29,0.3658,0.4028,0.7042,0.3928,0.2751,0.3339,0.4654,0.5087,0.4871,0.7568,0.898,0.8274
29.1,0.3071,0.4067,0.6834,0.3902,0.2876,0.3389,0.475,0.4784,0.4767,0.7348,0.8734,0.8041
29.2,0.2493,0.416,0.6588,0.3895,0.3023,0.3459,0.4842,0.4458,0.465,0.7093,0.8436,0.7764
29.3,0.1961,0.4305,0.6311,0.392,0.3191,0.3555,0.4909,0.4119,0.4514,0.6794,0.808,0.7437
29.4,0.1484,0.4493,0.6009,0.398,0.3374,0.3677,0.4927,0.3773,0.435,0.645,0.7673,0.7062
29.5,0.1053,0.4717,0.5689,0.4075,0.357,0.3823,0.4872,0.3427,0.415,0.6064,0.7226,0.6645
29.6,0.0675,0.4971,0.5356,0.42,0.3777,0.3989,0.4733,0.3095,0.3914,0.564,0.6749,0.6195
29.7,0.0367,0.5248,0.5021,0.4351,0.3992,0.4172,0.4515,0.2796,0.3655,0.5181,0.6248,0.5714
29.8,0.0137,0.5534,0.4693,0.4517,0.4213,0.4365,0.4223,0.2541,0.3382,0.4687,0.5729,0.5208
29.9,-0.002,0.5812,0.4378,0.4682,0.4436,0.4559,0.3864,0.2333,0.3099,0.4166,0.5202,0.4684
