Time,Wooolmark - Wear Wool Not Fossil Fuel 60 TVC,Wooolmark - Wear Wool Not Fossil Fuel 60 TVC,Wooolmark - Wear Wool Not Fossil Fuel 60 TVC,Wooolmark - Wear Wool Not Fossil Fuel 60 TVC,Wooolmark - Wear Wool Not Fossil Fuel 60 TVC,Wooolmark - Wear Wool Not Fossil Fuel 60 TVC,Wooolmark - Wear Wool Not Fossil Fuel 60 TVC,Wooolmark - Wear Wool Not Fossil Fuel 60 TVC,Wooolmark - Wear Wool Not Fossil Fuel 60 TVC,Wooolmark - Wear Wool Not Fossil Fuel 60 TVC,Wooolmark - Wear Wool Not Fossil Fuel 60 TVC,Wooolmark - Wear Wool Not Fossil Fuel 60 TVC
20.8,0.3194,0.6047,0.3289,0.4831,0.3896,0.4364,0.453,0.444,0.4485,0.4585,0.2553,0.3569
20.9,0.2713,0.6272,0.3543,0.4865,0.388,0.4373,0.4597,0.4488,0.4542,0.4834,0.2878,0.3856
21,0.2198,0.6499,0.3852,0.4919,0.3864,0.4391,0.4693,0.4576,0.4634,0.5082,0.3206,0.4144
21.1,0.1682,0.6721,0.4211,0.4985,0.3844,0.4415,0.4819,0.47,0.4759,0.5323,0.3533,0.4428
21.2,0.1184,0.6938,0.4609,0.5064,0.3825,0.4444,0.4979,0.4854,0.4917,0.5553,0.3852,0.4703
21.3,0.0717,0.7146,0.5024,0.5156,0.3809,0.4483,0.517,0.5024,0.5097,0.5772,0.4157,0.4965
21.4,0.0297,0.7337,0.5429,0.5257,0.3797,0.4527,0.5376,0.5195,0.5285,0.598,0.4447,0.5214
21.5,-0.0052,0.7497,0.5793,0.536,0.3789,0.4575,0.5574,0.5347,0.5461,0.618,0.4723,0.5451
21.6,-0.0309,0.7615,0.6094,0.5462,0.3787,0.4625,0.5747,0.5471,0.5609,0.6364,0.498,0.5672
21.7,-0.0464,0.7681,0.6317,0.5558,0.3796,0.4677,0.5884,0.556,0.5722,0.6526,0.5212,0.5869
21.8,-0.0526,0.7692,0.6458,0.5646,0.3819,0.4733,0.5984,0.5616,0.58,0.6665,0.5411,0.6038
21.9,-0.0509,0.7647,0.6517,0.5719,0.3857,0.4788,0.6044,0.564,0.5842,0.6778,0.557,0.6174
22,-0.0429,0.755,0.6506,0.5773,0.3911,0.4842,0.6064,0.5636,0.585,0.6864,0.5691,0.6278
22.1,-0.0302,0.7412,0.644,0.5812,0.3986,0.4899,0.6046,0.5617,0.5831,0.6926,0.578,0.6353
22.2,-0.0141,0.7245,0.6329,0.5838,0.4078,0.4958,0.5999,0.5591,0.5795,0.6964,0.5847,0.6406
22.3,0.0042,0.7057,0.6181,0.5857,0.4182,0.502,0.5933,0.5563,0.5748,0.6982,0.5903,0.6443
22.4,0.0239,0.6853,0.6001,0.5868,0.4287,0.5078,0.5856,0.5526,0.5691,0.6985,0.5956,0.6471
22.5,0.0433,0.6641,0.5799,0.587,0.4387,0.5129,0.5774,0.5481,0.5627,0.6977,0.6018,0.6498
22.6,0.0597,0.6428,0.559,0.5865,0.448,0.5172,0.5695,0.5433,0.5564,0.6963,0.6103,0.6533
22.7,0.0702,0.6222,0.5389,0.5859,0.4572,0.5215,0.563,0.5392,0.5511,0.6944,0.6225,0.6584
22.8,0.0727,0.6031,0.5214,0.5858,0.4663,0.526,0.5586,0.5364,0.5475,0.6916,0.6386,0.6651
22.9,0.0662,0.5859,0.5073,0.5866,0.4751,0.5309,0.5571,0.5354,0.5463,0.6874,0.6584,0.6729
23,0.0512,0.5707,0.4972,0.5885,0.4834,0.536,0.5592,0.5366,0.5479,0.6821,0.681,0.6816
23.1,0.0291,0.5571,0.4912,0.5909,0.491,0.541,0.5648,0.5401,0.5525,0.676,0.7057,0.6908
23.2,0.0018,0.5442,0.4892,0.5928,0.498,0.5454,0.5735,0.546,0.5597,0.6693,0.7312,0.7002
23.3,-0.0296,0.5316,0.4913,0.5931,0.5039,0.5485,0.5849,0.5538,0.5693,0.6622,0.7565,0.7094
23.4,-0.0636,0.519,0.4975,0.592,0.5089,0.5505,0.5989,0.5637,0.5813,0.6548,0.7816,0.7182
23.5,-0.0985,0.507,0.5084,0.5905,0.5131,0.5518,0.6161,0.5763,0.5962,0.6481,0.8067,0.7274
23.6,-0.1321,0.496,0.5242,0.5898,0.5168,0.5533,0.6366,0.5919,0.6143,0.6428,0.8325,0.7376
23.7,-0.1624,0.4861,0.5447,0.5901,0.5204,0.5552,0.66,0.6103,0.6352,0.6396,0.8584,0.749
23.8,-0.1873,0.4764,0.5693,0.5907,0.5236,0.5571,0.6855,0.6305,0.658,0.6387,0.8831,0.7609
23.9,-0.206,0.4663,0.5971,0.5901,0.5258,0.5579,0.712,0.6514,0.6817,0.6396,0.9057,0.7727
24,-0.2188,0.4552,0.627,0.5869,0.5265,0.5567,0.7388,0.6724,0.7056,0.6419,0.9261,0.784
24.1,-0.2278,0.4433,0.6577,0.5803,0.5256,0.553,0.7651,0.6932,0.7291,0.6451,0.9447,0.7949
24.2,-0.2336,0.4305,0.6885,0.57,0.5231,0.5465,0.7902,0.7137,0.7519,0.6496,0.9619,0.8057
24.3,-0.2362,0.4168,0.719,0.5561,0.5193,0.5377,0.8133,0.7336,0.7734,0.6556,0.9774,0.8165
24.4,-0.2351,0.4027,0.7486,0.5393,0.5155,0.5274,0.8339,0.7523,0.7931,0.663,0.9909,0.827
24.5,-0.2306,0.3896,0.777,0.521,0.5132,0.5171,0.8523,0.7698,0.811,0.6716,1.0027,0.8372
24.6,-0.2237,0.3792,0.8039,0.5025,0.5135,0.508,0.8688,0.7863,0.8276,0.6814,1.0133,0.8474
24.7,-0.2163,0.3725,0.8285,0.484,0.5164,0.5002,0.8832,0.8017,0.8424,0.6922,1.0222,0.8572
24.8,-0.2093,0.3701,0.8505,0.4662,0.5217,0.4939,0.8951,0.8156,0.8554,0.703,1.0282,0.8656
24.9,-0.2032,0.3726,0.8697,0.4501,0.5292,0.4896,0.9047,0.8277,0.8662,0.713,1.0298,0.8714
25,-0.1981,0.3806,0.8865,0.4375,0.5385,0.488,0.912,0.8384,0.8752,0.7212,1.0265,0.8739
25.1,-0.1946,0.3939,0.9013,0.4294,0.549,0.4892,0.9171,0.8483,0.8827,0.7277,1.0194,0.8735
25.2,-0.1934,0.4118,0.914,0.4258,0.5602,0.493,0.92,0.8577,0.8889,0.7329,1.0102,0.8715
25.3,-0.1941,0.4331,0.9242,0.4263,0.5714,0.4989,0.921,0.8663,0.8937,0.7374,1.0001,0.8688
25.4,-0.1963,0.4565,0.9311,0.4307,0.5825,0.5066,0.9207,0.8735,0.8971,0.7413,0.9897,0.8655
25.5,-0.2002,0.4815,0.9344,0.4388,0.5928,0.5158,0.9199,0.8791,0.8995,0.7447,0.9786,0.8617
25.6,-0.2062,0.507,0.9344,0.4498,0.6018,0.5258,0.9193,0.8831,0.9012,0.7471,0.9664,0.8568
25.7,-0.2143,0.5323,0.9315,0.4626,0.6092,0.5359,0.9191,0.8856,0.9023,0.7478,0.9532,0.8505
25.8,-0.2244,0.5569,0.9268,0.4759,0.6151,0.5455,0.919,0.8866,0.9028,0.7462,0.939,0.8426
25.9,-0.2366,0.5806,0.9209,0.4893,0.6205,0.5549,0.9192,0.8864,0.9028,0.7419,0.924,0.8329
26,-0.2508,0.6034,0.9145,0.5025,0.6257,0.5641,0.9195,0.8852,0.9024,0.7348,0.9078,0.8213
26.1,-0.2659,0.6246,0.9074,0.5154,0.6306,0.573,0.9199,0.883,0.9014,0.7251,0.89,0.8075
26.2,-0.2805,0.6433,0.8993,0.5277,0.6345,0.5811,0.9199,0.8796,0.8998,0.7131,0.8701,0.7916
26.3,-0.293,0.6589,0.8899,0.539,0.6366,0.5878,0.9192,0.8747,0.897,0.6993,0.8478,0.7736
26.4,-0.3022,0.671,0.8792,0.5493,0.6366,0.5929,0.9174,0.8685,0.893,0.6842,0.8232,0.7537
26.5,-0.3077,0.6794,0.8676,0.5585,0.635,0.5968,0.9143,0.8612,0.8877,0.6685,0.7969,0.7327
26.6,-0.3099,0.6841,0.8555,0.567,0.6327,0.5999,0.9098,0.8531,0.8814,0.6524,0.7697,0.711
26.7,-0.3091,0.6856,0.8427,0.5753,0.6302,0.6028,0.9045,0.8445,0.8745,0.6365,0.7425,0.6895
26.8,-0.3055,0.6845,0.829,0.5839,0.6273,0.6056,0.8985,0.8356,0.867,0.6214,0.7161,0.6687
26.9,-0.2995,0.6808,0.8141,0.5928,0.6233,0.6081,0.8914,0.826,0.8587,0.6079,0.6906,0.6492
27,-0.2921,0.6742,0.7976,0.602,0.6179,0.6099,0.882,0.8154,0.8487,0.5957,0.6661,0.6309
27.1,-0.2841,0.6648,0.7796,0.6111,0.611,0.611,0.8693,0.8037,0.8365,0.5848,0.6426,0.6137
27.2,-0.2759,0.6533,0.76,0.6202,0.6029,0.6116,0.8529,0.7914,0.8222,0.5748,0.6209,0.5978
27.3,-0.2675,0.6405,0.7391,0.6297,0.594,0.6118,0.8338,0.779,0.8064,0.5661,0.6018,0.584
27.4,-0.2589,0.6276,0.7171,0.6398,0.5844,0.6121,0.8131,0.767,0.79,0.5592,0.5858,0.5725
27.5,-0.2509,0.6155,0.6943,0.6506,0.5745,0.6125,0.7915,0.7555,0.7735,0.5545,0.5729,0.5637
27.6,-0.2429,0.6046,0.6717,0.6625,0.5646,0.6136,0.7697,0.745,0.7574,0.5525,0.5635,0.558
27.7,-0.2344,0.5957,0.6499,0.6757,0.5551,0.6154,0.7481,0.7359,0.742,0.5535,0.5578,0.5557
27.8,-0.2249,0.5893,0.6295,0.6899,0.546,0.618,0.7274,0.7283,0.7278,0.5571,0.5556,0.5564
27.9,-0.2144,0.5855,0.6104,0.7048,0.5366,0.6207,0.7075,0.7221,0.7148,0.5627,0.5563,0.5595
28,-0.2032,0.5839,0.5929,0.7197,0.5264,0.623,0.6883,0.7171,0.7027,0.5693,0.5592,0.5642
28.1,-0.1914,0.5839,0.5776,0.7347,0.515,0.6248,0.6692,0.7131,0.6911,0.5764,0.563,0.5697
28.2,-0.1785,0.585,0.5648,0.7496,0.5027,0.6262,0.6501,0.7097,0.6799,0.5839,0.5671,0.5755
28.3,-0.1634,0.5868,0.5548,0.7643,0.4896,0.627,0.6314,0.7066,0.669,0.5918,0.5711,0.5814
28.4,-0.1455,0.5884,0.5471,0.7777,0.4756,0.6267,0.6138,0.7032,0.6585,0.6005,0.5757,0.5881
28.5,-0.1254,0.589,0.5415,0.7885,0.461,0.6247,0.5983,0.6991,0.6487,0.61,0.5815,0.5958
28.6,-0.1041,0.588,0.5378,0.796,0.4463,0.6211,0.5859,0.6935,0.6397,0.6201,0.5884,0.6043
28.7,-0.0829,0.5855,0.5362,0.8005,0.4327,0.6166,0.5778,0.6865,0.6321,0.6304,0.5953,0.6129
28.8,-0.0628,0.5818,0.5365,0.8021,0.421,0.6115,0.5745,0.6777,0.6261,0.6402,0.6011,0.6206
28.9,-0.0444,0.5771,0.538,0.8003,0.4112,0.6057,0.5762,0.6673,0.6218,0.6487,0.6047,0.6267
29,-0.0285,0.5714,0.54,0.7945,0.4034,0.5989,0.5826,0.6559,0.6192,0.6552,0.606,0.6306
29.1,-0.0156,0.5649,0.5418,0.7848,0.3977,0.5913,0.5928,0.6441,0.6184,0.6599,0.6053,0.6326
29.2,-0.0065,0.5575,0.5437,0.7724,0.3942,0.5833,0.6063,0.632,0.6192,0.6632,0.6035,0.6334
29.3,-0.0019,0.5497,0.5457,0.758,0.3927,0.5753,0.622,0.6199,0.6209,0.6657,0.6007,0.6332
29.4,-0.0024,0.5415,0.547,0.7419,0.3925,0.5672,0.6384,0.6076,0.623,0.6672,0.597,0.6321
29.5,-0.0078,0.5327,0.5464,0.7241,0.3925,0.5583,0.6538,0.5952,0.6245,0.6678,0.5925,0.6302
29.6,-0.0176,0.5234,0.5435,0.7045,0.3923,0.5484,0.6675,0.5831,0.6253,0.6678,0.5878,0.6278
29.7,-0.031,0.5138,0.5386,0.6836,0.392,0.5378,0.6789,0.5721,0.6255,0.6676,0.5837,0.6256
29.8,-0.0469,0.504,0.5325,0.6616,0.3919,0.5268,0.688,0.5633,0.6257,0.6677,0.5814,0.6246
29.9,-0.0648,0.4942,0.5259,0.6386,0.3918,0.5152,0.6942,0.5567,0.6254,0.6689,0.5819,0.6254
30,-0.0843,0.4841,0.5193,0.6143,0.3912,0.5027,0.6963,0.5517,0.624,0.6714,0.5856,0.6285
30.1,-0.1051,0.4737,0.5125,0.5884,0.3894,0.4889,0.6938,0.5473,0.6205,0.6759,0.5927,0.6343
30.2,-0.1262,0.4632,0.5059,0.561,0.3865,0.4738,0.6872,0.5433,0.6153,0.6825,0.6032,0.6428
30.3,-0.1455,0.453,0.4999,0.5322,0.3834,0.4578,0.678,0.5405,0.6092,0.6914,0.6175,0.6545
30.4,-0.161,0.4437,0.4954,0.5025,0.3809,0.4417,0.6678,0.5395,0.6037,0.7024,0.636,0.6692
30.5,-0.17,0.4358,0.4931,0.4726,0.3796,0.4261,0.6579,0.5409,0.5994,0.7154,0.6583,0.6869
30.6,-0.1702,0.43,0.4936,0.4433,0.3801,0.4117,0.649,0.5444,0.5967,0.7303,0.6839,0.7071
30.7,-0.1616,0.4268,0.4964,0.4157,0.3824,0.3991,0.6413,0.5491,0.5952,0.7463,0.7111,0.7287
30.8,-0.1451,0.4266,0.5011,0.3903,0.3867,0.3885,0.6345,0.5543,0.5944,0.7631,0.7386,0.7508
30.9,-0.122,0.429,0.5078,0.3671,0.393,0.38,0.6281,0.5597,0.5939,0.7802,0.7657,0.7729
31,-0.093,0.4338,0.5172,0.3467,0.4014,0.374,0.6223,0.5655,0.5939,0.7977,0.7919,0.7948
31.1,-0.059,0.4412,0.5295,0.33,0.4121,0.371,0.6168,0.5716,0.5942,0.815,0.8167,0.8159
31.2,-0.021,0.4513,0.5442,0.3179,0.4254,0.3716,0.6118,0.5782,0.595,0.8315,0.8392,0.8353
31.3,0.0202,0.4643,0.5607,0.3111,0.4414,0.3762,0.607,0.5854,0.5962,0.8464,0.859,0.8527
31.4,0.064,0.4799,0.5788,0.3102,0.4604,0.3853,0.6026,0.5931,0.5979,0.8599,0.8766,0.8682
31.5,0.1106,0.498,0.5985,0.3161,0.4822,0.3992,0.5993,0.6017,0.6005,0.8726,0.8928,0.8827
31.6,0.1592,0.5183,0.6194,0.3296,0.5062,0.4179,0.5981,0.6111,0.6046,0.8849,0.9083,0.8966
31.7,0.2084,0.5406,0.6405,0.351,0.5311,0.441,0.5997,0.6212,0.6105,0.8961,0.923,0.9096
31.8,0.2562,0.564,0.6602,0.3794,0.5556,0.4675,0.6043,0.6319,0.6181,0.9053,0.9364,0.9208
31.9,0.3013,0.5872,0.6778,0.413,0.5787,0.4959,0.6114,0.6431,0.6272,0.9118,0.9479,0.9298
32,0.3422,0.6091,0.6931,0.4499,0.5995,0.5247,0.62,0.6546,0.6373,0.9156,0.9572,0.9364
32.1,0.3777,0.6292,0.706,0.4884,0.6173,0.5529,0.6296,0.666,0.6478,0.9174,0.9643,0.9409
32.2,0.4063,0.6474,0.7164,0.5267,0.6316,0.5792,0.6397,0.6774,0.6586,0.9175,0.9692,0.9433
32.3,0.4273,0.6636,0.7241,0.5632,0.642,0.6026,0.6503,0.6889,0.6696,0.916,0.972,0.944
32.4,0.4406,0.6774,0.7296,0.5962,0.6485,0.6224,0.661,0.701,0.681,0.9131,0.9732,0.9431
32.5,0.4465,0.6883,0.7336,0.625,0.6513,0.6382,0.6717,0.7135,0.6926,0.9087,0.9732,0.941
32.6,0.4448,0.6959,0.7369,0.649,0.6512,0.6501,0.6828,0.7265,0.7046,0.9032,0.9722,0.9377
32.7,0.4355,0.7006,0.7396,0.6686,0.6492,0.6589,0.6947,0.7399,0.7173,0.8964,0.9696,0.933
32.8,0.4199,0.7027,0.7415,0.6839,0.6463,0.6651,0.7083,0.7532,0.7307,0.8886,0.9654,0.927
32.9,0.4001,0.7025,0.7424,0.6956,0.6436,0.6696,0.7238,0.7659,0.7448,0.8805,0.9594,0.9199
33,0.3781,0.7003,0.7426,0.7045,0.6414,0.673,0.7408,0.7772,0.759,0.8726,0.952,0.9123
33.1,0.3545,0.6965,0.7422,0.7114,0.6396,0.6755,0.7585,0.7861,0.7723,0.8651,0.9434,0.9043
33.2,0.329,0.6915,0.7406,0.7166,0.6378,0.6772,0.7754,0.7915,0.7835,0.8576,0.9334,0.8955
33.3,0.3015,0.6858,0.7369,0.7199,0.6356,0.6777,0.7902,0.7919,0.791,0.8497,0.9209,0.8853
33.4,0.2731,0.68,0.7304,0.7212,0.6328,0.677,0.8023,0.7867,0.7945,0.841,0.9052,0.8731
33.5,0.2455,0.6748,0.7206,0.7205,0.6296,0.675,0.812,0.7767,0.7944,0.8318,0.8866,0.8592
33.6,0.219,0.6712,0.7076,0.7182,0.6262,0.6722,0.8194,0.7634,0.7914,0.8223,0.8657,0.844
33.7,0.1933,0.6697,0.6917,0.7148,0.6224,0.6686,0.8242,0.7477,0.786,0.8126,0.8428,0.8277
33.8,0.1677,0.6703,0.6733,0.7103,0.6181,0.6642,0.8252,0.7299,0.7775,0.8024,0.8178,0.8101
33.9,0.1429,0.6728,0.6522,0.7048,0.6134,0.6591,0.8214,0.7097,0.7656,0.7919,0.7906,0.7912
34,0.1201,0.6775,0.6285,0.6989,0.6089,0.6539,0.8125,0.6876,0.75,0.7809,0.7617,0.7713
34.1,0.0994,0.6847,0.6022,0.6935,0.6058,0.6497,0.7988,0.6645,0.7317,0.7695,0.7322,0.7508
34.2,0.0806,0.6943,0.5735,0.6894,0.6048,0.6471,0.7816,0.6414,0.7115,0.7576,0.7031,0.7304
34.3,0.0635,0.7059,0.5432,0.6869,0.6061,0.6465,0.7619,0.6191,0.6905,0.745,0.6755,0.7103
34.4,0.0482,0.7183,0.5116,0.6858,0.6091,0.6474,0.7397,0.5977,0.6687,0.7315,0.6493,0.6904
34.5,0.0359,0.7305,0.4792,0.6861,0.6127,0.6494,0.7152,0.5767,0.646,0.717,0.6246,0.6708
34.6,0.0276,0.7413,0.446,0.6875,0.6159,0.6517,0.6889,0.5559,0.6224,0.7018,0.6014,0.6516
34.7,0.0242,0.75,0.4129,0.6903,0.618,0.6541,0.6621,0.5347,0.5984,0.6863,0.58,0.6331
34.8,0.0262,0.7558,0.3806,0.6944,0.6181,0.6563,0.6361,0.5132,0.5747,0.6707,0.5606,0.6157
34.9,0.0329,0.7585,0.3502,0.6998,0.616,0.6579,0.612,0.4914,0.5517,0.6549,0.5429,0.5989
35,0.0429,0.758,0.3223,0.7061,0.6116,0.6588,0.5899,0.469,0.5294,0.6383,0.5258,0.5821
35.1,0.0547,0.754,0.2974,0.7128,0.605,0.6589,0.5694,0.4461,0.5077,0.6207,0.5089,0.5648
35.2,0.0678,0.7458,0.2756,0.7187,0.5965,0.6576,0.5504,0.4225,0.4865,0.6023,0.4925,0.5474
35.3,0.082,0.7333,0.2572,0.7227,0.586,0.6544,0.5334,0.3986,0.466,0.5838,0.4767,0.5302
35.4,0.0967,0.7168,0.2424,0.7245,0.5737,0.6491,0.5201,0.3751,0.4476,0.5659,0.4616,0.5138
35.5,0.1113,0.6979,0.2321,0.7248,0.5601,0.6424,0.5126,0.3532,0.4329,0.5494,0.447,0.4982
35.6,0.1256,0.6777,0.2267,0.7242,0.546,0.6351,0.5117,0.3343,0.423,0.5347,0.433,0.4838
35.7,0.1398,0.6568,0.2263,0.7232,0.5318,0.6275,0.5175,0.3197,0.4186,0.5221,0.42,0.4711
35.8,0.1542,0.635,0.2308,0.7211,0.5175,0.6193,0.5295,0.3104,0.42,0.512,0.4086,0.4603
35.9,0.1682,0.6126,0.2402,0.7185,0.5035,0.611,0.547,0.3076,0.4273,0.5046,0.399,0.4518
36,0.1807,0.5904,0.2542,0.7165,0.4902,0.6033,0.5694,0.3122,0.4408,0.5005,0.3912,0.4459
36.1,0.1912,0.5691,0.2721,0.7168,0.4783,0.5976,0.5958,0.3246,0.4602,0.5004,0.3853,0.4429
36.2,0.2006,0.549,0.2928,0.7198,0.4673,0.5935,0.6245,0.3443,0.4844,0.5049,0.3824,0.4437
36.3,0.21,0.5299,0.3156,0.7246,0.4561,0.5903,0.653,0.3702,0.5116,0.5145,0.3834,0.449
36.4,0.2184,0.5122,0.3403,0.7304,0.4439,0.5871,0.6792,0.4014,0.5403,0.5294,0.3893,0.4593
36.5,0.2237,0.4968,0.3672,0.7368,0.4313,0.584,0.7017,0.4375,0.5696,0.5493,0.4001,0.4747
36.6,0.224,0.485,0.3967,0.7442,0.4197,0.5819,0.7207,0.4781,0.5994,0.574,0.4154,0.4947
36.7,0.2205,0.4771,0.4289,0.7524,0.4104,0.5814,0.7366,0.5218,0.6292,0.6031,0.4345,0.5188
36.8,0.215,0.4731,0.4635,0.7618,0.404,0.5829,0.7499,0.5665,0.6582,0.6361,0.4568,0.5464
36.9,0.2089,0.4727,0.5,0.7731,0.4007,0.5869,0.7601,0.6101,0.6851,0.6723,0.4813,0.5768
37,0.201,0.476,0.5373,0.7872,0.401,0.5941,0.7662,0.6504,0.7083,0.7101,0.507,0.6086
37.1,0.1905,0.4826,0.5741,0.8045,0.4054,0.6049,0.7672,0.6856,0.7264,0.7474,0.5326,0.64
37.2,0.1784,0.4916,0.609,0.8243,0.4138,0.619,0.7629,0.7147,0.7388,0.7824,0.5572,0.6698
37.3,0.1667,0.5018,0.6411,0.845,0.4253,0.6351,0.7542,0.7375,0.7458,0.8134,0.5803,0.6969
37.4,0.1564,0.5122,0.6697,0.8652,0.4383,0.6518,0.7426,0.7542,0.7484,0.8394,0.6014,0.7204
37.5,0.1465,0.5223,0.6942,0.8837,0.451,0.6674,0.7296,0.7658,0.7477,0.8592,0.6194,0.7393
37.6,0.136,0.5311,0.7144,0.8986,0.462,0.6803,0.7155,0.7726,0.744,0.8715,0.6328,0.7521
37.7,0.1245,0.5369,0.7302,0.9078,0.4704,0.6891,0.6997,0.7747,0.7372,0.8757,0.6405,0.7581
37.8,0.113,0.5384,0.7414,0.9094,0.4753,0.6923,0.6815,0.772,0.7267,0.8721,0.642,0.7571
37.9,0.101,0.5351,0.7478,0.9023,0.4763,0.6893,0.6605,0.7642,0.7123,0.8613,0.6372,0.7492
38,0.087,0.5279,0.7492,0.8868,0.4736,0.6802,0.6367,0.7516,0.6942,0.8438,0.6259,0.7348
38.1,0.0685,0.5183,0.7453,0.8635,0.4683,0.6659,0.6108,0.7352,0.673,0.8192,0.6084,0.7138
38.2,0.0444,0.5068,0.7364,0.8325,0.4612,0.6468,0.5831,0.7158,0.6494,0.7876,0.5857,0.6867
38.3,0.0145,0.4936,0.7226,0.7937,0.453,0.6234,0.5539,0.6942,0.6241,0.7493,0.5595,0.6544
38.4,-0.0212,0.4789,0.7044,0.7479,0.4439,0.5959,0.5238,0.671,0.5974,0.7061,0.5323,0.6192
38.5,-0.0619,0.4635,0.6824,0.697,0.4347,0.5659,0.4934,0.6467,0.57,0.6606,0.5061,0.5834
38.6,-0.1063,0.4492,0.6578,0.6443,0.4262,0.5353,0.4639,0.6222,0.543,0.6157,0.4829,0.5493
38.7,-0.1512,0.4376,0.6317,0.5931,0.4195,0.5063,0.4364,0.5986,0.5175,0.574,0.4638,0.5189
38.8,-0.1933,0.4298,0.6061,0.5461,0.4154,0.4807,0.4119,0.5773,0.4946,0.5379,0.4497,0.4938
38.9,-0.2298,0.4261,0.5829,0.5055,0.4138,0.4597,0.3911,0.5592,0.4751,0.5093,0.4416,0.4754
39,-0.26,0.4265,0.5632,0.4724,0.4147,0.4436,0.3738,0.5451,0.4595,0.489,0.44,0.4645
39.1,-0.2834,0.4299,0.547,0.4468,0.4175,0.4322,0.3602,0.5351,0.4476,0.4768,0.4444,0.4606
39.2,-0.2993,0.4351,0.5335,0.4281,0.4218,0.425,0.3503,0.5284,0.4393,0.4717,0.4534,0.4626
39.3,-0.3067,0.4415,0.522,0.416,0.4273,0.4216,0.3444,0.5238,0.4341,0.4732,0.4659,0.4695
39.4,-0.3051,0.4487,0.5121,0.4102,0.4337,0.4219,0.3424,0.5203,0.4314,0.4808,0.481,0.4809
39.5,-0.2945,0.4572,0.504,0.41,0.4406,0.4253,0.3443,0.5171,0.4307,0.4943,0.4985,0.4964
39.6,-0.2757,0.4675,0.4975,0.4145,0.4474,0.431,0.3502,0.5137,0.4319,0.5126,0.5177,0.5152
39.7,-0.2492,0.4797,0.4922,0.4228,0.4534,0.4381,0.3597,0.5097,0.4347,0.5348,0.5377,0.5362
39.8,-0.2154,0.494,0.4877,0.4346,0.4584,0.4465,0.3723,0.5051,0.4387,0.5599,0.5572,0.5586
39.9,-0.1754,0.5096,0.4829,0.4493,0.4621,0.4557,0.3874,0.4993,0.4434,0.5874,0.5755,0.5814
40,-0.1307,0.5254,0.4769,0.4658,0.4642,0.465,0.4041,0.4917,0.4479,0.6165,0.5919,0.6042
40.1,-0.0831,0.5399,0.4687,0.4818,0.4633,0.4725,0.4223,0.4808,0.4515,0.6465,0.606,0.6263
40.2,-0.0345,0.5526,0.4577,0.4961,0.4591,0.4776,0.4413,0.4663,0.4538,0.6767,0.6176,0.6471
40.3,0.0124,0.5636,0.4442,0.5083,0.4523,0.4803,0.4608,0.4485,0.4547,0.7061,0.6265,0.6663
40.4,0.0549,0.5734,0.4291,0.5186,0.4442,0.4814,0.4802,0.4286,0.4544,0.7338,0.6333,0.6835
40.5,0.0911,0.5819,0.4138,0.5263,0.4347,0.4805,0.4989,0.4075,0.4532,0.7584,0.6382,0.6983
40.6,0.1203,0.5883,0.3995,0.5299,0.423,0.4765,0.5165,0.3857,0.4511,0.7787,0.6412,0.7099
40.7,0.1428,0.5923,0.387,0.5287,0.4075,0.4681,0.5327,0.3635,0.4481,0.7942,0.6419,0.718
40.8,0.1586,0.5944,0.3771,0.5233,0.3882,0.4558,0.5472,0.3411,0.4442,0.8042,0.6397,0.7219
40.9,0.1674,0.5958,0.3706,0.5157,0.3668,0.4413,0.5592,0.3193,0.4393,0.808,0.634,0.721
41,0.1693,0.5968,0.3684,0.5067,0.3447,0.4257,0.5678,0.2986,0.4332,0.8047,0.6248,0.7148
41.1,0.1649,0.5973,0.3712,0.4962,0.3221,0.4091,0.5725,0.2796,0.426,0.7941,0.6124,0.7033
41.2,0.1551,0.5974,0.3785,0.4832,0.2986,0.3909,0.5736,0.2629,0.4182,0.7775,0.5974,0.6875
41.3,0.1396,0.5986,0.3899,0.4702,0.2758,0.373,0.5725,0.2494,0.411,0.7565,0.5812,0.6688
41.4,0.1194,0.603,0.405,0.4609,0.2571,0.359,0.5708,0.2407,0.4057,0.7324,0.565,0.6487
41.5,0.0985,0.6115,0.4237,0.4589,0.2461,0.3525,0.5699,0.2378,0.4039,0.7058,0.5505,0.6281
41.6,0.0823,0.6237,0.4456,0.4647,0.2433,0.354,0.5701,0.2412,0.4056,0.6778,0.5383,0.6081
41.7,0.0754,0.6385,0.4695,0.4774,0.2474,0.3624,0.5709,0.2501,0.4105,0.6498,0.5281,0.589
41.8,0.0791,0.6549,0.4941,0.4953,0.2561,0.3757,0.5719,0.2631,0.4175,0.6232,0.5188,0.571
41.9,0.0922,0.6718,0.5189,0.5169,0.2682,0.3925,0.5731,0.2791,0.4261,0.5988,0.5098,0.5543
42,0.1127,0.6874,0.5436,0.5393,0.2824,0.4109,0.5745,0.2976,0.4361,0.577,0.5016,0.5393
42.1,0.1399,0.6995,0.5678,0.5581,0.2972,0.4277,0.5765,0.3179,0.4472,0.5576,0.495,0.5263
42.2,0.1728,0.707,0.5905,0.5697,0.3108,0.4402,0.5788,0.3385,0.4587,0.5407,0.4905,0.5156
42.3,0.2105,0.7097,0.6104,0.5722,0.322,0.4471,0.5808,0.3576,0.4692,0.5262,0.488,0.5071
