Time,Nab Credit Card 15 TVC - TS,Nab Credit Card 15 TVC - TS,Nab Credit Card 15 TVC - TS,Nab Credit Card 15 TVC - TS,Nab Credit Card 15 TVC - TS,Nab Credit Card 15 TVC - TS,Nab Credit Card 15 TVC - TS,Nab Credit Card 15 TVC - TS,Nab Credit Card 15 TVC - TS,Nab Credit Card 15 TVC - TS,Nab Credit Card 15 TVC - TS,Nab Credit Card 15 TVC - TS
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
9.8,-0.1278,0.4698,0.6116,0.8121,0.5416,0.6768,0.5964,0.602,0.5992,0.5661,0.539,0.5525
9.9,-0.1621,0.4577,0.6093,0.8047,0.5375,0.6711,0.5831,0.5902,0.5867,0.5531,0.5269,0.54
10,-0.1977,0.4479,0.6093,0.7982,0.5365,0.6673,0.5707,0.5808,0.5757,0.5416,0.5176,0.5296
10.1,-0.2332,0.4404,0.6116,0.7927,0.5381,0.6654,0.5593,0.5737,0.5665,0.5318,0.5109,0.5214
10.2,-0.2675,0.4352,0.6159,0.7884,0.5419,0.6652,0.5493,0.5688,0.559,0.5236,0.5064,0.515
10.3,-0.299,0.4319,0.6216,0.785,0.5472,0.6661,0.5405,0.5659,0.5532,0.5168,0.5037,0.5102
10.4,-0.3271,0.4302,0.6282,0.7824,0.5535,0.6679,0.533,0.5646,0.5488,0.5113,0.5021,0.5067
10.5,-0.351,0.4301,0.6349,0.7807,0.5603,0.6705,0.5266,0.5649,0.5457,0.5067,0.5013,0.504
10.6,-0.3698,0.4319,0.6412,0.7802,0.5674,0.6738,0.5213,0.5665,0.5439,0.5029,0.5006,0.5017
10.7,-0.3829,0.4357,0.6466,0.781,0.5742,0.6776,0.5169,0.569,0.543,0.4996,0.4996,0.4996
10.8,-0.3893,0.4413,0.6506,0.7829,0.5801,0.6815,0.513,0.572,0.5425,0.4966,0.4983,0.4974
10.9,-0.3891,0.4486,0.6528,0.7854,0.5844,0.6849,0.5093,0.5749,0.5421,0.4937,0.4965,0.4951
11,-0.3827,0.4572,0.6532,0.7882,0.5869,0.6876,0.5054,0.5773,0.5414,0.4905,0.4942,0.4924
11.1,-0.3712,0.4669,0.6519,0.7908,0.5878,0.6893,0.5012,0.579,0.5401,0.4866,0.4912,0.4889
11.2,-0.3555,0.4773,0.6492,0.7929,0.5873,0.6901,0.4969,0.58,0.5385,0.4818,0.4876,0.4847
11.3,-0.3365,0.4879,0.6456,0.7941,0.5855,0.6898,0.4928,0.5807,0.5367,0.4765,0.4834,0.4799
11.4,-0.3146,0.4983,0.6416,0.7946,0.5823,0.6884,0.4891,0.5813,0.5352,0.4709,0.479,0.4749
11.5,-0.2902,0.508,0.6375,0.7943,0.5771,0.6857,0.4862,0.5821,0.5341,0.4654,0.4747,0.4701
11.6,-0.2637,0.5165,0.6331,0.7934,0.5697,0.6816,0.484,0.5826,0.5333,0.46,0.4708,0.4654
11.7,-0.2355,0.5234,0.6281,0.7916,0.5597,0.6757,0.482,0.5819,0.5319,0.4543,0.467,0.4606
11.8,-0.2058,0.5283,0.622,0.7884,0.5468,0.6676,0.4799,0.5792,0.5295,0.4477,0.463,0.4554
11.9,-0.1754,0.5309,0.6144,0.7834,0.531,0.6572,0.4771,0.5742,0.5256,0.4401,0.4586,0.4493
12,-0.1449,0.5311,0.6057,0.7768,0.5128,0.6448,0.4737,0.5669,0.5203,0.4314,0.4537,0.4426
12.1,-0.115,0.5293,0.5966,0.769,0.4935,0.6312,0.4701,0.5581,0.5141,0.4222,0.449,0.4356
12.2,-0.0861,0.5256,0.5879,0.7606,0.4745,0.6175,0.4667,0.5486,0.5076,0.4129,0.445,0.4289
12.3,-0.0582,0.5206,0.5804,0.7521,0.4569,0.6045,0.4638,0.5387,0.5013,0.404,0.442,0.423
12.4,-0.0316,0.5147,0.5746,0.7436,0.4415,0.5926,0.4616,0.529,0.4953,0.3959,0.44,0.4179
12.5,-0.0067,0.5084,0.5707,0.7358,0.4288,0.5823,0.4601,0.5198,0.49,0.3888,0.439,0.4139
12.6,0.0165,0.5022,0.5691,0.7291,0.4191,0.5741,0.4597,0.5122,0.4859,0.383,0.439,0.411
12.7,0.0384,0.4965,0.57,0.7242,0.413,0.5686,0.4607,0.5067,0.4837,0.379,0.4401,0.4095
12.8,0.0596,0.4915,0.5734,0.7213,0.4103,0.5658,0.4634,0.504,0.4837,0.3771,0.4424,0.4098
12.9,0.0798,0.4874,0.5793,0.7205,0.4109,0.5657,0.4677,0.5042,0.486,0.3774,0.4461,0.4117
13,0.0982,0.4843,0.5872,0.7217,0.4141,0.5679,0.4734,0.5069,0.4902,0.3796,0.4506,0.4151
13.1,0.1142,0.482,0.5963,0.7243,0.4192,0.5717,0.48,0.5119,0.4959,0.3833,0.4555,0.4194
13.2,0.1277,0.4806,0.6059,0.728,0.4253,0.5767,0.4871,0.5189,0.503,0.3881,0.4601,0.4241
13.3,0.139,0.4797,0.6154,0.7327,0.4321,0.5824,0.4943,0.5275,0.5109,0.3935,0.4641,0.4288
13.4,0.1479,0.4794,0.6243,0.7383,0.439,0.5886,0.5013,0.5373,0.5193,0.3994,0.4672,0.4333
13.5,0.1542,0.4797,0.6317,0.7446,0.4458,0.5952,0.5077,0.5475,0.5276,0.4057,0.4695,0.4376
13.6,0.1579,0.4805,0.6373,0.7514,0.4522,0.6018,0.5134,0.5576,0.5355,0.4122,0.4711,0.4416
13.7,0.1585,0.4815,0.6407,0.7587,0.4579,0.6083,0.5181,0.5675,0.5428,0.4186,0.4722,0.4454
13.8,0.1555,0.4827,0.6416,0.7662,0.4626,0.6144,0.5221,0.5767,0.5494,0.4249,0.4728,0.4488
13.9,0.1489,0.4843,0.6401,0.7741,0.466,0.62,0.5252,0.5851,0.5551,0.4308,0.4731,0.4519
14,0.1386,0.4862,0.636,0.7823,0.4679,0.6251,0.5275,0.592,0.5597,0.4364,0.473,0.4547
14.1,0.1247,0.4884,0.6295,0.791,0.4683,0.6297,0.5289,0.5971,0.563,0.442,0.4727,0.4574
14.2,0.1072,0.4905,0.6209,0.7997,0.4675,0.6336,0.5296,0.6004,0.565,0.448,0.4724,0.4602
14.3,0.0867,0.4922,0.6109,0.8084,0.4656,0.637,0.5298,0.6021,0.566,0.4547,0.4724,0.4635
14.4,0.0641,0.4935,0.6001,0.8167,0.4628,0.6397,0.5301,0.6026,0.5664,0.4626,0.4732,0.4679
14.5,0.0408,0.4943,0.5893,0.8245,0.4594,0.6419,0.531,0.6023,0.5667,0.4721,0.475,0.4736
14.6,0.0178,0.4947,0.5787,0.8318,0.4555,0.6437,0.5328,0.6016,0.5672,0.4835,0.4783,0.4809
14.7,-0.004,0.4943,0.5685,0.8383,0.4514,0.6448,0.5356,0.6006,0.5681,0.4965,0.4832,0.4899
14.8,-0.0241,0.4927,0.5585,0.8435,0.4471,0.6453,0.5391,0.5992,0.5692,0.5109,0.4897,0.5003
14.9,-0.0419,0.4898,0.5489,0.8472,0.4429,0.645,0.5431,0.5974,0.5702,0.5261,0.4974,0.5118
