Time,Mondella Bathroom Range 15 TVC,Mondella Bathroom Range 15 TVC,Mondella Bathroom Range 15 TVC,Mondella Bathroom Range 15 TVC,Mondella Bathroom Range 15 TVC,Mondella Bathroom Range 15 TVC,Mondella Bathroom Range 15 TVC,Mondella Bathroom Range 15 TVC,Mondella Bathroom Range 15 TVC,Mondella Bathroom Range 15 TVC,Mondella Bathroom Range 15 TVC,Mondella Bathroom Range 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
8.4,-0.412,0.532,0.614,0.47,0.6467,0.5584,0.4191,0.5585,0.4888,0.6025,0.563,0.5828
8.5,-0.4305,0.5321,0.632,0.4673,0.6564,0.5619,0.4464,0.5874,0.5169,0.612,0.5778,0.5949
8.6,-0.4401,0.5315,0.6497,0.4658,0.6626,0.5642,0.4754,0.6142,0.5448,0.6234,0.5936,0.6085
8.7,-0.4412,0.5307,0.6666,0.4653,0.6654,0.5653,0.5051,0.6381,0.5716,0.636,0.6099,0.623
8.8,-0.4346,0.53,0.6822,0.4656,0.6651,0.5654,0.5344,0.6585,0.5965,0.6494,0.6266,0.638
8.9,-0.4214,0.5296,0.6959,0.4668,0.6623,0.5646,0.5623,0.6752,0.6187,0.6631,0.6434,0.6532
9,-0.4022,0.5297,0.7073,0.4685,0.6572,0.5629,0.5874,0.6881,0.6377,0.6762,0.6597,0.6679
9.1,-0.3781,0.5304,0.7157,0.4704,0.65,0.5602,0.609,0.697,0.653,0.6881,0.6744,0.6812
9.2,-0.3503,0.5315,0.7208,0.4723,0.6408,0.5566,0.6264,0.7018,0.6641,0.6981,0.6868,0.6924
9.3,-0.319,0.5331,0.7227,0.4745,0.6305,0.5525,0.6398,0.703,0.6714,0.7061,0.6965,0.7013
9.4,-0.2839,0.535,0.7216,0.4774,0.6196,0.5485,0.6488,0.701,0.6749,0.7119,0.7037,0.7078
9.5,-0.245,0.5369,0.718,0.4814,0.6088,0.5451,0.6534,0.6962,0.6748,0.7156,0.7082,0.7119
9.6,-0.2031,0.5382,0.7117,0.4864,0.5982,0.5423,0.6531,0.6888,0.671,0.717,0.7099,0.7134
9.7,-0.1597,0.5385,0.7027,0.4923,0.5879,0.5401,0.6479,0.6789,0.6634,0.7157,0.7085,0.7121
9.8,-0.1172,0.5373,0.691,0.4983,0.5782,0.5383,0.6378,0.6666,0.6522,0.7118,0.7045,0.7081
9.9,-0.077,0.5345,0.6771,0.504,0.5692,0.5366,0.6235,0.6525,0.638,0.7056,0.699,0.7023
10,-0.0402,0.5302,0.6616,0.509,0.5609,0.5349,0.6054,0.6371,0.6212,0.6977,0.6928,0.6953
10.1,-0.0072,0.5245,0.6448,0.5132,0.5532,0.5332,0.5842,0.6206,0.6024,0.6882,0.6863,0.6873
10.2,0.0216,0.5176,0.6266,0.5163,0.5457,0.531,0.5606,0.6033,0.582,0.6772,0.6793,0.6782
10.3,0.046,0.5094,0.6075,0.5184,0.5382,0.5283,0.5353,0.5854,0.5604,0.6645,0.6717,0.6681
10.4,0.0658,0.5002,0.5881,0.5195,0.5312,0.5253,0.5093,0.5675,0.5384,0.6505,0.6635,0.657
10.5,0.0806,0.4902,0.5697,0.52,0.5254,0.5227,0.4836,0.5505,0.5171,0.636,0.6557,0.6459
10.6,0.09,0.4795,0.5535,0.5199,0.5212,0.5205,0.4595,0.5349,0.4972,0.6218,0.6491,0.6354
10.7,0.094,0.4686,0.5401,0.5192,0.5191,0.5192,0.4379,0.5212,0.4795,0.6087,0.6441,0.6264
10.8,0.0924,0.4577,0.5301,0.5181,0.5195,0.5188,0.4194,0.5099,0.4647,0.5974,0.6411,0.6192
10.9,0.0856,0.4475,0.5238,0.5171,0.523,0.52,0.4047,0.5012,0.4529,0.5885,0.6402,0.6144
11,0.0742,0.4384,0.5212,0.5166,0.53,0.5233,0.3938,0.4953,0.4446,0.5822,0.6417,0.6119
11.1,0.0591,0.4307,0.5223,0.5169,0.5407,0.5288,0.3866,0.4922,0.4394,0.5785,0.6452,0.6119
11.2,0.0414,0.4243,0.5261,0.5175,0.5543,0.5359,0.3827,0.4913,0.437,0.5773,0.6503,0.6138
11.3,0.0221,0.419,0.5314,0.5179,0.5696,0.5437,0.3812,0.4919,0.4366,0.5779,0.6561,0.617
11.4,0.0016,0.4144,0.5374,0.5176,0.5855,0.5516,0.3815,0.4934,0.4374,0.5798,0.6621,0.6209
11.5,-0.0202,0.4108,0.5437,0.5164,0.6018,0.5591,0.3826,0.4959,0.4392,0.5825,0.668,0.6252
11.6,-0.0432,0.4081,0.5503,0.5144,0.6179,0.5661,0.3842,0.4995,0.4418,0.586,0.6736,0.6298
11.7,-0.0667,0.4065,0.5574,0.5115,0.6335,0.5725,0.3859,0.5041,0.445,0.5901,0.6788,0.6344
11.8,-0.0893,0.4061,0.5648,0.508,0.648,0.578,0.3876,0.5096,0.4486,0.5948,0.6836,0.6392
11.9,-0.1093,0.4068,0.5722,0.5039,0.6609,0.5824,0.3896,0.5153,0.4525,0.6001,0.6878,0.644
12,-0.1255,0.4085,0.5791,0.4991,0.6718,0.5854,0.3919,0.5212,0.4565,0.6059,0.6917,0.6488
12.1,-0.1368,0.411,0.5852,0.4934,0.6801,0.5868,0.3942,0.5271,0.4606,0.6119,0.6953,0.6536
12.2,-0.1427,0.4138,0.5901,0.4869,0.6851,0.586,0.3965,0.5328,0.4647,0.6179,0.6985,0.6582
12.3,-0.1422,0.4167,0.594,0.48,0.6863,0.5832,0.3993,0.5383,0.4688,0.624,0.7014,0.6627
12.4,-0.1349,0.4198,0.5971,0.4732,0.6836,0.5784,0.4029,0.5436,0.4733,0.6302,0.7041,0.6671
12.5,-0.1205,0.4237,0.5999,0.4669,0.6774,0.5722,0.4076,0.5488,0.4782,0.6367,0.7065,0.6716
12.6,-0.0989,0.4287,0.6026,0.4613,0.6682,0.5648,0.4133,0.5537,0.4835,0.6433,0.7084,0.6758
12.7,-0.0699,0.4352,0.6051,0.4565,0.6562,0.5564,0.4196,0.5582,0.4889,0.6496,0.7094,0.6795
12.8,-0.0333,0.4433,0.6075,0.4524,0.6415,0.5469,0.4263,0.5621,0.4942,0.6553,0.7092,0.6822
12.9,0.0094,0.453,0.6094,0.4489,0.6242,0.5366,0.4333,0.5649,0.4991,0.6598,0.7075,0.6836
13,0.0559,0.464,0.6108,0.4459,0.6052,0.5255,0.4408,0.5666,0.5037,0.6628,0.7043,0.6835
13.1,0.1038,0.4762,0.6117,0.4433,0.5855,0.5144,0.4488,0.5672,0.508,0.6639,0.6999,0.6819
13.2,0.1513,0.4894,0.6123,0.4416,0.5665,0.5041,0.4573,0.5668,0.5121,0.6628,0.6946,0.6787
13.3,0.1973,0.5038,0.6123,0.4414,0.55,0.4957,0.4662,0.5657,0.5159,0.6596,0.6882,0.6739
13.4,0.2406,0.5192,0.6117,0.4437,0.5372,0.4905,0.4753,0.5642,0.5197,0.6542,0.6804,0.6673
13.5,0.2789,0.5353,0.6108,0.4487,0.5289,0.4888,0.4848,0.5626,0.5237,0.6469,0.6713,0.6591
13.6,0.3102,0.5517,0.6102,0.4561,0.5256,0.4908,0.4946,0.5614,0.528,0.6381,0.6612,0.6497
13.7,0.333,0.5676,0.6103,0.4651,0.5271,0.4961,0.5046,0.5605,0.5326,0.6285,0.6508,0.6396
13.8,0.3469,0.5825,0.611,0.4753,0.5335,0.5044,0.5148,0.5601,0.5375,0.6184,0.6402,0.6293
13.9,0.3522,0.5961,0.6117,0.4864,0.5444,0.5154,0.5252,0.5603,0.5427,0.6082,0.6292,0.6187
14,0.3493,0.6082,0.6118,0.4979,0.5588,0.5284,0.5356,0.5613,0.5484,0.5981,0.6172,0.6077
14.1,0.3387,0.6183,0.6107,0.5094,0.5756,0.5425,0.546,0.5631,0.5545,0.5881,0.6039,0.596
14.2,0.3214,0.6257,0.6076,0.5204,0.5931,0.5568,0.556,0.5655,0.5607,0.5784,0.5892,0.5838
14.3,0.2985,0.6301,0.6023,0.5307,0.6103,0.5705,0.5651,0.5681,0.5666,0.5693,0.5731,0.5712
14.4,0.2716,0.6319,0.5949,0.5404,0.6264,0.5834,0.5733,0.5709,0.5721,0.5612,0.5559,0.5586
14.5,0.2418,0.6318,0.5858,0.5497,0.6413,0.5955,0.5805,0.574,0.5772,0.5545,0.5379,0.5462
14.6,0.2104,0.6307,0.5756,0.5588,0.6548,0.6068,0.5871,0.5776,0.5824,0.5494,0.5194,0.5344
14.7,0.1782,0.629,0.5652,0.5677,0.6669,0.6173,0.5931,0.5821,0.5876,0.5463,0.501,0.5236
14.8,0.1459,0.6271,0.5552,0.5766,0.6775,0.627,0.5984,0.5873,0.5929,0.5452,0.4835,0.5144
14.9,0.1141,0.6253,0.5459,0.5854,0.6867,0.6361,0.603,0.5927,0.5978,0.5462,0.4675,0.5069
