Time,Google - Pixel 8 Pro 30 TVC,Google - Pixel 8 Pro 30 TVC,Google - Pixel 8 Pro 30 TVC,Google - Pixel 8 Pro 30 TVC,Google - Pixel 8 Pro 30 TVC,Google - Pixel 8 Pro 30 TVC,Google - Pixel 8 Pro 30 TVC,Google - Pixel 8 Pro 30 TVC,Google - Pixel 8 Pro 30 TVC,Google - Pixel 8 Pro 30 TVC,Google - Pixel 8 Pro 30 TVC,Google - Pixel 8 Pro 30 TVC
21.2,0.2445,0.6879,0.5765,0.6062,0.585,0.5956,0.7767,0.7353,0.756,0.4662,0.4078,0.437
21.3,0.2343,0.6681,0.5882,0.5877,0.5879,0.5878,0.7867,0.7523,0.7695,0.4778,0.4364,0.4571
21.4,0.2201,0.6461,0.5993,0.5677,0.588,0.5778,0.795,0.7649,0.78,0.489,0.4639,0.4764
21.5,0.2007,0.622,0.6092,0.5454,0.5844,0.5649,0.8007,0.7724,0.7866,0.4986,0.488,0.4933
21.6,0.1767,0.5958,0.6177,0.5212,0.5765,0.5489,0.8033,0.7746,0.789,0.506,0.5075,0.5067
21.7,0.1513,0.5683,0.6247,0.4962,0.5646,0.5304,0.8029,0.772,0.7875,0.5104,0.5218,0.5161
21.8,0.1279,0.5407,0.6301,0.4722,0.5502,0.5112,0.7999,0.7654,0.7827,0.5118,0.5309,0.5213
21.9,0.1102,0.5145,0.6337,0.4507,0.5346,0.4926,0.7946,0.7554,0.775,0.5096,0.5346,0.5221
22,0.0997,0.4911,0.6355,0.4328,0.5193,0.4761,0.7873,0.7421,0.7647,0.5037,0.5328,0.5183
22.1,0.0958,0.4714,0.6357,0.4193,0.5053,0.4623,0.7785,0.7257,0.7521,0.4944,0.5258,0.5101
22.2,0.0972,0.4557,0.6346,0.4105,0.4937,0.4521,0.7687,0.7068,0.7378,0.482,0.5145,0.4982
22.3,0.1028,0.4442,0.632,0.4063,0.4853,0.4458,0.7582,0.6861,0.7222,0.467,0.4994,0.4832
22.4,0.1116,0.437,0.627,0.4068,0.4812,0.444,0.747,0.664,0.7055,0.4502,0.4808,0.4655
22.5,0.1223,0.4342,0.6193,0.4117,0.4815,0.4466,0.7352,0.6407,0.6879,0.4319,0.4594,0.4456
22.6,0.133,0.436,0.609,0.4207,0.4858,0.4533,0.7227,0.6165,0.6696,0.4133,0.436,0.4246
22.7,0.1421,0.4417,0.5959,0.4335,0.4926,0.463,0.7092,0.5919,0.6505,0.3951,0.4117,0.4034
22.8,0.1496,0.4506,0.5796,0.4497,0.5,0.4749,0.6947,0.5669,0.6308,0.3778,0.3875,0.3826
22.9,0.1572,0.4613,0.5598,0.4692,0.507,0.4881,0.6792,0.5419,0.6106,0.3619,0.3643,0.3631
23,0.167,0.4727,0.5363,0.4916,0.5131,0.5023,0.6632,0.517,0.5901,0.3483,0.3437,0.346
23.1,0.1791,0.4845,0.5098,0.5162,0.5184,0.5173,0.6474,0.4926,0.57,0.338,0.327,0.3325
23.2,0.1915,0.4969,0.4811,0.542,0.5231,0.5325,0.6324,0.469,0.5507,0.332,0.3152,0.3236
23.3,0.2021,0.5101,0.4509,0.5679,0.5274,0.5477,0.6187,0.4467,0.5327,0.3305,0.3085,0.3195
23.4,0.21,0.5241,0.4197,0.5931,0.5315,0.5623,0.6059,0.4255,0.5157,0.3338,0.3064,0.3201
23.5,0.2152,0.5379,0.3874,0.6173,0.5348,0.576,0.5939,0.4051,0.4995,0.3422,0.3083,0.3253
23.6,0.2177,0.5509,0.3545,0.6398,0.5367,0.5883,0.5824,0.3849,0.4836,0.3559,0.3137,0.3348
23.7,0.2167,0.5622,0.3214,0.66,0.5365,0.5982,0.5711,0.3643,0.4677,0.3748,0.3222,0.3485
23.8,0.2116,0.5714,0.2887,0.677,0.5336,0.6053,0.5594,0.3428,0.4511,0.3986,0.3334,0.366
23.9,0.2022,0.5779,0.2568,0.6899,0.5278,0.6088,0.5468,0.3205,0.4336,0.4264,0.3463,0.3863
24,0.189,0.5816,0.2261,0.6982,0.5191,0.6087,0.5325,0.2971,0.4148,0.4566,0.3595,0.408
24.1,0.1726,0.5823,0.1972,0.7013,0.5073,0.6043,0.516,0.2725,0.3943,0.4878,0.3718,0.4298
24.2,0.1535,0.5801,0.1708,0.6985,0.4924,0.5955,0.4976,0.2463,0.372,0.5187,0.3831,0.4509
24.3,0.132,0.576,0.1473,0.6898,0.4751,0.5825,0.4782,0.2189,0.3486,0.5484,0.3932,0.4708
24.4,0.1084,0.5716,0.1274,0.6765,0.4564,0.5665,0.4596,0.1916,0.3256,0.5764,0.4025,0.4894
24.5,0.083,0.5686,0.112,0.6601,0.4378,0.549,0.4434,0.1667,0.305,0.6022,0.4115,0.5069
24.6,0.0562,0.5683,0.1024,0.6422,0.4203,0.5312,0.4308,0.1463,0.2886,0.6258,0.4207,0.5232
24.7,0.0278,0.5712,0.099,0.6234,0.4046,0.514,0.4225,0.1317,0.2771,0.6469,0.4306,0.5387
24.8,-0.0027,0.5775,0.1023,0.6041,0.3914,0.4977,0.4185,0.1237,0.2711,0.6652,0.4423,0.5537
24.9,-0.0346,0.5866,0.1122,0.5843,0.3809,0.4826,0.4188,0.1229,0.2708,0.6811,0.4569,0.569
25,-0.065,0.5985,0.1282,0.5648,0.3735,0.4691,0.4235,0.1294,0.2764,0.6951,0.4755,0.5853
25.1,-0.0924,0.6129,0.1498,0.5465,0.3697,0.4581,0.4327,0.1432,0.2879,0.708,0.4982,0.6031
25.2,-0.117,0.6299,0.1765,0.5302,0.3704,0.4503,0.4462,0.1636,0.3049,0.7198,0.5241,0.622
25.3,-0.1404,0.6491,0.2069,0.5166,0.376,0.4463,0.4628,0.1891,0.326,0.7303,0.5515,0.6409
25.4,-0.1633,0.6701,0.2391,0.5059,0.3872,0.4466,0.4811,0.2181,0.3496,0.7391,0.5788,0.659
25.5,-0.1855,0.6922,0.272,0.4987,0.4044,0.4515,0.4999,0.2489,0.3744,0.7463,0.6054,0.6758
25.6,-0.2053,0.7146,0.304,0.496,0.427,0.4615,0.5184,0.2798,0.3991,0.7515,0.6306,0.691
25.7,-0.221,0.7363,0.3338,0.4988,0.4543,0.4765,0.5361,0.3088,0.4225,0.7546,0.6539,0.7042
25.8,-0.2333,0.7565,0.3603,0.5074,0.4849,0.4962,0.5527,0.3347,0.4437,0.7555,0.6748,0.7151
25.9,-0.2439,0.7744,0.3834,0.5218,0.5176,0.5197,0.5681,0.357,0.4625,0.7541,0.6931,0.7236
26,-0.2544,0.7896,0.4033,0.5411,0.5513,0.5462,0.5823,0.3766,0.4794,0.7507,0.709,0.7298
26.1,-0.2657,0.8023,0.4208,0.5647,0.5856,0.5752,0.5958,0.3943,0.4951,0.7455,0.7223,0.7339
26.2,-0.2779,0.813,0.4374,0.592,0.6211,0.6066,0.6091,0.4112,0.5102,0.7386,0.7327,0.7356
26.3,-0.2908,0.8222,0.4538,0.6225,0.6588,0.6406,0.6229,0.4278,0.5253,0.7301,0.7402,0.7351
26.4,-0.3038,0.8299,0.4707,0.6555,0.699,0.6772,0.6373,0.4443,0.5408,0.72,0.7451,0.7325
26.5,-0.3169,0.8361,0.4881,0.69,0.7416,0.7158,0.6528,0.4613,0.557,0.7081,0.7475,0.7278
26.6,-0.3298,0.8413,0.5065,0.7251,0.786,0.7556,0.6694,0.4797,0.5745,0.6944,0.7476,0.721
26.7,-0.3406,0.8452,0.5262,0.76,0.8312,0.7956,0.6867,0.4997,0.5932,0.6786,0.7449,0.7118
26.8,-0.3472,0.8474,0.5473,0.7936,0.8759,0.8348,0.7041,0.5208,0.6125,0.6608,0.7393,0.7
26.9,-0.3478,0.8473,0.5697,0.8247,0.9183,0.8715,0.7206,0.542,0.6313,0.6413,0.7309,0.6861
27,-0.3412,0.8448,0.5934,0.8521,0.9571,0.9046,0.7352,0.5628,0.649,0.621,0.7206,0.6708
27.1,-0.3258,0.8406,0.6175,0.8751,0.9917,0.9334,0.7479,0.5829,0.6654,0.6007,0.7088,0.6547
27.2,-0.3013,0.8354,0.6414,0.8933,1.0217,0.9575,0.7583,0.6028,0.6805,0.5813,0.6958,0.6386
27.3,-0.268,0.83,0.6644,0.9065,1.0469,0.9767,0.7664,0.6223,0.6943,0.5633,0.6821,0.6227
27.4,-0.2265,0.8242,0.6861,0.9147,1.0671,0.9909,0.7719,0.6404,0.7062,0.5471,0.6685,0.6078
27.5,-0.1773,0.8177,0.706,0.9181,1.082,1.0001,0.7747,0.6558,0.7153,0.5339,0.6563,0.5951
27.6,-0.1218,0.8104,0.7234,0.9174,1.0915,1.0044,0.7754,0.6677,0.7216,0.5256,0.647,0.5863
27.7,-0.0617,0.803,0.7379,0.9139,1.0957,1.0048,0.775,0.6763,0.7256,0.5239,0.6417,0.5828
27.8,0.0006,0.7962,0.75,0.9088,1.0944,1.0016,0.7742,0.6819,0.728,0.5297,0.6408,0.5853
27.9,0.0616,0.7899,0.7598,0.9019,1.0872,0.9946,0.773,0.6841,0.7286,0.5435,0.6443,0.5939
28,0.1182,0.783,0.7671,0.8925,1.0739,0.9832,0.7708,0.6819,0.7264,0.565,0.6517,0.6083
28.1,0.1685,0.775,0.7717,0.8798,1.0544,0.9671,0.7672,0.6743,0.7208,0.5934,0.662,0.6277
28.2,0.2107,0.766,0.7742,0.8637,1.029,0.9463,0.7625,0.6618,0.7122,0.6273,0.6743,0.6508
28.3,0.2435,0.7568,0.7761,0.845,0.9985,0.9218,0.7579,0.6456,0.7018,0.6651,0.6875,0.6763
28.4,0.2657,0.748,0.7783,0.8251,0.9645,0.8948,0.7548,0.627,0.6909,0.7052,0.7007,0.703
28.5,0.276,0.7401,0.7814,0.8052,0.9293,0.8672,0.7536,0.6065,0.6801,0.7452,0.713,0.7291
28.6,0.274,0.7337,0.7854,0.7864,0.8952,0.8408,0.7539,0.5842,0.6691,0.783,0.7243,0.7536
28.7,0.2604,0.7298,0.79,0.7693,0.8632,0.8162,0.7551,0.5606,0.6579,0.8166,0.7343,0.7755
28.8,0.2376,0.7287,0.7948,0.7542,0.833,0.7936,0.7571,0.5367,0.6469,0.8447,0.7432,0.794
28.9,0.2077,0.7296,0.8,0.7412,0.8036,0.7724,0.7606,0.5143,0.6374,0.8659,0.7513,0.8086
29,0.172,0.7315,0.8061,0.7303,0.7749,0.7526,0.7662,0.4951,0.6307,0.8797,0.7586,0.8191
29.1,0.1311,0.7339,0.8139,0.7217,0.7478,0.7348,0.7751,0.481,0.6281,0.8866,0.7658,0.8262
29.2,0.0853,0.7365,0.824,0.7155,0.7232,0.7194,0.7882,0.4736,0.6309,0.8874,0.7734,0.8304
29.3,0.0363,0.739,0.8367,0.7108,0.7012,0.706,0.8052,0.4738,0.6395,0.8826,0.7816,0.8321
29.4,-0.0123,0.741,0.8517,0.7068,0.6807,0.6938,0.8256,0.482,0.6538,0.8726,0.7898,0.8312
29.5,-0.0565,0.7424,0.8683,0.7028,0.661,0.6819,0.8477,0.4975,0.6726,0.8579,0.7974,0.8276
29.6,-0.0941,0.7424,0.8852,0.6983,0.6418,0.6701,0.8699,0.5191,0.6945,0.8388,0.8037,0.8213
29.7,-0.1243,0.7408,0.9012,0.6932,0.6233,0.6583,0.8907,0.5449,0.7178,0.8161,0.8089,0.8125
29.8,-0.1465,0.7382,0.9153,0.6871,0.6053,0.6462,0.9089,0.5734,0.7411,0.7902,0.8128,0.8015
29.9,-0.1596,0.7347,0.9271,0.6792,0.5871,0.6331,0.9235,0.6033,0.7634,0.7617,0.8154,0.7886
