Time,Visa - Behind Every Number There is a Story 30 TVC,Visa - Behind Every Number There is a Story 30 TVC,Visa - Behind Every Number There is a Story 30 TVC,Visa - Behind Every Number There is a Story 30 TVC,Visa - Behind Every Number There is a Story 30 TVC,Visa - Behind Every Number There is a Story 30 TVC,Visa - Behind Every Number There is a Story 30 TVC,Visa - Behind Every Number There is a Story 30 TVC,Visa - Behind Every Number There is a Story 30 TVC,Visa - Behind Every Number There is a Story 30 TVC,Visa - Behind Every Number There is a Story 30 TVC,Visa - Behind Every Number There is a Story 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
11.2,0.3194,0.534,0.6621,0.6087,0.6784,0.6436,0.6838,0.5906,0.6372,0.6209,0.7764,0.6986
11.3,0.3044,0.5486,0.6483,0.6134,0.6835,0.6485,0.6833,0.5906,0.6369,0.6391,0.7821,0.7106
11.4,0.2921,0.5625,0.6323,0.619,0.6876,0.6533,0.6801,0.5906,0.6354,0.6533,0.7827,0.718
11.5,0.2822,0.5759,0.6141,0.6259,0.6914,0.6587,0.6754,0.5905,0.633,0.6626,0.7782,0.7204
11.6,0.2746,0.5888,0.5939,0.6343,0.6954,0.6649,0.67,0.5905,0.6302,0.6667,0.7687,0.7177
11.7,0.2693,0.6011,0.572,0.6439,0.6993,0.6716,0.6641,0.5901,0.6271,0.6656,0.7549,0.7102
11.8,0.2667,0.612,0.5483,0.6534,0.7023,0.6778,0.6574,0.5892,0.6233,0.6591,0.7374,0.6983
11.9,0.2681,0.6206,0.5229,0.661,0.7033,0.6822,0.6492,0.5875,0.6183,0.6472,0.7165,0.6819
12,0.2742,0.6257,0.4957,0.6651,0.7013,0.6832,0.6392,0.5845,0.6118,0.63,0.6924,0.6612
12.1,0.2846,0.6265,0.4672,0.6639,0.6955,0.6797,0.6276,0.5801,0.6039,0.608,0.6656,0.6368
12.2,0.298,0.6224,0.4381,0.6567,0.6857,0.6712,0.6149,0.5747,0.5948,0.5823,0.6373,0.6098
12.3,0.3128,0.6136,0.4094,0.6434,0.6723,0.6579,0.6013,0.5688,0.5851,0.5541,0.6089,0.5815
12.4,0.3278,0.601,0.3818,0.6248,0.656,0.6404,0.5872,0.5629,0.5751,0.5244,0.5817,0.553
12.5,0.3423,0.5857,0.356,0.6017,0.638,0.6198,0.5728,0.5575,0.5651,0.4942,0.5566,0.5254
12.6,0.3549,0.5685,0.3326,0.5744,0.6189,0.5966,0.5587,0.5527,0.5557,0.4648,0.5343,0.4995
12.7,0.363,0.5503,0.3125,0.543,0.5992,0.5711,0.5453,0.5492,0.5473,0.4372,0.5151,0.4761
12.8,0.3645,0.5311,0.2964,0.5078,0.5794,0.5436,0.533,0.5475,0.5402,0.4123,0.4994,0.4558
12.9,0.358,0.5109,0.2847,0.4693,0.5595,0.5144,0.5215,0.5478,0.5346,0.3905,0.4872,0.4389
13,0.343,0.4896,0.2776,0.4286,0.5395,0.4841,0.5105,0.5501,0.5303,0.3726,0.478,0.4253
13.1,0.3195,0.4679,0.275,0.3873,0.5196,0.4534,0.5002,0.5542,0.5272,0.3593,0.4712,0.4152
13.2,0.2885,0.4469,0.2768,0.347,0.5007,0.4239,0.4916,0.56,0.5258,0.3511,0.4666,0.4088
13.3,0.2518,0.428,0.2831,0.3101,0.4842,0.3972,0.486,0.5685,0.5272,0.3484,0.4643,0.4063
13.4,0.2115,0.412,0.294,0.2781,0.4715,0.3748,0.4844,0.5802,0.5323,0.3509,0.4641,0.4075
13.5,0.1698,0.3992,0.3087,0.2522,0.4629,0.3575,0.4873,0.5954,0.5414,0.3579,0.4658,0.4119
13.6,0.1285,0.3899,0.3264,0.2326,0.4579,0.3453,0.4945,0.613,0.5537,0.3685,0.469,0.4188
13.7,0.0896,0.3839,0.3455,0.219,0.4556,0.3373,0.5049,0.6316,0.5683,0.382,0.4734,0.4277
13.8,0.0542,0.3808,0.3653,0.2107,0.4543,0.3325,0.5175,0.6496,0.5836,0.3977,0.4784,0.438
13.9,0.0218,0.3803,0.385,0.2072,0.4534,0.3303,0.5308,0.6662,0.5985,0.4142,0.4832,0.4487
14,-0.0092,0.3822,0.404,0.2082,0.4527,0.3305,0.5436,0.6809,0.6122,0.43,0.4868,0.4584
14.1,-0.0403,0.3867,0.4214,0.2131,0.4525,0.3328,0.5551,0.693,0.6241,0.4439,0.4883,0.4661
14.2,-0.0716,0.3935,0.4367,0.2209,0.4527,0.3368,0.5653,0.7025,0.6339,0.4557,0.4881,0.4719
14.3,-0.1025,0.4018,0.4498,0.2307,0.4525,0.3416,0.5741,0.7092,0.6416,0.4656,0.4862,0.4759
14.4,-0.1326,0.4105,0.4612,0.2417,0.451,0.3464,0.5818,0.7137,0.6477,0.4736,0.483,0.4783
14.5,-0.1621,0.419,0.4711,0.2538,0.4477,0.3508,0.5885,0.7163,0.6524,0.4798,0.4786,0.4792
14.6,-0.1911,0.4273,0.4795,0.2671,0.4427,0.3549,0.5944,0.7172,0.6558,0.4843,0.4734,0.4788
14.7,-0.2196,0.4354,0.4861,0.2814,0.4358,0.3586,0.5996,0.7162,0.6579,0.4877,0.4679,0.4778
14.8,-0.2467,0.443,0.4906,0.2963,0.427,0.3617,0.604,0.7127,0.6584,0.4909,0.4631,0.477
14.9,-0.2709,0.4492,0.4926,0.3105,0.4158,0.3631,0.6078,0.7066,0.6572,0.4946,0.4599,0.4772
15,-0.2905,0.4533,0.4922,0.3231,0.4017,0.3624,0.6109,0.6977,0.6543,0.4991,0.4587,0.4789
15.1,-0.3041,0.4544,0.4893,0.3336,0.3848,0.3592,0.6127,0.6859,0.6493,0.5044,0.4595,0.482
15.2,-0.3111,0.4519,0.484,0.3417,0.3652,0.3535,0.6131,0.6714,0.6423,0.5103,0.4618,0.4861
15.3,-0.3113,0.4456,0.4767,0.3468,0.3431,0.3449,0.6117,0.6545,0.6331,0.5167,0.465,0.4908
15.4,-0.3048,0.4355,0.468,0.3486,0.3186,0.3336,0.6089,0.6356,0.6222,0.524,0.4689,0.4965
15.5,-0.292,0.4224,0.4584,0.3474,0.2926,0.32,0.6048,0.6156,0.6102,0.5323,0.474,0.5032
15.6,-0.2736,0.408,0.4484,0.3446,0.2663,0.3054,0.5996,0.5953,0.5974,0.5412,0.4804,0.5108
15.7,-0.2502,0.3938,0.4383,0.3418,0.2414,0.2916,0.593,0.5758,0.5844,0.5499,0.4879,0.5189
15.8,-0.2228,0.3809,0.4288,0.3403,0.2193,0.2798,0.5847,0.5579,0.5713,0.5578,0.4956,0.5267
15.9,-0.1923,0.3695,0.4206,0.3401,0.2003,0.2702,0.5745,0.5421,0.5583,0.5644,0.503,0.5337
16,-0.1594,0.3592,0.415,0.3407,0.1847,0.2627,0.5623,0.5289,0.5456,0.5697,0.5101,0.5399
16.1,-0.1244,0.3493,0.4125,0.3419,0.1722,0.2571,0.548,0.5182,0.5331,0.5736,0.5173,0.5455
16.2,-0.0871,0.3399,0.4132,0.3446,0.163,0.2538,0.532,0.5104,0.5212,0.576,0.5247,0.5504
16.3,-0.0473,0.3314,0.4166,0.3501,0.1578,0.2539,0.5146,0.5054,0.51,0.5766,0.5325,0.5546
