Time,MYOB - MYOBelieve 30 TVC,MYOB - MYOBelieve 30 TVC,MYOB - MYOBelieve 30 TVC,MYOB - MYOBelieve 30 TVC,MYOB - MYOBelieve 30 TVC,MYOB - MYOBelieve 30 TVC,MYOB - MYOBelieve 30 TVC,MYOB - MYOBelieve 30 TVC,MYOB - MYOBelieve 30 TVC,MYOB - MYOBelieve 30 TVC,MYOB - MYOBelieve 30 TVC,MYOB - MYOBelieve 30 TVC
21.2,0.2825,0.476,0.4804,0.8194,0.4931,0.6563,0.4519,0.593,0.5225,0.3404,0.3855,0.3629
21.3,0.2896,0.4696,0.4783,0.8244,0.4893,0.6568,0.4414,0.5895,0.5155,0.355,0.3878,0.3714
21.4,0.292,0.4645,0.4763,0.8262,0.4872,0.6567,0.4275,0.5854,0.5064,0.3687,0.3895,0.3791
21.5,0.29,0.4602,0.4743,0.8246,0.4866,0.6556,0.4108,0.5802,0.4955,0.38,0.3902,0.3851
21.6,0.284,0.456,0.4719,0.8196,0.4869,0.6533,0.3918,0.5738,0.4828,0.3879,0.3896,0.3888
21.7,0.2749,0.4511,0.4692,0.811,0.4877,0.6493,0.371,0.5661,0.4685,0.3923,0.3876,0.3899
21.8,0.264,0.4451,0.4664,0.799,0.4883,0.6436,0.349,0.5572,0.4531,0.3934,0.3841,0.3887
21.9,0.2528,0.4382,0.463,0.784,0.4882,0.6361,0.3267,0.5476,0.4372,0.3912,0.3793,0.3852
22,0.2424,0.4307,0.4587,0.7671,0.4871,0.6271,0.305,0.5377,0.4213,0.3853,0.3732,0.3793
22.1,0.2332,0.4229,0.4535,0.7489,0.4851,0.617,0.2848,0.5273,0.4061,0.3762,0.3663,0.3713
22.2,0.2252,0.4149,0.448,0.7302,0.4822,0.6062,0.2677,0.5167,0.3922,0.3647,0.3594,0.362
22.3,0.2179,0.407,0.4435,0.7119,0.4783,0.5951,0.2549,0.506,0.3804,0.352,0.3533,0.3527
22.4,0.2107,0.3993,0.4407,0.6945,0.4737,0.5841,0.2471,0.4955,0.3713,0.3392,0.349,0.3441
22.5,0.2023,0.3921,0.4401,0.678,0.4684,0.5732,0.2447,0.4857,0.3652,0.3272,0.3467,0.3369
22.6,0.1915,0.3854,0.4416,0.6622,0.4628,0.5625,0.2477,0.4771,0.3624,0.3167,0.3467,0.3317
22.7,0.1781,0.3795,0.4453,0.6472,0.457,0.5521,0.2555,0.4703,0.3629,0.3092,0.3493,0.3292
22.8,0.1626,0.3744,0.4512,0.6332,0.4516,0.5424,0.2679,0.4653,0.3666,0.3055,0.3546,0.33
22.9,0.1459,0.3703,0.4594,0.621,0.4469,0.534,0.2844,0.4623,0.3733,0.3059,0.3625,0.3342
23,0.1291,0.3671,0.4697,0.611,0.4437,0.5274,0.3045,0.461,0.3828,0.3103,0.3724,0.3414
23.1,0.1131,0.365,0.4817,0.6036,0.4426,0.5231,0.3276,0.4614,0.3945,0.3182,0.3837,0.351
23.2,0.0989,0.364,0.4941,0.5993,0.4439,0.5216,0.3526,0.4632,0.4079,0.329,0.3957,0.3623
23.3,0.0874,0.364,0.5059,0.5981,0.4475,0.5228,0.3782,0.4661,0.4222,0.342,0.4076,0.3748
23.4,0.0793,0.3648,0.5165,0.6001,0.4529,0.5265,0.4029,0.4701,0.4365,0.3562,0.4192,0.3877
23.5,0.0743,0.3666,0.5256,0.6049,0.46,0.5325,0.4251,0.4753,0.4502,0.3704,0.43,0.4002
23.6,0.0718,0.3701,0.5331,0.6119,0.4686,0.5402,0.4438,0.4822,0.463,0.3844,0.4401,0.4122
23.7,0.0707,0.3756,0.5391,0.6198,0.4783,0.5491,0.458,0.4909,0.4744,0.3979,0.4493,0.4236
23.8,0.0704,0.3835,0.5434,0.6278,0.4889,0.5583,0.467,0.5009,0.4839,0.4108,0.4574,0.4341
23.9,0.0701,0.3935,0.5454,0.6351,0.4999,0.5675,0.4705,0.5112,0.4908,0.4223,0.4634,0.4429
24,0.0695,0.4053,0.5444,0.6414,0.5111,0.5762,0.4688,0.5206,0.4947,0.4312,0.4662,0.4487
24.1,0.0684,0.4186,0.5399,0.6468,0.5221,0.5844,0.4628,0.5288,0.4958,0.4364,0.4648,0.4506
24.2,0.0662,0.433,0.5319,0.6508,0.5325,0.5916,0.4536,0.5359,0.4947,0.438,0.4591,0.4485
24.3,0.0618,0.4476,0.521,0.6527,0.5416,0.5971,0.4421,0.5422,0.4921,0.4363,0.4499,0.4431
24.4,0.0549,0.4613,0.5076,0.6516,0.5485,0.6,0.4292,0.5474,0.4883,0.432,0.438,0.435
24.5,0.0465,0.4726,0.4919,0.6473,0.5525,0.5999,0.4156,0.5511,0.4833,0.4257,0.4244,0.425
24.6,0.0389,0.4809,0.4739,0.6405,0.5537,0.5971,0.402,0.553,0.4775,0.4179,0.4093,0.4136
24.7,0.0337,0.4864,0.4538,0.6322,0.5517,0.5919,0.3888,0.5537,0.4712,0.4089,0.3929,0.4009
24.8,0.0305,0.4891,0.4323,0.6227,0.5462,0.5845,0.3757,0.5537,0.4647,0.3986,0.3753,0.3869
24.9,0.0275,0.4893,0.4102,0.6122,0.5373,0.5748,0.3622,0.5537,0.4579,0.3868,0.3568,0.3718
25,0.0233,0.4875,0.388,0.6008,0.526,0.5634,0.3482,0.5542,0.4512,0.3736,0.338,0.3558
25.1,0.0183,0.4847,0.3662,0.5893,0.5142,0.5518,0.3345,0.5562,0.4453,0.3595,0.3195,0.3395
25.2,0.0133,0.4821,0.345,0.5787,0.5036,0.5411,0.3223,0.5606,0.4415,0.345,0.3017,0.3234
25.3,0.0077,0.48,0.3248,0.569,0.4951,0.532,0.3132,0.5685,0.4408,0.3307,0.2852,0.3079
25.4,-0.0004,0.4785,0.3065,0.5595,0.4883,0.5239,0.308,0.58,0.444,0.3168,0.2706,0.2937
25.5,-0.0123,0.4776,0.2908,0.5494,0.4829,0.5162,0.3078,0.5948,0.4513,0.3034,0.2587,0.281
25.6,-0.0277,0.4775,0.2787,0.5385,0.4788,0.5087,0.3139,0.6124,0.4632,0.2907,0.2497,0.2702
25.7,-0.045,0.4788,0.2702,0.5273,0.4764,0.5019,0.3277,0.6328,0.4803,0.2793,0.2434,0.2613
25.8,-0.0627,0.4821,0.2654,0.5161,0.4757,0.4959,0.3502,0.6558,0.503,0.2693,0.2395,0.2544
25.9,-0.08,0.4874,0.2637,0.5042,0.476,0.4901,0.3812,0.6806,0.5309,0.2607,0.2377,0.2492
26,-0.0962,0.4945,0.2648,0.4907,0.4765,0.4836,0.4196,0.706,0.5628,0.2536,0.238,0.2458
26.1,-0.1098,0.5035,0.2685,0.4754,0.4763,0.4758,0.4652,0.7309,0.598,0.248,0.2401,0.244
26.2,-0.1193,0.5148,0.2749,0.4593,0.475,0.4671,0.5175,0.7549,0.6362,0.2442,0.2436,0.2439
26.3,-0.1245,0.5291,0.2835,0.4429,0.4729,0.4579,0.5758,0.7772,0.6765,0.2419,0.2478,0.2449
26.4,-0.1264,0.5471,0.2932,0.4258,0.4703,0.448,0.6375,0.7973,0.7174,0.2404,0.2518,0.2461
26.5,-0.1261,0.5686,0.3029,0.4074,0.4672,0.4373,0.6997,0.8147,0.7572,0.2388,0.255,0.2469
26.6,-0.1241,0.5931,0.3123,0.3877,0.4633,0.4255,0.7591,0.8293,0.7942,0.2369,0.2574,0.2471
26.7,-0.1192,0.62,0.3221,0.3668,0.458,0.4124,0.8136,0.8413,0.8275,0.2351,0.2593,0.2472
26.8,-0.1096,0.6493,0.3327,0.3448,0.4508,0.3978,0.8621,0.8508,0.8564,0.2337,0.2616,0.2476
26.9,-0.0933,0.6808,0.3437,0.3216,0.4413,0.3815,0.9043,0.8572,0.8807,0.2333,0.2645,0.2489
27,-0.0686,0.7137,0.3539,0.2976,0.4299,0.3637,0.9406,0.8599,0.9003,0.234,0.2683,0.2512
27.1,-0.0347,0.7459,0.3624,0.2733,0.4166,0.3449,0.9714,0.8586,0.915,0.2361,0.2727,0.2544
27.2,0.0089,0.7749,0.3693,0.2493,0.4014,0.3253,0.9963,0.8531,0.9247,0.2392,0.2779,0.2585
27.3,0.0615,0.7985,0.3752,0.2261,0.384,0.3051,1.0149,0.8442,0.9295,0.2431,0.2838,0.2635
27.4,0.1212,0.815,0.3812,0.2043,0.365,0.2847,1.0275,0.8337,0.9306,0.2477,0.2913,0.2695
27.5,0.1843,0.8229,0.3886,0.1841,0.345,0.2645,1.0349,0.8234,0.9292,0.2535,0.3019,0.2777
27.6,0.247,0.8213,0.3986,0.1653,0.3245,0.2449,1.0371,0.8149,0.926,0.2612,0.317,0.2891
27.7,0.3082,0.8109,0.4118,0.1481,0.3032,0.2257,1.0334,0.8089,0.9211,0.2706,0.3364,0.3035
27.8,0.3692,0.7937,0.428,0.1339,0.2815,0.2077,1.0229,0.8059,0.9144,0.2801,0.3584,0.3193
27.9,0.4306,0.7718,0.4465,0.1266,0.2614,0.194,1.0065,0.807,0.9067,0.2882,0.3807,0.3344
28,0.489,0.7465,0.4672,0.132,0.2456,0.1888,0.9863,0.8135,0.8999,0.2941,0.4017,0.3479
28.1,0.537,0.718,0.4905,0.1542,0.236,0.1951,0.9642,0.8267,0.8954,0.2982,0.421,0.3596
28.2,0.5668,0.6867,0.517,0.1938,0.2329,0.2134,0.941,0.8462,0.8936,0.3012,0.4391,0.3701
28.3,0.5771,0.6542,0.5468,0.2481,0.2357,0.2419,0.9172,0.8709,0.8941,0.3033,0.4563,0.3798
28.4,0.5721,0.6229,0.5792,0.3143,0.244,0.2791,0.8941,0.9,0.8971,0.3049,0.4727,0.3888
28.5,0.5565,0.594,0.6141,0.3886,0.2575,0.323,0.8743,0.9333,0.9038,0.3065,0.4885,0.3975
28.6,0.5311,0.5673,0.6509,0.4633,0.2753,0.3693,0.8594,0.9707,0.9151,0.3092,0.5039,0.4065
28.7,0.4946,0.5421,0.6879,0.5269,0.2958,0.4113,0.8498,1.0104,0.9301,0.3138,0.5189,0.4164
28.8,0.4482,0.5189,0.7221,0.5714,0.3173,0.4443,0.8444,1.0486,0.9465,0.3213,0.5329,0.4271
28.9,0.3962,0.4993,0.7508,0.5985,0.3398,0.4692,0.8421,1.0824,0.9623,0.3331,0.5453,0.4392
29,0.3428,0.4847,0.774,0.6148,0.3642,0.4895,0.8421,1.1113,0.9767,0.3511,0.5565,0.4538
29.1,0.2893,0.4751,0.7924,0.6235,0.3907,0.5071,0.8436,1.136,0.9898,0.3769,0.5671,0.472
29.2,0.2348,0.4697,0.8061,0.6242,0.418,0.5211,0.8447,1.1563,1.0005,0.4105,0.5769,0.4937
29.3,0.179,0.4677,0.8141,0.618,0.4444,0.5312,0.8434,1.1706,1.007,0.4499,0.585,0.5175
29.4,0.123,0.4685,0.8164,0.6095,0.4695,0.5395,0.8383,1.178,1.0082,0.4928,0.5899,0.5414
29.5,0.0687,0.4717,0.8146,0.6043,0.4936,0.549,0.8293,1.1793,1.0043,0.538,0.5916,0.5648
29.6,0.0167,0.4774,0.8096,0.6046,0.5175,0.561,0.8169,1.1759,0.9964,0.5846,0.591,0.5878
29.7,-0.0332,0.4855,0.8006,0.609,0.5412,0.5751,0.8008,1.1678,0.9843,0.6306,0.5882,0.6094
29.8,-0.0813,0.4956,0.7867,0.6158,0.5645,0.5902,0.7804,1.1552,0.9678,0.6741,0.5832,0.6287
29.9,-0.1271,0.5072,0.7691,0.6252,0.5869,0.6061,0.7565,1.1393,0.9479,0.7146,0.5764,0.6455
