Time,Lotto Powerball - Imagine Lost 30 TVC,Lotto Powerball - Imagine Lost 30 TVC,Lotto Powerball - Imagine Lost 30 TVC,Lotto Powerball - Imagine Lost 30 TVC,Lotto Powerball - Imagine Lost 30 TVC,Lotto Powerball - Imagine Lost 30 TVC,Lotto Powerball - Imagine Lost 30 TVC,Lotto Powerball - Imagine Lost 30 TVC,Lotto Powerball - Imagine Lost 30 TVC,Lotto Powerball - Imagine Lost 30 TVC,Lotto Powerball - Imagine Lost 30 TVC,Lotto Powerball - Imagine Lost 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
9.2,0.2575,0.431,0.5957,0.5051,0.4583,0.4817,0.6145,0.6498,0.6322,0.6867,0.6125,0.6496
9.3,0.2488,0.4418,0.5991,0.5027,0.4781,0.4904,0.6093,0.6525,0.6309,0.6743,0.6142,0.6443
9.4,0.2378,0.4523,0.6025,0.501,0.4954,0.4982,0.6032,0.6534,0.6283,0.6623,0.6161,0.6392
9.5,0.226,0.4619,0.6061,0.5002,0.5094,0.5048,0.597,0.6521,0.6246,0.6511,0.6181,0.6346
9.6,0.2149,0.4701,0.6101,0.5007,0.519,0.5098,0.591,0.6485,0.6198,0.6409,0.6203,0.6306
9.7,0.2057,0.4776,0.6143,0.5028,0.524,0.5134,0.586,0.6427,0.6144,0.6325,0.6226,0.6275
9.8,0.1987,0.4853,0.6182,0.507,0.5251,0.5161,0.5828,0.6347,0.6088,0.6267,0.6249,0.6258
9.9,0.1939,0.4934,0.6218,0.5135,0.5233,0.5184,0.5822,0.6249,0.6035,0.6239,0.6275,0.6257
10,0.1908,0.502,0.6248,0.5224,0.5195,0.521,0.5845,0.6138,0.5991,0.6239,0.6304,0.6272
10.1,0.1887,0.5112,0.6272,0.5332,0.515,0.5241,0.5893,0.602,0.5957,0.626,0.6336,0.6298
10.2,0.1872,0.5212,0.6292,0.5459,0.5112,0.5285,0.5965,0.5902,0.5934,0.6302,0.637,0.6336
10.3,0.1859,0.5323,0.6311,0.5602,0.5095,0.5348,0.606,0.5789,0.5925,0.6368,0.6409,0.6389
10.4,0.185,0.5441,0.6333,0.5756,0.5104,0.543,0.6179,0.5682,0.593,0.6459,0.6453,0.6456
