Time,British Paints,British Paints,British Paints,British Paints,British Paints,British Paints,British Paints,British Paints,British Paints,British Paints,British Paints,British Paints
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
11.3,0.0142,0.6532,0.6831,0.6237,0.6116,0.6176,0.6296,0.6426,0.6361,0.6487,0.6851,0.6669
11.4,0.0073,0.6522,0.6826,0.62,0.6124,0.6162,0.6259,0.6393,0.6326,0.6453,0.6826,0.664
11.5,0.0008,0.65,0.6814,0.6164,0.6124,0.6144,0.6222,0.6354,0.6288,0.641,0.6786,0.6598
11.6,-0.005,0.6467,0.6794,0.6128,0.6111,0.6119,0.6186,0.6308,0.6247,0.6358,0.6729,0.6544
11.7,-0.0095,0.6422,0.6763,0.6092,0.6082,0.6087,0.6152,0.6255,0.6204,0.6294,0.6655,0.6474
11.8,-0.0132,0.6369,0.6722,0.6053,0.6035,0.6044,0.6121,0.6197,0.6159,0.6217,0.6564,0.639
11.9,-0.0165,0.6312,0.6674,0.6012,0.5972,0.5992,0.6093,0.6137,0.6115,0.6126,0.6456,0.6291
12,-0.0192,0.6252,0.6619,0.5969,0.5897,0.5933,0.607,0.6076,0.6073,0.6022,0.6335,0.6178
12.1,-0.0208,0.6188,0.656,0.5925,0.5811,0.5868,0.6048,0.6015,0.6031,0.5907,0.6204,0.6055
12.2,-0.0213,0.6118,0.6495,0.5877,0.5713,0.5795,0.6026,0.5954,0.599,0.5782,0.607,0.5926
12.3,-0.0208,0.6041,0.6427,0.5821,0.5601,0.5711,0.6001,0.5893,0.5947,0.5653,0.5936,0.5794
12.4,-0.02,0.5959,0.6356,0.5755,0.548,0.5617,0.5975,0.5834,0.5904,0.5521,0.5807,0.5664
12.5,-0.0194,0.5874,0.6288,0.5679,0.5354,0.5517,0.5948,0.5781,0.5864,0.539,0.5685,0.5537
12.6,-0.0194,0.579,0.6225,0.5595,0.5229,0.5412,0.592,0.5737,0.5828,0.526,0.5572,0.5416
12.7,-0.0198,0.5704,0.6168,0.5501,0.5108,0.5304,0.5889,0.5702,0.5796,0.5137,0.547,0.5303
12.8,-0.0204,0.5613,0.6114,0.5397,0.499,0.5194,0.5851,0.5673,0.5762,0.5021,0.5378,0.52
12.9,-0.021,0.5517,0.606,0.5284,0.4877,0.5081,0.5804,0.5644,0.5724,0.4917,0.5294,0.5105
13,-0.0214,0.5421,0.6005,0.5167,0.4774,0.4971,0.5749,0.5615,0.5682,0.4826,0.5218,0.5022
13.1,-0.022,0.5332,0.5949,0.5055,0.4687,0.4871,0.569,0.5585,0.5637,0.4755,0.5153,0.4954
13.2,-0.0232,0.5252,0.5897,0.4953,0.4621,0.4787,0.5633,0.5559,0.5596,0.4708,0.5104,0.4906
13.3,-0.0249,0.5179,0.5852,0.4862,0.4577,0.4719,0.5582,0.5539,0.556,0.4688,0.5077,0.4882
13.4,-0.0272,0.5114,0.5816,0.478,0.4554,0.4667,0.5539,0.5525,0.5532,0.4695,0.5071,0.4883
13.5,-0.0298,0.5055,0.5787,0.4708,0.455,0.4629,0.5505,0.5519,0.5512,0.4728,0.5085,0.4906
13.6,-0.0324,0.5003,0.5762,0.4645,0.4566,0.4605,0.5481,0.5519,0.55,0.4781,0.5115,0.4948
13.7,-0.0347,0.4958,0.574,0.4593,0.4598,0.4595,0.5465,0.5524,0.5494,0.4851,0.5157,0.5004
13.8,-0.0361,0.4919,0.5717,0.4553,0.4642,0.4598,0.5456,0.553,0.5493,0.4934,0.5207,0.5071
13.9,-0.0362,0.4886,0.5692,0.4521,0.4695,0.4608,0.5449,0.5536,0.5493,0.5027,0.5265,0.5146
14,-0.0345,0.4854,0.5664,0.4497,0.4752,0.4624,0.5443,0.554,0.5491,0.5125,0.5328,0.5227
14.1,-0.0307,0.482,0.5633,0.4478,0.4809,0.4643,0.5439,0.5541,0.549,0.5225,0.5395,0.531
14.2,-0.0245,0.4779,0.5603,0.4468,0.4863,0.4666,0.5443,0.5541,0.5492,0.5327,0.5465,0.5396
14.3,-0.0157,0.4735,0.5579,0.4471,0.4914,0.4692,0.5458,0.5542,0.55,0.5429,0.5539,0.5484
14.4,-0.0041,0.4689,0.5565,0.4486,0.4962,0.4724,0.5488,0.5549,0.5518,0.5535,0.5619,0.5577
14.5,0.0101,0.4643,0.5565,0.4515,0.5007,0.4761,0.5531,0.5564,0.5547,0.5642,0.5705,0.5673
14.6,0.0268,0.4602,0.5578,0.4556,0.505,0.4803,0.5587,0.5589,0.5588,0.5746,0.5793,0.577
14.7,0.0455,0.4567,0.5602,0.4612,0.509,0.4851,0.5655,0.5625,0.564,0.5845,0.5882,0.5863
14.8,0.0654,0.4545,0.5633,0.468,0.5125,0.4902,0.5733,0.5669,0.5701,0.5935,0.597,0.5952
14.9,0.0857,0.4536,0.567,0.4758,0.5155,0.4957,0.5819,0.5722,0.577,0.6017,0.6057,0.6037
