Time,AAMI Christmas 2024 30 TVC,AAMI Christmas 2024 30 TVC,AAMI Christmas 2024 30 TVC,AAMI Christmas 2024 30 TVC,AAMI Christmas 2024 30 TVC,AAMI Christmas 2024 30 TVC,AAMI Christmas 2024 30 TVC,AAMI Christmas 2024 30 TVC,AAMI Christmas 2024 30 TVC,AAMI Christmas 2024 30 TVC,AAMI Christmas 2024 30 TVC,AAMI Christmas 2024 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
13.1,0.5046,0.4936,0.4195,0.4336,0.4555,0.4445,0.5071,0.2339,0.3705,0.0844,0.2222,0.1533
13.2,0.5139,0.5053,0.4621,0.4286,0.4688,0.4487,0.516,0.2373,0.3766,0.0695,0.2273,0.1484
13.3,0.511,0.5152,0.5027,0.4199,0.4811,0.4505,0.5248,0.2401,0.3825,0.0636,0.2383,0.1509
13.4,0.4944,0.5238,0.5404,0.4086,0.4926,0.4506,0.533,0.2431,0.3881,0.0674,0.2559,0.1617
13.5,0.4647,0.5319,0.574,0.3969,0.5035,0.4502,0.5401,0.2468,0.3935,0.0805,0.2797,0.1801
13.6,0.4242,0.5396,0.6016,0.3864,0.5138,0.4501,0.5455,0.2512,0.3984,0.1012,0.308,0.2046
13.7,0.3754,0.5466,0.6213,0.3775,0.5234,0.4504,0.5484,0.2563,0.4024,0.1283,0.3389,0.2336
13.8,0.321,0.5527,0.6321,0.3699,0.5326,0.4513,0.5481,0.2624,0.4052,0.1605,0.3708,0.2656
13.9,0.2629,0.5576,0.6344,0.3634,0.5417,0.4525,0.544,0.2703,0.4072,0.1968,0.4028,0.2998
14,0.2023,0.5609,0.6293,0.3581,0.5499,0.454,0.5358,0.2807,0.4082,0.2361,0.4338,0.3349
14.1,0.14,0.562,0.617,0.3547,0.5561,0.4554,0.5231,0.2929,0.408,0.2767,0.4628,0.3698
14.2,0.0775,0.5611,0.5975,0.3539,0.5595,0.4567,0.506,0.3058,0.4059,0.3167,0.4888,0.4027
14.3,0.0181,0.5593,0.5714,0.3568,0.5602,0.4585,0.4846,0.3184,0.4015,0.3544,0.511,0.4327
14.4,-0.0341,0.558,0.541,0.364,0.5585,0.4612,0.4591,0.3305,0.3948,0.3888,0.5297,0.4593
14.5,-0.0759,0.5581,0.5095,0.3754,0.5548,0.4651,0.4302,0.342,0.3861,0.4198,0.546,0.4829
14.6,-0.1065,0.5599,0.4795,0.3904,0.5491,0.4697,0.3989,0.3525,0.3757,0.4477,0.5606,0.5041
14.7,-0.1263,0.5643,0.4529,0.4087,0.5418,0.4752,0.3669,0.3616,0.3643,0.4731,0.5744,0.5238
14.8,-0.1361,0.5724,0.43,0.4305,0.5336,0.482,0.336,0.3687,0.3523,0.4963,0.5879,0.5421
14.9,-0.137,0.5849,0.4109,0.4557,0.5254,0.4906,0.3074,0.3736,0.3405,0.5172,0.601,0.5591
15,-0.1302,0.601,0.3952,0.4838,0.5183,0.501,0.2816,0.3762,0.3289,0.5355,0.6133,0.5744
15.1,-0.1176,0.6195,0.3827,0.5132,0.5129,0.513,0.2595,0.3766,0.3181,0.5511,0.6242,0.5877
15.2,-0.1014,0.6385,0.3727,0.5425,0.51,0.5262,0.2416,0.3746,0.3081,0.5644,0.6333,0.5988
15.3,-0.0838,0.6572,0.3648,0.5708,0.5104,0.5406,0.2283,0.3702,0.2993,0.5757,0.6404,0.6081
15.4,-0.067,0.6749,0.3585,0.5981,0.5154,0.5567,0.2199,0.3644,0.2921,0.5855,0.6458,0.6156
15.5,-0.0525,0.6915,0.3535,0.6246,0.5255,0.575,0.2164,0.3584,0.2874,0.5941,0.6493,0.6217
15.6,-0.0412,0.7065,0.3493,0.65,0.541,0.5955,0.2178,0.3535,0.2856,0.602,0.6506,0.6263
15.7,-0.0339,0.7195,0.3455,0.6732,0.5617,0.6174,0.2237,0.3502,0.2869,0.6097,0.6494,0.6296
15.8,-0.0315,0.7297,0.341,0.6931,0.5867,0.6399,0.2338,0.3485,0.2912,0.6172,0.6456,0.6314
15.9,-0.0346,0.7369,0.3352,0.7093,0.6152,0.6623,0.2483,0.3479,0.2981,0.6245,0.6393,0.6319
16,-0.0432,0.7407,0.3277,0.7218,0.6459,0.6839,0.2671,0.3477,0.3074,0.6313,0.6308,0.631
16.1,-0.0571,0.7409,0.3183,0.7302,0.6771,0.7037,0.2893,0.3474,0.3184,0.6368,0.6198,0.6283
16.2,-0.0755,0.7378,0.3076,0.7339,0.7077,0.7208,0.3143,0.3469,0.3306,0.6404,0.6062,0.6233
16.3,-0.0976,0.7315,0.2963,0.7322,0.7364,0.7343,0.3413,0.3462,0.3437,0.6422,0.5902,0.6162
16.4,-0.1225,0.7222,0.285,0.725,0.7623,0.7436,0.3702,0.3457,0.3579,0.6424,0.5722,0.6073
16.5,-0.1503,0.7098,0.2739,0.7121,0.7844,0.7482,0.4008,0.3457,0.3733,0.6415,0.5531,0.5973
16.6,-0.1803,0.6946,0.2631,0.694,0.8023,0.7481,0.4323,0.3467,0.3895,0.64,0.5339,0.5869
16.7,-0.2112,0.6772,0.2525,0.6714,0.8159,0.7436,0.4633,0.3486,0.406,0.6384,0.5153,0.5768
16.8,-0.2395,0.6579,0.2419,0.6456,0.8253,0.7355,0.4922,0.3512,0.4217,0.6369,0.4978,0.5673
16.9,-0.2622,0.6367,0.2312,0.6173,0.8311,0.7242,0.5175,0.3543,0.4359,0.6354,0.4816,0.5585
17,-0.2776,0.6141,0.2209,0.5874,0.8334,0.7104,0.5382,0.3586,0.4484,0.6342,0.4669,0.5506
17.1,-0.2857,0.5906,0.2117,0.5563,0.8321,0.6942,0.5542,0.3646,0.4594,0.6338,0.4542,0.544
17.2,-0.2873,0.567,0.2047,0.5245,0.8268,0.6756,0.5652,0.3725,0.4688,0.6348,0.4441,0.5394
17.3,-0.2835,0.5439,0.1997,0.4929,0.8176,0.6552,0.571,0.3814,0.4762,0.6377,0.4369,0.5373
17.4,-0.2749,0.5213,0.1961,0.4628,0.805,0.6339,0.5715,0.3903,0.4809,0.6419,0.4324,0.5371
17.5,-0.2604,0.4996,0.1928,0.436,0.7901,0.6131,0.5671,0.3987,0.4829,0.6466,0.4298,0.5382
17.6,-0.2381,0.4794,0.1897,0.4138,0.774,0.5939,0.5583,0.4062,0.4822,0.6514,0.4288,0.5401
17.7,-0.2054,0.4619,0.1874,0.3971,0.7575,0.5773,0.5456,0.4132,0.4794,0.6562,0.4294,0.5428
17.8,-0.1608,0.4483,0.187,0.3861,0.7414,0.5638,0.5298,0.4201,0.475,0.6613,0.4324,0.5468
17.9,-0.1057,0.4391,0.1891,0.3809,0.7261,0.5535,0.512,0.4272,0.4696,0.6668,0.4381,0.5525
