Time,Mcdonalds - Frozen Sprite Splash,Mcdonalds - Frozen Sprite Splash,Mcdonalds - Frozen Sprite Splash,Mcdonalds - Frozen Sprite Splash,Mcdonalds - Frozen Sprite Splash,Mcdonalds - Frozen Sprite Splash,Mcdonalds - Frozen Sprite Splash,Mcdonalds - Frozen Sprite Splash,Mcdonalds - Frozen Sprite Splash,Mcdonalds - Frozen Sprite Splash,Mcdonalds - Frozen Sprite Splash,Mcdonalds - Frozen Sprite Splash
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
11.6,-0.0873,0.5549,0.664,0.5374,0.6372,0.5873,0.5778,0.6102,0.594,0.5647,0.5427,0.5537
11.7,-0.0907,0.5486,0.6656,0.5302,0.6282,0.5792,0.5817,0.6103,0.596,0.5688,0.5438,0.5563
11.8,-0.0921,0.5411,0.6651,0.5222,0.6166,0.5694,0.5851,0.6095,0.5973,0.5736,0.5453,0.5594
11.9,-0.0916,0.5318,0.6623,0.5129,0.6022,0.5575,0.5876,0.6073,0.5975,0.5793,0.5474,0.5633
12,-0.0895,0.5208,0.6571,0.5022,0.5851,0.5437,0.589,0.6038,0.5964,0.5858,0.5503,0.568
12.1,-0.0861,0.508,0.6499,0.4903,0.566,0.5281,0.5893,0.5988,0.5941,0.5927,0.5544,0.5735
12.2,-0.0815,0.4942,0.6413,0.4776,0.5458,0.5117,0.5886,0.5928,0.5907,0.5997,0.5595,0.5796
12.3,-0.0762,0.4801,0.6317,0.4645,0.5255,0.495,0.587,0.586,0.5865,0.6063,0.5658,0.5861
12.4,-0.0709,0.4663,0.6215,0.4514,0.5061,0.4788,0.5842,0.5785,0.5814,0.6123,0.573,0.5926
12.5,-0.0667,0.4533,0.6111,0.4383,0.4883,0.4633,0.5806,0.5704,0.5755,0.6171,0.5806,0.5988
12.6,-0.0644,0.4415,0.6006,0.4254,0.473,0.4492,0.5763,0.5621,0.5692,0.6205,0.5885,0.6045
12.7,-0.0647,0.4314,0.5906,0.4131,0.4609,0.437,0.572,0.5539,0.563,0.6226,0.5964,0.6095
12.8,-0.0675,0.4235,0.5816,0.4021,0.4526,0.4273,0.5682,0.5462,0.5572,0.6235,0.6045,0.614
12.9,-0.0724,0.4183,0.5741,0.3928,0.4485,0.4207,0.5653,0.5395,0.5524,0.6234,0.6124,0.6179
13,-0.0788,0.4161,0.5681,0.3852,0.4487,0.417,0.5633,0.5341,0.5487,0.6221,0.62,0.621
13.1,-0.0864,0.4168,0.5639,0.379,0.453,0.416,0.5619,0.5303,0.5461,0.6196,0.6268,0.6232
13.2,-0.0951,0.42,0.5615,0.3742,0.461,0.4176,0.561,0.5283,0.5446,0.616,0.633,0.6245
13.3,-0.104,0.4256,0.5611,0.3711,0.4725,0.4218,0.5608,0.5285,0.5446,0.6117,0.6387,0.6252
13.4,-0.112,0.4334,0.5625,0.37,0.4869,0.4284,0.5613,0.5308,0.546,0.6068,0.6439,0.6254
13.5,-0.1182,0.443,0.5654,0.3711,0.5033,0.4372,0.5625,0.5348,0.5486,0.6016,0.6483,0.625
13.6,-0.122,0.4541,0.5696,0.3746,0.5213,0.4479,0.5645,0.5403,0.5524,0.5962,0.6514,0.6238
13.7,-0.1234,0.4669,0.5751,0.3806,0.5403,0.4604,0.5676,0.5471,0.5573,0.5907,0.6532,0.6219
13.8,-0.1225,0.4814,0.5817,0.3893,0.5602,0.4747,0.5718,0.5552,0.5635,0.5856,0.6539,0.6197
13.9,-0.1195,0.4978,0.5894,0.4009,0.5806,0.4907,0.5773,0.5645,0.5709,0.5813,0.6541,0.6177
14,-0.1142,0.5163,0.5979,0.415,0.6011,0.508,0.584,0.5747,0.5793,0.5783,0.6541,0.6162
14.1,-0.1064,0.5367,0.6069,0.4315,0.6212,0.5264,0.5917,0.5854,0.5885,0.5767,0.6541,0.6154
14.2,-0.0956,0.5592,0.6162,0.4504,0.6406,0.5455,0.6005,0.5964,0.5984,0.5769,0.6544,0.6157
14.3,-0.082,0.5836,0.6261,0.4715,0.6593,0.5654,0.6103,0.6078,0.6091,0.5793,0.6553,0.6173
14.4,-0.0663,0.6094,0.6367,0.4947,0.677,0.5859,0.6214,0.6198,0.6206,0.5842,0.6575,0.6208
14.5,-0.0496,0.6361,0.6479,0.5196,0.6938,0.6067,0.6335,0.6325,0.633,0.5916,0.6611,0.6264
14.6,-0.0332,0.663,0.6598,0.5455,0.7097,0.6276,0.6465,0.6456,0.6461,0.6015,0.6665,0.634
14.7,-0.0183,0.6894,0.6723,0.5722,0.7247,0.6485,0.6602,0.659,0.6596,0.6133,0.6735,0.6434
14.8,-0.0057,0.715,0.6851,0.5993,0.739,0.6691,0.6743,0.6723,0.6733,0.6266,0.6817,0.6542
14.9,0.0034,0.7393,0.6981,0.6267,0.7524,0.6895,0.6885,0.6851,0.6868,0.6409,0.691,0.6659
