Time,Woolworths Jamie Oliver TVC,Woolworths Jamie Oliver TVC,Woolworths Jamie Oliver TVC,Woolworths Jamie Oliver TVC,Woolworths Jamie Oliver TVC,Woolworths Jamie Oliver TVC,Woolworths Jamie Oliver TVC,Woolworths Jamie Oliver TVC,Woolworths Jamie Oliver TVC,Woolworths Jamie Oliver TVC,Woolworths Jamie Oliver TVC,Woolworths Jamie Oliver TVC
21.4,0.1153,0.5289,0.647,0.7114,0.5687,0.64,0.7502,0.6093,0.6797,0.7367,0.7283,0.7325
21.5,0.1142,0.5327,0.6773,0.7004,0.5634,0.6319,0.7561,0.6246,0.6904,0.75,0.7404,0.7452
21.6,0.1136,0.5359,0.7051,0.6856,0.5572,0.6214,0.7601,0.6385,0.6993,0.7601,0.7503,0.7552
21.7,0.1146,0.5385,0.7296,0.6675,0.5502,0.6088,0.7625,0.6507,0.7066,0.7674,0.7582,0.7628
21.8,0.1182,0.5407,0.7506,0.6471,0.543,0.595,0.7639,0.6611,0.7125,0.7723,0.764,0.7682
21.9,0.1256,0.5433,0.7675,0.6257,0.5369,0.5813,0.7648,0.6695,0.7171,0.7752,0.768,0.7716
22,0.1376,0.547,0.7802,0.6044,0.5326,0.5685,0.7655,0.6755,0.7205,0.7764,0.7705,0.7734
22.1,0.1548,0.5517,0.7884,0.5839,0.5304,0.5572,0.7662,0.6788,0.7225,0.7761,0.7714,0.7738
22.2,0.1771,0.557,0.7923,0.5644,0.5301,0.5473,0.767,0.6795,0.7233,0.7749,0.771,0.7729
22.3,0.2038,0.5623,0.792,0.5461,0.5311,0.5386,0.7679,0.6779,0.7229,0.7729,0.7687,0.7708
22.4,0.2333,0.5668,0.7874,0.5289,0.5331,0.531,0.7684,0.6739,0.7211,0.7701,0.7643,0.7672
22.5,0.2635,0.5701,0.7784,0.5129,0.5356,0.5242,0.7679,0.6672,0.7176,0.7659,0.7573,0.7616
22.6,0.2925,0.5714,0.7649,0.4979,0.5378,0.5178,0.7657,0.6573,0.7115,0.7599,0.7477,0.7538
22.7,0.3196,0.57,0.7475,0.4839,0.5386,0.5113,0.7609,0.644,0.7024,0.7518,0.7358,0.7438
22.8,0.3444,0.5652,0.7272,0.471,0.5374,0.5042,0.7529,0.627,0.6899,0.7418,0.7219,0.7318
22.9,0.3665,0.5572,0.705,0.4591,0.5338,0.4964,0.7418,0.6066,0.6742,0.7303,0.7061,0.7182
23,0.385,0.5463,0.6819,0.4483,0.5282,0.4882,0.7282,0.5836,0.6559,0.7178,0.6889,0.7033
23.1,0.3987,0.5332,0.6587,0.4388,0.5211,0.4799,0.7129,0.5591,0.636,0.7044,0.671,0.6877
23.2,0.4069,0.5183,0.6364,0.431,0.513,0.472,0.6969,0.5346,0.6157,0.6907,0.6534,0.672
23.3,0.4095,0.5011,0.6157,0.4249,0.5042,0.4645,0.6808,0.5112,0.596,0.6772,0.6371,0.6571
23.4,0.4067,0.4814,0.5971,0.4203,0.4948,0.4576,0.6648,0.4899,0.5773,0.6644,0.6228,0.6436
23.5,0.3984,0.4595,0.581,0.4167,0.485,0.4508,0.6492,0.4709,0.5601,0.6529,0.6108,0.6319
23.6,0.3837,0.4364,0.5674,0.4137,0.4758,0.4447,0.6346,0.4554,0.545,0.6428,0.6014,0.6221
23.7,0.3625,0.414,0.5568,0.4112,0.4693,0.4402,0.6215,0.4448,0.5332,0.634,0.5942,0.6141
23.8,0.3362,0.3936,0.5486,0.4089,0.4658,0.4373,0.6099,0.439,0.5244,0.6264,0.589,0.6077
23.9,0.3075,0.3759,0.5422,0.4069,0.4649,0.4359,0.5994,0.4371,0.5183,0.6196,0.5852,0.6024
24,0.2794,0.3617,0.537,0.4055,0.4663,0.4359,0.5899,0.4382,0.5141,0.6136,0.5826,0.5981
24.1,0.2543,0.352,0.5333,0.4052,0.47,0.4376,0.5815,0.4418,0.5117,0.6088,0.581,0.5949
24.2,0.2328,0.3482,0.5316,0.4068,0.4767,0.4418,0.5749,0.4484,0.5116,0.6053,0.5809,0.5931
24.3,0.2145,0.3511,0.5322,0.4112,0.4872,0.4492,0.5706,0.4586,0.5146,0.6035,0.5822,0.5928
24.4,0.1985,0.3608,0.5354,0.419,0.5016,0.4603,0.569,0.4723,0.5207,0.6033,0.5851,0.5942
24.5,0.1839,0.3766,0.5408,0.4304,0.5195,0.4749,0.5702,0.4891,0.5297,0.605,0.5894,0.5972
24.6,0.1704,0.3971,0.5483,0.445,0.5403,0.4927,0.5737,0.5086,0.5411,0.6086,0.5952,0.6019
24.7,0.1578,0.4215,0.5579,0.4623,0.5638,0.5131,0.5792,0.5303,0.5548,0.6144,0.6025,0.6085
24.8,0.1459,0.4491,0.5699,0.4817,0.5898,0.5358,0.5867,0.554,0.5703,0.6224,0.6115,0.6169
24.9,0.1345,0.4795,0.5841,0.5029,0.6178,0.5604,0.5959,0.5793,0.5876,0.6323,0.622,0.6272
25,0.123,0.5119,0.6002,0.5255,0.6471,0.5863,0.6065,0.6061,0.6063,0.6437,0.6339,0.6388
25.1,0.1114,0.5455,0.6175,0.5489,0.6769,0.6129,0.6178,0.6335,0.6257,0.6562,0.6468,0.6515
25.2,0.0994,0.5797,0.6352,0.5721,0.7063,0.6392,0.6293,0.661,0.6452,0.6691,0.6599,0.6645
25.3,0.0868,0.6136,0.6529,0.5941,0.7347,0.6644,0.6405,0.6878,0.6641,0.682,0.6731,0.6776
25.4,0.0735,0.6465,0.6704,0.6142,0.7615,0.6878,0.6511,0.7132,0.6821,0.695,0.6862,0.6906
25.5,0.0594,0.6774,0.6877,0.6319,0.7862,0.709,0.6609,0.7369,0.6989,0.7078,0.6995,0.7036
25.6,0.0445,0.7056,0.7045,0.647,0.8083,0.7276,0.6699,0.7584,0.7141,0.7204,0.7127,0.7165
25.7,0.0291,0.7306,0.7202,0.6594,0.8275,0.7435,0.6777,0.7771,0.7274,0.732,0.7254,0.7287
25.8,0.0136,0.7522,0.7339,0.6689,0.8434,0.7562,0.6838,0.7925,0.7381,0.7419,0.7367,0.7393
25.9,-0.0013,0.7705,0.7447,0.6751,0.8556,0.7654,0.6876,0.804,0.7458,0.7493,0.7461,0.7477
26,-0.0145,0.7853,0.7523,0.6777,0.864,0.7708,0.6891,0.8116,0.7504,0.754,0.7535,0.7538
26.1,-0.0251,0.7965,0.7564,0.6767,0.8682,0.7724,0.6882,0.8154,0.7518,0.7562,0.7592,0.7577
26.2,-0.0322,0.8037,0.7569,0.6722,0.8682,0.7702,0.6854,0.8154,0.7504,0.7559,0.7631,0.7595
26.3,-0.0355,0.8069,0.7534,0.6646,0.8636,0.7641,0.6809,0.8112,0.7461,0.7526,0.7646,0.7586
26.4,-0.0353,0.806,0.7449,0.6538,0.8537,0.7537,0.6749,0.8022,0.7385,0.7454,0.7631,0.7542
26.5,-0.0318,0.8012,0.7309,0.6402,0.8378,0.739,0.6672,0.7878,0.7275,0.7337,0.7582,0.746
26.6,-0.025,0.7928,0.7114,0.6243,0.8159,0.7201,0.6578,0.768,0.7129,0.7178,0.7499,0.7338
26.7,-0.0144,0.7814,0.6872,0.6072,0.7884,0.6978,0.6471,0.7432,0.6951,0.6983,0.7384,0.7184
26.8,0.0003,0.7673,0.659,0.5896,0.7564,0.673,0.6356,0.7142,0.6749,0.6763,0.7241,0.7002
26.9,0.0189,0.7516,0.6277,0.5721,0.7211,0.6466,0.6241,0.6818,0.653,0.6525,0.707,0.6798
27,0.0402,0.7351,0.5944,0.5553,0.684,0.6197,0.613,0.6474,0.6302,0.6278,0.6878,0.6578
27.1,0.0626,0.719,0.5603,0.5401,0.647,0.5935,0.6025,0.6131,0.6078,0.6034,0.6673,0.6354
27.2,0.0842,0.7046,0.5263,0.5273,0.6112,0.5692,0.5928,0.5802,0.5865,0.5808,0.647,0.6139
27.3,0.1039,0.6926,0.4937,0.5178,0.5779,0.5478,0.5848,0.5502,0.5675,0.5613,0.628,0.5946
27.4,0.1208,0.6834,0.4637,0.5124,0.5489,0.5306,0.5795,0.5244,0.5519,0.546,0.6114,0.5787
27.5,0.1336,0.6777,0.4371,0.5111,0.5257,0.5184,0.5773,0.5035,0.5404,0.5353,0.5978,0.5665
27.6,0.1412,0.6754,0.4143,0.5137,0.509,0.5114,0.5783,0.4879,0.5331,0.5285,0.5873,0.5579
27.7,0.1429,0.6758,0.3953,0.5197,0.4987,0.5092,0.5818,0.4774,0.5296,0.525,0.5796,0.5523
27.8,0.1383,0.678,0.3801,0.5283,0.4942,0.5113,0.5872,0.4716,0.5294,0.5241,0.5743,0.5492
27.9,0.1276,0.6815,0.3688,0.5391,0.4949,0.517,0.5938,0.4699,0.5319,0.5255,0.571,0.5483
28,0.1108,0.6861,0.3612,0.5513,0.5003,0.5258,0.6011,0.4717,0.5364,0.5286,0.5692,0.5489
28.1,0.0885,0.692,0.3573,0.5646,0.51,0.5373,0.6083,0.4765,0.5424,0.5321,0.5685,0.5503
28.2,0.0618,0.6988,0.3567,0.5785,0.5233,0.5509,0.6145,0.4835,0.549,0.5348,0.5682,0.5515
28.3,0.0331,0.7058,0.3589,0.5928,0.5395,0.5661,0.6187,0.4918,0.5552,0.5353,0.568,0.5516
28.4,0.0053,0.7126,0.3636,0.6075,0.558,0.5827,0.6204,0.5005,0.5605,0.5332,0.5674,0.5503
28.5,-0.0185,0.7196,0.3711,0.6224,0.5787,0.6006,0.6194,0.5093,0.5643,0.529,0.5665,0.5478
28.6,-0.0356,0.7274,0.3815,0.6379,0.6012,0.6195,0.6163,0.5178,0.5671,0.5233,0.5655,0.5444
28.7,-0.0447,0.7363,0.3948,0.654,0.625,0.6395,0.6115,0.5263,0.5689,0.517,0.5644,0.5407
28.8,-0.0455,0.7462,0.4102,0.6709,0.6494,0.6602,0.6055,0.5344,0.5699,0.5104,0.5635,0.537
28.9,-0.0386,0.7568,0.4266,0.6882,0.6738,0.681,0.5986,0.542,0.5703,0.5042,0.5627,0.5334
29,-0.0258,0.7675,0.4429,0.7049,0.6975,0.7012,0.5912,0.5489,0.5701,0.4989,0.5619,0.5304
29.1,-0.009,0.7783,0.4588,0.72,0.7196,0.7198,0.5841,0.5555,0.5698,0.4956,0.5615,0.5286
29.2,0.0108,0.7893,0.4747,0.7328,0.7398,0.7363,0.5782,0.5624,0.5703,0.4954,0.5623,0.5289
29.3,0.0329,0.8004,0.4914,0.7433,0.7579,0.7506,0.5751,0.5702,0.5727,0.4994,0.5655,0.5324
29.4,0.0572,0.8117,0.5093,0.7517,0.7743,0.763,0.5757,0.5791,0.5774,0.5085,0.5719,0.5402
29.5,0.083,0.8231,0.5284,0.7581,0.7894,0.7738,0.5805,0.5883,0.5844,0.523,0.5816,0.5523
29.6,0.1087,0.8344,0.5479,0.7626,0.8032,0.7829,0.5894,0.5973,0.5933,0.5425,0.5943,0.5684
29.7,0.1326,0.8451,0.5668,0.7648,0.8152,0.79,0.6016,0.6054,0.6035,0.5656,0.6089,0.5873
29.8,0.1534,0.8549,0.5844,0.7645,0.8252,0.7948,0.6164,0.6128,0.6146,0.5913,0.6247,0.608
29.9,0.1708,0.8632,0.6002,0.7616,0.8329,0.7973,0.633,0.62,0.6265,0.6188,0.6412,0.63
