Time,Kayo - Footy is Back 30 TVC,Kayo - Footy is Back 30 TVC,Kayo - Footy is Back 30 TVC,Kayo - Footy is Back 30 TVC,Kayo - Footy is Back 30 TVC,Kayo - Footy is Back 30 TVC,Kayo - Footy is Back 30 TVC,Kayo - Footy is Back 30 TVC,Kayo - Footy is Back 30 TVC,Kayo - Footy is Back 30 TVC,Kayo - Footy is Back 30 TVC,Kayo - Footy is Back 30 TVC
21.3,0.2214,0.7156,0.6093,0.7571,0.6896,0.7234,0.4874,0.4635,0.4755,0.3929,0.3038,0.3483
21.4,0.2128,0.7099,0.6033,0.7507,0.7134,0.732,0.5282,0.4671,0.4976,0.4199,0.338,0.379
21.5,0.1955,0.6991,0.5965,0.7362,0.733,0.7346,0.5687,0.4723,0.5205,0.4445,0.3733,0.4089
21.6,0.1704,0.683,0.5895,0.7152,0.7478,0.7315,0.607,0.4787,0.5429,0.4657,0.4082,0.437
21.7,0.1398,0.6629,0.5827,0.6906,0.7579,0.7242,0.6411,0.4855,0.5633,0.483,0.4413,0.4622
21.8,0.1075,0.6408,0.5755,0.6658,0.7635,0.7147,0.6685,0.4921,0.5803,0.4955,0.4708,0.4832
21.9,0.0781,0.6178,0.5679,0.6433,0.7647,0.704,0.6877,0.4984,0.593,0.5029,0.496,0.4995
22,0.0554,0.5938,0.5602,0.6235,0.7606,0.692,0.6981,0.5042,0.6012,0.5059,0.5165,0.5112
22.1,0.0407,0.5682,0.5531,0.6058,0.75,0.6779,0.7004,0.5091,0.6047,0.5057,0.5325,0.5191
22.2,0.0336,0.5412,0.5469,0.5889,0.7324,0.6607,0.6957,0.5123,0.604,0.5031,0.5439,0.5235
22.3,0.0338,0.5136,0.5406,0.5726,0.708,0.6403,0.6852,0.513,0.5991,0.4978,0.5509,0.5243
22.4,0.0412,0.4863,0.533,0.5573,0.6776,0.6174,0.6702,0.5105,0.5903,0.4897,0.5535,0.5216
22.5,0.0565,0.4605,0.5231,0.5439,0.6421,0.593,0.6524,0.5042,0.5783,0.479,0.5522,0.5156
22.6,0.0809,0.4369,0.5116,0.5333,0.6032,0.5682,0.6335,0.4946,0.5641,0.4663,0.5479,0.5071
22.7,0.1145,0.4164,0.4997,0.5261,0.5628,0.5444,0.6154,0.4825,0.5489,0.4524,0.5414,0.4969
22.8,0.156,0.3996,0.4889,0.5223,0.5236,0.5229,0.599,0.4692,0.5341,0.438,0.5339,0.486
22.9,0.2035,0.3874,0.4793,0.5221,0.4881,0.5051,0.5845,0.4558,0.5202,0.4239,0.5261,0.475
23,0.2554,0.3807,0.4702,0.5262,0.4578,0.492,0.5718,0.4426,0.5072,0.4104,0.5184,0.4644
23.1,0.31,0.3802,0.461,0.5354,0.434,0.4847,0.5606,0.4296,0.4951,0.398,0.5108,0.4544
23.2,0.3652,0.3864,0.4518,0.55,0.417,0.4835,0.5509,0.417,0.484,0.3866,0.5033,0.445
23.3,0.4182,0.3989,0.4432,0.5693,0.407,0.4881,0.543,0.405,0.474,0.3758,0.4961,0.436
23.4,0.4654,0.4166,0.436,0.5918,0.4034,0.4976,0.5368,0.3941,0.4655,0.3654,0.4888,0.4271
23.5,0.5037,0.4379,0.4307,0.6161,0.4048,0.5104,0.5319,0.3849,0.4584,0.3553,0.4815,0.4184
23.6,0.5316,0.4611,0.4271,0.6405,0.4095,0.525,0.5278,0.3777,0.4528,0.3453,0.4741,0.4097
23.7,0.5488,0.4849,0.4251,0.664,0.4168,0.5404,0.5245,0.3732,0.4489,0.3354,0.4665,0.401
23.8,0.5559,0.5085,0.4247,0.6858,0.4265,0.5562,0.5228,0.3717,0.4472,0.3252,0.4589,0.392
23.9,0.5537,0.5314,0.426,0.705,0.4388,0.5719,0.5232,0.3732,0.4482,0.3145,0.4507,0.3826
24,0.5429,0.5522,0.4289,0.72,0.4536,0.5868,0.5262,0.3775,0.4518,0.3034,0.4412,0.3723
24.1,0.5232,0.5696,0.4325,0.7291,0.4697,0.5994,0.5314,0.3842,0.4578,0.2921,0.4298,0.361
24.2,0.4951,0.5824,0.4363,0.7308,0.4858,0.6083,0.5385,0.3932,0.4659,0.2808,0.4165,0.3486
24.3,0.4608,0.5905,0.4404,0.7251,0.5006,0.6128,0.5467,0.4046,0.4756,0.2696,0.4017,0.3356
24.4,0.423,0.595,0.4446,0.7129,0.5135,0.6132,0.555,0.4183,0.4867,0.2587,0.3862,0.3225
24.5,0.384,0.5974,0.4489,0.6956,0.5246,0.6101,0.5619,0.4341,0.498,0.2487,0.3707,0.3097
24.6,0.3458,0.5982,0.4528,0.6746,0.5339,0.6043,0.5663,0.4514,0.5088,0.24,0.3552,0.2976
24.7,0.309,0.5974,0.4564,0.651,0.5413,0.5962,0.5678,0.4698,0.5188,0.2334,0.3401,0.2868
24.8,0.2746,0.5948,0.4601,0.6259,0.547,0.5864,0.5676,0.4891,0.5284,0.2295,0.3261,0.2778
24.9,0.2438,0.5911,0.4641,0.601,0.5516,0.5763,0.5665,0.509,0.5378,0.2281,0.3137,0.2709
25,0.2181,0.5874,0.468,0.578,0.5559,0.567,0.5642,0.5292,0.5467,0.2287,0.3032,0.2659
25.1,0.1988,0.5844,0.4708,0.5581,0.5605,0.5593,0.5604,0.5489,0.5547,0.2308,0.2945,0.2627
25.2,0.1868,0.5823,0.4723,0.5418,0.5652,0.5535,0.5551,0.5678,0.5615,0.2341,0.2877,0.2609
25.3,0.1821,0.5803,0.4733,0.5288,0.5701,0.5494,0.5493,0.5857,0.5675,0.2385,0.283,0.2608
25.4,0.1839,0.5778,0.4747,0.5187,0.5749,0.5468,0.5442,0.6022,0.5732,0.2443,0.2812,0.2628
25.5,0.1903,0.5745,0.4765,0.5112,0.5798,0.5455,0.5401,0.6168,0.5784,0.2516,0.2822,0.2669
25.6,0.2003,0.5708,0.4783,0.5063,0.5853,0.5458,0.5366,0.6288,0.5827,0.2599,0.2855,0.2727
25.7,0.2137,0.567,0.4797,0.5046,0.5925,0.5485,0.5338,0.6383,0.586,0.2679,0.2898,0.2788
25.8,0.2301,0.5634,0.4806,0.5064,0.6023,0.5544,0.5318,0.6459,0.5888,0.2743,0.2943,0.2843
25.9,0.2475,0.5602,0.4816,0.5117,0.6157,0.5637,0.5309,0.6524,0.5917,0.2783,0.2989,0.2886
26,0.2625,0.5571,0.4831,0.5191,0.6327,0.5759,0.531,0.6583,0.5946,0.2792,0.3034,0.2913
26.1,0.2714,0.5539,0.4852,0.5271,0.6519,0.5895,0.5309,0.6636,0.5973,0.2771,0.3081,0.2926
26.2,0.2719,0.5502,0.4872,0.5343,0.671,0.6027,0.5296,0.6677,0.5986,0.2722,0.3125,0.2924
26.3,0.264,0.546,0.488,0.5404,0.6882,0.6143,0.5261,0.6696,0.5979,0.2645,0.3158,0.2902
26.4,0.2496,0.5415,0.4875,0.5455,0.7018,0.6237,0.5206,0.6689,0.5948,0.2541,0.3174,0.2857
26.5,0.2302,0.5367,0.4865,0.5497,0.7115,0.6306,0.5139,0.6659,0.5899,0.2421,0.3172,0.2797
26.6,0.2067,0.5319,0.4866,0.5528,0.7174,0.6351,0.507,0.6622,0.5846,0.2303,0.3161,0.2732
26.7,0.1803,0.5273,0.4882,0.5546,0.7198,0.6372,0.5012,0.6596,0.5804,0.2199,0.3144,0.2671
26.8,0.1525,0.5228,0.491,0.5554,0.7185,0.637,0.4964,0.6588,0.5776,0.2111,0.312,0.2616
26.9,0.1252,0.5184,0.4938,0.5555,0.7136,0.6345,0.492,0.6595,0.5757,0.204,0.3085,0.2563
27,0.0995,0.5141,0.4955,0.5546,0.7054,0.63,0.4871,0.6615,0.5743,0.1982,0.3042,0.2512
27.1,0.0753,0.51,0.4962,0.5523,0.6948,0.6235,0.4818,0.6656,0.5737,0.1944,0.2999,0.2472
27.2,0.0524,0.5064,0.496,0.5483,0.6826,0.6155,0.4768,0.673,0.5749,0.1936,0.2963,0.2449
27.3,0.0313,0.5038,0.4947,0.5431,0.6692,0.6062,0.4728,0.6847,0.5788,0.1973,0.2939,0.2456
27.4,0.0127,0.5025,0.4916,0.5375,0.6546,0.5961,0.47,0.7002,0.5851,0.2064,0.2936,0.25
27.5,-0.0024,0.5027,0.4868,0.5324,0.6386,0.5855,0.468,0.7183,0.5932,0.2205,0.296,0.2582
27.6,-0.0135,0.505,0.4814,0.528,0.6216,0.5748,0.4659,0.7377,0.6018,0.2393,0.3015,0.2704
27.7,-0.021,0.5092,0.4772,0.5249,0.6042,0.5646,0.4622,0.7576,0.6099,0.2617,0.3104,0.2861
27.8,-0.0259,0.5152,0.4757,0.5234,0.5869,0.5551,0.4561,0.7774,0.6168,0.2862,0.3224,0.3043
27.9,-0.0283,0.5219,0.4777,0.5233,0.5694,0.5463,0.4476,0.7962,0.6219,0.3106,0.3371,0.3238
28,-0.0267,0.5282,0.4835,0.5241,0.5509,0.5375,0.4378,0.8133,0.6255,0.3324,0.3536,0.343
28.1,-0.0201,0.5327,0.493,0.5248,0.5306,0.5277,0.4279,0.828,0.628,0.3499,0.3711,0.3605
28.2,-0.0083,0.5346,0.5058,0.5238,0.5078,0.5158,0.4182,0.8402,0.6292,0.3618,0.3887,0.3752
28.3,0.0078,0.5334,0.5209,0.5199,0.4823,0.5011,0.4078,0.8496,0.6287,0.3675,0.4058,0.3866
28.4,0.0268,0.529,0.5368,0.512,0.4537,0.4828,0.3958,0.8555,0.6257,0.367,0.4216,0.3943
28.5,0.0474,0.5214,0.5521,0.5,0.4219,0.4609,0.3823,0.8574,0.6198,0.3608,0.4356,0.3982
28.6,0.0683,0.5108,0.5664,0.4844,0.3873,0.4359,0.368,0.8556,0.6118,0.3497,0.4471,0.3984
28.7,0.0885,0.4977,0.5798,0.4657,0.351,0.4083,0.3541,0.8512,0.6027,0.3345,0.4556,0.3951
28.8,0.1072,0.4829,0.5908,0.4442,0.3139,0.3791,0.3406,0.8443,0.5925,0.3157,0.4605,0.3881
28.9,0.1241,0.467,0.5973,0.4202,0.277,0.3486,0.3274,0.8342,0.5808,0.2934,0.4609,0.3771
29,0.1403,0.4509,0.5983,0.3948,0.2412,0.318,0.3144,0.8205,0.5675,0.2678,0.4563,0.3621
29.1,0.1565,0.4354,0.5941,0.3696,0.2077,0.2887,0.3024,0.8041,0.5532,0.2397,0.4475,0.3436
29.2,0.1724,0.4211,0.5858,0.3458,0.1776,0.2617,0.2919,0.7865,0.5392,0.2106,0.4357,0.3232
29.3,0.187,0.4086,0.574,0.3243,0.1512,0.2377,0.2838,0.7682,0.526,0.1824,0.422,0.3022
29.4,0.2006,0.3981,0.5585,0.3053,0.1279,0.2166,0.2785,0.7489,0.5137,0.1564,0.4065,0.2814
29.5,0.215,0.3895,0.5379,0.2894,0.1071,0.1983,0.2765,0.7276,0.502,0.1334,0.3886,0.261
29.6,0.2319,0.3834,0.511,0.2772,0.0892,0.1832,0.2786,0.7041,0.4913,0.1134,0.3676,0.2405
29.7,0.2515,0.3808,0.4781,0.2697,0.0755,0.1726,0.2853,0.6788,0.4821,0.0964,0.3431,0.2198
29.8,0.2728,0.3826,0.4406,0.2676,0.0671,0.1673,0.2966,0.6529,0.4747,0.0826,0.3159,0.1992
29.9,0.2926,0.3898,0.4005,0.2707,0.0643,0.1675,0.3116,0.6275,0.4695,0.072,0.2868,0.1794
