Time,Daphnee Hair Straightner TVC,Daphnee Hair Straightner TVC,Daphnee Hair Straightner TVC,Daphnee Hair Straightner TVC,Daphnee Hair Straightner TVC,Daphnee Hair Straightner TVC,Daphnee Hair Straightner TVC,Daphnee Hair Straightner TVC,Daphnee Hair Straightner TVC,Daphnee Hair Straightner TVC,Daphnee Hair Straightner TVC,Daphnee Hair Straightner TVC
21.4,-0.0368,0.5402,0.4487,0.4143,0.5695,0.4919,0.4049,0.4812,0.4431,0.4939,0.5787,0.5363
21.5,-0.0286,0.5299,0.4535,0.4101,0.5566,0.4834,0.4144,0.4807,0.4475,0.4875,0.5658,0.5266
21.6,-0.0214,0.519,0.4578,0.4043,0.5454,0.4748,0.4243,0.4814,0.4528,0.484,0.5542,0.5191
21.7,-0.0154,0.5078,0.4622,0.3965,0.5357,0.4661,0.4345,0.4836,0.4591,0.4839,0.5451,0.5145
21.8,-0.0104,0.4969,0.4684,0.3875,0.5276,0.4576,0.4453,0.4877,0.4665,0.4882,0.5398,0.514
21.9,-0.006,0.4867,0.4777,0.3779,0.521,0.4494,0.4568,0.4934,0.4751,0.4972,0.5389,0.5181
22,-0.0018,0.4776,0.4902,0.3681,0.5156,0.4418,0.4687,0.5004,0.4846,0.5107,0.5418,0.5263
22.1,0.0027,0.4692,0.5054,0.3584,0.511,0.4347,0.4806,0.5085,0.4946,0.5273,0.5474,0.5374
22.2,0.008,0.4617,0.5227,0.349,0.5071,0.428,0.492,0.5176,0.5048,0.5458,0.5546,0.5502
22.3,0.015,0.4552,0.5413,0.3404,0.5039,0.4222,0.5027,0.5279,0.5153,0.5652,0.563,0.5641
22.4,0.0242,0.4506,0.5612,0.3338,0.502,0.4179,0.5127,0.5392,0.5259,0.5855,0.5727,0.5791
22.5,0.0356,0.4483,0.5818,0.3298,0.5016,0.4157,0.5225,0.5514,0.537,0.6069,0.5837,0.5953
22.6,0.0485,0.4486,0.6022,0.329,0.5028,0.4159,0.5326,0.5644,0.5485,0.629,0.5959,0.6124
22.7,0.0625,0.4512,0.6209,0.3317,0.5056,0.4186,0.5428,0.5777,0.5603,0.651,0.6086,0.6298
22.8,0.0778,0.4564,0.6366,0.3384,0.51,0.4242,0.5532,0.5911,0.5722,0.6719,0.6208,0.6464
22.9,0.0951,0.464,0.6485,0.3494,0.5162,0.4328,0.5634,0.6038,0.5836,0.6909,0.6318,0.6614
23,0.1143,0.4741,0.6561,0.3648,0.5241,0.4445,0.5732,0.6148,0.594,0.7072,0.6406,0.6739
23.1,0.1346,0.4868,0.6596,0.3844,0.5336,0.459,0.5827,0.6237,0.6032,0.7201,0.6467,0.6834
23.2,0.1547,0.5022,0.66,0.4079,0.5448,0.4763,0.5921,0.6307,0.6114,0.7291,0.6501,0.6896
23.3,0.173,0.5207,0.6587,0.4351,0.558,0.4965,0.6017,0.6365,0.6191,0.734,0.6511,0.6925
23.4,0.189,0.5422,0.6572,0.4662,0.5732,0.5197,0.6118,0.6423,0.627,0.735,0.6506,0.6928
23.5,0.2023,0.5662,0.6566,0.5004,0.59,0.5452,0.6225,0.6485,0.6355,0.7326,0.6492,0.6909
23.6,0.2126,0.5914,0.6571,0.5364,0.6071,0.5718,0.634,0.6552,0.6446,0.7269,0.6472,0.687
23.7,0.219,0.6166,0.6584,0.5725,0.6239,0.5982,0.6462,0.662,0.6541,0.7178,0.6443,0.6811
23.8,0.2201,0.6412,0.6604,0.6075,0.6403,0.6239,0.6592,0.669,0.6641,0.7053,0.6411,0.6732
23.9,0.2144,0.6654,0.6634,0.6409,0.6571,0.649,0.673,0.6762,0.6746,0.6899,0.6377,0.6638
24,0.2012,0.6896,0.6675,0.6725,0.675,0.6738,0.6873,0.6836,0.6855,0.6726,0.6347,0.6536
24.1,0.1803,0.7136,0.6727,0.7017,0.6942,0.6979,0.7018,0.6916,0.6967,0.6538,0.6322,0.643
24.2,0.1527,0.7366,0.6786,0.7272,0.7138,0.7205,0.716,0.7002,0.7081,0.634,0.6301,0.632
24.3,0.1199,0.7572,0.6852,0.748,0.7331,0.7405,0.7295,0.7097,0.7196,0.6129,0.6282,0.6205
24.4,0.0842,0.7748,0.6921,0.7636,0.7516,0.7576,0.7427,0.7206,0.7316,0.5911,0.6267,0.6089
24.5,0.0477,0.7889,0.6995,0.7743,0.7695,0.7719,0.7555,0.7333,0.7444,0.5697,0.6259,0.5978
24.6,0.0119,0.7996,0.707,0.7804,0.7868,0.7836,0.7683,0.7472,0.7577,0.5502,0.6266,0.5884
24.7,-0.0218,0.8067,0.7147,0.7823,0.8031,0.7927,0.7809,0.7614,0.7712,0.5335,0.6289,0.5812
24.8,-0.0527,0.8105,0.7223,0.7802,0.8179,0.7991,0.7935,0.7751,0.7843,0.5203,0.633,0.5767
24.9,-0.0798,0.811,0.7297,0.775,0.8308,0.8029,0.8061,0.7877,0.7969,0.5107,0.6385,0.5746
25,-0.1021,0.8089,0.7374,0.7678,0.8413,0.8045,0.819,0.7994,0.8092,0.5046,0.6448,0.5747
25.1,-0.1185,0.8045,0.7453,0.7599,0.8492,0.8045,0.832,0.8101,0.8211,0.502,0.6512,0.5766
25.2,-0.1278,0.7981,0.7534,0.7523,0.8544,0.8033,0.845,0.8196,0.8323,0.5028,0.657,0.5799
25.3,-0.1299,0.7901,0.7611,0.7455,0.8569,0.8012,0.8574,0.8272,0.8423,0.5059,0.6608,0.5834
25.4,-0.1249,0.7808,0.7677,0.74,0.857,0.7985,0.869,0.8329,0.8509,0.5099,0.6619,0.5859
25.5,-0.1139,0.7706,0.7726,0.736,0.8553,0.7957,0.8799,0.8367,0.8583,0.5135,0.6597,0.5866
25.6,-0.0987,0.7599,0.776,0.734,0.8523,0.7932,0.8905,0.8392,0.8648,0.516,0.654,0.585
25.7,-0.0808,0.7489,0.7779,0.734,0.8482,0.7911,0.9006,0.8407,0.8707,0.5174,0.645,0.5812
25.8,-0.0606,0.7376,0.7786,0.7357,0.8426,0.7891,0.9101,0.8409,0.8755,0.5175,0.6326,0.5751
25.9,-0.0384,0.7256,0.778,0.7386,0.8352,0.7869,0.9183,0.8394,0.8789,0.516,0.6164,0.5662
26,-0.0139,0.7128,0.7756,0.7423,0.8258,0.7841,0.925,0.836,0.8805,0.5124,0.5963,0.5544
26.1,0.0131,0.6993,0.7713,0.7469,0.8149,0.7809,0.9306,0.8309,0.8807,0.5067,0.5729,0.5398
26.2,0.0421,0.6857,0.7655,0.7526,0.8033,0.7779,0.9355,0.825,0.8803,0.5,0.5478,0.5239
26.3,0.0724,0.6727,0.7591,0.7598,0.7918,0.7758,0.9407,0.8192,0.8799,0.4935,0.5229,0.5082
26.4,0.1028,0.6611,0.7531,0.7686,0.7811,0.7748,0.9462,0.8142,0.8802,0.4881,0.4997,0.4939
26.5,0.1325,0.6514,0.7482,0.7788,0.7713,0.775,0.9521,0.8106,0.8813,0.4837,0.4791,0.4814
26.6,0.1611,0.6437,0.7448,0.7899,0.7625,0.7762,0.9581,0.8088,0.8834,0.4801,0.4615,0.4708
26.7,0.1885,0.6382,0.7423,0.8013,0.755,0.7782,0.9642,0.8089,0.8865,0.4774,0.4473,0.4623
26.8,0.2146,0.6345,0.7395,0.8125,0.7491,0.7808,0.9699,0.8106,0.8903,0.4757,0.4371,0.4564
26.9,0.2387,0.6323,0.7347,0.8231,0.7446,0.7838,0.9748,0.8131,0.894,0.4752,0.4305,0.4528
27,0.26,0.6313,0.7265,0.8325,0.7413,0.7869,0.9779,0.8152,0.8965,0.4752,0.4267,0.4509
27.1,0.2778,0.6316,0.7145,0.8407,0.7394,0.79,0.9785,0.8158,0.8972,0.475,0.4245,0.4497
27.2,0.292,0.6336,0.6995,0.8478,0.7392,0.7935,0.9764,0.8151,0.8958,0.474,0.4235,0.4488
27.3,0.3027,0.6378,0.683,0.8539,0.7411,0.7975,0.9719,0.8136,0.8928,0.4724,0.4237,0.448
27.4,0.3106,0.6447,0.6654,0.8591,0.7455,0.8023,0.966,0.8124,0.8892,0.4701,0.4248,0.4475
27.5,0.3165,0.6539,0.6472,0.8634,0.7518,0.8076,0.9591,0.8121,0.8856,0.467,0.4274,0.4472
27.6,0.3216,0.665,0.6289,0.8667,0.7598,0.8133,0.9519,0.8128,0.8824,0.4629,0.4315,0.4472
27.7,0.3277,0.6781,0.6111,0.8698,0.7695,0.8197,0.945,0.8148,0.8799,0.4584,0.4375,0.448
27.8,0.3363,0.6936,0.5947,0.8732,0.7813,0.8272,0.9386,0.8176,0.8781,0.4548,0.4459,0.4504
27.9,0.3476,0.7113,0.5804,0.8766,0.7951,0.8358,0.9322,0.8203,0.8762,0.4533,0.4571,0.4552
28,0.3601,0.7299,0.5682,0.8791,0.8102,0.8447,0.9248,0.8211,0.873,0.454,0.4702,0.4621
28.1,0.3718,0.7478,0.5578,0.8798,0.8255,0.8526,0.9159,0.8189,0.8674,0.4557,0.4836,0.4696
28.2,0.3812,0.7636,0.549,0.8782,0.8403,0.8592,0.9058,0.8133,0.8596,0.4571,0.4957,0.4764
28.3,0.3874,0.7771,0.5423,0.8748,0.8545,0.8646,0.8954,0.8051,0.8503,0.4581,0.5059,0.482
28.4,0.3902,0.7884,0.5381,0.8702,0.8685,0.8694,0.8855,0.7949,0.8402,0.4598,0.5144,0.4871
28.5,0.3899,0.7977,0.5369,0.8651,0.8826,0.8738,0.8762,0.7828,0.8295,0.4635,0.5221,0.4928
28.6,0.3868,0.8047,0.539,0.8593,0.8961,0.8777,0.8684,0.7689,0.8187,0.4697,0.5295,0.4996
28.7,0.3811,0.8094,0.5435,0.8528,0.9082,0.8805,0.8625,0.7531,0.8078,0.4776,0.5364,0.507
28.8,0.3734,0.8115,0.55,0.8457,0.9181,0.8819,0.8581,0.7359,0.797,0.4867,0.5424,0.5145
28.9,0.3637,0.8111,0.5582,0.8377,0.925,0.8813,0.8548,0.7173,0.786,0.4969,0.5473,0.5221
29,0.3528,0.8085,0.5678,0.8288,0.9282,0.8785,0.8512,0.6973,0.7742,0.5085,0.5512,0.5298
29.1,0.3422,0.8041,0.5783,0.8189,0.9275,0.8732,0.8463,0.676,0.7612,0.5223,0.5546,0.5384
29.2,0.3334,0.7983,0.5894,0.8083,0.9228,0.8655,0.8397,0.6539,0.7468,0.5386,0.5584,0.5485
29.3,0.3265,0.7917,0.6003,0.797,0.9146,0.8558,0.8313,0.6319,0.7316,0.5573,0.5634,0.5603
29.4,0.3201,0.7847,0.6104,0.7849,0.9034,0.8442,0.8214,0.6108,0.7161,0.5773,0.5695,0.5734
29.5,0.3125,0.7776,0.6188,0.772,0.8899,0.831,0.8101,0.5917,0.7009,0.5971,0.5764,0.5867
29.6,0.3026,0.7705,0.6249,0.7583,0.8743,0.8163,0.7972,0.5746,0.6859,0.615,0.5831,0.599
29.7,0.2905,0.7636,0.6283,0.7439,0.8568,0.8004,0.7827,0.5594,0.6711,0.6295,0.5891,0.6093
29.8,0.2767,0.7567,0.6289,0.7293,0.8374,0.7834,0.7668,0.5457,0.6562,0.6399,0.5945,0.6172
29.9,0.2616,0.7499,0.6266,0.7146,0.8165,0.7656,0.7499,0.5332,0.6415,0.6461,0.5992,0.6227
