Time,Target - Doug Tested 30 TVC,Target - Doug Tested 30 TVC,Target - Doug Tested 30 TVC,Target - Doug Tested 30 TVC,Target - Doug Tested 30 TVC,Target - Doug Tested 30 TVC,Target - Doug Tested 30 TVC,Target - Doug Tested 30 TVC,Target - Doug Tested 30 TVC,Target - Doug Tested 30 TVC,Target - Doug Tested 30 TVC,Target - Doug Tested 30 TVC
21.4,-0.1417,0.4582,0.5489,0.6687,0.6976,0.6831,0.6551,0.6874,0.6712,0.5512,0.5105,0.5309
21.5,-0.1372,0.456,0.5573,0.66,0.6968,0.6784,0.6456,0.6862,0.6659,0.534,0.5031,0.5186
21.6,-0.1291,0.4538,0.5646,0.6539,0.6945,0.6742,0.6364,0.6836,0.66,0.5171,0.4955,0.5063
21.7,-0.1174,0.4517,0.5705,0.6505,0.6904,0.6705,0.6281,0.6796,0.6538,0.5008,0.4877,0.4943
21.8,-0.1024,0.4495,0.5745,0.6494,0.6842,0.6668,0.621,0.6741,0.6476,0.4852,0.4798,0.4825
21.9,-0.0843,0.4473,0.5763,0.6503,0.6753,0.6628,0.6155,0.667,0.6412,0.4705,0.472,0.4712
22,-0.0632,0.4449,0.5755,0.6528,0.6632,0.658,0.6118,0.658,0.6349,0.4567,0.4643,0.4605
22.1,-0.0394,0.4424,0.5725,0.6571,0.6485,0.6528,0.6098,0.6472,0.6285,0.4443,0.4569,0.4506
22.2,-0.0131,0.44,0.5672,0.6631,0.6321,0.6476,0.6098,0.635,0.6224,0.4335,0.4499,0.4417
22.3,0.0147,0.4377,0.5598,0.6704,0.6146,0.6425,0.6116,0.6214,0.6165,0.4245,0.4436,0.4341
22.4,0.0432,0.4353,0.5497,0.6779,0.5957,0.6368,0.615,0.6063,0.6106,0.4173,0.4379,0.4276
22.5,0.0723,0.4328,0.5368,0.6844,0.5746,0.6295,0.6189,0.5894,0.6041,0.4114,0.4326,0.422
22.6,0.1024,0.4301,0.5215,0.6895,0.5512,0.6203,0.6225,0.5707,0.5966,0.4068,0.4278,0.4173
22.7,0.134,0.428,0.5048,0.6936,0.5266,0.6101,0.6253,0.551,0.5882,0.4037,0.4234,0.4136
22.8,0.1668,0.4278,0.4884,0.6979,0.5029,0.6004,0.6273,0.5314,0.5793,0.4024,0.42,0.4112
22.9,0.2002,0.4304,0.4734,0.703,0.482,0.5925,0.6282,0.5126,0.5704,0.4029,0.4179,0.4104
23,0.2334,0.4366,0.4603,0.7092,0.4643,0.5868,0.6276,0.4954,0.5615,0.4045,0.4173,0.4109
23.1,0.2663,0.446,0.4493,0.7165,0.4495,0.583,0.6246,0.48,0.5523,0.4064,0.4181,0.4122
23.2,0.2984,0.4581,0.4402,0.7249,0.4374,0.5812,0.6191,0.4666,0.5429,0.408,0.4198,0.4139
23.3,0.3295,0.4722,0.4329,0.7352,0.4288,0.582,0.6112,0.4557,0.5335,0.4086,0.4222,0.4154
23.4,0.3596,0.488,0.4274,0.7477,0.4246,0.5862,0.6015,0.4474,0.5244,0.408,0.4246,0.4163
23.5,0.3886,0.5045,0.4233,0.7622,0.4251,0.5936,0.5901,0.4413,0.5157,0.4057,0.4268,0.4163
23.6,0.4166,0.5209,0.4204,0.7774,0.4295,0.6034,0.5771,0.4373,0.5072,0.4015,0.4287,0.4151
23.7,0.4436,0.5365,0.4184,0.792,0.4368,0.6144,0.5624,0.4348,0.4986,0.3954,0.4302,0.4128
23.8,0.4695,0.5515,0.4172,0.8055,0.4467,0.6261,0.5461,0.4337,0.4899,0.3878,0.4315,0.4097
23.9,0.4939,0.5668,0.4161,0.8183,0.4597,0.639,0.5289,0.4336,0.4812,0.379,0.4327,0.4058
24,0.5151,0.5831,0.4149,0.8307,0.4766,0.6537,0.5112,0.4344,0.4728,0.3694,0.4336,0.4015
24.1,0.5311,0.6,0.4129,0.8423,0.4971,0.6697,0.4937,0.4355,0.4646,0.3593,0.4339,0.3966
24.2,0.5398,0.6162,0.41,0.8519,0.52,0.6859,0.4773,0.4367,0.457,0.3494,0.4336,0.3915
24.3,0.5406,0.63,0.4064,0.8589,0.5435,0.7012,0.4632,0.4379,0.4506,0.3402,0.433,0.3866
24.4,0.5334,0.6403,0.4022,0.863,0.5666,0.7148,0.4528,0.4394,0.4461,0.3328,0.433,0.3829
24.5,0.5192,0.6463,0.3979,0.8649,0.5886,0.7267,0.4471,0.4413,0.4442,0.3279,0.4348,0.3813
24.6,0.4995,0.6475,0.3936,0.8646,0.6086,0.7366,0.446,0.4433,0.4447,0.3262,0.4391,0.3826
24.7,0.4755,0.6432,0.3891,0.8621,0.6247,0.7434,0.4489,0.4445,0.4467,0.3278,0.4461,0.387
24.8,0.4482,0.6329,0.3843,0.8564,0.6354,0.7459,0.4548,0.4444,0.4496,0.3323,0.4556,0.394
24.9,0.4178,0.6165,0.3793,0.8472,0.6398,0.7435,0.4632,0.4427,0.453,0.339,0.4671,0.403
25,0.3841,0.5947,0.3748,0.8345,0.6382,0.7363,0.4741,0.44,0.457,0.3474,0.4803,0.4138
25.1,0.3474,0.5687,0.3711,0.8186,0.6314,0.725,0.4876,0.4373,0.4625,0.3575,0.4952,0.4264
25.2,0.3088,0.5393,0.3689,0.8002,0.6205,0.7104,0.5035,0.4355,0.4695,0.3691,0.5119,0.4405
25.3,0.2697,0.5075,0.3683,0.7794,0.6069,0.6932,0.5206,0.4352,0.4779,0.3824,0.5297,0.4561
25.4,0.2317,0.4742,0.3695,0.7566,0.5921,0.6743,0.5373,0.4363,0.4868,0.3973,0.5479,0.4726
25.5,0.196,0.4406,0.372,0.7322,0.5775,0.6548,0.5524,0.4388,0.4956,0.4135,0.5656,0.4896
25.6,0.1633,0.408,0.3754,0.7074,0.5642,0.6358,0.5652,0.4429,0.5041,0.4307,0.5822,0.5064
25.7,0.1337,0.3775,0.3794,0.6838,0.5526,0.6182,0.5755,0.4489,0.5122,0.4481,0.5972,0.5226
25.8,0.1073,0.3499,0.384,0.6628,0.5432,0.603,0.5832,0.4571,0.5201,0.4652,0.6104,0.5378
25.9,0.084,0.3258,0.39,0.646,0.5369,0.5914,0.589,0.468,0.5285,0.4819,0.6216,0.5518
26,0.0639,0.3059,0.3981,0.6345,0.5349,0.5847,0.5937,0.4817,0.5377,0.4981,0.6307,0.5644
26.1,0.047,0.2912,0.4085,0.6289,0.538,0.5834,0.5982,0.4981,0.5482,0.5131,0.6373,0.5752
26.2,0.0334,0.2822,0.4203,0.6288,0.5456,0.5872,0.6027,0.5167,0.5597,0.526,0.6409,0.5835
26.3,0.023,0.2791,0.432,0.6336,0.5566,0.5951,0.6071,0.5367,0.5719,0.5354,0.6409,0.5881
26.4,0.0161,0.2812,0.4423,0.6424,0.5693,0.6058,0.6112,0.5579,0.5845,0.5406,0.6369,0.5887
26.5,0.0131,0.2881,0.4506,0.6543,0.5827,0.6185,0.6153,0.5799,0.5976,0.5418,0.6293,0.5855
26.6,0.0143,0.2994,0.4568,0.6694,0.5964,0.6329,0.6205,0.6021,0.6113,0.54,0.6185,0.5792
26.7,0.0209,0.3151,0.4609,0.6879,0.6103,0.6491,0.6274,0.6239,0.6257,0.5358,0.6052,0.5705
26.8,0.0338,0.3352,0.4636,0.709,0.6236,0.6663,0.6364,0.6452,0.6408,0.5297,0.5902,0.5599
26.9,0.0537,0.3591,0.4653,0.7314,0.635,0.6832,0.6474,0.6659,0.6567,0.5217,0.5739,0.5478
27,0.08,0.3862,0.4669,0.7541,0.6439,0.699,0.6598,0.686,0.6729,0.512,0.5571,0.5345
27.1,0.1117,0.4158,0.4685,0.7768,0.6506,0.7137,0.6734,0.7052,0.6893,0.5007,0.5404,0.5206
27.2,0.1481,0.447,0.4695,0.8003,0.6566,0.7284,0.6882,0.7228,0.7055,0.4885,0.5241,0.5063
27.3,0.1881,0.4791,0.4691,0.8251,0.6624,0.7437,0.7037,0.738,0.7208,0.4756,0.5085,0.492
27.4,0.2298,0.5108,0.4673,0.8502,0.6675,0.7589,0.7197,0.7503,0.735,0.4625,0.4941,0.4783
27.5,0.2711,0.5403,0.4649,0.8738,0.6711,0.7725,0.7359,0.7597,0.7478,0.4503,0.4815,0.4659
27.6,0.3106,0.5661,0.4624,0.8938,0.6724,0.7831,0.7521,0.7662,0.7592,0.44,0.4716,0.4558
27.7,0.3482,0.5872,0.4605,0.9092,0.6717,0.7904,0.7674,0.7701,0.7688,0.4323,0.465,0.4487
27.8,0.3843,0.6034,0.4594,0.9199,0.6693,0.7946,0.7811,0.7714,0.7762,0.4278,0.4619,0.4448
27.9,0.4198,0.6148,0.4594,0.9266,0.6655,0.796,0.7922,0.7701,0.7811,0.4262,0.4619,0.4441
28,0.455,0.6225,0.4608,0.9297,0.6596,0.7946,0.8001,0.7666,0.7833,0.4269,0.4647,0.4458
28.1,0.4892,0.6275,0.4635,0.9297,0.6514,0.7906,0.8048,0.7615,0.7831,0.4296,0.4696,0.4496
28.2,0.5216,0.6311,0.4678,0.9275,0.6416,0.7846,0.8066,0.7557,0.7812,0.434,0.4759,0.455
28.3,0.5513,0.6343,0.4735,0.9244,0.6314,0.7779,0.806,0.7507,0.7784,0.44,0.4839,0.4619
28.4,0.5777,0.638,0.4804,0.9214,0.6217,0.7716,0.8032,0.7475,0.7754,0.4471,0.4933,0.4702
28.5,0.6009,0.6426,0.4884,0.9188,0.6131,0.766,0.7985,0.7467,0.7726,0.4545,0.5038,0.4792
28.6,0.6206,0.6481,0.4969,0.9164,0.6057,0.7611,0.792,0.7479,0.7699,0.4616,0.5145,0.488
28.7,0.6356,0.655,0.5052,0.9137,0.6001,0.7569,0.784,0.7504,0.7672,0.4678,0.5245,0.4961
28.8,0.6435,0.6637,0.513,0.9104,0.5977,0.754,0.775,0.7541,0.7645,0.473,0.5333,0.5032
28.9,0.6417,0.6749,0.5207,0.9069,0.5999,0.7534,0.7661,0.7595,0.7628,0.4779,0.5415,0.5097
29,0.6289,0.6894,0.5294,0.9035,0.6084,0.756,0.7584,0.7678,0.7631,0.4828,0.5498,0.5163
29.1,0.6048,0.7074,0.5398,0.8996,0.6241,0.7618,0.7524,0.7794,0.7659,0.4878,0.5587,0.5233
29.2,0.5701,0.7285,0.5518,0.8938,0.6462,0.77,0.7481,0.7933,0.7707,0.4927,0.568,0.5303
29.3,0.5252,0.7522,0.5643,0.8849,0.6734,0.7791,0.7451,0.808,0.7766,0.4967,0.5768,0.5367
29.4,0.471,0.7772,0.576,0.8726,0.7036,0.7881,0.743,0.8224,0.7827,0.4996,0.5843,0.542
29.5,0.4088,0.8025,0.5858,0.8575,0.7348,0.7962,0.7417,0.8358,0.7887,0.5015,0.5904,0.546
29.6,0.3405,0.8266,0.593,0.8401,0.765,0.8026,0.7409,0.8482,0.7946,0.5029,0.5949,0.5489
29.7,0.2683,0.8475,0.5968,0.8203,0.7929,0.8066,0.7405,0.8594,0.8,0.5044,0.5973,0.5508
29.8,0.1945,0.8639,0.5968,0.7977,0.8177,0.8077,0.74,0.8683,0.8042,0.5062,0.597,0.5516
29.9,0.121,0.8745,0.5931,0.7725,0.8389,0.8057,0.7394,0.8738,0.8066,0.5081,0.5935,0.5508
