Time,Hyundai - Have You Tried It 30 Competitor TVC,Hyundai - Have You Tried It 30 Competitor TVC,Hyundai - Have You Tried It 30 Competitor TVC,Hyundai - Have You Tried It 30 Competitor TVC,Hyundai - Have You Tried It 30 Competitor TVC,Hyundai - Have You Tried It 30 Competitor TVC,Hyundai - Have You Tried It 30 Competitor TVC,Hyundai - Have You Tried It 30 Competitor TVC,Hyundai - Have You Tried It 30 Competitor TVC,Hyundai - Have You Tried It 30 Competitor TVC,Hyundai - Have You Tried It 30 Competitor TVC,Hyundai - Have You Tried It 30 Competitor TVC
21.1,0.1314,0.3329,0.531,0.5511,0.3698,0.4604,0.4457,0.4425,0.4441,0.5773,0.6597,0.6185
21.2,0.1307,0.3432,0.5286,0.5718,0.3856,0.4787,0.4381,0.4296,0.4338,0.5802,0.6582,0.6192
21.3,0.134,0.3536,0.5215,0.5903,0.3983,0.4943,0.4287,0.4153,0.422,0.5786,0.6514,0.615
21.4,0.14,0.363,0.5101,0.6048,0.4081,0.5064,0.4182,0.4002,0.4092,0.5729,0.6396,0.6063
21.5,0.1466,0.3707,0.4951,0.614,0.415,0.5145,0.4071,0.3848,0.3959,0.5637,0.623,0.5934
21.6,0.1516,0.3764,0.4773,0.6172,0.4195,0.5184,0.3953,0.3695,0.3824,0.5512,0.602,0.5766
21.7,0.154,0.3804,0.4572,0.6145,0.4222,0.5183,0.383,0.3547,0.3688,0.5356,0.577,0.5563
21.8,0.1528,0.3831,0.4356,0.6058,0.423,0.5144,0.3706,0.3409,0.3558,0.5169,0.5488,0.5328
21.9,0.1474,0.3846,0.4132,0.5919,0.4219,0.5069,0.3588,0.3287,0.3437,0.4953,0.5178,0.5065
22,0.1371,0.3851,0.3913,0.5732,0.4186,0.4959,0.348,0.3189,0.3334,0.4711,0.4846,0.4779
22.1,0.1225,0.3847,0.3707,0.5501,0.4132,0.4817,0.3382,0.312,0.3251,0.4453,0.4497,0.4475
22.2,0.1048,0.3838,0.3519,0.5228,0.4055,0.4642,0.3292,0.3076,0.3184,0.4183,0.4137,0.416
22.3,0.0845,0.3821,0.3351,0.4911,0.3956,0.4433,0.3205,0.3051,0.3128,0.391,0.3776,0.3843
22.4,0.0616,0.3792,0.3204,0.4546,0.3833,0.4189,0.3117,0.304,0.3079,0.3637,0.3428,0.3532
22.5,0.036,0.3748,0.3089,0.414,0.3688,0.3914,0.3029,0.3043,0.3036,0.3372,0.3102,0.3237
22.6,0.0085,0.3693,0.3012,0.3708,0.3523,0.3615,0.2939,0.3067,0.3003,0.3121,0.2805,0.2963
22.7,-0.0189,0.3634,0.2972,0.3266,0.3344,0.3305,0.285,0.3116,0.2983,0.2889,0.2544,0.2716
22.8,-0.0444,0.3575,0.2963,0.2829,0.3157,0.2993,0.2766,0.3188,0.2977,0.2678,0.232,0.2499
22.9,-0.0665,0.3519,0.2979,0.2405,0.2968,0.2687,0.269,0.3276,0.2983,0.2492,0.2139,0.2316
23,-0.0847,0.3467,0.3014,0.2003,0.2785,0.2394,0.2624,0.3378,0.3001,0.233,0.1999,0.2165
23.1,-0.0989,0.3417,0.3064,0.1633,0.2614,0.2123,0.257,0.3489,0.3029,0.2193,0.1894,0.2043
23.2,-0.1084,0.3376,0.3122,0.1308,0.2463,0.1885,0.2524,0.3606,0.3065,0.2075,0.1814,0.1945
23.3,-0.1124,0.335,0.3181,0.1043,0.2337,0.169,0.2485,0.3726,0.3105,0.1973,0.1754,0.1863
23.4,-0.1106,0.3344,0.323,0.0846,0.224,0.1543,0.2452,0.3841,0.3146,0.1886,0.171,0.1798
23.5,-0.1035,0.3358,0.3262,0.072,0.2171,0.1446,0.2432,0.3947,0.319,0.1815,0.1681,0.1748
23.6,-0.0927,0.3389,0.3274,0.0665,0.2134,0.1399,0.2437,0.4041,0.3239,0.1761,0.1663,0.1712
23.7,-0.079,0.3438,0.3261,0.0677,0.2133,0.1405,0.2474,0.4118,0.3296,0.1719,0.165,0.1684
23.8,-0.0631,0.3505,0.3217,0.0754,0.2166,0.146,0.2544,0.4169,0.3356,0.1684,0.1639,0.1662
23.9,-0.0454,0.3583,0.3137,0.0892,0.2223,0.1557,0.2647,0.4181,0.3414,0.1655,0.1629,0.1642
24,-0.0261,0.3663,0.3022,0.1082,0.2286,0.1684,0.2782,0.4148,0.3465,0.1635,0.1623,0.1629
24.1,-0.0058,0.3729,0.2875,0.1312,0.2336,0.1824,0.2951,0.4066,0.3509,0.1625,0.1627,0.1626
24.2,0.0146,0.377,0.2699,0.1571,0.236,0.1966,0.3155,0.3938,0.3546,0.1628,0.1645,0.1637
24.3,0.0336,0.3786,0.2502,0.1853,0.2357,0.2105,0.3388,0.377,0.3579,0.1641,0.1676,0.1659
24.4,0.0502,0.3785,0.2292,0.2153,0.2336,0.2244,0.3642,0.3575,0.3609,0.1661,0.1718,0.1689
24.5,0.0635,0.3776,0.2077,0.2466,0.231,0.2388,0.3907,0.3368,0.3638,0.1685,0.1766,0.1725
24.6,0.0728,0.3767,0.1869,0.2782,0.2291,0.2536,0.4176,0.3163,0.367,0.1716,0.1818,0.1767
24.7,0.0776,0.3757,0.1677,0.3089,0.2282,0.2686,0.4444,0.2972,0.3708,0.176,0.187,0.1815
24.8,0.0777,0.3749,0.1512,0.3381,0.2285,0.2833,0.4701,0.2807,0.3754,0.182,0.1919,0.1869
24.9,0.0741,0.3749,0.1376,0.3659,0.2304,0.2982,0.4937,0.2678,0.3808,0.1891,0.1961,0.1926
25,0.0683,0.3764,0.1267,0.3929,0.2342,0.3136,0.5149,0.2593,0.3871,0.1966,0.1991,0.1978
25.1,0.0615,0.3798,0.1181,0.4194,0.2404,0.3299,0.5337,0.2557,0.3947,0.2039,0.2005,0.2022
25.2,0.0545,0.385,0.1116,0.4448,0.2488,0.3468,0.5504,0.2573,0.4039,0.2111,0.2002,0.2057
25.3,0.0473,0.3911,0.1074,0.4686,0.2591,0.3639,0.5649,0.2636,0.4142,0.2185,0.1985,0.2085
25.4,0.0413,0.3975,0.1057,0.4897,0.2709,0.3803,0.5763,0.274,0.4251,0.2263,0.196,0.2112
25.5,0.038,0.4036,0.1062,0.5074,0.2837,0.3955,0.584,0.2872,0.4356,0.234,0.193,0.2135
25.6,0.0382,0.4091,0.1082,0.5211,0.2974,0.4093,0.5875,0.3019,0.4447,0.2405,0.1894,0.215
25.7,0.0414,0.4139,0.1109,0.5309,0.312,0.4214,0.5869,0.3169,0.4519,0.2451,0.185,0.215
25.8,0.0476,0.4183,0.1139,0.5369,0.3277,0.4323,0.5825,0.3315,0.457,0.2473,0.1794,0.2134
25.9,0.0567,0.4226,0.1166,0.5398,0.3443,0.442,0.5747,0.3457,0.4602,0.2474,0.1727,0.2101
26,0.0694,0.427,0.1185,0.5402,0.3614,0.4508,0.5637,0.3594,0.4616,0.2456,0.1649,0.2053
26.1,0.086,0.4314,0.1186,0.5384,0.3783,0.4584,0.55,0.3719,0.461,0.2421,0.1564,0.1993
26.2,0.1054,0.4351,0.1163,0.5341,0.3939,0.464,0.5339,0.3824,0.4582,0.2372,0.1476,0.1924
26.3,0.1262,0.4375,0.1115,0.5268,0.4071,0.467,0.516,0.3906,0.4533,0.2313,0.1389,0.1851
26.4,0.1467,0.4382,0.1043,0.5165,0.4177,0.4671,0.4969,0.3969,0.4469,0.2253,0.1308,0.1781
26.5,0.1661,0.4378,0.0953,0.5036,0.4259,0.4648,0.4773,0.402,0.4397,0.22,0.1241,0.1721
26.6,0.1839,0.437,0.0849,0.4893,0.4323,0.4608,0.4579,0.4062,0.432,0.2162,0.1195,0.1678
26.7,0.1987,0.4365,0.0741,0.4738,0.437,0.4554,0.4393,0.4089,0.4241,0.2144,0.1177,0.1661
26.8,0.208,0.4361,0.0635,0.4575,0.4398,0.4486,0.4221,0.4103,0.4162,0.2153,0.1193,0.1673
26.9,0.21,0.4354,0.0541,0.4402,0.44,0.4401,0.4068,0.4109,0.4089,0.2191,0.1243,0.1717
27,0.204,0.4342,0.0468,0.4219,0.4371,0.4295,0.3936,0.4116,0.4026,0.2256,0.1327,0.1791
27.1,0.1901,0.4327,0.0422,0.4033,0.4304,0.4169,0.3822,0.4127,0.3974,0.2347,0.1444,0.1895
27.2,0.1686,0.431,0.0419,0.3853,0.4199,0.4026,0.3727,0.414,0.3933,0.2462,0.1592,0.2027
27.3,0.1405,0.4292,0.0471,0.3684,0.4061,0.3873,0.3655,0.4162,0.3909,0.2601,0.1771,0.2186
27.4,0.107,0.4271,0.0584,0.3531,0.3906,0.3718,0.361,0.4205,0.3908,0.2759,0.1975,0.2367
27.5,0.0688,0.4248,0.0754,0.3396,0.3756,0.3576,0.3596,0.4276,0.3936,0.2931,0.2193,0.2562
27.6,0.026,0.4228,0.0971,0.3285,0.3634,0.346,0.3612,0.4376,0.3994,0.3104,0.2414,0.2759
27.7,-0.0208,0.4216,0.1226,0.32,0.3556,0.3378,0.365,0.4496,0.4073,0.3272,0.2629,0.295
27.8,-0.0692,0.4209,0.1505,0.3142,0.3525,0.3333,0.3699,0.4626,0.4162,0.3425,0.2825,0.3125
27.9,-0.1164,0.42,0.1793,0.3103,0.3537,0.332,0.3751,0.4756,0.4254,0.3558,0.2996,0.3277
28,-0.1604,0.4177,0.2073,0.3075,0.3583,0.3329,0.3799,0.4881,0.434,0.3666,0.3137,0.3402
28.1,-0.1996,0.413,0.2326,0.305,0.3657,0.3354,0.3836,0.4992,0.4414,0.3745,0.3245,0.3495
28.2,-0.2334,0.4057,0.2535,0.3025,0.3748,0.3386,0.3853,0.5082,0.4468,0.3788,0.3322,0.3555
28.3,-0.2612,0.3956,0.2688,0.2994,0.3846,0.342,0.3846,0.5143,0.4495,0.3792,0.3368,0.358
28.4,-0.2823,0.3822,0.2776,0.2951,0.3933,0.3442,0.3807,0.5172,0.4489,0.3752,0.3384,0.3568
28.5,-0.2965,0.3653,0.2798,0.2891,0.3995,0.3443,0.3735,0.5162,0.4449,0.3665,0.3369,0.3517
28.6,-0.303,0.3446,0.276,0.2809,0.4023,0.3416,0.3633,0.5114,0.4373,0.3531,0.3322,0.3427
28.7,-0.3013,0.3208,0.267,0.2711,0.4013,0.3362,0.3507,0.5029,0.4268,0.3357,0.3248,0.3302
28.8,-0.291,0.2952,0.2535,0.2607,0.397,0.3289,0.3363,0.4915,0.4139,0.315,0.3151,0.3151
28.9,-0.273,0.2693,0.2361,0.2513,0.3898,0.3205,0.321,0.4784,0.3997,0.2916,0.3037,0.2976
29,-0.2484,0.2444,0.215,0.2442,0.3798,0.312,0.3056,0.4641,0.3848,0.266,0.2907,0.2783
29.1,-0.2187,0.2215,0.1904,0.2403,0.367,0.3036,0.2907,0.4493,0.37,0.2386,0.2762,0.2574
29.2,-0.1854,0.2012,0.1627,0.2402,0.3516,0.2959,0.2771,0.4343,0.3557,0.2102,0.2606,0.2354
29.3,-0.15,0.1839,0.1326,0.2443,0.3337,0.289,0.2658,0.4197,0.3427,0.182,0.2444,0.2132
29.4,-0.114,0.1703,0.101,0.253,0.3143,0.2836,0.2573,0.4062,0.3317,0.1546,0.228,0.1913
29.5,-0.0781,0.161,0.0694,0.266,0.2943,0.2801,0.2523,0.3943,0.3233,0.1289,0.2122,0.1705
29.6,-0.0428,0.1566,0.0394,0.2834,0.2753,0.2794,0.2515,0.3845,0.318,0.1056,0.1972,0.1514
29.7,-0.0093,0.1574,0.0127,0.3048,0.2591,0.2819,0.2552,0.377,0.3161,0.0856,0.1835,0.1346
29.8,0.0209,0.1641,-0.0096,0.3292,0.247,0.2881,0.2631,0.3721,0.3176,0.0697,0.1715,0.1206
29.9,0.0461,0.1764,-0.0263,0.3552,0.2395,0.2974,0.2742,0.37,0.3221,0.0582,0.1615,0.1098
