Time,Elanco Pet Medication 15 TVC - TS,Elanco Pet Medication 15 TVC - TS,Elanco Pet Medication 15 TVC - TS,Elanco Pet Medication 15 TVC - TS,Elanco Pet Medication 15 TVC - TS,Elanco Pet Medication 15 TVC - TS,Elanco Pet Medication 15 TVC - TS,Elanco Pet Medication 15 TVC - TS,Elanco Pet Medication 15 TVC - TS,Elanco Pet Medication 15 TVC - TS,Elanco Pet Medication 15 TVC - TS,Elanco Pet Medication 15 TVC - TS
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
12.6,0.0189,0.496,0.4723,0.5023,0.4572,0.4798,0.4293,0.4941,0.4617,0.3956,0.4954,0.4455
12.7,0.0186,0.4944,0.4855,0.4951,0.4629,0.479,0.433,0.5062,0.4696,0.402,0.5048,0.4534
12.8,0.0173,0.4933,0.4978,0.4878,0.47,0.4789,0.4376,0.5189,0.4783,0.4092,0.5143,0.4617
12.9,0.0151,0.4931,0.5086,0.4807,0.4779,0.4793,0.4431,0.5318,0.4875,0.4173,0.5234,0.4703
13,0.0125,0.4942,0.5178,0.4738,0.4862,0.48,0.4496,0.5445,0.497,0.4261,0.5321,0.4791
13.1,0.0099,0.4967,0.5257,0.4675,0.4945,0.481,0.4569,0.5567,0.5068,0.4358,0.5402,0.488
13.2,0.0071,0.5002,0.5325,0.462,0.5029,0.4824,0.4648,0.5678,0.5163,0.4458,0.5472,0.4965
13.3,0.0041,0.5041,0.5379,0.4573,0.511,0.4842,0.4723,0.5772,0.5248,0.4552,0.5528,0.504
13.4,0.0008,0.5078,0.5418,0.4534,0.5184,0.4859,0.4788,0.5845,0.5317,0.4636,0.5568,0.5102
13.5,-0.0026,0.5113,0.544,0.45,0.5244,0.4872,0.4837,0.5895,0.5366,0.4703,0.5587,0.5145
13.6,-0.0056,0.5145,0.5447,0.4473,0.5288,0.488,0.4869,0.592,0.5395,0.4755,0.5587,0.5171
13.7,-0.008,0.518,0.5443,0.4454,0.5315,0.4884,0.4883,0.5923,0.5403,0.4789,0.5566,0.5177
13.8,-0.0098,0.5219,0.5432,0.4442,0.5326,0.4884,0.488,0.5905,0.5393,0.4806,0.5524,0.5165
13.9,-0.0112,0.5263,0.5418,0.4433,0.5322,0.4878,0.4863,0.587,0.5367,0.481,0.5463,0.5136
14,-0.0123,0.5307,0.5405,0.4421,0.5303,0.4862,0.4838,0.582,0.5329,0.4803,0.5388,0.5095
14.1,-0.0132,0.5347,0.5395,0.4402,0.5268,0.4835,0.4807,0.576,0.5284,0.4788,0.5302,0.5045
14.2,-0.0138,0.5381,0.5391,0.4376,0.522,0.4798,0.4774,0.5692,0.5233,0.4769,0.5209,0.4989
14.3,-0.014,0.541,0.5396,0.4346,0.5163,0.4754,0.4735,0.5619,0.5177,0.4746,0.5114,0.493
14.4,-0.0145,0.5438,0.5411,0.4314,0.5103,0.4709,0.4692,0.5547,0.512,0.4722,0.5023,0.4872
14.5,-0.0159,0.5468,0.5437,0.4283,0.5046,0.4665,0.4644,0.5478,0.5061,0.4702,0.4938,0.482
14.6,-0.0186,0.5503,0.5473,0.4254,0.4996,0.4625,0.4594,0.5414,0.5004,0.4687,0.4864,0.4776
14.7,-0.0223,0.5542,0.5514,0.4228,0.4955,0.4591,0.4544,0.5356,0.495,0.4677,0.48,0.4739
14.8,-0.0263,0.5587,0.5553,0.4203,0.4923,0.4563,0.4496,0.5306,0.4901,0.467,0.4747,0.4709
14.9,-0.0303,0.5637,0.5584,0.4177,0.4902,0.454,0.4453,0.5264,0.4858,0.4663,0.4704,0.4684
