Time,EFTPOS - TVC,EFTPOS - TVC,EFTPOS - TVC,EFTPOS - TVC,EFTPOS - TVC,EFTPOS - TVC,EFTPOS - TVC,EFTPOS - TVC,EFTPOS - TVC,EFTPOS - TVC,EFTPOS - TVC,EFTPOS - TVC
21.5,-0.1052,0.6357,0.6042,0.5928,0.6392,0.616,0.5805,0.619,0.5998,0.4973,0.5122,0.5048
21.6,-0.095,0.6318,0.6087,0.5916,0.6363,0.6139,0.5853,0.6195,0.6024,0.5034,0.5158,0.5096
21.7,-0.0838,0.6276,0.6132,0.5907,0.6333,0.612,0.5896,0.6198,0.6047,0.5103,0.5208,0.5155
21.8,-0.0719,0.6233,0.6176,0.5902,0.6304,0.6103,0.5936,0.6202,0.6069,0.518,0.5271,0.5226
21.9,-0.0595,0.6188,0.6219,0.5899,0.6279,0.6089,0.5968,0.6205,0.6086,0.5263,0.5346,0.5305
22,-0.0469,0.6143,0.6259,0.5897,0.6256,0.6076,0.5989,0.6206,0.6098,0.5348,0.5429,0.5389
22.1,-0.0345,0.6099,0.6294,0.5893,0.6235,0.6064,0.5998,0.6206,0.6102,0.5433,0.5518,0.5476
22.2,-0.0227,0.6055,0.6324,0.5886,0.6216,0.6051,0.5998,0.6205,0.6101,0.5517,0.5609,0.5563
22.3,-0.0116,0.6013,0.6353,0.5877,0.6201,0.6039,0.5989,0.6205,0.6097,0.5599,0.57,0.5649
22.4,-0.0009,0.5971,0.6382,0.5865,0.6191,0.6028,0.5976,0.6207,0.6091,0.5676,0.5789,0.5733
22.5,0.0095,0.5932,0.6413,0.5851,0.6186,0.6019,0.5958,0.6213,0.6085,0.5748,0.5874,0.5811
22.6,0.0194,0.5896,0.6446,0.5836,0.6188,0.6012,0.5939,0.6223,0.6081,0.5813,0.5954,0.5883
22.7,0.0278,0.5865,0.6484,0.5821,0.6199,0.601,0.592,0.624,0.608,0.5872,0.6027,0.595
22.8,0.0341,0.5839,0.6525,0.5805,0.622,0.6013,0.5904,0.6262,0.6083,0.5925,0.6095,0.601
22.9,0.0382,0.5818,0.6571,0.5789,0.6249,0.6019,0.589,0.6291,0.6091,0.597,0.6155,0.6063
23,0.0403,0.5798,0.662,0.577,0.6284,0.6027,0.588,0.6325,0.6102,0.6008,0.6205,0.6107
23.1,0.0404,0.5776,0.6668,0.5746,0.6319,0.6033,0.587,0.6361,0.6116,0.6035,0.6245,0.614
23.2,0.0387,0.5748,0.6711,0.5714,0.6353,0.6034,0.586,0.6397,0.6128,0.6051,0.6271,0.6161
23.3,0.0354,0.5711,0.6746,0.5675,0.6383,0.6029,0.5848,0.6427,0.6138,0.6057,0.6285,0.6171
23.4,0.0308,0.5667,0.677,0.563,0.6409,0.6019,0.5834,0.6452,0.6143,0.6052,0.6287,0.6169
23.5,0.0251,0.562,0.6783,0.5581,0.6432,0.6006,0.5816,0.6471,0.6144,0.6036,0.6275,0.6156
23.6,0.0184,0.557,0.6785,0.5529,0.645,0.599,0.5796,0.6483,0.614,0.6008,0.6252,0.613
23.7,0.0103,0.5518,0.6775,0.5473,0.6462,0.5967,0.5773,0.6488,0.6131,0.5969,0.6214,0.6092
23.8,0.0006,0.546,0.675,0.5409,0.6463,0.5936,0.5747,0.6482,0.6115,0.5916,0.6163,0.6039
23.9,-0.0106,0.5391,0.6711,0.5339,0.6449,0.5894,0.5717,0.6465,0.6091,0.5848,0.6095,0.5971
24,-0.0229,0.5311,0.6658,0.5263,0.6419,0.5841,0.5684,0.6433,0.6058,0.5763,0.6013,0.5888
24.1,-0.0355,0.5222,0.6592,0.5186,0.6374,0.578,0.565,0.639,0.602,0.5663,0.5917,0.579
24.2,-0.0478,0.5131,0.6517,0.5114,0.6317,0.5715,0.5617,0.6338,0.5977,0.5551,0.5811,0.5681
24.3,-0.0595,0.5043,0.6433,0.5051,0.6251,0.5651,0.5586,0.6277,0.5932,0.5431,0.5696,0.5564
24.4,-0.0705,0.4963,0.6344,0.4998,0.6178,0.5588,0.5559,0.6212,0.5886,0.5307,0.5576,0.5442
24.5,-0.0807,0.4894,0.6253,0.4956,0.6103,0.553,0.5536,0.6143,0.584,0.5185,0.5454,0.532
24.6,-0.0899,0.4837,0.6164,0.4924,0.6026,0.5475,0.552,0.6074,0.5797,0.5071,0.5334,0.5203
24.7,-0.098,0.4795,0.608,0.49,0.5948,0.5424,0.5512,0.6006,0.5759,0.4968,0.5222,0.5095
24.8,-0.1049,0.4764,0.6,0.488,0.5868,0.5374,0.5511,0.5939,0.5725,0.4882,0.5119,0.5
24.9,-0.1108,0.4746,0.5922,0.4862,0.5787,0.5324,0.5515,0.5874,0.5695,0.4812,0.5027,0.4919
25,-0.1158,0.4738,0.5843,0.4843,0.5707,0.5275,0.5524,0.5809,0.5666,0.4759,0.4943,0.4851
25.1,-0.1198,0.4743,0.5765,0.4827,0.5631,0.5229,0.5532,0.5746,0.5639,0.4721,0.4867,0.4794
25.2,-0.1226,0.4758,0.5689,0.4815,0.556,0.5187,0.5539,0.5687,0.5613,0.4697,0.4803,0.475
25.3,-0.1244,0.4781,0.5618,0.4806,0.5497,0.5151,0.554,0.5633,0.5586,0.4687,0.4752,0.4719
25.4,-0.125,0.4811,0.5553,0.4802,0.5442,0.5122,0.5534,0.5583,0.5559,0.4688,0.4713,0.4701
25.5,-0.1241,0.4848,0.5493,0.4807,0.5396,0.5102,0.5523,0.5538,0.553,0.47,0.4687,0.4693
25.6,-0.1216,0.4891,0.5439,0.4821,0.5359,0.509,0.5507,0.5497,0.5502,0.4719,0.4671,0.4695
25.7,-0.1173,0.4941,0.5391,0.4844,0.533,0.5087,0.5484,0.546,0.5472,0.4743,0.4664,0.4703
25.8,-0.1116,0.4999,0.5348,0.4876,0.531,0.5093,0.5455,0.5427,0.5441,0.477,0.4664,0.4717
25.9,-0.1052,0.5066,0.5313,0.4917,0.53,0.5108,0.5418,0.5397,0.5408,0.4797,0.4669,0.4733
26,-0.0983,0.5142,0.5285,0.4971,0.5303,0.5137,0.5377,0.5372,0.5374,0.4822,0.4677,0.475
26.1,-0.091,0.5229,0.5267,0.5044,0.532,0.5182,0.5332,0.5352,0.5342,0.4844,0.4683,0.4764
26.2,-0.0827,0.5328,0.5256,0.5134,0.5352,0.5243,0.5283,0.5338,0.5311,0.4859,0.4685,0.4772
26.3,-0.0733,0.5435,0.5252,0.5239,0.5396,0.5317,0.5231,0.5329,0.528,0.4865,0.4682,0.4773
26.4,-0.063,0.5548,0.5252,0.5353,0.5448,0.54,0.5174,0.5325,0.525,0.486,0.4673,0.4767
26.5,-0.0523,0.5665,0.5255,0.5473,0.5505,0.5489,0.5115,0.5324,0.5219,0.4847,0.466,0.4753
26.6,-0.0414,0.5787,0.5264,0.5598,0.5568,0.5583,0.5055,0.5327,0.5191,0.4827,0.4646,0.4736
26.7,-0.0305,0.5917,0.5278,0.5728,0.5635,0.5682,0.4996,0.5338,0.5167,0.4803,0.4632,0.4718
26.8,-0.0201,0.6052,0.5297,0.5859,0.5706,0.5782,0.4941,0.5355,0.5148,0.4777,0.462,0.4698
26.9,-0.0108,0.6186,0.5318,0.5984,0.5775,0.5879,0.4893,0.5378,0.5136,0.4748,0.4609,0.4679
27,-0.003,0.6311,0.5339,0.6094,0.5837,0.5965,0.4855,0.5406,0.513,0.472,0.4602,0.4661
27.1,0.0035,0.642,0.5357,0.6184,0.5886,0.6035,0.4827,0.5435,0.5131,0.4693,0.4598,0.4645
27.2,0.0094,0.6509,0.5373,0.6253,0.5919,0.6086,0.4809,0.5464,0.5136,0.4669,0.4598,0.4633
27.3,0.0151,0.6582,0.5385,0.6301,0.5934,0.6118,0.4802,0.5492,0.5147,0.4652,0.4603,0.4628
27.4,0.0208,0.664,0.5396,0.6329,0.5934,0.6132,0.4808,0.552,0.5164,0.4644,0.4617,0.463
27.5,0.0258,0.6687,0.5406,0.6339,0.592,0.6129,0.4827,0.555,0.5188,0.4648,0.4641,0.4644
27.6,0.0298,0.6721,0.5415,0.6329,0.5892,0.6111,0.4859,0.558,0.522,0.4665,0.4675,0.467
27.7,0.0328,0.6741,0.5423,0.6301,0.5852,0.6077,0.4903,0.5612,0.5257,0.4697,0.4719,0.4708
27.8,0.0355,0.6744,0.5433,0.6258,0.5802,0.603,0.4955,0.5645,0.53,0.4744,0.4777,0.476
27.9,0.0383,0.6732,0.5445,0.6202,0.5745,0.5973,0.5014,0.5681,0.5348,0.4807,0.4849,0.4828
28,0.0416,0.6707,0.5462,0.6137,0.5686,0.5911,0.5077,0.572,0.5399,0.4883,0.4935,0.4909
28.1,0.0454,0.6673,0.5481,0.6065,0.5627,0.5846,0.5141,0.576,0.5451,0.4967,0.5033,0.5
28.2,0.0496,0.6631,0.5503,0.5991,0.5574,0.5783,0.5205,0.5802,0.5504,0.5056,0.5138,0.5097
28.3,0.0544,0.6586,0.5531,0.592,0.5532,0.5726,0.5267,0.5847,0.5557,0.5149,0.5248,0.5198
28.4,0.0601,0.654,0.5568,0.5855,0.5506,0.568,0.5329,0.5896,0.5612,0.5245,0.5364,0.5304
28.5,0.0672,0.6494,0.5614,0.5798,0.5498,0.5648,0.539,0.5949,0.5669,0.5343,0.5486,0.5414
28.6,0.0753,0.6445,0.567,0.5748,0.5507,0.5628,0.5449,0.6004,0.5726,0.5441,0.561,0.5526
28.7,0.0839,0.6397,0.5733,0.5706,0.5533,0.562,0.5507,0.6058,0.5783,0.5537,0.573,0.5634
28.8,0.0924,0.635,0.5799,0.5672,0.5575,0.5623,0.5564,0.611,0.5837,0.5628,0.5843,0.5735
28.9,0.1002,0.631,0.5867,0.5651,0.563,0.5641,0.562,0.6158,0.5889,0.5713,0.5945,0.5829
29,0.1069,0.6279,0.5936,0.5645,0.57,0.5672,0.5678,0.6204,0.5941,0.5793,0.6036,0.5915
29.1,0.112,0.626,0.6006,0.5655,0.5783,0.5719,0.5738,0.6246,0.5992,0.5871,0.6119,0.5995
29.2,0.1155,0.6251,0.6074,0.5681,0.5876,0.5779,0.5799,0.6283,0.6041,0.5947,0.6192,0.6069
29.3,0.1175,0.6249,0.6137,0.5724,0.5974,0.5849,0.586,0.6314,0.6087,0.6018,0.6256,0.6137
29.4,0.1179,0.6247,0.6194,0.5779,0.6068,0.5923,0.5919,0.6336,0.6128,0.6083,0.631,0.6197
29.5,0.1164,0.6243,0.6242,0.584,0.6149,0.5995,0.5975,0.6349,0.6162,0.6139,0.6356,0.6247
29.6,0.113,0.623,0.6278,0.59,0.621,0.6055,0.6025,0.6349,0.6187,0.6186,0.6394,0.629
29.7,0.1077,0.6206,0.6299,0.5951,0.6244,0.6097,0.6067,0.6336,0.6201,0.6223,0.6424,0.6323
29.8,0.101,0.617,0.6306,0.599,0.6248,0.6119,0.6098,0.6307,0.6202,0.6248,0.6447,0.6347
29.9,0.0934,0.6121,0.6301,0.6014,0.6223,0.6118,0.6117,0.6264,0.619,0.6262,0.6461,0.6362
