Time,CCs - Si Si Sitcom Proposal 30 TVC,CCs - Si Si Sitcom Proposal 30 TVC,CCs - Si Si Sitcom Proposal 30 TVC,CCs - Si Si Sitcom Proposal 30 TVC,CCs - Si Si Sitcom Proposal 30 TVC,CCs - Si Si Sitcom Proposal 30 TVC,CCs - Si Si Sitcom Proposal 30 TVC,CCs - Si Si Sitcom Proposal 30 TVC,CCs - Si Si Sitcom Proposal 30 TVC,CCs - Si Si Sitcom Proposal 30 TVC,CCs - Si Si Sitcom Proposal 30 TVC,CCs - Si Si Sitcom Proposal 30 TVC
21,0.0535,0.203,0.796,0.3561,0.403,0.3796,0.5299,0.5864,0.5581,0.4761,0.5104,0.4933
21.1,0.0682,0.1967,0.7767,0.3495,0.3936,0.3715,0.5118,0.5685,0.5401,0.4584,0.5005,0.4795
21.2,0.0802,0.1942,0.7547,0.3449,0.3862,0.3656,0.4923,0.5481,0.5202,0.4378,0.4846,0.4612
21.3,0.0885,0.1949,0.7309,0.3421,0.3813,0.3617,0.473,0.5257,0.4993,0.4158,0.4651,0.4404
21.4,0.0924,0.1981,0.7062,0.3412,0.3791,0.3601,0.4556,0.5019,0.4787,0.3938,0.4437,0.4187
21.5,0.0921,0.204,0.6819,0.3424,0.3802,0.3613,0.4412,0.4779,0.4596,0.373,0.4213,0.3972
21.6,0.0888,0.2126,0.6586,0.3454,0.3842,0.3648,0.4304,0.4549,0.4426,0.3541,0.3986,0.3763
21.7,0.0834,0.2232,0.6371,0.3493,0.3907,0.37,0.4229,0.4335,0.4282,0.3372,0.3755,0.3564
21.8,0.076,0.2352,0.6175,0.3536,0.3989,0.3762,0.4183,0.4144,0.4164,0.3224,0.3522,0.3373
21.9,0.0666,0.2481,0.5999,0.3583,0.4085,0.3834,0.4158,0.3978,0.4068,0.3095,0.3282,0.3189
22,0.0555,0.2622,0.584,0.364,0.4197,0.3919,0.4151,0.384,0.3996,0.2986,0.3035,0.301
22.1,0.0434,0.2778,0.57,0.3716,0.4327,0.4021,0.416,0.3733,0.3946,0.2898,0.2787,0.2843
22.2,0.0304,0.2947,0.5585,0.3817,0.4474,0.4145,0.4184,0.3658,0.3921,0.2837,0.2552,0.2694
22.3,0.0167,0.3127,0.5503,0.3946,0.4634,0.429,0.4228,0.3616,0.3922,0.2809,0.234,0.2575
22.4,0.0025,0.3313,0.5451,0.4106,0.4805,0.4455,0.4295,0.3602,0.3949,0.2816,0.2159,0.2487
22.5,-0.0116,0.3501,0.5425,0.4293,0.4981,0.4637,0.4383,0.3614,0.3998,0.2854,0.2003,0.2429
22.6,-0.0246,0.3691,0.5415,0.4503,0.5153,0.4828,0.4481,0.3644,0.4063,0.292,0.1872,0.2396
22.7,-0.0357,0.3878,0.5412,0.4735,0.5311,0.5023,0.4586,0.369,0.4138,0.3007,0.1771,0.2389
22.8,-0.0438,0.4061,0.5409,0.499,0.5449,0.5219,0.4699,0.3748,0.4224,0.3115,0.1706,0.2411
22.9,-0.0481,0.4238,0.5402,0.5266,0.5565,0.5416,0.4824,0.3821,0.4323,0.324,0.1683,0.2461
23,-0.0478,0.4409,0.539,0.5555,0.5661,0.5608,0.4962,0.3907,0.4435,0.3377,0.17,0.2538
23.1,-0.044,0.457,0.5376,0.584,0.5741,0.579,0.5108,0.4001,0.4555,0.3523,0.1758,0.2641
23.2,-0.0392,0.4715,0.5358,0.6111,0.5804,0.5957,0.5255,0.4096,0.4675,0.3674,0.1857,0.2766
23.3,-0.0343,0.4844,0.5338,0.6361,0.5852,0.6106,0.5398,0.4183,0.479,0.3825,0.1994,0.2909
23.4,-0.0296,0.4956,0.5312,0.6585,0.5886,0.6236,0.5535,0.4255,0.4895,0.3967,0.2157,0.3062
23.5,-0.0262,0.5048,0.5276,0.6778,0.5904,0.6341,0.5661,0.431,0.4985,0.4087,0.2329,0.3208
23.6,-0.0254,0.5117,0.5223,0.6928,0.5906,0.6417,0.577,0.4344,0.5057,0.4173,0.2494,0.3334
23.7,-0.0276,0.5161,0.5149,0.7026,0.5894,0.646,0.5852,0.436,0.5106,0.4219,0.2644,0.3432
23.8,-0.0329,0.5186,0.5057,0.7071,0.5871,0.6471,0.5902,0.436,0.5131,0.4229,0.2777,0.3503
23.9,-0.0406,0.5196,0.4952,0.7075,0.5848,0.6462,0.5925,0.4347,0.5136,0.4207,0.2889,0.3548
24,-0.0503,0.5199,0.4838,0.7051,0.5836,0.6444,0.5927,0.4327,0.5127,0.4164,0.298,0.3572
24.1,-0.0601,0.52,0.4719,0.7004,0.5841,0.6423,0.5912,0.4302,0.5107,0.4107,0.3051,0.3579
24.2,-0.0682,0.5202,0.4596,0.6937,0.5859,0.6398,0.5885,0.4273,0.5079,0.4039,0.31,0.3569
24.3,-0.0735,0.5207,0.4468,0.6851,0.589,0.637,0.5851,0.4243,0.5047,0.3955,0.3128,0.3541
24.4,-0.0761,0.5225,0.4339,0.6753,0.5932,0.6343,0.5812,0.4218,0.5015,0.3857,0.3133,0.3495
24.5,-0.077,0.5262,0.4214,0.6651,0.5987,0.6319,0.5773,0.4204,0.4989,0.3746,0.3117,0.3431
24.6,-0.0771,0.532,0.4096,0.6545,0.6054,0.6299,0.5738,0.42,0.4969,0.3628,0.3082,0.3355
24.7,-0.0767,0.5392,0.399,0.6434,0.6128,0.6281,0.5702,0.4205,0.4954,0.3506,0.303,0.3268
24.8,-0.0758,0.5471,0.3904,0.632,0.621,0.6265,0.5665,0.4218,0.4941,0.338,0.2961,0.317
24.9,-0.0732,0.5553,0.3848,0.6209,0.6298,0.6254,0.5626,0.4239,0.4932,0.3254,0.2878,0.3066
25,-0.0677,0.5635,0.3834,0.6103,0.6393,0.6248,0.5586,0.4272,0.4929,0.3136,0.2788,0.2962
25.1,-0.0599,0.5714,0.387,0.6007,0.6493,0.625,0.5546,0.4321,0.4933,0.3031,0.2698,0.2865
25.2,-0.0507,0.579,0.3963,0.5926,0.6597,0.6261,0.5505,0.4384,0.4944,0.2945,0.2618,0.2781
25.3,-0.0409,0.5863,0.4124,0.5862,0.6708,0.6285,0.5465,0.446,0.4962,0.2878,0.2553,0.2715
25.4,-0.0309,0.5935,0.4364,0.5822,0.6823,0.6322,0.5428,0.4549,0.4988,0.2836,0.251,0.2673
25.5,-0.0208,0.6006,0.4692,0.5809,0.6942,0.6375,0.5399,0.4652,0.5025,0.2825,0.2495,0.266
25.6,-0.0101,0.6074,0.5103,0.5822,0.7058,0.644,0.5384,0.4768,0.5076,0.2851,0.2514,0.2683
25.7,0.002,0.6137,0.5578,0.5858,0.7163,0.6511,0.5385,0.4889,0.5137,0.2916,0.2564,0.274
25.8,0.0151,0.6196,0.6082,0.5911,0.7251,0.6581,0.5399,0.5009,0.5204,0.3015,0.2638,0.2826
25.9,0.0273,0.6247,0.6586,0.5975,0.732,0.6648,0.5421,0.5123,0.5272,0.3145,0.2732,0.2939
26,0.0363,0.6292,0.7066,0.6047,0.7376,0.6712,0.5451,0.5232,0.5341,0.3306,0.2845,0.3075
26.1,0.0404,0.6329,0.7517,0.6128,0.7423,0.6775,0.5493,0.5343,0.5418,0.35,0.2976,0.3238
26.2,0.0393,0.6358,0.794,0.6215,0.7465,0.684,0.5555,0.5464,0.5509,0.3725,0.3127,0.3426
26.3,0.0338,0.638,0.8337,0.6304,0.7501,0.6902,0.5638,0.5595,0.5617,0.3972,0.3295,0.3633
26.4,0.0235,0.6392,0.8702,0.6388,0.753,0.6959,0.574,0.5732,0.5736,0.4232,0.3473,0.3853
26.5,0.0074,0.6391,0.903,0.646,0.7553,0.7007,0.5853,0.587,0.5861,0.4493,0.3657,0.4075
26.6,-0.0151,0.6379,0.9314,0.6516,0.7571,0.7043,0.5972,0.6008,0.599,0.4747,0.3843,0.4295
26.7,-0.0422,0.6364,0.9552,0.6555,0.7586,0.707,0.6088,0.6146,0.6117,0.4989,0.4034,0.4512
26.8,-0.0726,0.6351,0.974,0.6578,0.7596,0.7087,0.6187,0.6281,0.6234,0.5213,0.4227,0.472
26.9,-0.106,0.6341,0.9878,0.6586,0.7601,0.7093,0.6256,0.6408,0.6332,0.5411,0.442,0.4916
27,-0.1417,0.6338,0.9965,0.6574,0.7602,0.7088,0.6293,0.6525,0.6409,0.5573,0.4608,0.5091
27.1,-0.1783,0.6345,0.9999,0.6542,0.7604,0.7073,0.6304,0.6631,0.6468,0.5687,0.4787,0.5237
27.2,-0.2138,0.6369,0.9979,0.6494,0.7605,0.705,0.63,0.6724,0.6512,0.574,0.4947,0.5343
27.3,-0.2464,0.6409,0.9897,0.6432,0.7604,0.7018,0.6283,0.6796,0.654,0.5727,0.5079,0.5403
27.4,-0.2751,0.6464,0.9749,0.6354,0.7593,0.6973,0.6246,0.6833,0.654,0.5648,0.5175,0.5411
27.5,-0.2993,0.6528,0.9537,0.6248,0.7562,0.6905,0.6179,0.6825,0.6502,0.5506,0.5228,0.5367
27.6,-0.3198,0.6591,0.9264,0.6108,0.7508,0.6808,0.608,0.6772,0.6426,0.5301,0.5235,0.5268
27.7,-0.3376,0.6647,0.8937,0.5939,0.7433,0.6686,0.5955,0.6676,0.6316,0.5033,0.519,0.5112
27.8,-0.3522,0.6691,0.8565,0.576,0.7337,0.6548,0.5816,0.6542,0.6179,0.4713,0.5093,0.4903
27.9,-0.363,0.6718,0.8155,0.558,0.7221,0.64,0.5664,0.6366,0.6015,0.4355,0.4948,0.4651
28,-0.3682,0.6718,0.7718,0.5403,0.7085,0.6244,0.5489,0.6147,0.5818,0.3972,0.4763,0.4367
28.1,-0.3663,0.6686,0.727,0.5226,0.6932,0.6079,0.5291,0.5898,0.5595,0.3574,0.4547,0.406
28.2,-0.3562,0.6622,0.6832,0.5059,0.6767,0.5913,0.5086,0.5643,0.5365,0.3179,0.4317,0.3748
28.3,-0.3363,0.6536,0.6429,0.4914,0.6591,0.5752,0.4895,0.5411,0.5153,0.2812,0.4092,0.3452
28.4,-0.3071,0.6438,0.6076,0.4796,0.641,0.5603,0.4739,0.522,0.498,0.2496,0.3888,0.3192
28.5,-0.2719,0.6334,0.5782,0.4707,0.6229,0.5468,0.4627,0.5079,0.4853,0.2243,0.3715,0.2979
28.6,-0.2332,0.6231,0.5551,0.4642,0.606,0.5351,0.4552,0.4986,0.4769,0.205,0.3576,0.2813
28.7,-0.1931,0.6135,0.5385,0.4601,0.5915,0.5258,0.4508,0.4939,0.4723,0.191,0.3476,0.2693
28.8,-0.153,0.6052,0.5274,0.4588,0.5802,0.5195,0.4489,0.493,0.4709,0.1822,0.3417,0.262
28.9,-0.1144,0.5986,0.5206,0.4606,0.5727,0.5166,0.4493,0.4952,0.4722,0.1788,0.3401,0.2594
29,-0.0795,0.594,0.5167,0.4648,0.5693,0.517,0.451,0.4999,0.4755,0.1807,0.3423,0.2615
29.1,-0.051,0.5914,0.5147,0.4704,0.5704,0.5204,0.4528,0.5067,0.4798,0.1871,0.3471,0.2671
29.2,-0.0317,0.5908,0.5142,0.4764,0.5764,0.5264,0.4533,0.5154,0.4843,0.1972,0.3534,0.2753
29.3,-0.0216,0.5922,0.5153,0.4823,0.5873,0.5348,0.4519,0.5254,0.4886,0.2106,0.3607,0.2857
29.4,-0.0199,0.5962,0.5186,0.4886,0.603,0.5458,0.4488,0.5362,0.4925,0.2275,0.3693,0.2984
29.5,-0.0258,0.6035,0.5246,0.4959,0.6238,0.5598,0.4448,0.5473,0.4961,0.248,0.3803,0.3142
29.6,-0.0397,0.6144,0.5338,0.5049,0.6501,0.5775,0.4406,0.5584,0.4995,0.2724,0.3946,0.3335
29.7,-0.0621,0.6289,0.5457,0.5164,0.6819,0.5991,0.436,0.5692,0.5026,0.3003,0.4126,0.3565
29.8,-0.0928,0.6464,0.5587,0.5307,0.7181,0.6244,0.4298,0.579,0.5044,0.3314,0.4345,0.3829
29.9,-0.1297,0.6662,0.571,0.5478,0.757,0.6524,0.4208,0.5875,0.5042,0.3655,0.4603,0.4129
