Time,Big W - Think Big - Launch,Big W - Think Big - Launch,Big W - Think Big - Launch,Big W - Think Big - Launch,Big W - Think Big - Launch,Big W - Think Big - Launch,Big W - Think Big - Launch,Big W - Think Big - Launch,Big W - Think Big - Launch,Big W - Think Big - Launch,Big W - Think Big - Launch,Big W - Think Big - Launch
21.3,-0.0547,0.6782,0.444,0.5164,0.7023,0.6093,0.5361,0.5231,0.5296,0.4504,0.4248,0.4376
21.4,-0.1011,0.6767,0.4437,0.5186,0.728,0.6233,0.5418,0.5257,0.5337,0.4545,0.4269,0.4407
21.5,-0.1416,0.6765,0.4492,0.5252,0.7564,0.6408,0.5532,0.534,0.5436,0.4633,0.4318,0.4475
21.6,-0.1739,0.6773,0.461,0.5365,0.7859,0.6612,0.5703,0.5485,0.5594,0.4769,0.4398,0.4583
21.7,-0.1963,0.6784,0.4783,0.5526,0.8147,0.6836,0.5928,0.5688,0.5808,0.495,0.4509,0.473
21.8,-0.2075,0.6794,0.4993,0.573,0.8412,0.7071,0.6195,0.5936,0.6066,0.5166,0.4649,0.4908
21.9,-0.2062,0.6802,0.5216,0.5971,0.8643,0.7307,0.6489,0.6209,0.6349,0.5399,0.4808,0.5103
22,-0.1923,0.6812,0.5437,0.6243,0.8833,0.7538,0.6796,0.6486,0.6641,0.5634,0.4976,0.5305
22.1,-0.1662,0.6828,0.5654,0.6542,0.8986,0.7764,0.7104,0.6752,0.6928,0.5866,0.5147,0.5506
22.2,-0.1297,0.6852,0.5875,0.6866,0.9108,0.7987,0.7406,0.7,0.7203,0.6093,0.5319,0.5706
22.3,-0.0851,0.6885,0.6106,0.7205,0.9206,0.8206,0.7697,0.7227,0.7462,0.6313,0.5497,0.5905
22.4,-0.0345,0.6925,0.6338,0.7544,0.9284,0.8414,0.7969,0.7427,0.7698,0.6518,0.5679,0.6098
22.5,0.0197,0.6975,0.6558,0.7867,0.9346,0.8607,0.8217,0.7594,0.7906,0.6698,0.5857,0.6277
22.6,0.0753,0.7033,0.6752,0.8159,0.9394,0.8776,0.8434,0.7726,0.808,0.684,0.6021,0.643
22.7,0.1311,0.71,0.6914,0.8413,0.9429,0.8921,0.8615,0.7821,0.8218,0.694,0.6161,0.655
22.8,0.1864,0.7168,0.7046,0.8626,0.9453,0.9039,0.8758,0.7886,0.8322,0.7,0.6275,0.6638
22.9,0.2415,0.723,0.7151,0.8797,0.9466,0.9132,0.8866,0.7924,0.8395,0.7024,0.637,0.6697
23,0.2957,0.728,0.7227,0.8931,0.947,0.92,0.8941,0.7935,0.8438,0.702,0.6453,0.6736
23.1,0.3469,0.7316,0.7274,0.9032,0.9466,0.9249,0.8986,0.7919,0.8452,0.6991,0.6527,0.6759
23.2,0.3931,0.7336,0.7288,0.9105,0.9455,0.928,0.9005,0.7874,0.8439,0.6944,0.6594,0.6769
23.3,0.4333,0.7335,0.7273,0.9148,0.9435,0.9291,0.9002,0.7804,0.8403,0.6885,0.6657,0.6771
23.4,0.4677,0.731,0.724,0.916,0.9401,0.928,0.8984,0.7717,0.8351,0.6821,0.6722,0.6772
23.5,0.4979,0.726,0.7198,0.9137,0.935,0.9244,0.8955,0.7621,0.8288,0.6755,0.6794,0.6774
23.6,0.5252,0.7184,0.715,0.908,0.928,0.918,0.8923,0.7517,0.822,0.6689,0.687,0.678
23.7,0.5497,0.7081,0.7097,0.8991,0.9189,0.909,0.8894,0.7409,0.8152,0.6624,0.6948,0.6786
23.8,0.5702,0.6954,0.7042,0.8875,0.9079,0.8977,0.8877,0.7304,0.809,0.656,0.7024,0.6792
23.9,0.5856,0.6804,0.6992,0.8736,0.8954,0.8845,0.8877,0.7214,0.8045,0.6499,0.7101,0.68
24,0.595,0.6638,0.6958,0.8582,0.8818,0.87,0.89,0.7151,0.8025,0.6442,0.7182,0.6812
24.1,0.5981,0.6466,0.6942,0.8422,0.8677,0.855,0.8947,0.7122,0.8034,0.639,0.7269,0.6829
24.2,0.5945,0.6299,0.6941,0.8265,0.8532,0.8398,0.9014,0.7123,0.8069,0.6341,0.7358,0.6849
24.3,0.584,0.6143,0.6952,0.8114,0.8382,0.8248,0.9097,0.7151,0.8124,0.6292,0.7443,0.6868
24.4,0.5673,0.6004,0.6972,0.7972,0.8225,0.8098,0.9195,0.7208,0.8201,0.6245,0.7518,0.6881
24.5,0.5462,0.5884,0.7008,0.784,0.8061,0.795,0.9305,0.7299,0.8302,0.6202,0.7583,0.6893
24.6,0.5227,0.5785,0.7066,0.7717,0.7894,0.7805,0.9429,0.7426,0.8428,0.6161,0.7642,0.6902
24.7,0.4975,0.5711,0.715,0.7605,0.7726,0.7665,0.9563,0.7582,0.8573,0.6119,0.7693,0.6906
24.8,0.4703,0.5663,0.7259,0.7503,0.7558,0.7531,0.97,0.7753,0.8726,0.6073,0.7738,0.6906
24.9,0.4401,0.5645,0.7387,0.7411,0.7394,0.7403,0.9831,0.7925,0.8878,0.6029,0.7784,0.6906
25,0.4077,0.5652,0.7526,0.7327,0.7236,0.7282,0.9948,0.809,0.9019,0.599,0.7842,0.6916
25.1,0.3747,0.568,0.7666,0.7249,0.7088,0.7169,1.0049,0.8238,0.9143,0.5961,0.792,0.6941
25.2,0.343,0.5728,0.7799,0.7175,0.6956,0.7065,1.0131,0.8359,0.9245,0.5944,0.8015,0.6979
25.3,0.3129,0.5798,0.7923,0.7106,0.6851,0.6979,1.0193,0.8446,0.932,0.594,0.8119,0.7029
25.4,0.2845,0.5894,0.8051,0.705,0.6781,0.6915,1.0236,0.8502,0.9369,0.5955,0.823,0.7092
25.5,0.2581,0.6015,0.8192,0.701,0.6747,0.6878,1.0261,0.8536,0.9398,0.5993,0.8348,0.7171
25.6,0.2348,0.6154,0.8347,0.6986,0.6742,0.6864,1.0265,0.8554,0.941,0.6051,0.8471,0.7261
25.7,0.2151,0.6297,0.8505,0.6969,0.6753,0.6861,1.0242,0.8555,0.9399,0.6115,0.8583,0.7349
25.8,0.1989,0.6433,0.8637,0.6945,0.6766,0.6856,1.0178,0.8527,0.9352,0.617,0.8661,0.7416
25.9,0.1858,0.6551,0.872,0.6905,0.677,0.6838,1.006,0.846,0.926,0.6206,0.8687,0.7447
26,0.1768,0.665,0.8742,0.6848,0.6762,0.6805,0.9884,0.8353,0.9118,0.6222,0.8658,0.744
26.1,0.1734,0.6732,0.8707,0.6781,0.6742,0.6761,0.9655,0.8209,0.8932,0.6228,0.8581,0.7404
26.2,0.1762,0.6797,0.8623,0.671,0.6706,0.6708,0.9389,0.8033,0.8711,0.6232,0.8466,0.7349
26.3,0.1844,0.6844,0.8496,0.6637,0.6651,0.6644,0.91,0.7825,0.8463,0.6236,0.832,0.7278
26.4,0.1962,0.6868,0.833,0.6561,0.6572,0.6567,0.8797,0.7592,0.8195,0.6236,0.8144,0.719
26.5,0.2101,0.6868,0.8134,0.6477,0.6463,0.647,0.8491,0.7344,0.7917,0.6227,0.7941,0.7084
26.6,0.2265,0.6842,0.7918,0.6381,0.6325,0.6353,0.8193,0.7095,0.7644,0.621,0.7717,0.6963
26.7,0.246,0.6791,0.7692,0.6272,0.616,0.6216,0.7914,0.6857,0.7385,0.6186,0.7479,0.6833
26.8,0.2679,0.6718,0.7462,0.6151,0.5977,0.6064,0.766,0.6635,0.7147,0.6156,0.7229,0.6693
26.9,0.2901,0.6628,0.7231,0.6019,0.5786,0.5903,0.743,0.643,0.693,0.6118,0.6967,0.6542
27,0.3097,0.6528,0.7001,0.5884,0.5604,0.5744,0.7221,0.6243,0.6732,0.6069,0.6695,0.6382
27.1,0.3248,0.6428,0.678,0.5757,0.5444,0.56,0.7029,0.6079,0.6554,0.6012,0.6426,0.6219
27.2,0.3346,0.6337,0.6576,0.5643,0.5313,0.5478,0.6856,0.5945,0.64,0.5952,0.6171,0.6061
27.3,0.3394,0.6258,0.6394,0.5548,0.5211,0.538,0.6705,0.5842,0.6274,0.5895,0.5942,0.5919
27.4,0.3389,0.6194,0.6236,0.5472,0.5135,0.5304,0.6576,0.5766,0.6171,0.5848,0.5743,0.5795
27.5,0.3328,0.6144,0.6103,0.5416,0.5082,0.5249,0.6469,0.571,0.609,0.5813,0.557,0.5692
27.6,0.3217,0.6102,0.5996,0.5378,0.5052,0.5215,0.6384,0.5668,0.6026,0.5792,0.5424,0.5608
27.7,0.307,0.6057,0.592,0.536,0.5039,0.5199,0.6321,0.5639,0.598,0.5791,0.531,0.555
27.8,0.2901,0.6003,0.5883,0.536,0.5038,0.5199,0.6282,0.5625,0.5954,0.5815,0.5236,0.5526
27.9,0.2711,0.5936,0.5887,0.5377,0.5045,0.5211,0.6266,0.5625,0.5945,0.5872,0.5206,0.5539
28,0.2493,0.5865,0.5929,0.541,0.5061,0.5236,0.6269,0.5636,0.5952,0.5959,0.5222,0.5591
28.1,0.2239,0.5801,0.6002,0.5456,0.509,0.5273,0.6286,0.5653,0.5969,0.6071,0.5282,0.5676
28.2,0.1954,0.5749,0.6098,0.5514,0.5132,0.5323,0.631,0.5671,0.5991,0.6201,0.5378,0.579
28.3,0.1657,0.5713,0.6203,0.5582,0.5182,0.5382,0.6337,0.5685,0.6011,0.6343,0.5505,0.5924
28.4,0.1365,0.5687,0.6306,0.5652,0.5234,0.5443,0.6357,0.5689,0.6023,0.6491,0.5653,0.6072
28.5,0.1091,0.5673,0.6397,0.5717,0.528,0.5499,0.6365,0.5677,0.6021,0.6635,0.5808,0.6221
28.6,0.0834,0.5676,0.6469,0.5774,0.5318,0.5546,0.6359,0.5649,0.6004,0.676,0.5958,0.6359
28.7,0.0585,0.57,0.6515,0.5822,0.5351,0.5587,0.6335,0.5606,0.597,0.6859,0.6097,0.6478
28.8,0.0338,0.5747,0.6529,0.5861,0.5382,0.5621,0.629,0.5553,0.5921,0.693,0.6224,0.6577
28.9,0.0091,0.5817,0.6502,0.5889,0.5411,0.565,0.6221,0.5493,0.5857,0.6975,0.6341,0.6658
29,-0.0158,0.5906,0.6424,0.5902,0.5442,0.5672,0.6127,0.543,0.5779,0.6996,0.6449,0.6722
29.1,-0.0405,0.6013,0.6288,0.5899,0.5478,0.5689,0.6006,0.5366,0.5686,0.6991,0.6546,0.6768
29.2,-0.0641,0.6137,0.6093,0.5883,0.5526,0.5704,0.5865,0.5301,0.5583,0.6961,0.6627,0.6794
29.3,-0.0854,0.6277,0.5844,0.5862,0.5587,0.5725,0.5716,0.524,0.5478,0.6913,0.6693,0.6803
29.4,-0.1025,0.6429,0.5555,0.5848,0.5664,0.5756,0.5573,0.519,0.5382,0.6857,0.6748,0.6803
29.5,-0.1146,0.659,0.5248,0.5846,0.5756,0.5801,0.5447,0.516,0.5304,0.6801,0.6797,0.6799
29.6,-0.1221,0.6754,0.4945,0.5856,0.5863,0.5859,0.5338,0.5158,0.5248,0.6745,0.6838,0.6792
29.7,-0.1252,0.6918,0.4669,0.5874,0.5983,0.5928,0.5246,0.5188,0.5217,0.6689,0.6872,0.678
29.8,-0.1235,0.7078,0.4436,0.5893,0.6113,0.6003,0.517,0.5247,0.5208,0.6632,0.6897,0.6765
29.9,-0.1161,0.7229,0.4251,0.5908,0.6247,0.6078,0.5111,0.5328,0.5219,0.6581,0.6914,0.6747
