Time,Hungry Jacks - Opposing Flavours,Hungry Jacks - Opposing Flavours,Hungry Jacks - Opposing Flavours,Hungry Jacks - Opposing Flavours,Hungry Jacks - Opposing Flavours,Hungry Jacks - Opposing Flavours,Hungry Jacks - Opposing Flavours,Hungry Jacks - Opposing Flavours,Hungry Jacks - Opposing Flavours,Hungry Jacks - Opposing Flavours,Hungry Jacks - Opposing Flavours,Hungry Jacks - Opposing Flavours
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
12,0.4373,0.6513,0.5514,0.7878,0.6883,0.738,0.7224,0.4629,0.5926,0.8421,0.6207,0.7314
12.1,0.4614,0.6366,0.5388,0.7681,0.6738,0.721,0.7067,0.4511,0.5789,0.8295,0.6151,0.7223
12.2,0.4735,0.6221,0.5263,0.7483,0.6583,0.7033,0.6916,0.4439,0.5677,0.8166,0.61,0.7133
12.3,0.4746,0.6087,0.5139,0.73,0.6438,0.6869,0.6783,0.4415,0.5599,0.8042,0.6059,0.7051
12.4,0.4656,0.5976,0.5021,0.7145,0.6321,0.6733,0.6678,0.4441,0.5559,0.7926,0.6031,0.6978
12.5,0.4479,0.5899,0.4918,0.7025,0.624,0.6633,0.6612,0.4516,0.5564,0.782,0.6019,0.692
12.6,0.4229,0.5859,0.4841,0.6944,0.6191,0.6568,0.6588,0.4639,0.5613,0.773,0.6025,0.6877
12.7,0.3929,0.5855,0.4802,0.6902,0.617,0.6536,0.6602,0.481,0.5706,0.7662,0.6051,0.6857
12.8,0.3603,0.5892,0.4804,0.6897,0.618,0.6539,0.665,0.5028,0.5839,0.7615,0.6098,0.6857
12.9,0.326,0.597,0.4848,0.6927,0.6222,0.6574,0.6725,0.5286,0.6005,0.7584,0.6157,0.687
13,0.2899,0.6089,0.4926,0.6984,0.63,0.6642,0.682,0.5573,0.6197,0.7556,0.6216,0.6886
13.1,0.2517,0.6248,0.5031,0.7066,0.641,0.6738,0.6934,0.5876,0.6405,0.7525,0.6264,0.6894
13.2,0.2119,0.6448,0.5154,0.7169,0.6554,0.6861,0.706,0.6182,0.6621,0.7487,0.6299,0.6893
13.3,0.171,0.669,0.5285,0.7289,0.6735,0.7012,0.719,0.6483,0.6837,0.744,0.6321,0.6881
13.4,0.1298,0.6971,0.5415,0.7426,0.6955,0.719,0.7314,0.6769,0.7041,0.7381,0.6335,0.6858
13.5,0.09,0.728,0.5537,0.7573,0.7203,0.7388,0.742,0.7027,0.7224,0.7301,0.6338,0.682
13.6,0.0533,0.7599,0.5647,0.7724,0.7456,0.759,0.75,0.7245,0.7373,0.7196,0.6328,0.6762
13.7,0.0214,0.7905,0.5743,0.7873,0.7692,0.7782,0.7553,0.7413,0.7483,0.7065,0.63,0.6683
13.8,-0.0044,0.8184,0.5828,0.8015,0.7897,0.7956,0.7583,0.7531,0.7557,0.6908,0.6256,0.6582
13.9,-0.0236,0.8429,0.591,0.8145,0.8069,0.8107,0.7591,0.7606,0.7598,0.6731,0.6199,0.6465
14,-0.0372,0.8637,0.5994,0.8262,0.8208,0.8235,0.7586,0.7641,0.7614,0.6538,0.6133,0.6336
14.1,-0.0472,0.8796,0.6075,0.836,0.8312,0.8336,0.7575,0.7641,0.7608,0.6333,0.606,0.6197
14.2,-0.0548,0.8894,0.6149,0.8436,0.8376,0.8406,0.7566,0.7607,0.7586,0.6126,0.5981,0.6054
14.3,-0.0615,0.8919,0.621,0.8489,0.8398,0.8444,0.7566,0.7548,0.7557,0.5927,0.5899,0.5913
14.4,-0.0672,0.8873,0.626,0.8522,0.8381,0.8451,0.7581,0.7474,0.7527,0.5745,0.5817,0.5781
14.5,-0.0711,0.8767,0.6306,0.8542,0.8332,0.8437,0.7613,0.7399,0.7506,0.5585,0.574,0.5663
14.6,-0.0727,0.8616,0.6353,0.8556,0.8261,0.8409,0.7663,0.7329,0.7496,0.5453,0.5673,0.5563
14.7,-0.0726,0.843,0.6401,0.8569,0.8176,0.8373,0.7728,0.7265,0.7497,0.5352,0.5619,0.5486
14.8,-0.073,0.821,0.6451,0.858,0.808,0.833,0.7804,0.7207,0.7506,0.5287,0.558,0.5433
14.9,-0.0764,0.7956,0.6496,0.8582,0.7976,0.8279,0.7884,0.7155,0.752,0.5253,0.5556,0.5405
