Time,KFC - Buy One Get One FREE Original Recipe Burger Combo 15 TVC,KFC - Buy One Get One FREE Original Recipe Burger Combo 15 TVC,KFC - Buy One Get One FREE Original Recipe Burger Combo 15 TVC,KFC - Buy One Get One FREE Original Recipe Burger Combo 15 TVC,KFC - Buy One Get One FREE Original Recipe Burger Combo 15 TVC,KFC - Buy One Get One FREE Original Recipe Burger Combo 15 TVC,KFC - Buy One Get One FREE Original Recipe Burger Combo 15 TVC,KFC - Buy One Get One FREE Original Recipe Burger Combo 15 TVC,KFC - Buy One Get One FREE Original Recipe Burger Combo 15 TVC,KFC - Buy One Get One FREE Original Recipe Burger Combo 15 TVC,KFC - Buy One Get One FREE Original Recipe Burger Combo 15 TVC,KFC - Buy One Get One FREE Original Recipe Burger Combo 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
7,-0.04,0.6301,0.289,0.7066,0.5093,0.608,0.2068,0.4071,0.307,0.0893,0.2709,0.1801
7.1,-0.0502,0.612,0.2935,0.7192,0.5006,0.6099,0.2023,0.4178,0.3101,0.0866,0.2568,0.1717
7.2,-0.0597,0.5915,0.3008,0.725,0.4917,0.6084,0.2003,0.4321,0.3162,0.0847,0.2472,0.166
7.3,-0.0672,0.5703,0.3101,0.7236,0.4836,0.6036,0.2004,0.4494,0.3249,0.0831,0.2416,0.1624
7.4,-0.0724,0.5499,0.3212,0.7151,0.4772,0.5961,0.2024,0.4694,0.3359,0.0812,0.2395,0.1603
7.5,-0.0764,0.5316,0.3338,0.7008,0.4736,0.5872,0.2062,0.4912,0.3487,0.0786,0.2404,0.1595
7.6,-0.0799,0.5167,0.347,0.6824,0.4739,0.5781,0.2121,0.514,0.363,0.0754,0.244,0.1597
7.7,-0.082,0.5057,0.3598,0.6612,0.4779,0.5696,0.2201,0.5368,0.3784,0.0719,0.2502,0.1611
7.8,-0.0813,0.499,0.3709,0.638,0.4854,0.5617,0.23,0.5584,0.3942,0.0685,0.2585,0.1635
7.9,-0.077,0.4966,0.3794,0.6134,0.4958,0.5546,0.241,0.5781,0.4096,0.0647,0.2679,0.1663
8,-0.0705,0.4978,0.3849,0.5881,0.5088,0.5485,0.2527,0.5951,0.4239,0.0601,0.2775,0.1688
8.1,-0.0634,0.5022,0.3872,0.5637,0.5244,0.544,0.2647,0.6084,0.4365,0.0543,0.2865,0.1704
8.2,-0.057,0.509,0.3864,0.5408,0.5418,0.5413,0.277,0.6175,0.4472,0.048,0.2948,0.1714
8.3,-0.0522,0.5174,0.3829,0.5192,0.5596,0.5394,0.2894,0.6223,0.4559,0.0421,0.3025,0.1723
8.4,-0.0493,0.5268,0.3773,0.4978,0.5765,0.5372,0.3016,0.6228,0.4622,0.0375,0.3096,0.1736
8.5,-0.0485,0.5368,0.3702,0.4764,0.5916,0.534,0.3131,0.6193,0.4662,0.0348,0.3157,0.1752
8.6,-0.0493,0.5473,0.3625,0.456,0.6048,0.5304,0.3236,0.6121,0.4679,0.0342,0.3203,0.1772
8.7,-0.0496,0.5582,0.3543,0.4383,0.6159,0.5271,0.3329,0.6013,0.4671,0.036,0.3235,0.1797
8.8,-0.0465,0.5692,0.346,0.4243,0.6245,0.5244,0.3405,0.5876,0.464,0.0404,0.3254,0.1829
8.9,-0.0388,0.5798,0.3383,0.4138,0.6297,0.5218,0.3458,0.572,0.4589,0.0472,0.3265,0.1869
9,-0.0272,0.5893,0.3316,0.4059,0.631,0.5184,0.3484,0.5558,0.4521,0.0563,0.3272,0.1918
9.1,-0.0129,0.5967,0.3261,0.3996,0.6276,0.5136,0.3478,0.5399,0.4439,0.0677,0.3275,0.1976
9.2,0.0032,0.6013,0.3217,0.3941,0.6193,0.5067,0.344,0.5248,0.4344,0.0812,0.3273,0.2043
9.3,0.0205,0.6027,0.3188,0.3889,0.6064,0.4976,0.3369,0.5108,0.4239,0.0962,0.3267,0.2114
9.4,0.0388,0.601,0.3177,0.3838,0.5895,0.4866,0.3271,0.4984,0.4127,0.1111,0.3255,0.2183
9.5,0.0578,0.5968,0.319,0.3789,0.5698,0.4744,0.315,0.4879,0.4015,0.1248,0.3236,0.2242
9.6,0.0771,0.5907,0.3227,0.3751,0.549,0.462,0.3015,0.4799,0.3907,0.1362,0.3207,0.2284
9.7,0.0968,0.5837,0.3282,0.3728,0.5282,0.4505,0.2874,0.4742,0.3808,0.1453,0.3167,0.231
