Time,Samsung Fridge 15s TVC,Samsung Fridge 15s TVC,Samsung Fridge 15s TVC,Samsung Fridge 15s TVC,Samsung Fridge 15s TVC,Samsung Fridge 15s TVC,Samsung Fridge 15s TVC,Samsung Fridge 15s TVC,Samsung Fridge 15s TVC,Samsung Fridge 15s TVC,Samsung Fridge 15s TVC,Samsung Fridge 15s TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
10,-0.1868,0.7273,0.3332,0.5006,0.7279,0.6142,0.5101,0.6105,0.5603,0.4112,0.4121,0.4117
10.1,-0.2022,0.7196,0.3686,0.4784,0.7315,0.605,0.5078,0.6188,0.5633,0.4246,0.4281,0.4263
10.2,-0.2126,0.7081,0.4056,0.4579,0.7315,0.5947,0.5042,0.6293,0.5668,0.4375,0.445,0.4412
10.3,-0.2176,0.6936,0.4423,0.4396,0.7274,0.5835,0.4994,0.6408,0.5701,0.449,0.4616,0.4553
10.4,-0.2178,0.6762,0.4772,0.4238,0.7193,0.5716,0.4936,0.6522,0.5729,0.4586,0.4768,0.4677
10.5,-0.2145,0.6567,0.5093,0.4105,0.7074,0.5589,0.4874,0.6628,0.5751,0.4657,0.4899,0.4778
10.6,-0.2083,0.6355,0.5381,0.3996,0.6917,0.5457,0.4812,0.672,0.5766,0.4701,0.5008,0.4854
10.7,-0.1983,0.6134,0.5634,0.3914,0.6725,0.5319,0.4753,0.6793,0.5773,0.4715,0.5097,0.4906
10.8,-0.1834,0.5913,0.5852,0.386,0.6498,0.5179,0.4698,0.6841,0.5769,0.47,0.5171,0.4936
10.9,-0.1634,0.5704,0.6034,0.3835,0.6245,0.504,0.4648,0.6858,0.5753,0.4659,0.5231,0.4945
11,-0.1394,0.5515,0.618,0.3838,0.5974,0.4906,0.4603,0.6841,0.5722,0.4595,0.5275,0.4935
11.1,-0.1127,0.5349,0.6291,0.3862,0.5695,0.4779,0.4568,0.6791,0.568,0.4509,0.5303,0.4906
11.2,-0.0841,0.5204,0.6367,0.3904,0.541,0.4657,0.4544,0.671,0.5627,0.4409,0.5317,0.4863
11.3,-0.0535,0.5079,0.6413,0.3962,0.5124,0.4543,0.4532,0.6603,0.5567,0.4302,0.5324,0.4813
11.4,-0.0202,0.497,0.6434,0.4042,0.4842,0.4442,0.4531,0.6478,0.5505,0.4196,0.5329,0.4762
11.5,0.0163,0.4881,0.6437,0.4153,0.4574,0.4364,0.4543,0.6349,0.5446,0.4095,0.5335,0.4715
11.6,0.0552,0.4821,0.6427,0.4302,0.4338,0.432,0.457,0.6231,0.54,0.4005,0.5343,0.4674
11.7,0.0949,0.4795,0.6412,0.4492,0.4149,0.432,0.4618,0.6135,0.5376,0.393,0.5352,0.4641
11.8,0.1333,0.4804,0.6395,0.4717,0.4013,0.4365,0.4692,0.6068,0.538,0.3871,0.5363,0.4617
11.9,0.1688,0.4846,0.638,0.4969,0.3933,0.4451,0.4794,0.6027,0.5411,0.383,0.5377,0.4603
12,0.2007,0.4921,0.6372,0.5245,0.3912,0.4578,0.4924,0.6016,0.547,0.3807,0.5393,0.46
12.1,0.229,0.503,0.6378,0.5538,0.3956,0.4747,0.5079,0.6038,0.5559,0.3803,0.5408,0.4605
12.2,0.2535,0.517,0.6402,0.584,0.4066,0.4953,0.5255,0.6099,0.5677,0.3821,0.5413,0.4617
12.3,0.2736,0.5335,0.6442,0.6136,0.4239,0.5187,0.5439,0.6196,0.5818,0.3859,0.5404,0.4632
12.4,0.2881,0.5516,0.6491,0.6406,0.4466,0.5436,0.5621,0.6321,0.5971,0.392,0.5378,0.4649
