Time,Uber - Carshare Second Car 30 TVC,Uber - Carshare Second Car 30 TVC,Uber - Carshare Second Car 30 TVC,Uber - Carshare Second Car 30 TVC,Uber - Carshare Second Car 30 TVC,Uber - Carshare Second Car 30 TVC,Uber - Carshare Second Car 30 TVC,Uber - Carshare Second Car 30 TVC,Uber - Carshare Second Car 30 TVC,Uber - Carshare Second Car 30 TVC,Uber - Carshare Second Car 30 TVC,Uber - Carshare Second Car 30 TVC
21.2,0.4462,0.3813,0.3953,0.4138,0.4097,0.4118,0.3053,0.3233,0.3143,0.3267,0.4343,0.3805
21.3,0.4496,0.3769,0.3893,0.4148,0.4015,0.4081,0.2967,0.3271,0.3119,0.3064,0.4039,0.3552
21.4,0.4549,0.3725,0.3851,0.4156,0.3917,0.4036,0.289,0.3307,0.3098,0.2895,0.3762,0.3329
21.5,0.4616,0.368,0.3829,0.4162,0.3799,0.3981,0.282,0.3343,0.3082,0.2772,0.352,0.3146
21.6,0.4682,0.3634,0.3825,0.4167,0.3666,0.3917,0.2763,0.3382,0.3073,0.2703,0.3321,0.3012
21.7,0.473,0.3588,0.3833,0.4172,0.3526,0.3849,0.2725,0.3425,0.3075,0.2692,0.317,0.2931
21.8,0.4739,0.3541,0.384,0.4171,0.3387,0.3779,0.2705,0.3465,0.3085,0.2734,0.3065,0.29
21.9,0.4694,0.3493,0.3837,0.4153,0.3255,0.3704,0.2698,0.3494,0.3096,0.2816,0.3003,0.2909
22,0.4581,0.3445,0.3818,0.4108,0.3136,0.3622,0.27,0.3506,0.3103,0.2925,0.2976,0.2951
22.1,0.4395,0.3399,0.3781,0.4036,0.3034,0.3535,0.2709,0.3502,0.3105,0.3055,0.2982,0.3018
22.2,0.4133,0.3359,0.3731,0.3945,0.2958,0.3451,0.2728,0.3488,0.3108,0.3199,0.3019,0.3109
22.3,0.3794,0.333,0.3666,0.385,0.2913,0.3381,0.2761,0.3473,0.3117,0.3358,0.3087,0.3222
22.4,0.3396,0.3313,0.3588,0.3763,0.2905,0.3334,0.2806,0.346,0.3133,0.3525,0.3183,0.3354
22.5,0.2972,0.331,0.3496,0.3695,0.2934,0.3314,0.2864,0.3452,0.3158,0.3696,0.3298,0.3497
22.6,0.2558,0.3321,0.3397,0.3654,0.2998,0.3326,0.2936,0.3452,0.3194,0.3866,0.3423,0.3644
22.7,0.2178,0.3345,0.3296,0.3642,0.3095,0.3368,0.3027,0.3462,0.3245,0.4034,0.3552,0.3793
22.8,0.1835,0.3384,0.3201,0.366,0.3221,0.344,0.3141,0.3488,0.3315,0.4198,0.3685,0.3942
22.9,0.1526,0.3436,0.3117,0.3702,0.337,0.3536,0.3278,0.3531,0.3405,0.4359,0.382,0.409
23,0.1251,0.3501,0.3051,0.3763,0.3533,0.3648,0.3437,0.3589,0.3513,0.4514,0.3954,0.4234
23.1,0.1021,0.3576,0.3011,0.3841,0.37,0.377,0.3611,0.3662,0.3636,0.4663,0.4081,0.4372
23.2,0.0844,0.3658,0.3003,0.3933,0.3865,0.3899,0.3799,0.3745,0.3772,0.4801,0.4203,0.4502
23.3,0.0715,0.3742,0.3024,0.4039,0.4023,0.4031,0.3996,0.3836,0.3916,0.4926,0.4317,0.4622
23.4,0.0624,0.3827,0.3069,0.4157,0.4169,0.4163,0.4199,0.3929,0.4064,0.5034,0.4423,0.4728
23.5,0.0558,0.3913,0.3131,0.4284,0.4297,0.4291,0.4401,0.4023,0.4212,0.5125,0.4515,0.482
23.6,0.0512,0.4003,0.3205,0.4414,0.4403,0.4408,0.4599,0.4115,0.4357,0.5198,0.4592,0.4895
23.7,0.0481,0.4094,0.3287,0.4542,0.4482,0.4512,0.4789,0.4209,0.4499,0.5253,0.4659,0.4956
23.8,0.0457,0.4184,0.3373,0.4662,0.4532,0.4597,0.4969,0.4306,0.4638,0.5291,0.4721,0.5006
23.9,0.0427,0.427,0.3464,0.4773,0.4555,0.4664,0.5136,0.4406,0.4771,0.5314,0.4782,0.5048
24,0.0384,0.435,0.356,0.4873,0.4554,0.4713,0.5289,0.4507,0.4898,0.5328,0.485,0.5089
24.1,0.0326,0.443,0.366,0.4967,0.4528,0.4747,0.5432,0.4607,0.502,0.5342,0.4932,0.5137
24.2,0.0253,0.4511,0.3763,0.5058,0.4478,0.4768,0.5565,0.4707,0.5136,0.5363,0.5033,0.5198
24.3,0.0153,0.4593,0.3864,0.5143,0.4403,0.4773,0.5689,0.4803,0.5246,0.5395,0.5153,0.5274
24.4,0.0011,0.4674,0.3957,0.5222,0.4303,0.4762,0.5797,0.4888,0.5342,0.5433,0.5286,0.536
24.5,-0.0182,0.4751,0.4038,0.5291,0.4183,0.4737,0.5886,0.4956,0.5421,0.5475,0.5426,0.545
24.6,-0.0419,0.4824,0.4107,0.5354,0.405,0.4702,0.5954,0.5005,0.5479,0.5519,0.5571,0.5545
24.7,-0.068,0.4894,0.4169,0.5412,0.3915,0.4664,0.6002,0.5039,0.5521,0.5566,0.5724,0.5645
24.8,-0.0953,0.4961,0.423,0.5467,0.3783,0.4625,0.6036,0.5065,0.5551,0.5619,0.5887,0.5753
24.9,-0.1234,0.5019,0.4294,0.5515,0.366,0.4588,0.6056,0.509,0.5573,0.5672,0.6056,0.5864
25,-0.1525,0.5063,0.4362,0.5553,0.355,0.4552,0.6065,0.5115,0.559,0.5718,0.6223,0.597
25.1,-0.1818,0.5089,0.4432,0.5578,0.3454,0.4516,0.6062,0.5137,0.56,0.5747,0.6374,0.6061
25.2,-0.2101,0.5096,0.45,0.5589,0.3375,0.4482,0.6051,0.5155,0.5603,0.5759,0.6506,0.6133
25.3,-0.236,0.5082,0.4567,0.5588,0.3315,0.4451,0.6033,0.517,0.5601,0.5762,0.6616,0.6189
25.4,-0.2589,0.5047,0.4635,0.558,0.3277,0.4429,0.6006,0.5189,0.5597,0.5763,0.6705,0.6234
25.5,-0.2791,0.4995,0.4702,0.557,0.3266,0.4418,0.5969,0.5216,0.5592,0.5766,0.6774,0.627
25.6,-0.296,0.4933,0.4767,0.5563,0.3282,0.4423,0.5918,0.5253,0.5586,0.577,0.6826,0.6298
25.7,-0.3087,0.4867,0.4829,0.556,0.3324,0.4442,0.5851,0.53,0.5575,0.5775,0.6861,0.6318
25.8,-0.3161,0.48,0.489,0.5557,0.3388,0.4473,0.5765,0.5353,0.5559,0.5782,0.6882,0.6332
25.9,-0.3183,0.4735,0.4955,0.5549,0.3474,0.4512,0.5663,0.5414,0.5538,0.5795,0.6892,0.6343
26,-0.3162,0.4679,0.5029,0.5535,0.3582,0.4559,0.5551,0.5482,0.5517,0.5812,0.6895,0.6354
26.1,-0.3112,0.4635,0.5111,0.5519,0.3715,0.4617,0.5434,0.556,0.5497,0.583,0.6897,0.6364
26.2,-0.3033,0.4605,0.5197,0.5505,0.3872,0.4689,0.5318,0.5646,0.5482,0.5844,0.6898,0.6371
26.3,-0.2921,0.4588,0.5282,0.5503,0.4048,0.4775,0.5203,0.5737,0.547,0.5848,0.6896,0.6372
26.4,-0.2765,0.4581,0.5363,0.5515,0.4235,0.4875,0.5088,0.5827,0.5457,0.5841,0.6887,0.6364
26.5,-0.2563,0.4583,0.5436,0.5547,0.4432,0.4989,0.4975,0.5912,0.5443,0.5824,0.6871,0.6347
26.6,-0.2329,0.4598,0.5499,0.56,0.4637,0.5119,0.4866,0.5991,0.5428,0.5802,0.685,0.6326
26.7,-0.2076,0.463,0.5549,0.5674,0.485,0.5262,0.4766,0.6065,0.5415,0.5781,0.6826,0.6303
26.8,-0.1818,0.4677,0.5584,0.5761,0.5062,0.5412,0.468,0.6134,0.5407,0.5763,0.6799,0.6281
26.9,-0.1557,0.4733,0.5605,0.5851,0.5263,0.5557,0.4613,0.6199,0.5406,0.5747,0.6769,0.6258
27,-0.129,0.4787,0.5613,0.5932,0.5444,0.5688,0.4571,0.6254,0.5412,0.5735,0.6736,0.6236
27.1,-0.101,0.4834,0.5614,0.5997,0.5597,0.5797,0.4558,0.629,0.5424,0.5729,0.6704,0.6216
27.2,-0.0718,0.4872,0.561,0.6045,0.572,0.5883,0.458,0.6301,0.5441,0.573,0.6677,0.6204
27.3,-0.0419,0.49,0.5608,0.6078,0.5813,0.5945,0.464,0.6288,0.5464,0.5739,0.6655,0.6197
27.4,-0.0124,0.4919,0.5609,0.6099,0.5875,0.5987,0.4737,0.6253,0.5495,0.5756,0.6634,0.6195
27.5,0.0157,0.4929,0.5615,0.6109,0.5907,0.6008,0.4867,0.6201,0.5534,0.5772,0.6609,0.6191
27.6,0.0419,0.4922,0.5622,0.6108,0.5906,0.6007,0.5025,0.6133,0.5579,0.5782,0.6574,0.6178
27.7,0.0668,0.4894,0.5623,0.6095,0.587,0.5982,0.5203,0.6049,0.5626,0.578,0.6524,0.6152
27.8,0.0919,0.4845,0.5617,0.607,0.5802,0.5936,0.5399,0.5952,0.5675,0.5769,0.646,0.6115
27.9,0.1186,0.4775,0.5604,0.6036,0.5708,0.5872,0.5615,0.5847,0.5731,0.5753,0.6388,0.607
28,0.1473,0.4684,0.5586,0.5993,0.5592,0.5793,0.5851,0.5742,0.5796,0.5734,0.6312,0.6023
28.1,0.1772,0.4574,0.5559,0.5942,0.5456,0.5699,0.61,0.5638,0.5869,0.5712,0.6234,0.5973
28.2,0.2064,0.4443,0.5517,0.588,0.5298,0.5589,0.6351,0.5533,0.5942,0.568,0.615,0.5915
28.3,0.2329,0.4292,0.5451,0.5805,0.5121,0.5463,0.6587,0.5421,0.6004,0.5635,0.6052,0.5843
28.4,0.2553,0.4121,0.536,0.5718,0.493,0.5324,0.6797,0.5299,0.6048,0.5571,0.5935,0.5753
28.5,0.2724,0.3934,0.5249,0.5621,0.4728,0.5175,0.6976,0.5171,0.6073,0.549,0.5806,0.5648
28.6,0.284,0.3735,0.5122,0.5518,0.4517,0.5017,0.7116,0.504,0.6078,0.5392,0.5672,0.5532
28.7,0.2907,0.3531,0.4982,0.5413,0.4297,0.4855,0.7211,0.491,0.6061,0.5278,0.554,0.5409
28.8,0.293,0.3329,0.483,0.5309,0.4072,0.4691,0.7254,0.4783,0.6018,0.515,0.5415,0.5283
28.9,0.2908,0.3135,0.4668,0.5207,0.3847,0.4527,0.7241,0.4659,0.595,0.5012,0.5298,0.5155
29,0.2835,0.2953,0.45,0.5104,0.3624,0.4364,0.7171,0.4538,0.5854,0.4869,0.5193,0.5031
29.1,0.2697,0.2785,0.4328,0.4997,0.3403,0.42,0.705,0.4416,0.5733,0.4729,0.5099,0.4914
29.2,0.2489,0.2631,0.4155,0.4889,0.3184,0.4037,0.6881,0.429,0.5585,0.4595,0.5015,0.4805
29.3,0.2218,0.2494,0.3986,0.4781,0.2973,0.3877,0.6666,0.4162,0.5414,0.447,0.4941,0.4705
29.4,0.1897,0.238,0.3826,0.4675,0.2777,0.3726,0.6406,0.4032,0.5219,0.4356,0.4881,0.4619
29.5,0.1535,0.2294,0.368,0.4569,0.2609,0.3589,0.61,0.3905,0.5002,0.4262,0.4846,0.4554
29.6,0.1139,0.224,0.355,0.4462,0.2473,0.3468,0.575,0.3778,0.4764,0.4196,0.4843,0.452
29.7,0.0714,0.2225,0.3439,0.4353,0.2374,0.3363,0.5362,0.3654,0.4508,0.4169,0.4875,0.4522
29.8,0.0269,0.2255,0.3353,0.4244,0.2317,0.3281,0.4942,0.3534,0.4238,0.418,0.4943,0.4562
29.9,-0.0188,0.2331,0.3298,0.4143,0.2311,0.3227,0.4504,0.3426,0.3965,0.4231,0.5045,0.4638
