Time,Sirena Tuna - Nothing Compares 30 TVC,Sirena Tuna - Nothing Compares 30 TVC,Sirena Tuna - Nothing Compares 30 TVC,Sirena Tuna - Nothing Compares 30 TVC,Sirena Tuna - Nothing Compares 30 TVC,Sirena Tuna - Nothing Compares 30 TVC,Sirena Tuna - Nothing Compares 30 TVC,Sirena Tuna - Nothing Compares 30 TVC,Sirena Tuna - Nothing Compares 30 TVC,Sirena Tuna - Nothing Compares 30 TVC,Sirena Tuna - Nothing Compares 30 TVC,Sirena Tuna - Nothing Compares 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
9.7,0.1716,0.7951,0.9546,0.826,0.9548,0.8904,0.6881,0.8446,0.7664,0.7288,0.4481,0.5884
9.8,0.1689,0.8128,0.952,0.8377,0.9636,0.9006,0.6979,0.8469,0.7724,0.7231,0.4501,0.5866
9.9,0.1686,0.827,0.9444,0.8496,0.9669,0.9082,0.7074,0.8441,0.7758,0.7135,0.4514,0.5824
10,0.1691,0.8389,0.9339,0.862,0.9657,0.9139,0.7175,0.8376,0.7776,0.701,0.4522,0.5766
10.1,0.1695,0.8498,0.9223,0.8753,0.9615,0.9184,0.7292,0.8285,0.7789,0.6872,0.4535,0.5704
10.2,0.1694,0.8608,0.9109,0.8896,0.9553,0.9225,0.7427,0.8177,0.7802,0.673,0.4564,0.5647
10.3,0.1685,0.8721,0.9009,0.9042,0.9474,0.9258,0.7571,0.8057,0.7814,0.6589,0.4614,0.5601
10.4,0.1678,0.8834,0.8929,0.9178,0.9377,0.9278,0.7713,0.7925,0.7819,0.645,0.4685,0.5567
10.5,0.1673,0.8939,0.8871,0.9296,0.9259,0.9277,0.7842,0.7781,0.7812,0.6313,0.4778,0.5545
10.6,0.1659,0.9026,0.883,0.9389,0.912,0.9254,0.7946,0.7616,0.7781,0.6176,0.4886,0.5531
10.7,0.1622,0.9088,0.8792,0.9456,0.8958,0.9207,0.8015,0.7415,0.7715,0.6035,0.4998,0.5517
10.8,0.1551,0.9121,0.8743,0.9492,0.8774,0.9133,0.8035,0.7167,0.7601,0.5888,0.51,0.5494
10.9,0.1441,0.9126,0.8675,0.9491,0.8564,0.9027,0.8002,0.6873,0.7438,0.5736,0.5187,0.5461
11,0.1292,0.9105,0.8591,0.9453,0.8332,0.8893,0.7917,0.6547,0.7232,0.5584,0.5261,0.5423
11.1,0.1097,0.9059,0.85,0.9385,0.8092,0.8739,0.7782,0.6208,0.6995,0.5439,0.5336,0.5387
11.2,0.0857,0.8988,0.841,0.9298,0.7857,0.8577,0.7605,0.5873,0.6739,0.5306,0.5423,0.5365
11.3,0.0584,0.8892,0.8321,0.9203,0.7632,0.8418,0.7399,0.5554,0.6477,0.5189,0.5527,0.5358
11.4,0.0307,0.8775,0.8228,0.9114,0.7418,0.8266,0.7189,0.5262,0.6225,0.5093,0.5649,0.5371
11.5,0.0053,0.8641,0.8132,0.9036,0.721,0.8123,0.6999,0.5007,0.6003,0.5024,0.5788,0.5406
11.6,-0.0162,0.8493,0.8029,0.897,0.7008,0.7989,0.6845,0.4797,0.5821,0.4985,0.5947,0.5466
11.7,-0.0342,0.833,0.7917,0.8913,0.6815,0.7864,0.6729,0.4634,0.5682,0.4973,0.6116,0.5544
11.8,-0.0489,0.8152,0.7791,0.886,0.6631,0.7746,0.6648,0.4521,0.5584,0.4982,0.6279,0.563
11.9,-0.0598,0.7959,0.765,0.881,0.6444,0.7627,0.66,0.4459,0.5529,0.5011,0.6418,0.5714
12,-0.0656,0.7751,0.7492,0.8763,0.6243,0.7503,0.6585,0.4447,0.5516,0.506,0.6518,0.5789
12.1,-0.0649,0.753,0.7312,0.872,0.6021,0.7371,0.6596,0.4477,0.5536,0.5123,0.6572,0.5847
12.2,-0.057,0.7303,0.7106,0.8676,0.5782,0.7229,0.6621,0.4531,0.5576,0.5183,0.6569,0.5876
12.3,-0.0426,0.7076,0.6875,0.862,0.5532,0.7076,0.6646,0.4591,0.5619,0.5221,0.65,0.5861
12.4,-0.0233,0.686,0.6626,0.8545,0.5275,0.691,0.6663,0.4647,0.5655,0.5225,0.6366,0.5795
12.5,-0.0006,0.6663,0.6376,0.8447,0.5013,0.673,0.6677,0.4696,0.5687,0.519,0.6173,0.5682
12.6,0.0246,0.6496,0.615,0.8329,0.4748,0.6539,0.6693,0.4736,0.5714,0.5126,0.5934,0.553
12.7,0.0511,0.6372,0.5962,0.8198,0.4491,0.6345,0.6712,0.4763,0.5738,0.5034,0.5653,0.5344
12.8,0.0771,0.6301,0.5814,0.8065,0.4253,0.6159,0.673,0.477,0.575,0.4912,0.5338,0.5125
12.9,0.101,0.6284,0.5697,0.7944,0.4046,0.5995,0.6735,0.4752,0.5744,0.4757,0.4995,0.4876
13,0.123,0.6313,0.5606,0.7848,0.388,0.5864,0.6723,0.4712,0.5718,0.4574,0.4638,0.4606
13.1,0.1443,0.6382,0.5541,0.7787,0.3772,0.5779,0.6692,0.4652,0.5672,0.4376,0.4283,0.4329
13.2,0.1664,0.6481,0.5502,0.7767,0.3732,0.5749,0.6638,0.4575,0.5607,0.4176,0.3941,0.4058
13.3,0.1906,0.6607,0.5483,0.7784,0.3767,0.5776,0.6562,0.4481,0.5521,0.3985,0.3627,0.3806
13.4,0.2181,0.6753,0.5479,0.7836,0.3875,0.5855,0.6463,0.4373,0.5418,0.3818,0.3361,0.3589
13.5,0.249,0.6916,0.5489,0.7918,0.4051,0.5984,0.6345,0.4257,0.5301,0.3691,0.3155,0.3423
13.6,0.2821,0.7091,0.5515,0.8022,0.4286,0.6154,0.6209,0.4143,0.5176,0.361,0.3009,0.331
13.7,0.3152,0.7266,0.5551,0.8135,0.4568,0.6351,0.6051,0.4033,0.5042,0.3564,0.2915,0.3239
13.8,0.3468,0.7432,0.5582,0.8246,0.488,0.6563,0.5867,0.3923,0.4895,0.3543,0.2865,0.3204
13.9,0.3759,0.7584,0.5601,0.8357,0.5216,0.6786,0.5668,0.3813,0.4741,0.3543,0.2854,0.3199
14,0.4025,0.773,0.5613,0.8472,0.5576,0.7024,0.5474,0.3714,0.4594,0.3563,0.2884,0.3224
14.1,0.427,0.788,0.5637,0.8595,0.5962,0.7278,0.5305,0.3641,0.4473,0.3596,0.2953,0.3275
14.2,0.449,0.8035,0.5684,0.8722,0.6371,0.7547,0.5167,0.3614,0.439,0.3631,0.3054,0.3343
14.3,0.468,0.8191,0.5757,0.8848,0.6797,0.7823,0.5058,0.3641,0.4349,0.3658,0.3185,0.3421
14.4,0.4838,0.8339,0.5851,0.8975,0.7236,0.8106,0.4979,0.372,0.435,0.3674,0.3343,0.3509
14.5,0.4963,0.8476,0.5963,0.9106,0.7682,0.8394,0.4942,0.3851,0.4397,0.3682,0.3529,0.3605
14.6,0.5055,0.8603,0.6092,0.9237,0.8127,0.8682,0.496,0.4031,0.4496,0.3677,0.3738,0.3708
14.7,0.51,0.8718,0.6232,0.9356,0.8555,0.8955,0.5033,0.426,0.4646,0.3651,0.396,0.3806
14.8,0.5085,0.8815,0.6373,0.9448,0.8945,0.9197,0.5144,0.453,0.4837,0.3593,0.4183,0.3888
14.9,0.5,0.8886,0.6508,0.95,0.9278,0.9389,0.5277,0.483,0.5053,0.3503,0.4393,0.3948
15,0.4832,0.893,0.6635,0.9511,0.9545,0.9528,0.5422,0.5154,0.5288,0.3387,0.4579,0.3983
15.1,0.4584,0.895,0.6757,0.9492,0.9746,0.9619,0.5572,0.55,0.5536,0.325,0.4736,0.3993
15.2,0.4271,0.8951,0.6869,0.945,0.9882,0.9666,0.5724,0.5863,0.5793,0.31,0.4863,0.3982
15.3,0.3918,0.8931,0.6963,0.9388,0.9953,0.9671,0.5873,0.6234,0.6054,0.2938,0.4963,0.3951
15.4,0.3545,0.8883,0.7036,0.9306,0.9964,0.9635,0.6018,0.6601,0.631,0.2768,0.5041,0.3904
15.5,0.317,0.8803,0.7089,0.9201,0.9924,0.9563,0.6162,0.6946,0.6554,0.2593,0.5102,0.3847
15.6,0.2804,0.8689,0.713,0.9075,0.9843,0.9459,0.6308,0.7259,0.6784,0.2419,0.5153,0.3786
15.7,0.2454,0.8546,0.7158,0.8933,0.9726,0.933,0.6456,0.7534,0.6995,0.2256,0.5199,0.3728
15.8,0.2126,0.838,0.7171,0.8789,0.9582,0.9186,0.6609,0.7768,0.7189,0.2112,0.524,0.3676
15.9,0.1831,0.8201,0.7169,0.8663,0.9425,0.9044,0.6772,0.7966,0.7369,0.1999,0.5272,0.3636
16,0.1578,0.8017,0.7162,0.8563,0.9271,0.8917,0.6943,0.8126,0.7534,0.1928,0.5292,0.361
16.1,0.1367,0.7836,0.7152,0.8485,0.9124,0.8805,0.7107,0.8244,0.7676,0.19,0.5299,0.36
16.2,0.1185,0.7664,0.7132,0.8419,0.8991,0.8705,0.7246,0.8319,0.7782,0.1912,0.5296,0.3604
16.3,0.1021,0.7507,0.7096,0.8357,0.8872,0.8614,0.7344,0.8351,0.7848,0.1964,0.5284,0.3624
16.4,0.0879,0.7366,0.704,0.8293,0.8766,0.8529,0.7398,0.8347,0.7872,0.2067,0.5264,0.3665
16.5,0.076,0.7238,0.697,0.822,0.8668,0.8444,0.741,0.8308,0.7859,0.2221,0.5237,0.3729
16.6,0.0658,0.7118,0.6895,0.8126,0.8574,0.835,0.7379,0.8235,0.7807,0.2415,0.5207,0.3811
16.7,0.0567,0.7006,0.6819,0.8002,0.8485,0.8244,0.7302,0.8131,0.7717,0.2626,0.5173,0.3899
16.8,0.0488,0.6903,0.6744,0.7848,0.8401,0.8125,0.7187,0.8009,0.7598,0.2835,0.5131,0.3983
16.9,0.043,0.6815,0.667,0.767,0.832,0.7995,0.7049,0.7885,0.7467,0.303,0.5078,0.4054
17,0.0404,0.6738,0.6597,0.7471,0.8234,0.7853,0.6898,0.7769,0.7333,0.3202,0.5015,0.4109
17.1,0.0411,0.6667,0.6524,0.7252,0.8132,0.7692,0.6741,0.766,0.7201,0.334,0.4946,0.4143
17.2,0.0439,0.6603,0.6453,0.7013,0.8008,0.7511,0.6579,0.7563,0.7071,0.344,0.4875,0.4158
17.3,0.047,0.655,0.6395,0.6763,0.7865,0.7314,0.6418,0.7485,0.6951,0.3497,0.48,0.4149
17.4,0.0493,0.6517,0.6356,0.6509,0.7701,0.7105,0.6261,0.7431,0.6846,0.3511,0.4719,0.4115
17.5,0.0507,0.6499,0.6335,0.625,0.751,0.688,0.6106,0.7393,0.675,0.3478,0.463,0.4054
17.6,0.052,0.6488,0.6317,0.5983,0.728,0.6631,0.5946,0.7353,0.6649,0.3398,0.4529,0.3964
17.7,0.0543,0.6477,0.6286,0.5705,0.7005,0.6355,0.5776,0.7297,0.6536,0.3274,0.4411,0.3842
17.8,0.0584,0.6469,0.6234,0.5421,0.6686,0.6054,0.5604,0.7218,0.6411,0.3111,0.427,0.369
17.9,0.0651,0.6465,0.6168,0.5138,0.6324,0.5731,0.544,0.7119,0.6279,0.291,0.4107,0.3508
18,0.075,0.6466,0.6094,0.4861,0.5925,0.5393,0.5285,0.7,0.6143,0.2667,0.3922,0.3294
18.1,0.0878,0.6467,0.6013,0.4594,0.5499,0.5046,0.513,0.6861,0.5995,0.238,0.3713,0.3046
18.2,0.1035,0.6465,0.5918,0.434,0.5061,0.47,0.4968,0.6702,0.5835,0.2062,0.3482,0.2772
18.3,0.122,0.6463,0.5813,0.411,0.4631,0.437,0.4807,0.6531,0.5669,0.1735,0.3237,0.2486
18.4,0.1431,0.6459,0.5709,0.3923,0.4236,0.408,0.4656,0.6362,0.5509,0.1422,0.2998,0.221
18.5,0.1654,0.6448,0.5608,0.379,0.3901,0.3845,0.452,0.6198,0.5359,0.1139,0.2783,0.1961
18.6,0.1872,0.6423,0.5502,0.3715,0.3643,0.3679,0.4397,0.6037,0.5217,0.0899,0.2604,0.1751
18.7,0.206,0.6385,0.5388,0.3699,0.3478,0.3589,0.4285,0.5878,0.5081,0.0716,0.246,0.1588
18.8,0.2202,0.6341,0.5284,0.3752,0.3418,0.3585,0.4187,0.5731,0.4959,0.0601,0.2358,0.148
18.9,0.2285,0.6299,0.5221,0.388,0.3465,0.3672,0.4114,0.5612,0.4863,0.0556,0.2309,0.1432
19,0.2291,0.6258,0.5216,0.408,0.3608,0.3844,0.4068,0.5534,0.4801,0.057,0.231,0.144
19.1,0.2208,0.6211,0.5263,0.4329,0.3815,0.4072,0.4045,0.549,0.4767,0.0632,0.2355,0.1494
19.2,0.203,0.6148,0.5349,0.46,0.4053,0.4326,0.4037,0.5469,0.4753,0.0739,0.2438,0.1588
19.3,0.177,0.6067,0.5473,0.4866,0.4297,0.4582,0.4043,0.5469,0.4756,0.0887,0.2551,0.1719
19.4,0.1451,0.5973,0.5637,0.5106,0.4531,0.4818,0.4064,0.5491,0.4777,0.1067,0.2685,0.1876
19.5,0.1099,0.587,0.5834,0.5303,0.4746,0.5025,0.4103,0.5536,0.482,0.1263,0.2832,0.2048
