Time,Target Fashion DenimLand TVC 30,Target Fashion DenimLand TVC 30,Target Fashion DenimLand TVC 30,Target Fashion DenimLand TVC 30,Target Fashion DenimLand TVC 30,Target Fashion DenimLand TVC 30,Target Fashion DenimLand TVC 30,Target Fashion DenimLand TVC 30,Target Fashion DenimLand TVC 30,Target Fashion DenimLand TVC 30,Target Fashion DenimLand TVC 30,Target Fashion DenimLand TVC 30
21.3,-0.4745,0.4878,0.7047,0.5019,0.4756,0.4887,0.8428,0.7322,0.7875,0.869,0.7994,0.8342
21.4,-0.501,0.4742,0.7008,0.5014,0.4909,0.4962,0.8568,0.7518,0.8043,0.8601,0.7881,0.8241
21.5,-0.5212,0.4625,0.6962,0.4991,0.5083,0.5037,0.872,0.7717,0.8218,0.8484,0.7745,0.8115
21.6,-0.5344,0.4528,0.6906,0.4953,0.5268,0.511,0.8875,0.7908,0.8391,0.8343,0.7595,0.7969
21.7,-0.5406,0.4448,0.6838,0.4904,0.5458,0.5181,0.9029,0.8074,0.8551,0.818,0.7438,0.7809
21.8,-0.5413,0.4381,0.6763,0.4852,0.5646,0.5249,0.9183,0.8204,0.8693,0.7997,0.7274,0.7636
21.9,-0.5386,0.432,0.6683,0.4803,0.5826,0.5315,0.9335,0.8293,0.8814,0.7799,0.7105,0.7452
22,-0.5328,0.4261,0.66,0.476,0.5994,0.5377,0.948,0.834,0.891,0.7586,0.6927,0.7256
22.1,-0.5226,0.4201,0.6519,0.4719,0.6143,0.5431,0.9605,0.8347,0.8976,0.7357,0.6736,0.7046
22.2,-0.5061,0.4143,0.644,0.4676,0.6267,0.5471,0.9695,0.8312,0.9003,0.7108,0.6526,0.6817
22.3,-0.4825,0.4088,0.6359,0.4631,0.6352,0.5491,0.9737,0.8228,0.8982,0.6847,0.6296,0.6571
22.4,-0.4529,0.4035,0.6273,0.4582,0.6387,0.5484,0.9726,0.8093,0.891,0.6586,0.605,0.6318
22.5,-0.4188,0.3979,0.6174,0.4527,0.6363,0.5445,0.9666,0.7913,0.879,0.6339,0.5789,0.6064
22.6,-0.3819,0.3918,0.6059,0.4467,0.6279,0.5373,0.9562,0.7696,0.8629,0.6114,0.5515,0.5814
22.7,-0.3436,0.3851,0.593,0.4407,0.6139,0.5273,0.9415,0.7455,0.8435,0.5908,0.5229,0.5569
22.8,-0.3055,0.3788,0.5793,0.4356,0.5955,0.5155,0.9221,0.7205,0.8213,0.5721,0.4933,0.5327
22.9,-0.2692,0.3737,0.5657,0.4321,0.5746,0.5034,0.8978,0.6957,0.7967,0.5551,0.4634,0.5093
23,-0.2355,0.3702,0.5531,0.431,0.5523,0.4916,0.8686,0.6722,0.7704,0.54,0.4342,0.4871
23.1,-0.2053,0.3684,0.5427,0.4325,0.5296,0.481,0.8356,0.6516,0.7436,0.5273,0.407,0.4671
23.2,-0.1803,0.3684,0.5354,0.4375,0.508,0.4727,0.8007,0.6354,0.7181,0.5176,0.3832,0.4504
23.3,-0.1628,0.3702,0.5316,0.4468,0.4901,0.4684,0.7658,0.6243,0.6951,0.5116,0.3644,0.438
23.4,-0.1546,0.3747,0.5313,0.4612,0.4787,0.4699,0.7325,0.6182,0.6753,0.5095,0.3514,0.4305
23.5,-0.1571,0.3824,0.5344,0.4806,0.4762,0.4784,0.702,0.6172,0.6596,0.5118,0.345,0.4284
23.6,-0.1696,0.3936,0.5409,0.5042,0.483,0.4936,0.6756,0.6211,0.6483,0.5185,0.3453,0.4319
23.7,-0.1909,0.4083,0.5508,0.5308,0.4981,0.5145,0.6541,0.6299,0.642,0.53,0.3526,0.4413
23.8,-0.2194,0.4263,0.5639,0.5592,0.5204,0.5398,0.6381,0.6432,0.6406,0.5466,0.367,0.4568
23.9,-0.2535,0.448,0.5798,0.5886,0.5486,0.5686,0.628,0.6602,0.6441,0.5685,0.388,0.4783
24,-0.2912,0.4733,0.598,0.6189,0.5829,0.6009,0.6239,0.6804,0.6521,0.5954,0.4152,0.5053
24.1,-0.3304,0.5023,0.6184,0.65,0.6231,0.6366,0.6258,0.7032,0.6645,0.6269,0.4479,0.5374
24.2,-0.3693,0.5343,0.6412,0.6812,0.6679,0.6746,0.6335,0.7285,0.681,0.6622,0.4857,0.5739
24.3,-0.4057,0.5681,0.6664,0.7121,0.7151,0.7136,0.6463,0.756,0.7012,0.7004,0.528,0.6142
24.4,-0.4367,0.6029,0.6933,0.7421,0.7624,0.7523,0.6633,0.7852,0.7243,0.7399,0.5735,0.6567
24.5,-0.4598,0.6373,0.7205,0.7707,0.8074,0.7891,0.6836,0.815,0.7493,0.779,0.6204,0.6997
24.6,-0.4732,0.67,0.7465,0.7974,0.8478,0.8226,0.7069,0.8437,0.7753,0.8158,0.6666,0.7412
24.7,-0.4758,0.6994,0.77,0.8217,0.8822,0.852,0.7321,0.8698,0.801,0.8493,0.7106,0.7799
24.8,-0.467,0.7244,0.7901,0.8436,0.9093,0.8765,0.7578,0.8919,0.8248,0.8785,0.7513,0.8149
24.9,-0.4468,0.7442,0.8056,0.8629,0.9285,0.8957,0.7823,0.9086,0.8454,0.9029,0.7876,0.8453
25,-0.4161,0.7582,0.8159,0.8795,0.9402,0.9098,0.8041,0.919,0.8615,0.921,0.8178,0.8694
25.1,-0.3766,0.7661,0.8197,0.8936,0.945,0.9193,0.8221,0.9221,0.8721,0.9315,0.8402,0.8859
25.2,-0.3301,0.7672,0.8157,0.905,0.9434,0.9242,0.8353,0.9174,0.8764,0.9336,0.8533,0.8934
25.3,-0.277,0.7611,0.8027,0.913,0.9355,0.9243,0.8423,0.9046,0.8734,0.9267,0.856,0.8913
25.4,-0.2165,0.748,0.7796,0.9168,0.9212,0.919,0.8419,0.883,0.8624,0.9103,0.8476,0.879
25.5,-0.1491,0.7292,0.7464,0.9162,0.9009,0.9085,0.8338,0.8531,0.8434,0.8844,0.8275,0.856
25.6,-0.0777,0.7066,0.704,0.9114,0.8757,0.8936,0.8189,0.8159,0.8174,0.8488,0.7959,0.8224
25.7,-0.0068,0.6822,0.6544,0.9033,0.8474,0.8753,0.7979,0.7733,0.7856,0.8039,0.7532,0.7786
25.8,0.0585,0.6583,0.6002,0.8923,0.8182,0.8552,0.772,0.727,0.7495,0.7503,0.701,0.7256
25.9,0.1144,0.6368,0.544,0.879,0.7898,0.8344,0.7419,0.6788,0.7103,0.689,0.6409,0.6649
26,0.1587,0.6187,0.4884,0.8635,0.7631,0.8133,0.7082,0.6305,0.6694,0.6215,0.5751,0.5983
26.1,0.1915,0.6042,0.4361,0.8458,0.7379,0.7919,0.6719,0.5839,0.6279,0.5504,0.5069,0.5287
26.2,0.2137,0.5928,0.3895,0.826,0.7139,0.77,0.6345,0.5406,0.5875,0.4792,0.4397,0.4594
26.3,0.2273,0.5838,0.3498,0.8042,0.6911,0.7477,0.5974,0.5014,0.5494,0.4113,0.3767,0.394
26.4,0.2337,0.5763,0.3176,0.7812,0.6695,0.7253,0.5621,0.4667,0.5144,0.3495,0.3203,0.3349
26.5,0.2339,0.57,0.2924,0.7576,0.6491,0.7034,0.5295,0.4361,0.4828,0.2952,0.272,0.2836
26.6,0.2287,0.5647,0.273,0.7338,0.6302,0.682,0.5002,0.4091,0.4546,0.2491,0.232,0.2405
26.7,0.2193,0.5601,0.2588,0.7096,0.6127,0.6612,0.4741,0.3856,0.4299,0.211,0.2001,0.2055
26.8,0.2069,0.5562,0.2491,0.6843,0.596,0.6402,0.4512,0.3655,0.4083,0.1805,0.1753,0.1779
26.9,0.1927,0.5525,0.2435,0.6573,0.5797,0.6185,0.4309,0.3484,0.3896,0.1571,0.1568,0.157
27,0.1775,0.5488,0.2413,0.6284,0.5628,0.5956,0.4124,0.3336,0.373,0.1401,0.1439,0.142
27.1,0.1626,0.5447,0.2419,0.5981,0.5448,0.5714,0.3953,0.3202,0.3577,0.1292,0.1358,0.1325
27.2,0.1495,0.54,0.2447,0.5676,0.5253,0.5464,0.38,0.3079,0.3439,0.1237,0.132,0.1279
27.3,0.1399,0.5344,0.2496,0.538,0.5045,0.5213,0.3673,0.297,0.3321,0.1232,0.1322,0.1277
27.4,0.1349,0.5276,0.2566,0.5101,0.483,0.4966,0.3581,0.2878,0.3229,0.1271,0.1359,0.1315
27.5,0.1346,0.5197,0.2656,0.4839,0.4612,0.4726,0.3524,0.2801,0.3163,0.1346,0.1425,0.1385
27.6,0.138,0.5106,0.2759,0.459,0.4391,0.4491,0.3498,0.2733,0.3115,0.1441,0.151,0.1476
27.7,0.1442,0.501,0.2861,0.4356,0.4168,0.4262,0.3499,0.2668,0.3083,0.1547,0.1606,0.1577
27.8,0.1521,0.4912,0.2955,0.414,0.3949,0.4045,0.3533,0.2611,0.3072,0.166,0.1711,0.1685
27.9,0.1609,0.4816,0.3035,0.3949,0.3748,0.3849,0.3609,0.2569,0.3089,0.1781,0.1825,0.1803
28,0.1695,0.4722,0.3102,0.3786,0.3578,0.3682,0.3728,0.2545,0.3136,0.1912,0.195,0.1931
28.1,0.1772,0.4631,0.3151,0.3653,0.345,0.3551,0.3875,0.2533,0.3204,0.2048,0.2082,0.2065
28.2,0.1838,0.4544,0.3174,0.3545,0.336,0.3453,0.403,0.2525,0.3277,0.2178,0.2212,0.2195
28.3,0.1887,0.4465,0.3161,0.3455,0.3299,0.3377,0.4177,0.2513,0.3345,0.2288,0.2331,0.2309
28.4,0.191,0.4394,0.3113,0.3372,0.3254,0.3313,0.4305,0.25,0.3402,0.2376,0.2437,0.2406
28.5,0.1901,0.433,0.3035,0.3285,0.3219,0.3252,0.4404,0.2487,0.3446,0.2444,0.2533,0.2489
28.6,0.1859,0.4268,0.2935,0.3191,0.3194,0.3192,0.4467,0.2482,0.3474,0.2499,0.2621,0.256
28.7,0.1789,0.4209,0.2823,0.3093,0.3183,0.3138,0.449,0.249,0.349,0.2543,0.27,0.2622
28.8,0.17,0.4158,0.2709,0.3003,0.3197,0.31,0.4475,0.2521,0.3498,0.2581,0.2769,0.2675
28.9,0.1593,0.4121,0.2607,0.2931,0.3245,0.3088,0.4429,0.2586,0.3508,0.2616,0.2831,0.2723
29,0.1473,0.4105,0.2531,0.2884,0.3336,0.311,0.4363,0.269,0.3526,0.2657,0.2894,0.2775
29.1,0.1356,0.411,0.249,0.2865,0.3477,0.3171,0.4283,0.2835,0.3559,0.2708,0.2959,0.2833
29.2,0.1251,0.4137,0.2486,0.2875,0.3668,0.3271,0.4202,0.3017,0.361,0.2769,0.3023,0.2896
29.3,0.1146,0.4181,0.2514,0.2909,0.39,0.3404,0.4125,0.3228,0.3677,0.2842,0.3083,0.2963
29.4,0.1025,0.4244,0.2573,0.2962,0.4161,0.3562,0.406,0.3459,0.376,0.2933,0.3142,0.3038
29.5,0.0885,0.433,0.2664,0.3036,0.4444,0.374,0.4012,0.3704,0.3858,0.3047,0.3207,0.3127
29.6,0.0733,0.444,0.279,0.3131,0.4743,0.3937,0.3982,0.3957,0.397,0.3185,0.3281,0.3233
29.7,0.0575,0.4572,0.2949,0.3248,0.505,0.4149,0.3971,0.4206,0.4088,0.3344,0.3366,0.3355
29.8,0.0411,0.4723,0.3132,0.3388,0.5358,0.4373,0.3979,0.4441,0.421,0.3521,0.3457,0.3489
29.9,0.0236,0.4892,0.3332,0.3548,0.5662,0.4605,0.4013,0.4656,0.4335,0.3715,0.3555,0.3635
