Time,Arnotts Savoy 15 TVC,Arnotts Savoy 15 TVC,Arnotts Savoy 15 TVC,Arnotts Savoy 15 TVC,Arnotts Savoy 15 TVC,Arnotts Savoy 15 TVC,Arnotts Savoy 15 TVC,Arnotts Savoy 15 TVC,Arnotts Savoy 15 TVC,Arnotts Savoy 15 TVC,Arnotts Savoy 15 TVC,Arnotts Savoy 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
8.2,0.1597,0.1356,0.5067,0.4375,0.305,0.3712,0.233,0.2896,0.2613,0.5246,0.6775,0.6011
8.3,0.1728,0.133,0.5107,0.454,0.3145,0.3842,0.2182,0.2964,0.2573,0.5077,0.6605,0.5841
8.4,0.1804,0.133,0.5114,0.4697,0.3233,0.3965,0.2071,0.303,0.2551,0.4896,0.6416,0.5656
8.5,0.1827,0.1367,0.5087,0.4848,0.3322,0.4085,0.2001,0.3096,0.2548,0.4705,0.6212,0.5458
8.6,0.1785,0.1444,0.5027,0.4991,0.3415,0.4203,0.1973,0.3161,0.2567,0.4507,0.5994,0.525
8.7,0.1661,0.1564,0.4935,0.512,0.3508,0.4314,0.1987,0.3225,0.2606,0.4304,0.5767,0.5036
8.8,0.144,0.1727,0.4818,0.5229,0.36,0.4414,0.2039,0.3285,0.2662,0.4104,0.5535,0.482
8.9,0.113,0.1939,0.4689,0.5317,0.3698,0.4507,0.2129,0.3348,0.2738,0.3911,0.5308,0.4609
9,0.075,0.2204,0.4565,0.5391,0.3818,0.4605,0.2252,0.3422,0.2837,0.3732,0.5092,0.4412
9.1,0.0329,0.2517,0.4459,0.5458,0.3968,0.4713,0.2404,0.3515,0.2959,0.3571,0.4898,0.4235
9.2,-0.0108,0.2869,0.4377,0.5517,0.4145,0.4831,0.2577,0.3626,0.3102,0.3432,0.473,0.4081
9.3,-0.0535,0.3248,0.4322,0.557,0.4346,0.4958,0.2767,0.3756,0.3261,0.3318,0.4593,0.3955
9.4,-0.0922,0.3651,0.4293,0.5622,0.4572,0.5097,0.2979,0.3902,0.3441,0.3235,0.4487,0.3861
9.5,-0.125,0.4079,0.4298,0.5686,0.4833,0.526,0.3222,0.4072,0.3647,0.3192,0.442,0.3806
9.6,-0.1516,0.4527,0.434,0.577,0.5135,0.5453,0.3502,0.4272,0.3887,0.3196,0.4395,0.3796
9.7,-0.1724,0.498,0.4423,0.5874,0.5466,0.567,0.3814,0.4507,0.416,0.3251,0.4419,0.3835
9.8,-0.188,0.5414,0.4543,0.5988,0.5805,0.5896,0.4147,0.4774,0.4461,0.3354,0.4491,0.3923
9.9,-0.1989,0.5808,0.4697,0.6102,0.6129,0.6116,0.449,0.5068,0.4779,0.3499,0.46,0.4049
10,-0.2051,0.6153,0.4887,0.6213,0.6425,0.6319,0.4835,0.538,0.5107,0.3671,0.4733,0.4202
