Time,Myer - Make Your Merry Meaningful 45 TVC,Myer - Make Your Merry Meaningful 45 TVC,Myer - Make Your Merry Meaningful 45 TVC,Myer - Make Your Merry Meaningful 45 TVC,Myer - Make Your Merry Meaningful 45 TVC,Myer - Make Your Merry Meaningful 45 TVC,Myer - Make Your Merry Meaningful 45 TVC,Myer - Make Your Merry Meaningful 45 TVC,Myer - Make Your Merry Meaningful 45 TVC,Myer - Make Your Merry Meaningful 45 TVC,Myer - Make Your Merry Meaningful 45 TVC,Myer - Make Your Merry Meaningful 45 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
7.5,-0.1393,0.5922,0.5874,0.4869,0.5698,0.5284,0.7533,0.7443,0.7488,0.8268,0.9473,0.887
7.6,-0.1559,0.5937,0.5842,0.477,0.5772,0.5271,0.7575,0.7413,0.7494,0.8303,0.9518,0.891
7.7,-0.1676,0.5952,0.5821,0.4673,0.5829,0.5251,0.7579,0.7358,0.7468,0.8287,0.9527,0.8907
7.8,-0.1741,0.5965,0.581,0.4577,0.5866,0.5222,0.7542,0.7275,0.7408,0.8223,0.9497,0.886
7.9,-0.1758,0.5973,0.5806,0.4481,0.5881,0.5181,0.7464,0.716,0.7312,0.8112,0.9426,0.8769
8,-0.1729,0.5979,0.5807,0.4386,0.5874,0.513,0.7349,0.7011,0.718,0.7959,0.9313,0.8636
8.1,-0.1661,0.5984,0.5816,0.4292,0.5844,0.5068,0.7202,0.6836,0.7019,0.777,0.916,0.8465
8.2,-0.1554,0.5987,0.5843,0.4203,0.5795,0.4999,0.7029,0.6645,0.6837,0.7555,0.8972,0.8264
8.3,-0.1409,0.5987,0.5891,0.412,0.5726,0.4923,0.6834,0.645,0.6642,0.7323,0.8756,0.804
8.4,-0.1221,0.5984,0.596,0.4044,0.5638,0.4841,0.6624,0.6255,0.6439,0.7082,0.8517,0.7799
8.5,-0.0984,0.5978,0.6044,0.3978,0.5531,0.4754,0.6402,0.6059,0.6231,0.6837,0.826,0.7549
8.6,-0.0703,0.5968,0.6137,0.3921,0.5409,0.4665,0.6176,0.5861,0.6018,0.6596,0.7992,0.7294
8.7,-0.0398,0.5951,0.6242,0.3874,0.5282,0.4578,0.595,0.5664,0.5807,0.6364,0.7722,0.7043
8.8,-0.0093,0.5927,0.6364,0.3837,0.5162,0.4499,0.573,0.5479,0.5605,0.615,0.746,0.6805
8.9,0.0187,0.5897,0.6509,0.3816,0.5062,0.4439,0.5521,0.5316,0.5419,0.5961,0.7215,0.6588
9,0.0424,0.5866,0.6675,0.3822,0.499,0.4406,0.5329,0.5182,0.5256,0.5804,0.6996,0.64
9.1,0.0611,0.5839,0.6859,0.3864,0.4952,0.4408,0.5161,0.5079,0.512,0.5684,0.6804,0.6244
9.2,0.0741,0.5814,0.7053,0.3947,0.4948,0.4448,0.5026,0.5004,0.5015,0.5604,0.6637,0.612
9.3,0.0806,0.5784,0.725,0.4069,0.4976,0.4522,0.4929,0.4959,0.4944,0.5566,0.6494,0.603
9.4,0.0797,0.5742,0.744,0.4217,0.5028,0.4623,0.4872,0.4942,0.4907,0.5568,0.638,0.5974
9.5,0.0705,0.5687,0.7615,0.4383,0.5099,0.4741,0.4853,0.4953,0.4903,0.5607,0.6298,0.5953
9.6,0.0531,0.5621,0.7768,0.4558,0.5186,0.4872,0.487,0.4988,0.4929,0.5676,0.6252,0.5964
9.7,0.0283,0.5548,0.79,0.4744,0.5289,0.5017,0.4923,0.5047,0.4985,0.5765,0.6242,0.6004
9.8,-0.0023,0.547,0.8011,0.4939,0.5406,0.5173,0.5014,0.5129,0.5072,0.5864,0.6266,0.6065
9.9,-0.0366,0.5391,0.8104,0.5143,0.5536,0.534,0.5145,0.5235,0.519,0.5965,0.6318,0.6142
10,-0.0717,0.5315,0.8178,0.5355,0.5675,0.5515,0.5315,0.5363,0.5339,0.6063,0.6396,0.6229
10.1,-0.1049,0.5248,0.8236,0.5571,0.5821,0.5696,0.5519,0.5512,0.5516,0.6154,0.6495,0.6324
10.2,-0.1344,0.5191,0.8281,0.5786,0.5966,0.5876,0.5749,0.5677,0.5713,0.6235,0.6609,0.6422
10.3,-0.1588,0.5141,0.8321,0.5991,0.6104,0.6047,0.5997,0.5851,0.5924,0.6302,0.6734,0.6518
10.4,-0.1773,0.5093,0.836,0.6177,0.623,0.6203,0.6259,0.603,0.6144,0.6352,0.6862,0.6607
10.5,-0.1903,0.5045,0.8394,0.6337,0.6339,0.6338,0.6525,0.6203,0.6364,0.638,0.6985,0.6683
10.6,-0.198,0.5,0.8418,0.6469,0.643,0.6449,0.6786,0.6364,0.6575,0.6381,0.7099,0.674
10.7,-0.2009,0.4958,0.8427,0.6573,0.6502,0.6538,0.7032,0.6507,0.677,0.6354,0.7197,0.6776
10.8,-0.1995,0.4918,0.8425,0.6653,0.6553,0.6603,0.7258,0.6633,0.6946,0.63,0.7277,0.6788
10.9,-0.194,0.4877,0.8419,0.6711,0.658,0.6646,0.746,0.6742,0.7101,0.6223,0.7335,0.6779
11,-0.1844,0.4833,0.841,0.6752,0.6583,0.6668,0.7633,0.6835,0.7234,0.613,0.7369,0.675
11.1,-0.1709,0.4784,0.8396,0.6774,0.6562,0.6668,0.7773,0.6908,0.734,0.6028,0.7378,0.6703
11.2,-0.1543,0.4732,0.8373,0.678,0.6516,0.6648,0.7874,0.6959,0.7417,0.5924,0.7366,0.6645
11.3,-0.1357,0.4674,0.8341,0.6771,0.6445,0.6608,0.7936,0.6988,0.7462,0.5824,0.7338,0.6581
11.4,-0.1162,0.4613,0.8307,0.6746,0.6354,0.655,0.7958,0.6998,0.7478,0.5735,0.7298,0.6516
11.5,-0.0968,0.4548,0.8275,0.6703,0.6247,0.6475,0.7942,0.6991,0.7466,0.5658,0.7245,0.6451
11.6,-0.0781,0.448,0.824,0.6633,0.6129,0.6381,0.7884,0.6967,0.7426,0.5593,0.7176,0.6385
11.7,-0.0609,0.4414,0.8197,0.6532,0.6006,0.6269,0.7786,0.6925,0.7356,0.5537,0.7093,0.6315
11.8,-0.0463,0.4351,0.8145,0.6397,0.5882,0.614,0.7649,0.6866,0.7257,0.549,0.6999,0.6244
11.9,-0.0347,0.4294,0.8085,0.6234,0.5762,0.5998,0.7479,0.6791,0.7135,0.5447,0.6898,0.6172
12,-0.0268,0.4246,0.8024,0.6049,0.5654,0.5851,0.7282,0.6707,0.6995,0.5406,0.6792,0.6099
12.1,-0.0227,0.421,0.7959,0.5846,0.5569,0.5707,0.706,0.6621,0.684,0.5363,0.6683,0.6023
12.2,-0.0224,0.4191,0.7887,0.563,0.5506,0.5568,0.682,0.6536,0.6678,0.5318,0.6573,0.5945
12.3,-0.0254,0.4189,0.7801,0.5405,0.5464,0.5435,0.6569,0.6453,0.6511,0.5269,0.6464,0.5867
12.4,-0.0314,0.4203,0.7698,0.5176,0.5438,0.5307,0.6319,0.6373,0.6346,0.5218,0.6356,0.5787
12.5,-0.04,0.4229,0.7578,0.4951,0.5427,0.5189,0.608,0.6299,0.619,0.5166,0.625,0.5708
12.6,-0.0504,0.4265,0.7444,0.4732,0.543,0.5081,0.5857,0.6235,0.6046,0.5116,0.6146,0.5631
12.7,-0.0625,0.4309,0.7301,0.4522,0.5451,0.4986,0.5655,0.6185,0.592,0.5072,0.6049,0.5561
12.8,-0.0768,0.4363,0.7155,0.4324,0.549,0.4907,0.5479,0.6154,0.5816,0.5031,0.5964,0.5497
12.9,-0.0933,0.4426,0.7009,0.4148,0.5546,0.4847,0.5331,0.6139,0.5735,0.499,0.5887,0.5439
13,-0.1112,0.4497,0.6865,0.4003,0.5617,0.481,0.5217,0.6137,0.5677,0.4945,0.5814,0.538
13.1,-0.1295,0.4572,0.6721,0.3898,0.5697,0.4797,0.514,0.614,0.564,0.4896,0.574,0.5318
13.2,-0.1473,0.4652,0.6579,0.3836,0.5783,0.4809,0.51,0.6147,0.5623,0.4844,0.5663,0.5253
13.3,-0.1639,0.474,0.644,0.3817,0.5876,0.4846,0.5098,0.6156,0.5627,0.4791,0.5587,0.5189
13.4,-0.1794,0.4838,0.6305,0.384,0.5976,0.4908,0.5131,0.6167,0.5649,0.4741,0.5522,0.5131
13.5,-0.1937,0.4944,0.6173,0.3903,0.608,0.4991,0.5197,0.6178,0.5687,0.4692,0.5469,0.5081
13.6,-0.2061,0.505,0.604,0.4002,0.618,0.5091,0.5291,0.6182,0.5736,0.464,0.5426,0.5033
13.7,-0.2157,0.5152,0.5902,0.4135,0.627,0.5202,0.5412,0.6177,0.5794,0.4582,0.539,0.4986
13.8,-0.2214,0.5252,0.5757,0.4298,0.6343,0.5321,0.556,0.6162,0.5861,0.4522,0.5362,0.4942
13.9,-0.2223,0.5354,0.5608,0.4491,0.6397,0.5444,0.5734,0.6142,0.5938,0.4466,0.5347,0.4906
14,-0.2178,0.5456,0.5461,0.4709,0.6429,0.5569,0.5929,0.6116,0.6023,0.4418,0.5351,0.4885
14.1,-0.2072,0.5557,0.5317,0.4944,0.6435,0.569,0.6142,0.6086,0.6114,0.4382,0.5375,0.4879
14.2,-0.1903,0.5653,0.5183,0.519,0.6411,0.58,0.6365,0.6052,0.6209,0.4357,0.5416,0.4887
14.3,-0.167,0.5747,0.5064,0.5439,0.6358,0.5898,0.6593,0.6017,0.6305,0.4345,0.5469,0.4907
14.4,-0.1382,0.5841,0.4964,0.5682,0.628,0.5981,0.6813,0.5982,0.6398,0.4349,0.5529,0.4939
14.5,-0.1044,0.5935,0.4886,0.5912,0.6179,0.6045,0.7017,0.5949,0.6483,0.4373,0.5592,0.4983
14.6,-0.0662,0.6026,0.4833,0.6121,0.6057,0.6089,0.7197,0.5921,0.6559,0.4418,0.5658,0.5038
14.7,-0.0239,0.6111,0.4808,0.6303,0.5918,0.6111,0.7349,0.5903,0.6626,0.4484,0.5724,0.5104
14.8,0.0217,0.6189,0.4809,0.6451,0.5768,0.611,0.7471,0.5898,0.6685,0.4567,0.5787,0.5177
14.9,0.0695,0.6262,0.4828,0.6562,0.5615,0.6088,0.7561,0.5908,0.6734,0.4667,0.5845,0.5256
15,0.1185,0.6329,0.4857,0.6632,0.5464,0.6048,0.7616,0.5931,0.6774,0.4782,0.59,0.5341
15.1,0.1678,0.6389,0.4893,0.6665,0.5319,0.5992,0.764,0.5965,0.6802,0.4914,0.596,0.5437
15.2,0.2172,0.6441,0.4941,0.6669,0.5182,0.5926,0.7637,0.6009,0.6823,0.5067,0.6032,0.5549
15.3,0.2662,0.649,0.5011,0.6654,0.506,0.5857,0.7614,0.6058,0.6836,0.524,0.6115,0.5678
15.4,0.3135,0.6541,0.5102,0.6628,0.4962,0.5795,0.7573,0.6105,0.6839,0.5434,0.6209,0.5822
15.5,0.3575,0.6595,0.5206,0.6594,0.4893,0.5743,0.7515,0.6142,0.6829,0.5648,0.6309,0.5979
15.6,0.3972,0.665,0.5317,0.6557,0.4855,0.5706,0.7447,0.6168,0.6808,0.5875,0.6416,0.6145
15.7,0.4312,0.6703,0.5431,0.6521,0.4848,0.5685,0.7377,0.6186,0.6781,0.6107,0.6527,0.6317
15.8,0.4584,0.6752,0.5549,0.6491,0.4876,0.5683,0.7313,0.62,0.6757,0.6334,0.6641,0.6488
15.9,0.4785,0.6798,0.5666,0.6467,0.4937,0.5702,0.7263,0.6212,0.6737,0.6548,0.6758,0.6653
16,0.4912,0.6838,0.5767,0.6446,0.5026,0.5736,0.7226,0.6211,0.6719,0.6742,0.6874,0.6808
16.1,0.497,0.6869,0.5837,0.6425,0.5132,0.5778,0.7201,0.6188,0.6695,0.6907,0.6986,0.6947
16.2,0.4964,0.6889,0.5862,0.6401,0.5244,0.5823,0.7188,0.6139,0.6663,0.7038,0.709,0.7064
16.3,0.4909,0.6899,0.5842,0.638,0.5359,0.5869,0.7188,0.6066,0.6627,0.7133,0.7184,0.7159
16.4,0.4813,0.6903,0.5779,0.6363,0.5475,0.5919,0.7201,0.5981,0.6591,0.7195,0.7265,0.723
16.5,0.4671,0.6904,0.5682,0.6344,0.5594,0.5969,0.7221,0.5892,0.6556,0.7227,0.7331,0.7279
16.6,0.4473,0.6902,0.5561,0.6316,0.5714,0.6015,0.7239,0.5805,0.6522,0.7232,0.7382,0.7307
16.7,0.4212,0.6897,0.5429,0.6274,0.583,0.6052,0.725,0.5728,0.6489,0.722,0.7422,0.7321
16.8,0.3891,0.6884,0.5292,0.6217,0.5937,0.6077,0.7251,0.5663,0.6457,0.7202,0.7453,0.7328
16.9,0.3522,0.6859,0.5155,0.6149,0.6033,0.6091,0.7242,0.5612,0.6427,0.7188,0.7476,0.7332
17,0.3126,0.6818,0.5023,0.6073,0.6115,0.6094,0.7222,0.5574,0.6398,0.7182,0.749,0.7336
17.1,0.2719,0.6761,0.4899,0.599,0.6176,0.6083,0.7185,0.5547,0.6366,0.7181,0.7489,0.7335
17.2,0.2315,0.6684,0.4784,0.5899,0.6215,0.6057,0.7125,0.5528,0.6327,0.7179,0.7469,0.7324
17.3,0.1917,0.6589,0.4679,0.5799,0.623,0.6015,0.7038,0.5516,0.6277,0.7172,0.7427,0.7299
17.4,0.1529,0.6482,0.4583,0.5691,0.6222,0.5957,0.6923,0.5508,0.6215,0.7153,0.7364,0.7258
17.5,0.115,0.6366,0.4494,0.5578,0.6192,0.5885,0.678,0.5506,0.6143,0.7122,0.728,0.7201
17.6,0.0783,0.6246,0.4415,0.5467,0.6147,0.5807,0.6609,0.5513,0.6061,0.7082,0.7179,0.7131
17.7,0.0429,0.6127,0.4349,0.5361,0.6092,0.5727,0.6416,0.553,0.5973,0.704,0.7068,0.7054
17.8,0.0085,0.601,0.4295,0.5259,0.6032,0.5645,0.6206,0.5557,0.5882,0.7001,0.6949,0.6975
17.9,-0.0249,0.5892,0.4248,0.5157,0.5963,0.556,0.5987,0.5588,0.5788,0.6967,0.6824,0.6895
18,-0.0569,0.5773,0.4199,0.5053,0.5883,0.5468,0.5768,0.5619,0.5693,0.6936,0.6696,0.6816
18.1,-0.0869,0.5656,0.4143,0.4947,0.579,0.5368,0.5557,0.5646,0.5602,0.6907,0.6568,0.6738
18.2,-0.1147,0.5542,0.4079,0.4838,0.5686,0.5262,0.5365,0.5667,0.5516,0.6881,0.6443,0.6662
18.3,-0.1402,0.5433,0.4007,0.4729,0.5571,0.515,0.5201,0.5677,0.5439,0.6863,0.6322,0.6592
