Time,Big W - Ghost 30 Client Semi Finished TVC,Big W - Ghost 30 Client Semi Finished TVC,Big W - Ghost 30 Client Semi Finished TVC,Big W - Ghost 30 Client Semi Finished TVC,Big W - Ghost 30 Client Semi Finished TVC,Big W - Ghost 30 Client Semi Finished TVC,Big W - Ghost 30 Client Semi Finished TVC,Big W - Ghost 30 Client Semi Finished TVC,Big W - Ghost 30 Client Semi Finished TVC,Big W - Ghost 30 Client Semi Finished TVC,Big W - Ghost 30 Client Semi Finished TVC,Big W - Ghost 30 Client Semi Finished TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
7.9,0.0635,0.4376,0.6253,0.5354,0.5229,0.5291,0.6211,0.6729,0.647,0.55,0.7633,0.6567
8,0.06,0.4257,0.6359,0.5319,0.5068,0.5194,0.6391,0.6865,0.6628,0.5618,0.7746,0.6682
8.1,0.056,0.4142,0.6433,0.5268,0.4895,0.5081,0.6521,0.6987,0.6754,0.5675,0.7788,0.6732
8.2,0.0522,0.4038,0.6483,0.5201,0.4716,0.4959,0.6599,0.7093,0.6846,0.5675,0.7762,0.6718
8.3,0.049,0.3947,0.6521,0.5126,0.454,0.4833,0.6627,0.7179,0.6903,0.5625,0.7673,0.6649
8.4,0.0466,0.3872,0.6552,0.5055,0.4369,0.4712,0.6603,0.7242,0.6923,0.5529,0.753,0.6529
8.5,0.0445,0.3814,0.6572,0.5002,0.4209,0.4605,0.6535,0.7275,0.6905,0.5391,0.7337,0.6364
8.6,0.0418,0.3779,0.657,0.4973,0.4065,0.4519,0.6435,0.7268,0.6851,0.5216,0.7091,0.6154
8.7,0.038,0.3772,0.6532,0.4968,0.3937,0.4453,0.6313,0.7214,0.6764,0.5004,0.6795,0.5899
8.8,0.033,0.3792,0.6456,0.4982,0.382,0.4401,0.618,0.7106,0.6643,0.4761,0.6455,0.5608
8.9,0.0269,0.384,0.6344,0.5009,0.3705,0.4357,0.604,0.6942,0.6491,0.4493,0.6089,0.5291
9,0.0195,0.392,0.6202,0.5047,0.3589,0.4318,0.5893,0.6723,0.6308,0.421,0.5712,0.4961
9.1,0.0103,0.4031,0.6035,0.5095,0.3475,0.4285,0.5737,0.6455,0.6096,0.392,0.5331,0.4626
9.2,-0.0008,0.4169,0.5849,0.5148,0.337,0.4259,0.5573,0.615,0.5862,0.3631,0.4953,0.4292
9.3,-0.0134,0.4318,0.5648,0.5199,0.3277,0.4238,0.5406,0.5824,0.5615,0.3346,0.458,0.3963
9.4,-0.0269,0.4466,0.5439,0.5239,0.32,0.422,0.5244,0.5488,0.5366,0.3069,0.422,0.3644
9.5,-0.04,0.4605,0.5227,0.5265,0.3136,0.4201,0.5091,0.5155,0.5123,0.2798,0.3883,0.3341
9.6,-0.0512,0.4733,0.5013,0.5281,0.3087,0.4184,0.4952,0.4832,0.4892,0.2534,0.3576,0.3055
9.7,-0.0584,0.4853,0.4792,0.5297,0.3054,0.4176,0.4826,0.4523,0.4674,0.2278,0.3307,0.2792
9.8,-0.0601,0.4963,0.4566,0.5321,0.3035,0.4178,0.4714,0.4232,0.4473,0.2032,0.3083,0.2557
9.9,-0.0563,0.5056,0.4335,0.5356,0.3028,0.4192,0.4615,0.3969,0.4292,0.1809,0.2914,0.2361
10,-0.0483,0.5124,0.4096,0.54,0.3026,0.4213,0.4532,0.374,0.4136,0.1626,0.2805,0.2216
10.1,-0.0375,0.5162,0.3847,0.5443,0.3023,0.4233,0.4464,0.3554,0.4009,0.1496,0.2757,0.2126
10.2,-0.0245,0.5163,0.3589,0.5477,0.3009,0.4243,0.4413,0.3417,0.3915,0.1426,0.2761,0.2094
10.3,-0.0094,0.5127,0.3319,0.5495,0.2977,0.4236,0.438,0.3331,0.3856,0.1418,0.2809,0.2113
10.4,0.0077,0.5055,0.3035,0.5498,0.2929,0.4213,0.4366,0.3303,0.3835,0.1476,0.2895,0.2186
10.5,0.026,0.4953,0.274,0.5484,0.2863,0.4174,0.4369,0.3336,0.3853,0.161,0.3016,0.2313
10.6,0.0443,0.4829,0.2433,0.5454,0.2779,0.4116,0.4386,0.3425,0.3905,0.1828,0.3164,0.2496
10.7,0.0619,0.4685,0.2113,0.5401,0.2677,0.4039,0.4413,0.3564,0.3988,0.2124,0.3322,0.2723
10.8,0.0784,0.452,0.1778,0.5321,0.2558,0.394,0.4451,0.3743,0.4097,0.2477,0.3472,0.2975
10.9,0.0933,0.4337,0.1427,0.5216,0.243,0.3823,0.4499,0.3951,0.4225,0.2869,0.3605,0.3237
11,0.1056,0.4143,0.1064,0.5092,0.2312,0.3702,0.4552,0.4181,0.4366,0.3286,0.3728,0.3507
11.1,0.1141,0.3951,0.0702,0.4953,0.2222,0.3588,0.4599,0.4426,0.4512,0.3718,0.385,0.3784
11.2,0.1184,0.3771,0.0359,0.4802,0.2173,0.3488,0.4632,0.4677,0.4654,0.4155,0.3972,0.4064
11.3,0.1188,0.3611,0.0054,0.4638,0.2167,0.3403,0.4651,0.4924,0.4788,0.458,0.409,0.4335
11.4,0.116,0.3469,-0.0189,0.4461,0.2194,0.3328,0.4667,0.5162,0.4915,0.4974,0.4203,0.4588
11.5,0.1102,0.3336,-0.035,0.4275,0.2239,0.3257,0.469,0.5384,0.5037,0.5333,0.4312,0.4823
11.6,0.1016,0.3206,-0.0419,0.4085,0.2289,0.3187,0.4723,0.5588,0.5155,0.5659,0.4429,0.5044
11.7,0.0912,0.3078,-0.0394,0.3897,0.2332,0.3115,0.4766,0.5768,0.5267,0.5955,0.4556,0.5256
11.8,0.0804,0.2952,-0.0285,0.3713,0.2355,0.3034,0.4815,0.5924,0.537,0.6221,0.4691,0.5456
11.9,0.0711,0.2831,-0.0103,0.3535,0.2347,0.2941,0.487,0.6058,0.5464,0.6454,0.4825,0.5639
12,0.0645,0.2722,0.0143,0.3369,0.2307,0.2838,0.4934,0.6178,0.5556,0.666,0.4949,0.5805
12.1,0.0613,0.2631,0.0446,0.3223,0.2242,0.2732,0.5011,0.6295,0.5653,0.6853,0.5069,0.5961
12.2,0.0615,0.2561,0.0799,0.3102,0.2162,0.2632,0.5099,0.6413,0.5756,0.7042,0.5191,0.6117
12.3,0.0651,0.2513,0.1195,0.3009,0.2079,0.2544,0.5191,0.653,0.5861,0.7228,0.5317,0.6272
12.4,0.0717,0.2479,0.1621,0.2941,0.2002,0.2471,0.5281,0.664,0.5961,0.7402,0.5442,0.6422
12.5,0.0807,0.2454,0.2059,0.2894,0.1935,0.2415,0.5361,0.6739,0.605,0.7551,0.556,0.6556
12.6,0.0915,0.2435,0.2488,0.287,0.1882,0.2376,0.5424,0.6821,0.6122,0.7671,0.567,0.667
12.7,0.104,0.2426,0.2892,0.2876,0.1843,0.2359,0.5466,0.6881,0.6173,0.7757,0.5774,0.6765
12.8,0.1179,0.2434,0.3257,0.2921,0.1824,0.2372,0.5479,0.6911,0.6195,0.7802,0.5871,0.6836
12.9,0.1326,0.2465,0.3577,0.3016,0.1837,0.2426,0.5458,0.6905,0.6181,0.78,0.5952,0.6876
13,0.1469,0.2529,0.3848,0.3166,0.1898,0.2532,0.5405,0.6865,0.6135,0.7749,0.601,0.6879
13.1,0.1594,0.2628,0.4076,0.3364,0.202,0.2692,0.5332,0.68,0.6066,0.7657,0.6039,0.6848
13.2,0.169,0.2761,0.427,0.36,0.2197,0.2899,0.5249,0.6722,0.5986,0.7529,0.6039,0.6784
13.3,0.175,0.2918,0.4435,0.3859,0.2419,0.3139,0.5163,0.664,0.5901,0.7373,0.6005,0.6689
13.4,0.1771,0.3089,0.4572,0.4128,0.2663,0.3395,0.5075,0.6557,0.5816,0.719,0.5929,0.656
13.5,0.1755,0.3268,0.4686,0.4397,0.2912,0.3654,0.4988,0.6476,0.5732,0.6983,0.5804,0.6394
13.6,0.1712,0.3456,0.4779,0.4657,0.3149,0.3903,0.4909,0.64,0.5655,0.6762,0.5633,0.6198
13.7,0.1658,0.3652,0.4853,0.4899,0.336,0.4129,0.4843,0.6328,0.5585,0.6536,0.5428,0.5982
13.8,0.1605,0.3851,0.491,0.5113,0.3531,0.4322,0.4787,0.6258,0.5523,0.6311,0.5203,0.5757
13.9,0.1564,0.4043,0.4951,0.5297,0.3648,0.4473,0.4734,0.6186,0.546,0.6085,0.4972,0.5528
14,0.1534,0.4222,0.4977,0.5453,0.3705,0.4579,0.4674,0.6112,0.5393,0.5851,0.4745,0.5298
14.1,0.151,0.4388,0.4986,0.5589,0.3705,0.4647,0.4605,0.6039,0.5322,0.5611,0.453,0.5071
14.2,0.1495,0.4544,0.4977,0.5717,0.3657,0.4687,0.4528,0.5978,0.5253,0.5372,0.434,0.4856
14.3,0.1499,0.4695,0.4952,0.5846,0.3572,0.4709,0.445,0.5938,0.5194,0.5149,0.419,0.4669
14.4,0.1536,0.4839,0.4914,0.5984,0.3455,0.4719,0.4374,0.5919,0.5147,0.4951,0.409,0.4521
14.5,0.1609,0.4969,0.4864,0.6125,0.3307,0.4716,0.4307,0.5921,0.5114,0.4782,0.4043,0.4413
14.6,0.1712,0.5076,0.4801,0.6256,0.3131,0.4694,0.4257,0.5941,0.5099,0.4644,0.4047,0.4345
14.7,0.1834,0.5157,0.4723,0.6368,0.2931,0.4649,0.4234,0.5979,0.5106,0.454,0.4099,0.432
14.8,0.196,0.5213,0.463,0.646,0.2719,0.4589,0.4246,0.6038,0.5142,0.4481,0.4204,0.4342
14.9,0.2088,0.525,0.4521,0.6541,0.2511,0.4526,0.4294,0.6115,0.5204,0.4474,0.4361,0.4417
15,0.2218,0.5274,0.4397,0.6619,0.2329,0.4474,0.4371,0.62,0.5286,0.4519,0.4568,0.4543
15.1,0.2359,0.5287,0.4258,0.6693,0.2185,0.4439,0.4475,0.6284,0.5379,0.4609,0.4818,0.4714
15.2,0.2513,0.5291,0.4106,0.6758,0.2092,0.4425,0.4599,0.6354,0.5476,0.4731,0.5103,0.4917
15.3,0.2674,0.5289,0.3939,0.6811,0.2058,0.4435,0.4738,0.6395,0.5567,0.4873,0.5412,0.5142
15.4,0.2822,0.5284,0.3748,0.6844,0.2089,0.4466,0.4878,0.639,0.5634,0.5023,0.5731,0.5377
15.5,0.2937,0.527,0.3527,0.6844,0.2183,0.4514,0.4998,0.6314,0.5656,0.5171,0.6045,0.5608
15.6,0.3007,0.5239,0.3277,0.6793,0.2324,0.4558,0.5078,0.6152,0.5615,0.5302,0.6339,0.5821
15.7,0.3028,0.5184,0.3006,0.6675,0.2488,0.4581,0.5109,0.59,0.5505,0.5404,0.66,0.6002
15.8,0.2998,0.5114,0.272,0.6491,0.266,0.4576,0.5087,0.557,0.5328,0.547,0.6817,0.6143
15.9,0.2908,0.5044,0.2426,0.6254,0.2834,0.4544,0.5012,0.5179,0.5095,0.55,0.6985,0.6243
16,0.2753,0.4988,0.2129,0.5981,0.3011,0.4496,0.4889,0.4747,0.4818,0.5503,0.7104,0.6303
16.1,0.2536,0.495,0.1841,0.5684,0.319,0.4437,0.4724,0.4292,0.4508,0.5487,0.7174,0.633
16.2,0.2274,0.4922,0.1572,0.5365,0.3362,0.4363,0.4521,0.3831,0.4176,0.5459,0.7199,0.6329
16.3,0.1992,0.4897,0.1331,0.5024,0.3513,0.4268,0.4285,0.3386,0.3836,0.5425,0.7185,0.6305
16.4,0.1715,0.4865,0.1121,0.4664,0.3629,0.4147,0.4024,0.2977,0.3501,0.5389,0.7137,0.6263
16.5,0.1457,0.4825,0.0943,0.4295,0.3703,0.3999,0.3745,0.2617,0.3181,0.5354,0.7059,0.6207
16.6,0.122,0.4774,0.0797,0.393,0.3736,0.3833,0.3455,0.2306,0.288,0.5323,0.6953,0.6138
16.7,0.1002,0.4715,0.0678,0.3577,0.3731,0.3654,0.3162,0.2041,0.2601,0.5302,0.6825,0.6064
16.8,0.0801,0.4648,0.0587,0.3241,0.3691,0.3466,0.2876,0.1817,0.2347,0.5298,0.6684,0.5991
16.9,0.061,0.458,0.0521,0.2924,0.362,0.3272,0.2608,0.163,0.2119,0.5317,0.6545,0.5931
17,0.0426,0.4517,0.0479,0.2626,0.3522,0.3074,0.2367,0.1474,0.1921,0.536,0.6413,0.5887
17.1,0.0248,0.4462,0.0459,0.235,0.3402,0.2876,0.2159,0.1348,0.1754,0.5422,0.6292,0.5857
17.2,0.0072,0.4419,0.0457,0.2099,0.3271,0.2685,0.1992,0.1249,0.1621,0.5496,0.6183,0.584
17.3,-0.0108,0.4389,0.0472,0.1881,0.3139,0.251,0.1873,0.1181,0.1527,0.5577,0.6084,0.583
17.4,-0.0303,0.4374,0.0505,0.1703,0.3022,0.2362,0.1809,0.1153,0.1481,0.5665,0.5993,0.5829
17.5,-0.0521,0.4378,0.0558,0.1567,0.2931,0.2249,0.1813,0.1174,0.1494,0.5757,0.591,0.5833
17.6,-0.076,0.4401,0.0631,0.1473,0.2879,0.2176,0.1896,0.1252,0.1574,0.5852,0.5828,0.584
17.7,-0.1011,0.4444,0.0726,0.1423,0.2871,0.2147,0.2066,0.139,0.1728,0.594,0.5741,0.584
17.8,-0.1266,0.45,0.0837,0.1415,0.2909,0.2162,0.2319,0.1583,0.1951,0.6009,0.5639,0.5824
17.9,-0.1531,0.4564,0.0962,0.1448,0.2995,0.2221,0.2644,0.1829,0.2236,0.6047,0.5514,0.578
18,-0.1808,0.4632,0.1099,0.1519,0.3124,0.2322,0.3029,0.2123,0.2576,0.6041,0.5362,0.5702
18.1,-0.2092,0.4699,0.1255,0.163,0.3288,0.2459,0.3461,0.2464,0.2963,0.5986,0.5185,0.5585
18.2,-0.2355,0.4765,0.1434,0.1783,0.3473,0.2628,0.3933,0.285,0.3391,0.5876,0.4981,0.5429
18.3,-0.2571,0.4825,0.1637,0.1977,0.3665,0.2821,0.4434,0.3269,0.3852,0.5704,0.4749,0.5226
18.4,-0.2722,0.4874,0.1858,0.2212,0.3854,0.3033,0.4949,0.3706,0.4327,0.5465,0.4484,0.4974
18.5,-0.2804,0.4908,0.2093,0.248,0.4031,0.3256,0.5457,0.4143,0.48,0.5156,0.4189,0.4672
18.6,-0.2816,0.4925,0.2341,0.2777,0.4194,0.3486,0.594,0.457,0.5255,0.4784,0.3874,0.4329
18.7,-0.2757,0.4926,0.2611,0.3092,0.434,0.3716,0.6385,0.4978,0.5681,0.4367,0.3556,0.3962
18.8,-0.263,0.4912,0.2905,0.3409,0.4467,0.3938,0.6781,0.5364,0.6073,0.3926,0.3252,0.3589
18.9,-0.2444,0.488,0.3222,0.3716,0.4573,0.4144,0.7121,0.5718,0.642,0.3485,0.2975,0.323
19,-0.2201,0.4832,0.3554,0.4003,0.4651,0.4327,0.7398,0.6034,0.6716,0.307,0.2739,0.2905
19.1,-0.19,0.4775,0.3886,0.427,0.4696,0.4483,0.7609,0.6302,0.6955,0.2698,0.2553,0.2626
19.2,-0.1537,0.4715,0.4199,0.4523,0.4709,0.4616,0.7758,0.6519,0.7139,0.2383,0.2422,0.2402
19.3,-0.1113,0.466,0.4478,0.476,0.4687,0.4724,0.7852,0.6687,0.7269,0.213,0.2346,0.2238
19.4,-0.065,0.4608,0.4711,0.4969,0.4632,0.48,0.7897,0.6811,0.7354,0.1948,0.2322,0.2135
19.5,-0.0177,0.4557,0.4894,0.5126,0.4542,0.4834,0.7896,0.6895,0.7395,0.1839,0.2348,0.2093
19.6,0.0278,0.4505,0.5029,0.522,0.4417,0.4819,0.7852,0.694,0.7396,0.1801,0.2423,0.2112
