Time,Samsung S22 Ultra 30 TVC,Samsung S22 Ultra 30 TVC,Samsung S22 Ultra 30 TVC,Samsung S22 Ultra 30 TVC,Samsung S22 Ultra 30 TVC,Samsung S22 Ultra 30 TVC,Samsung S22 Ultra 30 TVC,Samsung S22 Ultra 30 TVC,Samsung S22 Ultra 30 TVC,Samsung S22 Ultra 30 TVC,Samsung S22 Ultra 30 TVC,Samsung S22 Ultra 30 TVC
21.3,0.1975,0.575,0.6284,0.6302,0.4261,0.5281,0.4346,0.643,0.5388,0.444,0.3911,0.4175
21.4,0.2058,0.5604,0.6286,0.6284,0.4091,0.5187,0.4315,0.6475,0.5395,0.4553,0.3831,0.4192
21.5,0.2166,0.5457,0.6308,0.6295,0.3928,0.5112,0.4296,0.6542,0.5419,0.4666,0.3768,0.4217
21.6,0.2286,0.5313,0.6361,0.633,0.3773,0.5052,0.4287,0.6628,0.5457,0.4772,0.3732,0.4252
21.7,0.2407,0.5176,0.6445,0.6381,0.363,0.5005,0.4285,0.6727,0.5506,0.4863,0.3734,0.4298
21.8,0.252,0.5051,0.655,0.6441,0.3504,0.4973,0.4288,0.6833,0.5561,0.4931,0.378,0.4356
21.9,0.2629,0.4941,0.6663,0.6504,0.3402,0.4953,0.4294,0.6937,0.5615,0.4969,0.3873,0.4421
22,0.2736,0.4847,0.6773,0.6567,0.3319,0.4943,0.4303,0.7029,0.5666,0.4968,0.4009,0.4488
22.1,0.2838,0.4767,0.6876,0.6629,0.3253,0.4941,0.4317,0.7103,0.571,0.4929,0.418,0.4555
22.2,0.2922,0.4705,0.6973,0.6695,0.3196,0.4946,0.4335,0.7155,0.5745,0.4858,0.4384,0.4621
22.3,0.2979,0.4666,0.7071,0.677,0.315,0.496,0.4362,0.7194,0.5778,0.476,0.4621,0.4691
22.4,0.3001,0.4654,0.7183,0.6852,0.311,0.4981,0.4402,0.7231,0.5816,0.4642,0.4891,0.4767
22.5,0.2984,0.4667,0.7311,0.6941,0.3074,0.5008,0.4457,0.727,0.5864,0.4511,0.5184,0.4848
22.6,0.2924,0.4701,0.7447,0.7031,0.3038,0.5034,0.4528,0.7304,0.5916,0.4376,0.5481,0.4929
22.7,0.2812,0.4753,0.7581,0.7117,0.3003,0.506,0.4608,0.7323,0.5966,0.4249,0.5761,0.5005
22.8,0.2637,0.4826,0.7711,0.7199,0.2978,0.5088,0.4689,0.7323,0.6006,0.4141,0.601,0.5075
22.9,0.239,0.4924,0.7841,0.7279,0.2971,0.5125,0.4763,0.7303,0.6033,0.4058,0.6226,0.5142
23,0.2074,0.5047,0.7973,0.7357,0.2982,0.517,0.4825,0.7271,0.6048,0.4002,0.6411,0.5207
23.1,0.1705,0.5189,0.8104,0.7431,0.3001,0.5216,0.4875,0.7232,0.6053,0.3976,0.6568,0.5272
23.2,0.1304,0.5343,0.8232,0.7494,0.3019,0.5257,0.4916,0.7192,0.6054,0.3984,0.6706,0.5345
23.3,0.0888,0.551,0.8356,0.7542,0.304,0.5291,0.4953,0.716,0.6057,0.4035,0.683,0.5432
23.4,0.0471,0.5694,0.8482,0.7579,0.3073,0.5326,0.4991,0.7144,0.6067,0.4135,0.6947,0.5541
23.5,0.0064,0.5895,0.8618,0.7612,0.313,0.5371,0.5037,0.7148,0.6092,0.4283,0.7063,0.5673
23.6,-0.0322,0.6108,0.8773,0.7652,0.3214,0.5433,0.5095,0.7176,0.6136,0.4468,0.7179,0.5823
23.7,-0.0676,0.6326,0.8946,0.771,0.3322,0.5516,0.517,0.7232,0.6201,0.4677,0.7294,0.5986
23.8,-0.0986,0.6553,0.913,0.7796,0.3447,0.5621,0.5263,0.7311,0.6287,0.4898,0.7405,0.6151
23.9,-0.1236,0.6801,0.9309,0.7919,0.3585,0.5752,0.5372,0.7407,0.639,0.5123,0.7505,0.6314
24,-0.1403,0.7075,0.9475,0.8087,0.3736,0.5912,0.5496,0.7518,0.6507,0.5349,0.7589,0.6469
24.1,-0.1478,0.7374,0.9624,0.8301,0.3904,0.6102,0.5629,0.7643,0.6636,0.5572,0.7653,0.6613
24.2,-0.1464,0.7688,0.9752,0.8551,0.4094,0.6322,0.5765,0.7776,0.6771,0.5789,0.7696,0.6742
24.3,-0.1375,0.8015,0.9855,0.8828,0.431,0.6569,0.5903,0.7913,0.6908,0.5996,0.7717,0.6857
24.4,-0.1229,0.8359,0.9934,0.9123,0.4557,0.684,0.6041,0.8056,0.7049,0.6194,0.7721,0.6957
24.5,-0.1045,0.8724,0.9989,0.9426,0.4843,0.7134,0.6182,0.8206,0.7194,0.6381,0.771,0.7045
24.6,-0.0849,0.9103,1.002,0.9716,0.5171,0.7443,0.6322,0.8361,0.7342,0.6556,0.7686,0.7121
24.7,-0.0683,0.9477,1.0028,0.9966,0.5541,0.7753,0.6454,0.8511,0.7483,0.6722,0.7649,0.7185
24.8,-0.0605,0.9835,1.0016,1.0151,0.5949,0.805,0.6571,0.8642,0.7607,0.6888,0.7604,0.7246
24.9,-0.0664,1.0177,0.9984,1.026,0.6398,0.8329,0.6667,0.8747,0.7707,0.7061,0.7555,0.7308
25,-0.0879,1.051,0.9933,1.0298,0.6887,0.8593,0.6741,0.8826,0.7784,0.7242,0.7506,0.7374
25.1,-0.1232,1.0839,0.9864,1.0281,0.7412,0.8847,0.6791,0.8881,0.7836,0.7431,0.7454,0.7443
25.2,-0.1678,1.1155,0.9776,1.0228,0.7961,0.9095,0.6818,0.891,0.7864,0.7631,0.7397,0.7514
25.3,-0.2173,1.1449,0.9673,1.0152,0.8513,0.9332,0.6819,0.8904,0.7861,0.7845,0.7338,0.7592
25.4,-0.269,1.1706,0.9559,1.0061,0.9039,0.955,0.6794,0.8863,0.7828,0.8077,0.7285,0.7681
25.5,-0.3217,1.1919,0.9443,0.9964,0.9521,0.9743,0.6746,0.8796,0.7771,0.8324,0.7245,0.7784
25.6,-0.3743,1.2083,0.9328,0.9871,0.9952,0.9911,0.6689,0.8716,0.7702,0.8579,0.7217,0.7898
25.7,-0.4248,1.2201,0.9213,0.9786,1.0331,1.0058,0.6639,0.8634,0.7637,0.8826,0.7198,0.8012
25.8,-0.4707,1.2274,0.9091,0.971,1.0657,1.0184,0.6605,0.855,0.7577,0.905,0.7178,0.8114
25.9,-0.5101,1.2303,0.895,0.9644,1.0925,1.0285,0.6586,0.8451,0.7518,0.9242,0.7152,0.8197
26,-0.5419,1.2287,0.8781,0.9587,1.1129,1.0358,0.6585,0.8329,0.7457,0.9394,0.7125,0.826
26.1,-0.5662,1.2229,0.8585,0.9538,1.1269,1.0404,0.6613,0.8186,0.74,0.9499,0.7113,0.8306
26.2,-0.583,1.213,0.8367,0.9494,1.1352,1.0423,0.6684,0.8036,0.736,0.9554,0.7125,0.8339
26.3,-0.5923,1.1996,0.813,0.9452,1.1382,1.0417,0.68,0.7885,0.7343,0.9556,0.7164,0.836
26.4,-0.5938,1.1831,0.7879,0.9408,1.136,1.0384,0.6949,0.7736,0.7343,0.9505,0.7223,0.8364
26.5,-0.588,1.1638,0.7617,0.9359,1.1276,1.0317,0.7115,0.7588,0.7352,0.9399,0.7291,0.8345
26.6,-0.5751,1.1414,0.736,0.9301,1.1118,1.021,0.729,0.7442,0.7366,0.9239,0.7357,0.8298
26.7,-0.5539,1.1149,0.7122,0.9232,1.0875,1.0053,0.7464,0.7303,0.7384,0.9021,0.7416,0.8219
26.8,-0.5225,1.0835,0.6921,0.9151,1.0542,0.9847,0.7624,0.7176,0.74,0.8742,0.7468,0.8105
26.9,-0.479,1.0469,0.6767,0.9057,1.013,0.9593,0.7751,0.7064,0.7407,0.8401,0.7516,0.7958
27,-0.4233,1.0051,0.666,0.8949,0.9654,0.9302,0.7834,0.6968,0.7401,0.8002,0.7567,0.7784
27.1,-0.3577,0.9587,0.6594,0.8827,0.9134,0.8981,0.7875,0.6887,0.7381,0.7558,0.7626,0.7592
27.2,-0.2867,0.9086,0.6562,0.868,0.8592,0.8636,0.7885,0.6821,0.7353,0.7083,0.7693,0.7388
27.3,-0.2151,0.8562,0.6563,0.8495,0.8048,0.8272,0.7868,0.6772,0.732,0.6589,0.7755,0.7172
27.4,-0.1468,0.8027,0.6593,0.8257,0.7521,0.7889,0.7821,0.674,0.728,0.6089,0.7805,0.6947
27.5,-0.0852,0.7503,0.6647,0.7964,0.7024,0.7494,0.774,0.6722,0.7231,0.5599,0.7846,0.6723
27.6,-0.0324,0.7011,0.6712,0.7629,0.657,0.71,0.7626,0.6713,0.7169,0.5141,0.7894,0.6517
27.7,0.0116,0.6567,0.6774,0.7278,0.6164,0.6721,0.7478,0.6707,0.7092,0.4729,0.7965,0.6347
27.8,0.0488,0.6179,0.6819,0.6935,0.5802,0.6369,0.7293,0.6694,0.6993,0.4377,0.8059,0.6218
27.9,0.0823,0.585,0.6835,0.662,0.5477,0.6049,0.7061,0.6658,0.6859,0.4091,0.8158,0.6125
28,0.1143,0.5579,0.6817,0.6345,0.518,0.5763,0.6776,0.6586,0.6681,0.3874,0.8246,0.606
28.1,0.1451,0.5361,0.6766,0.6119,0.4908,0.5514,0.6445,0.6472,0.6459,0.3725,0.8314,0.6019
28.2,0.1731,0.5189,0.6684,0.5946,0.4661,0.5303,0.609,0.6326,0.6208,0.3641,0.8364,0.6002
28.3,0.1969,0.5054,0.6577,0.5824,0.4436,0.513,0.5733,0.6157,0.5945,0.3616,0.8398,0.6007
28.4,0.2164,0.4945,0.6447,0.5747,0.4228,0.4988,0.5385,0.5974,0.5679,0.3641,0.8414,0.6027
28.5,0.2313,0.4854,0.6299,0.571,0.4037,0.4874,0.5051,0.5776,0.5413,0.3708,0.8409,0.6058
28.6,0.2405,0.4782,0.6138,0.5713,0.3867,0.479,0.4736,0.5566,0.5151,0.3808,0.8382,0.6095
28.7,0.2421,0.4735,0.5972,0.5755,0.3725,0.474,0.4449,0.5352,0.49,0.3926,0.8331,0.6129
28.8,0.2348,0.4717,0.5807,0.5828,0.3621,0.4725,0.4198,0.5142,0.467,0.4046,0.8243,0.6145
28.9,0.2186,0.4732,0.5642,0.5921,0.3559,0.474,0.3985,0.4944,0.4465,0.4148,0.8095,0.6121
29,0.1951,0.4776,0.5476,0.6019,0.3539,0.4779,0.381,0.4759,0.4284,0.4218,0.7866,0.6042
29.1,0.1667,0.4846,0.5307,0.6111,0.3557,0.4834,0.3674,0.459,0.4132,0.4252,0.7554,0.5903
29.2,0.1355,0.4938,0.5143,0.6191,0.3608,0.49,0.358,0.4444,0.4012,0.4262,0.7176,0.5719
29.3,0.1031,0.5052,0.5001,0.626,0.3691,0.4975,0.3535,0.4331,0.3933,0.4268,0.6762,0.5515
29.4,0.0694,0.5188,0.4896,0.6316,0.3809,0.5062,0.3541,0.4265,0.3903,0.429,0.6342,0.5316
29.5,0.0345,0.5344,0.4843,0.636,0.3964,0.5162,0.3597,0.4254,0.3926,0.4339,0.594,0.5139
29.6,-0.0021,0.5519,0.4847,0.6387,0.416,0.5274,0.3693,0.4308,0.4,0.4419,0.5566,0.4992
29.7,-0.0411,0.5715,0.4908,0.6398,0.4401,0.5399,0.3817,0.4431,0.4124,0.4528,0.5228,0.4878
29.8,-0.0828,0.5934,0.5025,0.6393,0.4688,0.554,0.3961,0.4628,0.4294,0.466,0.4938,0.4799
29.9,-0.127,0.6178,0.5193,0.6377,0.5021,0.5699,0.4124,0.4892,0.4508,0.4813,0.4711,0.4762
