Time,ING - Do Your Thing Linda 30 TVC,ING - Do Your Thing Linda 30 TVC,ING - Do Your Thing Linda 30 TVC,ING - Do Your Thing Linda 30 TVC,ING - Do Your Thing Linda 30 TVC,ING - Do Your Thing Linda 30 TVC,ING - Do Your Thing Linda 30 TVC,ING - Do Your Thing Linda 30 TVC,ING - Do Your Thing Linda 30 TVC,ING - Do Your Thing Linda 30 TVC,ING - Do Your Thing Linda 30 TVC,ING - Do Your Thing Linda 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
9.2,-0.2805,0.4226,0.3997,0.4872,0.3092,0.3982,0.3558,0.3575,0.3567,0.3732,0.4492,0.4112
9.3,-0.3183,0.4161,0.3983,0.4924,0.3187,0.4055,0.3316,0.3483,0.34,0.3465,0.4382,0.3924
9.4,-0.3507,0.4126,0.3943,0.4975,0.3301,0.4138,0.3085,0.3369,0.3227,0.3218,0.4255,0.3736
9.5,-0.3766,0.4125,0.388,0.5024,0.3435,0.4229,0.2876,0.3244,0.306,0.2998,0.4122,0.356
9.6,-0.3949,0.4161,0.3801,0.5065,0.3584,0.4325,0.2702,0.3123,0.2912,0.2814,0.3994,0.3404
9.7,-0.4058,0.4228,0.3717,0.5096,0.3747,0.4422,0.2572,0.3013,0.2792,0.267,0.3883,0.3277
9.8,-0.4109,0.4322,0.3642,0.5116,0.3923,0.452,0.2484,0.292,0.2702,0.2571,0.3801,0.3186
9.9,-0.4128,0.4436,0.3593,0.5126,0.4112,0.4619,0.2434,0.2853,0.2643,0.2522,0.3759,0.3141
10,-0.4139,0.4567,0.358,0.5125,0.4313,0.4719,0.2416,0.2812,0.2614,0.2522,0.3765,0.3144
10.1,-0.4151,0.4708,0.3607,0.511,0.4523,0.4817,0.2425,0.2802,0.2614,0.2569,0.3819,0.3194
10.2,-0.416,0.485,0.3671,0.508,0.4734,0.4907,0.246,0.282,0.264,0.2656,0.3912,0.3284
10.3,-0.4151,0.4983,0.3771,0.5029,0.4933,0.4981,0.2512,0.2864,0.2688,0.2772,0.4038,0.3405
10.4,-0.4112,0.5106,0.3908,0.4957,0.5104,0.5031,0.2575,0.2928,0.2751,0.2907,0.4192,0.355
10.5,-0.4035,0.5214,0.4081,0.487,0.5237,0.5053,0.2637,0.3005,0.2821,0.3057,0.4371,0.3714
10.6,-0.3921,0.5307,0.429,0.4776,0.533,0.5053,0.2693,0.3086,0.289,0.3214,0.4572,0.3893
10.7,-0.3772,0.5379,0.4532,0.468,0.538,0.503,0.2739,0.3167,0.2953,0.3378,0.4789,0.4083
10.8,-0.3586,0.5427,0.4806,0.4586,0.5389,0.4988,0.2778,0.3242,0.301,0.3546,0.5014,0.428
10.9,-0.3365,0.5451,0.5109,0.4492,0.5356,0.4924,0.281,0.3314,0.3062,0.3718,0.5239,0.4478
11,-0.3112,0.5451,0.5435,0.4399,0.5279,0.4839,0.2837,0.3388,0.3112,0.3888,0.5455,0.4671
11.1,-0.2833,0.5424,0.5776,0.4312,0.516,0.4736,0.286,0.3468,0.3164,0.4053,0.5655,0.4854
11.2,-0.2537,0.537,0.6121,0.4241,0.5007,0.4624,0.2881,0.3554,0.3217,0.4213,0.5837,0.5025
11.3,-0.2231,0.5294,0.6458,0.4199,0.4835,0.4517,0.2896,0.3642,0.3269,0.4366,0.5994,0.518
11.4,-0.192,0.5205,0.6777,0.4193,0.4655,0.4424,0.2901,0.3727,0.3314,0.4505,0.6121,0.5313
11.5,-0.1611,0.5113,0.7064,0.4225,0.4475,0.435,0.289,0.3804,0.3347,0.4624,0.6214,0.5419
11.6,-0.1308,0.5022,0.7306,0.4295,0.4296,0.4296,0.2864,0.387,0.3367,0.4718,0.627,0.5494
11.7,-0.1016,0.4931,0.7495,0.44,0.4119,0.4259,0.2831,0.3917,0.3374,0.4792,0.6291,0.5542
11.8,-0.0735,0.4833,0.7628,0.4532,0.3941,0.4237,0.28,0.3938,0.3369,0.4852,0.6284,0.5568
11.9,-0.0467,0.4725,0.7705,0.4678,0.3766,0.4222,0.278,0.3932,0.3356,0.4902,0.6252,0.5577
12,-0.0212,0.4605,0.7729,0.4825,0.3593,0.4209,0.2773,0.39,0.3337,0.4944,0.6198,0.5571
12.1,0.0022,0.4475,0.7704,0.4962,0.3429,0.4195,0.2784,0.3852,0.3318,0.4975,0.6125,0.555
12.2,0.0224,0.4341,0.7642,0.5086,0.3279,0.4183,0.2818,0.3795,0.3306,0.4996,0.6037,0.5517
12.3,0.0381,0.4208,0.7557,0.5203,0.3153,0.4178,0.2884,0.3736,0.331,0.5011,0.5943,0.5477
12.4,0.0485,0.4081,0.7462,0.5316,0.3058,0.4187,0.2988,0.368,0.3334,0.5026,0.5845,0.5435
12.5,0.0541,0.3967,0.7361,0.5423,0.3002,0.4213,0.3127,0.3625,0.3376,0.5039,0.5747,0.5393
12.6,0.0558,0.387,0.7255,0.5518,0.2991,0.4254,0.3292,0.3572,0.3432,0.505,0.5651,0.5351
12.7,0.0547,0.3792,0.715,0.5593,0.3026,0.431,0.3474,0.3524,0.3499,0.5057,0.5561,0.5309
12.8,0.0516,0.3734,0.7055,0.5646,0.3108,0.4377,0.3664,0.3482,0.3573,0.5057,0.5482,0.527
12.9,0.0466,0.3692,0.6976,0.567,0.3232,0.4451,0.3859,0.3449,0.3654,0.5051,0.5417,0.5234
13,0.0393,0.3664,0.6922,0.5663,0.3392,0.4527,0.4052,0.3425,0.3739,0.5036,0.5368,0.5202
13.1,0.029,0.3648,0.6892,0.5626,0.3579,0.4602,0.424,0.3409,0.3824,0.5012,0.533,0.5171
13.2,0.0158,0.3638,0.6884,0.5561,0.3784,0.4672,0.4413,0.3403,0.3908,0.498,0.5302,0.5141
13.3,0.0003,0.3632,0.6891,0.5471,0.3995,0.4733,0.4565,0.3405,0.3985,0.494,0.5282,0.5111
13.4,-0.0158,0.3624,0.6902,0.5357,0.4202,0.4779,0.469,0.3414,0.4052,0.4896,0.5267,0.5081
13.5,-0.0308,0.3616,0.6907,0.5219,0.4397,0.4808,0.4784,0.3428,0.4106,0.4843,0.5253,0.5048
13.6,-0.0431,0.3611,0.6899,0.5062,0.4579,0.482,0.4845,0.3444,0.4144,0.4781,0.5231,0.5006
13.7,-0.0517,0.3615,0.687,0.4896,0.4745,0.482,0.4867,0.346,0.4163,0.4707,0.5196,0.4952
13.8,-0.0566,0.3626,0.6819,0.4726,0.4894,0.481,0.4846,0.3474,0.416,0.4619,0.5146,0.4883
13.9,-0.058,0.364,0.674,0.4556,0.5022,0.4789,0.478,0.3487,0.4133,0.4519,0.5079,0.4799
14,-0.0567,0.3645,0.6628,0.4379,0.5121,0.475,0.467,0.3495,0.4082,0.4407,0.4994,0.4701
14.1,-0.0533,0.3635,0.6477,0.4186,0.5184,0.4685,0.452,0.3496,0.4008,0.4284,0.4893,0.4588
14.2,-0.0488,0.3603,0.6284,0.3975,0.5211,0.4593,0.4336,0.3489,0.3913,0.4151,0.4777,0.4464
14.3,-0.0444,0.3548,0.6051,0.3747,0.5204,0.4475,0.4124,0.3475,0.3799,0.4013,0.465,0.4331
14.4,-0.0406,0.347,0.578,0.3508,0.5163,0.4336,0.3886,0.3451,0.3669,0.3874,0.4516,0.4195
14.5,-0.0373,0.337,0.5476,0.3266,0.5092,0.4179,0.3628,0.3412,0.352,0.3739,0.4378,0.4058
14.6,-0.0345,0.3249,0.5144,0.3026,0.4991,0.4009,0.3355,0.3351,0.3353,0.3611,0.424,0.3925
14.7,-0.0319,0.311,0.4797,0.2791,0.4858,0.3824,0.3075,0.3271,0.3173,0.349,0.4107,0.3798
14.8,-0.03,0.2952,0.4449,0.2563,0.469,0.3627,0.2798,0.3176,0.2987,0.338,0.3985,0.3682
14.9,-0.0294,0.2778,0.4118,0.2347,0.449,0.3419,0.2534,0.3074,0.2804,0.3288,0.388,0.3584
15,-0.0311,0.2589,0.3818,0.2148,0.4266,0.3207,0.2297,0.2974,0.2636,0.322,0.3795,0.3508
15.1,-0.0356,0.2394,0.3561,0.197,0.4029,0.2999,0.2096,0.2883,0.2489,0.3179,0.3731,0.3455
15.2,-0.0437,0.2207,0.3358,0.1821,0.3791,0.2806,0.1936,0.2806,0.2371,0.3165,0.3688,0.3426
