Time,EnergyAustralia - Brand 30 TVC,EnergyAustralia - Brand 30 TVC,EnergyAustralia - Brand 30 TVC,EnergyAustralia - Brand 30 TVC,EnergyAustralia - Brand 30 TVC,EnergyAustralia - Brand 30 TVC,EnergyAustralia - Brand 30 TVC,EnergyAustralia - Brand 30 TVC,EnergyAustralia - Brand 30 TVC,EnergyAustralia - Brand 30 TVC,EnergyAustralia - Brand 30 TVC,EnergyAustralia - Brand 30 TVC
21.2,-0.2473,0.6808,0.2618,0.5246,0.568,0.5463,0.4012,0.2727,0.337,0.1926,0.2323,0.2124
21.3,-0.2509,0.6853,0.2567,0.5277,0.5766,0.5522,0.3816,0.2741,0.3278,0.1937,0.2244,0.2091
21.4,-0.2584,0.6889,0.2547,0.5299,0.586,0.5579,0.3617,0.2766,0.3191,0.1982,0.2183,0.2082
21.5,-0.2691,0.6919,0.2563,0.5315,0.5965,0.564,0.3424,0.2805,0.3115,0.2064,0.2144,0.2104
21.6,-0.2826,0.6942,0.2627,0.5323,0.6082,0.5703,0.3243,0.2865,0.3054,0.2184,0.2133,0.2158
21.7,-0.2987,0.6955,0.2743,0.5319,0.6204,0.5761,0.3076,0.2945,0.3011,0.2343,0.2154,0.2248
21.8,-0.3164,0.6955,0.2908,0.5306,0.6317,0.5811,0.2927,0.3041,0.2984,0.2536,0.2209,0.2373
21.9,-0.335,0.6937,0.3116,0.5288,0.6411,0.5849,0.2793,0.3148,0.297,0.2757,0.2297,0.2527
22,-0.3535,0.6901,0.3357,0.5271,0.648,0.5876,0.2673,0.3259,0.2966,0.2997,0.2418,0.2707
22.1,-0.3709,0.6847,0.3624,0.5256,0.6524,0.589,0.2564,0.3375,0.2969,0.3247,0.2569,0.2908
22.2,-0.3859,0.6776,0.3911,0.5244,0.6545,0.5894,0.2467,0.3492,0.298,0.3503,0.275,0.3127
22.3,-0.3965,0.6692,0.4206,0.5243,0.6542,0.5892,0.2384,0.3609,0.2997,0.3766,0.2958,0.3362
22.4,-0.4007,0.6601,0.45,0.5265,0.6513,0.5889,0.232,0.3723,0.3021,0.4034,0.319,0.3612
22.5,-0.3978,0.6508,0.4779,0.5317,0.6459,0.5888,0.2277,0.383,0.3053,0.4303,0.3439,0.3871
22.6,-0.3883,0.6417,0.5032,0.5397,0.6388,0.5893,0.2254,0.3933,0.3094,0.4567,0.37,0.4133
22.7,-0.3736,0.6334,0.5249,0.5504,0.6311,0.5907,0.2251,0.4038,0.3144,0.482,0.3965,0.4393
22.8,-0.3539,0.6266,0.542,0.5634,0.6232,0.5933,0.2273,0.4146,0.3209,0.5059,0.4228,0.4644
22.9,-0.3282,0.6219,0.5534,0.5786,0.6148,0.5967,0.2325,0.4254,0.329,0.5278,0.4482,0.488
23,-0.2954,0.619,0.5587,0.5955,0.6049,0.6002,0.241,0.4357,0.3384,0.5472,0.472,0.5096
23.1,-0.2558,0.6173,0.5577,0.6127,0.5929,0.6028,0.2522,0.4447,0.3485,0.5635,0.4932,0.5284
23.2,-0.2114,0.6157,0.5508,0.628,0.5789,0.6035,0.2654,0.4521,0.3588,0.5763,0.5111,0.5437
23.3,-0.1652,0.6132,0.5386,0.6399,0.5635,0.6017,0.2803,0.4579,0.3691,0.5854,0.5252,0.5553
23.4,-0.1196,0.6089,0.5218,0.6471,0.5471,0.5971,0.2963,0.4622,0.3793,0.5912,0.5355,0.5633
23.5,-0.076,0.6023,0.5014,0.6491,0.5296,0.5894,0.3125,0.4648,0.3886,0.5944,0.5422,0.5683
23.6,-0.0353,0.5933,0.4787,0.6454,0.5107,0.578,0.3276,0.4652,0.3964,0.5954,0.5458,0.5706
23.7,0.0025,0.5818,0.4553,0.6357,0.4902,0.563,0.3405,0.4637,0.4021,0.5944,0.5465,0.5705
23.8,0.0378,0.5682,0.4323,0.6211,0.4682,0.5446,0.3506,0.4608,0.4057,0.5916,0.5446,0.5681
23.9,0.0712,0.5534,0.4109,0.6032,0.4449,0.524,0.3585,0.4571,0.4078,0.5871,0.5405,0.5638
24,0.1027,0.5377,0.3922,0.5836,0.4211,0.5024,0.3654,0.4537,0.4096,0.5814,0.5348,0.5581
24.1,0.1312,0.5217,0.3771,0.5634,0.3985,0.4809,0.3726,0.4517,0.4121,0.575,0.5283,0.5516
24.2,0.1547,0.5056,0.3663,0.5429,0.3789,0.4609,0.3809,0.452,0.4164,0.5686,0.5212,0.5449
24.3,0.1708,0.49,0.3596,0.5226,0.3638,0.4432,0.3904,0.455,0.4227,0.5624,0.5143,0.5383
24.4,0.1777,0.4756,0.3563,0.5027,0.3538,0.4283,0.4014,0.4605,0.4309,0.5569,0.5081,0.5325
24.5,0.1743,0.4628,0.3554,0.4841,0.3493,0.4167,0.4139,0.4676,0.4407,0.552,0.503,0.5275
24.6,0.1603,0.452,0.3569,0.4671,0.3503,0.4087,0.4279,0.476,0.452,0.5476,0.4993,0.5235
24.7,0.1359,0.4436,0.3609,0.4517,0.3573,0.4045,0.4436,0.4858,0.4647,0.5438,0.4972,0.5205
24.8,0.1019,0.4378,0.3679,0.4376,0.3699,0.4038,0.4608,0.4971,0.4789,0.5407,0.4967,0.5187
24.9,0.0594,0.4342,0.3775,0.424,0.387,0.4055,0.4788,0.5098,0.4943,0.5381,0.498,0.5181
25,0.0107,0.4325,0.3885,0.4106,0.4065,0.4085,0.4965,0.5231,0.5098,0.5364,0.5008,0.5186
25.1,-0.0413,0.4321,0.3997,0.3973,0.4267,0.412,0.5124,0.536,0.5242,0.5352,0.5046,0.5199
25.2,-0.0936,0.4323,0.41,0.3841,0.4468,0.4155,0.5255,0.5477,0.5366,0.5345,0.5086,0.5216
25.3,-0.1443,0.4327,0.4188,0.3711,0.4666,0.4189,0.535,0.5576,0.5463,0.5338,0.5124,0.5231
25.4,-0.1922,0.4328,0.4256,0.358,0.4858,0.4219,0.5411,0.566,0.5535,0.5328,0.5152,0.524
25.5,-0.2368,0.4327,0.43,0.3449,0.5038,0.4243,0.5438,0.5725,0.5581,0.5313,0.5164,0.5238
25.6,-0.2776,0.4326,0.4317,0.3324,0.52,0.4262,0.5434,0.5768,0.5601,0.5287,0.5154,0.522
25.7,-0.314,0.4327,0.4302,0.3213,0.5345,0.4279,0.5398,0.5784,0.5591,0.5246,0.5116,0.5181
25.8,-0.3457,0.4331,0.4259,0.3123,0.5474,0.4298,0.5323,0.5772,0.5547,0.5185,0.5048,0.5117
25.9,-0.3728,0.4338,0.4195,0.306,0.5589,0.4325,0.5206,0.5734,0.547,0.5103,0.4955,0.5029
26,-0.3949,0.4348,0.4119,0.3026,0.569,0.4358,0.5049,0.5675,0.5362,0.4998,0.4842,0.492
26.1,-0.4113,0.4361,0.4038,0.3025,0.5769,0.4397,0.486,0.56,0.523,0.4872,0.4711,0.4792
26.2,-0.4205,0.4373,0.3956,0.3063,0.5816,0.4439,0.4646,0.5514,0.508,0.4727,0.4566,0.4646
26.3,-0.4213,0.4382,0.3873,0.3141,0.5824,0.4482,0.4412,0.5418,0.4915,0.4565,0.4406,0.4486
26.4,-0.4135,0.4384,0.3792,0.3262,0.5797,0.4529,0.4161,0.5318,0.4739,0.4393,0.4236,0.4314
26.5,-0.3976,0.438,0.3724,0.3426,0.5739,0.4582,0.3897,0.522,0.4559,0.4217,0.4064,0.4141
26.6,-0.3741,0.4374,0.3681,0.3631,0.5657,0.4644,0.3632,0.5136,0.4384,0.405,0.3906,0.3978
26.7,-0.3438,0.4374,0.3675,0.3878,0.5561,0.472,0.338,0.5076,0.4228,0.3906,0.3776,0.3841
26.8,-0.3067,0.439,0.3712,0.4172,0.5464,0.4818,0.3156,0.5048,0.4102,0.38,0.3687,0.3743
26.9,-0.263,0.4432,0.3793,0.4521,0.5381,0.4951,0.2967,0.5056,0.4011,0.374,0.3649,0.3695
27,-0.2128,0.4512,0.3921,0.4929,0.5328,0.5128,0.2819,0.5103,0.3961,0.3729,0.3671,0.37
27.1,-0.1576,0.4635,0.4093,0.5389,0.5312,0.535,0.2718,0.519,0.3954,0.3768,0.3757,0.3763
27.2,-0.0996,0.4803,0.4308,0.5883,0.5335,0.5609,0.2668,0.5316,0.3992,0.3858,0.3909,0.3883
27.3,-0.042,0.5018,0.4562,0.6388,0.54,0.5894,0.2674,0.5476,0.4075,0.3999,0.4124,0.4061
27.4,0.0124,0.5283,0.485,0.6885,0.5513,0.6199,0.2741,0.5666,0.4203,0.419,0.4401,0.4295
27.5,0.0609,0.5601,0.5172,0.7357,0.5683,0.652,0.2868,0.5877,0.4372,0.4424,0.4734,0.4579
27.6,0.1006,0.597,0.5525,0.7782,0.5907,0.6845,0.3053,0.6096,0.4574,0.4694,0.5119,0.4906
27.7,0.1279,0.6377,0.5905,0.8136,0.6174,0.7155,0.329,0.6311,0.4801,0.4993,0.5546,0.5269
27.8,0.1393,0.68,0.6305,0.8399,0.6465,0.7432,0.3578,0.6512,0.5045,0.5314,0.6007,0.5661
27.9,0.133,0.7216,0.6721,0.8559,0.6765,0.7662,0.391,0.6697,0.5303,0.5653,0.6494,0.6073
28,0.1096,0.7607,0.7148,0.8612,0.7063,0.7837,0.4281,0.6867,0.5574,0.6004,0.7002,0.6503
28.1,0.0723,0.7961,0.7575,0.8561,0.7352,0.7957,0.4682,0.7023,0.5853,0.6365,0.7528,0.6946
28.2,0.0258,0.8266,0.7983,0.8419,0.7621,0.802,0.5103,0.7165,0.6134,0.6735,0.8069,0.7402
28.3,-0.0247,0.8511,0.8358,0.8201,0.7859,0.803,0.5528,0.7287,0.6407,0.7113,0.8618,0.7866
28.4,-0.0755,0.8686,0.8693,0.7928,0.8058,0.7993,0.594,0.738,0.666,0.7495,0.917,0.8332
28.5,-0.1244,0.8793,0.8991,0.7619,0.8216,0.7918,0.6319,0.744,0.688,0.7876,0.9716,0.8796
28.6,-0.1705,0.884,0.9255,0.729,0.8341,0.7816,0.6655,0.7467,0.7061,0.8249,1.0252,0.925
28.7,-0.2128,0.8841,0.9481,0.6961,0.8438,0.77,0.6941,0.7463,0.7202,0.8609,1.077,0.9689
28.8,-0.2495,0.8804,0.9657,0.6648,0.8514,0.7581,0.717,0.7432,0.7301,0.8953,1.1258,1.0106
28.9,-0.2788,0.8736,0.9776,0.6369,0.8568,0.7468,0.7344,0.7371,0.7357,0.9274,1.1703,1.0489
29,-0.2998,0.8641,0.9836,0.6139,0.8599,0.7369,0.7463,0.7279,0.7371,0.9564,1.2092,1.0828
29.1,-0.3125,0.8525,0.9842,0.5966,0.8604,0.7285,0.7534,0.7163,0.7349,0.9819,1.2411,1.1115
29.2,-0.3178,0.8392,0.9803,0.5851,0.858,0.7216,0.7563,0.7031,0.7297,1.0039,1.2658,1.1348
29.3,-0.3165,0.8249,0.9721,0.5792,0.8529,0.716,0.7561,0.6895,0.7228,1.0224,1.2831,1.1527
29.4,-0.3089,0.8099,0.9599,0.5782,0.8453,0.7118,0.7536,0.6762,0.7149,1.0374,1.2929,1.1652
29.5,-0.296,0.7948,0.9443,0.5816,0.8353,0.7085,0.7492,0.6636,0.7064,1.0488,1.2954,1.1721
29.6,-0.2788,0.7797,0.9261,0.5883,0.8235,0.7059,0.7426,0.651,0.6968,1.0562,1.2903,1.1733
29.7,-0.2592,0.7649,0.9062,0.5975,0.8104,0.7039,0.7335,0.6379,0.6857,1.0594,1.278,1.1687
29.8,-0.2385,0.7509,0.885,0.6085,0.797,0.7027,0.722,0.6234,0.6727,1.0582,1.2595,1.1588
29.9,-0.2179,0.7379,0.8632,0.6208,0.7848,0.7028,0.7088,0.6074,0.6581,1.0523,1.2363,1.1443
