Time,Harvey Norman - Kitchen Appliances Sale 30 TVC,Harvey Norman - Kitchen Appliances Sale 30 TVC,Harvey Norman - Kitchen Appliances Sale 30 TVC,Harvey Norman - Kitchen Appliances Sale 30 TVC,Harvey Norman - Kitchen Appliances Sale 30 TVC,Harvey Norman - Kitchen Appliances Sale 30 TVC,Harvey Norman - Kitchen Appliances Sale 30 TVC,Harvey Norman - Kitchen Appliances Sale 30 TVC,Harvey Norman - Kitchen Appliances Sale 30 TVC,Harvey Norman - Kitchen Appliances Sale 30 TVC,Harvey Norman - Kitchen Appliances Sale 30 TVC,Harvey Norman - Kitchen Appliances Sale 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
14.1,-0.4596,0.3513,0.4899,0.414,0.4136,0.4138,0.2427,0.5022,0.3725,0.2977,0.4035,0.3506
14.2,-0.4663,0.3458,0.503,0.3825,0.3879,0.3852,0.2358,0.5063,0.3711,0.3108,0.4233,0.367
14.3,-0.4657,0.3445,0.5185,0.3577,0.3681,0.3629,0.2342,0.5146,0.3744,0.3309,0.443,0.387
14.4,-0.4592,0.3476,0.5368,0.3397,0.354,0.3469,0.2371,0.5271,0.3821,0.3577,0.4621,0.4099
14.5,-0.4478,0.3544,0.558,0.3277,0.3447,0.3362,0.2435,0.5434,0.3935,0.3896,0.4801,0.4348
14.6,-0.4316,0.3641,0.5819,0.3205,0.3385,0.3295,0.2525,0.5628,0.4076,0.4243,0.497,0.4607
14.7,-0.4092,0.3761,0.6084,0.3174,0.3347,0.3261,0.2629,0.5842,0.4235,0.4604,0.5126,0.4865
14.8,-0.3798,0.3901,0.6376,0.3185,0.3337,0.3261,0.2744,0.6069,0.4406,0.4969,0.5271,0.512
14.9,-0.344,0.4066,0.67,0.3244,0.3362,0.3303,0.2871,0.6312,0.4591,0.5338,0.5412,0.5375
15,-0.3027,0.4259,0.7059,0.3356,0.3431,0.3393,0.3011,0.6573,0.4792,0.5706,0.5556,0.5631
15.1,-0.2564,0.4483,0.7445,0.3518,0.3542,0.353,0.3162,0.6851,0.5007,0.6062,0.5704,0.5883
15.2,-0.2052,0.4735,0.7841,0.3721,0.3691,0.3706,0.3312,0.7136,0.5224,0.6387,0.5851,0.6119
15.3,-0.1503,0.501,0.8233,0.3954,0.3868,0.3911,0.3446,0.741,0.5428,0.667,0.5992,0.6331
15.4,-0.0936,0.5295,0.8615,0.4207,0.4062,0.4135,0.3555,0.7662,0.5608,0.6909,0.6123,0.6516
15.5,-0.0371,0.5574,0.8988,0.4476,0.426,0.4368,0.3635,0.7883,0.5759,0.7108,0.6249,0.6679
15.6,0.019,0.5834,0.9344,0.4762,0.4449,0.4605,0.369,0.807,0.588,0.7266,0.6374,0.682
15.7,0.0753,0.606,0.9668,0.5064,0.4616,0.484,0.3728,0.822,0.5974,0.7374,0.6495,0.6935
15.8,0.1323,0.6242,0.9935,0.5372,0.4754,0.5063,0.3752,0.833,0.6041,0.7425,0.6606,0.7015
15.9,0.1893,0.6373,1.0127,0.5666,0.4857,0.5261,0.376,0.8393,0.6077,0.7413,0.6696,0.7055
16,0.2437,0.6446,1.0233,0.5921,0.492,0.5421,0.3748,0.8408,0.6078,0.7342,0.6762,0.7052
16.1,0.293,0.6461,1.0244,0.6121,0.4946,0.5533,0.3722,0.8374,0.6048,0.7221,0.6803,0.7012
16.2,0.3348,0.6422,1.0154,0.6263,0.4939,0.5601,0.3695,0.8293,0.5994,0.7064,0.6822,0.6943
16.3,0.3669,0.6336,0.9961,0.6355,0.4916,0.5636,0.3688,0.8174,0.5931,0.6888,0.682,0.6854
16.4,0.3886,0.6214,0.9683,0.6406,0.4893,0.5649,0.3716,0.8036,0.5876,0.6711,0.6801,0.6756
16.5,0.4001,0.6067,0.9357,0.6423,0.4878,0.565,0.3784,0.7901,0.5843,0.6544,0.6761,0.6652
16.6,0.4028,0.5902,0.9023,0.6412,0.487,0.5641,0.389,0.7785,0.5838,0.6389,0.6695,0.6542
16.7,0.3988,0.5733,0.8711,0.6384,0.4865,0.5624,0.4032,0.7695,0.5863,0.6254,0.6598,0.6426
16.8,0.3914,0.5582,0.8445,0.6367,0.4865,0.5616,0.4217,0.7631,0.5924,0.6148,0.648,0.6314
16.9,0.3841,0.5481,0.8244,0.6401,0.4884,0.5643,0.4459,0.7598,0.6029,0.6082,0.6354,0.6218
17,0.3797,0.5449,0.8117,0.6519,0.4936,0.5727,0.4767,0.7607,0.6187,0.6057,0.6236,0.6146
17.1,0.3787,0.5486,0.8061,0.6726,0.5024,0.5875,0.5138,0.7661,0.64,0.6062,0.6129,0.6096
17.2,0.3808,0.5577,0.8056,0.7009,0.514,0.6075,0.5564,0.7754,0.6659,0.6083,0.6033,0.6058
17.3,0.3857,0.5703,0.8078,0.7346,0.5276,0.6311,0.6031,0.7872,0.6951,0.6109,0.5947,0.6028
17.4,0.394,0.5861,0.8113,0.7721,0.5433,0.6577,0.653,0.8005,0.7268,0.614,0.5872,0.6006
17.5,0.4053,0.6054,0.8158,0.8119,0.5619,0.6869,0.705,0.8149,0.76,0.618,0.5816,0.5998
17.6,0.4183,0.6279,0.8214,0.8519,0.5832,0.7175,0.7572,0.8302,0.7937,0.623,0.5784,0.6007
17.7,0.4314,0.6518,0.8276,0.8894,0.6051,0.7472,0.8078,0.8459,0.8268,0.6283,0.5775,0.6029
17.8,0.4429,0.6746,0.8337,0.9215,0.6246,0.7731,0.8551,0.8614,0.8583,0.6328,0.5784,0.6056
17.9,0.4518,0.6942,0.8395,0.9461,0.6399,0.793,0.8982,0.8764,0.8873,0.6359,0.5805,0.6082
18,0.4583,0.7098,0.8453,0.9624,0.6512,0.8068,0.9364,0.8907,0.9135,0.6378,0.5841,0.6109
18.1,0.4623,0.7216,0.8516,0.9708,0.6602,0.8155,0.9692,0.9043,0.9367,0.639,0.5892,0.6141
18.2,0.4633,0.7293,0.8587,0.9723,0.6681,0.8202,0.9961,0.9164,0.9562,0.6397,0.5958,0.6177
18.3,0.4607,0.7324,0.8662,0.9669,0.6752,0.8211,1.0168,0.9256,0.9712,0.64,0.6038,0.6219
18.4,0.4542,0.7306,0.8737,0.955,0.6813,0.8182,1.0316,0.9315,0.9815,0.6397,0.6125,0.6261
18.5,0.4447,0.7234,0.8809,0.9368,0.6864,0.8116,1.0401,0.9341,0.9871,0.6392,0.6213,0.6303
18.6,0.4331,0.7114,0.8886,0.9134,0.6898,0.8016,1.0422,0.9338,0.988,0.6394,0.6303,0.6349
18.7,0.4204,0.6952,0.8974,0.8867,0.691,0.7888,1.0383,0.9311,0.9847,0.6413,0.6399,0.6406
18.8,0.4077,0.6758,0.9079,0.8586,0.6894,0.774,1.0298,0.9263,0.9781,0.6456,0.6507,0.6481
18.9,0.396,0.6544,0.9196,0.8311,0.6853,0.7582,1.018,0.9196,0.9688,0.6526,0.6632,0.6579
19,0.3857,0.6324,0.9319,0.8052,0.6793,0.7423,1.003,0.9111,0.957,0.6623,0.6772,0.6697
19.1,0.3764,0.6115,0.9444,0.7819,0.6731,0.7275,0.9847,0.9008,0.9427,0.6748,0.6921,0.6835
19.2,0.3665,0.5929,0.957,0.7617,0.6681,0.7149,0.9625,0.8894,0.926,0.6907,0.7069,0.6988
