Time,Childrens Panadol - Logan 15 TVC,Childrens Panadol - Logan 15 TVC,Childrens Panadol - Logan 15 TVC,Childrens Panadol - Logan 15 TVC,Childrens Panadol - Logan 15 TVC,Childrens Panadol - Logan 15 TVC,Childrens Panadol - Logan 15 TVC,Childrens Panadol - Logan 15 TVC,Childrens Panadol - Logan 15 TVC,Childrens Panadol - Logan 15 TVC,Childrens Panadol - Logan 15 TVC,Childrens Panadol - Logan 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
10.8,-0.5706,0.5416,0.479,0.4391,0.4588,0.449,0.4109,0.5469,0.4789,0.4565,0.6422,0.5493
10.9,-0.583,0.5368,0.4487,0.4122,0.4586,0.4354,0.4122,0.5377,0.4749,0.4388,0.6498,0.5443
11,-0.5885,0.5329,0.4193,0.3868,0.4591,0.4229,0.4147,0.5255,0.4701,0.418,0.6543,0.5361
11.1,-0.5856,0.5294,0.3914,0.3636,0.4597,0.4117,0.4183,0.5107,0.4645,0.3935,0.6544,0.5239
11.2,-0.5727,0.5256,0.3658,0.3432,0.4599,0.4016,0.4224,0.4938,0.4581,0.3651,0.6495,0.5073
11.3,-0.5482,0.521,0.3437,0.3262,0.4597,0.393,0.427,0.476,0.4515,0.3339,0.6397,0.4868
11.4,-0.5113,0.5155,0.3254,0.3135,0.4594,0.3865,0.4327,0.458,0.4453,0.3015,0.6258,0.4636
11.5,-0.4621,0.5095,0.3102,0.3061,0.4587,0.3824,0.4403,0.4401,0.4402,0.2698,0.608,0.4389
11.6,-0.4021,0.5033,0.2965,0.3043,0.4563,0.3803,0.4502,0.4225,0.4364,0.2397,0.5866,0.4132
11.7,-0.334,0.4968,0.2833,0.3076,0.4508,0.3792,0.4611,0.4047,0.4329,0.2112,0.5613,0.3863
11.8,-0.26,0.4894,0.2707,0.3146,0.4419,0.3783,0.471,0.3871,0.429,0.1841,0.532,0.3581
11.9,-0.1826,0.4801,0.2595,0.3239,0.43,0.3769,0.4781,0.3701,0.4241,0.1585,0.4988,0.3287
12,-0.1048,0.4687,0.2507,0.334,0.4159,0.3749,0.4811,0.3539,0.4175,0.1344,0.4618,0.2981
