Time,Qantas Frequent Flyer TVC,Qantas Frequent Flyer TVC,Qantas Frequent Flyer TVC,Qantas Frequent Flyer TVC,Qantas Frequent Flyer TVC,Qantas Frequent Flyer TVC,Qantas Frequent Flyer TVC,Qantas Frequent Flyer TVC,Qantas Frequent Flyer TVC,Qantas Frequent Flyer TVC,Qantas Frequent Flyer TVC,Qantas Frequent Flyer TVC
21.3,0.1131,0.604,0.6141,0.6175,0.6053,0.6114,0.7399,0.6062,0.673,0.5885,0.5935,0.591
21.4,0.1296,0.5893,0.5938,0.6101,0.5807,0.5954,0.735,0.5867,0.6609,0.577,0.584,0.5805
21.5,0.1439,0.5722,0.5733,0.5997,0.5557,0.5777,0.728,0.567,0.6475,0.5641,0.5737,0.5689
21.6,0.1556,0.5532,0.5538,0.587,0.5309,0.559,0.7194,0.5482,0.6338,0.5504,0.5625,0.5565
21.7,0.1646,0.5329,0.5362,0.573,0.507,0.54,0.7097,0.5315,0.6206,0.5363,0.5505,0.5434
21.8,0.1704,0.5125,0.5211,0.5587,0.4849,0.5218,0.6993,0.5175,0.6084,0.5223,0.5379,0.5301
21.9,0.173,0.4931,0.5091,0.5449,0.4654,0.5051,0.688,0.5068,0.5974,0.5091,0.5255,0.5173
22,0.1722,0.4757,0.5006,0.5322,0.4492,0.4907,0.676,0.4994,0.5877,0.4976,0.5142,0.5059
22.1,0.1679,0.4612,0.4956,0.5214,0.4367,0.479,0.6634,0.4953,0.5793,0.4885,0.5049,0.4967
22.2,0.1595,0.4496,0.4939,0.5127,0.4275,0.4701,0.65,0.4942,0.5721,0.4819,0.4983,0.4901
22.3,0.1467,0.4407,0.4947,0.5062,0.4209,0.4635,0.636,0.4955,0.5657,0.4776,0.4945,0.486
22.4,0.1296,0.4341,0.4972,0.5015,0.4161,0.4588,0.6211,0.4985,0.5598,0.4756,0.4932,0.4844
22.5,0.1092,0.4291,0.5007,0.498,0.4127,0.4554,0.6057,0.5026,0.5541,0.476,0.4943,0.4852
22.6,0.0867,0.4257,0.5045,0.4955,0.4101,0.4528,0.5902,0.5071,0.5486,0.4792,0.4976,0.4884
22.7,0.0628,0.4236,0.5082,0.4936,0.408,0.4508,0.5749,0.5117,0.5433,0.4851,0.5028,0.494
22.8,0.0377,0.4232,0.5108,0.4926,0.4063,0.4495,0.5601,0.5159,0.538,0.4932,0.5094,0.5013
22.9,0.0112,0.4245,0.512,0.4929,0.4052,0.4491,0.546,0.519,0.5325,0.5027,0.5167,0.5097
23,-0.0161,0.4276,0.5112,0.4949,0.4052,0.45,0.5323,0.5208,0.5265,0.5128,0.5236,0.5182
23.1,-0.043,0.4322,0.508,0.4986,0.4066,0.4526,0.5192,0.5209,0.5201,0.523,0.5294,0.5262
23.2,-0.0679,0.4376,0.5019,0.5041,0.4095,0.4568,0.5068,0.5195,0.5132,0.533,0.5334,0.5332
23.3,-0.0896,0.4435,0.4927,0.511,0.4136,0.4623,0.4956,0.5164,0.506,0.5423,0.5353,0.5388
23.4,-0.107,0.4498,0.4807,0.5191,0.4188,0.4689,0.4858,0.5118,0.4988,0.5506,0.535,0.5428
23.5,-0.1191,0.4566,0.4669,0.5283,0.4249,0.4766,0.478,0.506,0.492,0.558,0.533,0.5455
23.6,-0.1245,0.4638,0.4527,0.5386,0.4316,0.4851,0.4728,0.4995,0.4861,0.5647,0.5299,0.5473
23.7,-0.1218,0.4714,0.4391,0.5497,0.4383,0.494,0.4704,0.4929,0.4816,0.5713,0.5263,0.5488
23.8,-0.1101,0.4791,0.4269,0.5615,0.4443,0.5029,0.4713,0.4864,0.4789,0.5779,0.5224,0.5502
23.9,-0.0896,0.487,0.4168,0.5741,0.4494,0.5117,0.4757,0.4804,0.4781,0.5843,0.5182,0.5513
24,-0.0617,0.4951,0.4093,0.5873,0.4536,0.5205,0.4835,0.4751,0.4793,0.5899,0.5135,0.5517
24.1,-0.0286,0.503,0.4053,0.6006,0.457,0.5288,0.4945,0.4708,0.4827,0.5944,0.5087,0.5515
24.2,0.0071,0.5098,0.4052,0.6133,0.459,0.5361,0.5086,0.468,0.4883,0.5978,0.5041,0.5509
24.3,0.0433,0.5144,0.4088,0.6242,0.4588,0.5415,0.5252,0.4668,0.496,0.6001,0.5,0.5501
24.4,0.0777,0.5158,0.4154,0.6323,0.4562,0.5443,0.5437,0.4669,0.5053,0.6012,0.4965,0.5489
24.5,0.1087,0.5139,0.4243,0.637,0.4513,0.5441,0.5633,0.4682,0.5157,0.6009,0.4937,0.5473
24.6,0.1347,0.5093,0.4352,0.6376,0.4446,0.5411,0.5831,0.4708,0.527,0.5989,0.4918,0.5454
24.7,0.1543,0.5028,0.4484,0.6343,0.4366,0.5355,0.6026,0.475,0.5388,0.5953,0.491,0.5432
24.8,0.1672,0.4957,0.4637,0.6277,0.4277,0.5277,0.6212,0.481,0.5511,0.5902,0.4914,0.5408
24.9,0.1733,0.4892,0.4809,0.6187,0.4187,0.5187,0.6386,0.489,0.5638,0.5839,0.4929,0.5384
25,0.1732,0.4846,0.4993,0.6082,0.4106,0.5094,0.654,0.4986,0.5763,0.5767,0.495,0.5358
25.1,0.1677,0.4825,0.5185,0.5968,0.4038,0.5003,0.6667,0.5094,0.5881,0.5686,0.4975,0.533
25.2,0.1572,0.4831,0.5379,0.5846,0.3982,0.4914,0.6761,0.521,0.5986,0.5598,0.5002,0.53
25.3,0.1414,0.4861,0.5571,0.5716,0.3937,0.4826,0.6819,0.5333,0.6076,0.5504,0.5032,0.5268
25.4,0.1196,0.4913,0.5759,0.5575,0.3903,0.4739,0.6844,0.5461,0.6152,0.5406,0.5067,0.5237
25.5,0.0913,0.4985,0.5944,0.5427,0.3884,0.4655,0.6838,0.5597,0.6217,0.5307,0.5109,0.5208
25.6,0.0575,0.5078,0.6128,0.5276,0.3888,0.4582,0.6807,0.5742,0.6275,0.5209,0.5156,0.5182
25.7,0.0206,0.519,0.6309,0.5128,0.3917,0.4523,0.6756,0.5896,0.6326,0.5115,0.5206,0.516
25.8,-0.0169,0.531,0.6484,0.4988,0.3965,0.4476,0.669,0.6052,0.6371,0.5026,0.5253,0.514
25.9,-0.0533,0.543,0.6646,0.4855,0.4026,0.4441,0.6612,0.6204,0.6408,0.4942,0.5294,0.5118
26,-0.088,0.5544,0.6794,0.4732,0.4096,0.4414,0.6525,0.6349,0.6437,0.4864,0.5326,0.5095
26.1,-0.121,0.5651,0.6931,0.4622,0.4181,0.4401,0.6432,0.6486,0.6459,0.4792,0.5351,0.5072
26.2,-0.152,0.5752,0.7061,0.4529,0.4284,0.4406,0.6338,0.6612,0.6475,0.4728,0.5375,0.5051
26.3,-0.1795,0.5839,0.7183,0.445,0.4401,0.4426,0.6247,0.6723,0.6485,0.4672,0.5397,0.5035
26.4,-0.2015,0.5895,0.7291,0.4378,0.4518,0.4448,0.6161,0.6813,0.6487,0.4626,0.5418,0.5022
26.5,-0.2166,0.5908,0.7384,0.4304,0.4617,0.4461,0.6085,0.6878,0.6482,0.4591,0.5435,0.5013
26.6,-0.2245,0.5875,0.7461,0.4225,0.4693,0.4459,0.6022,0.6918,0.647,0.457,0.5452,0.5011
26.7,-0.226,0.5802,0.7523,0.4143,0.4745,0.4444,0.5972,0.6931,0.6451,0.4563,0.5468,0.5015
26.8,-0.2222,0.5695,0.7573,0.4059,0.4773,0.4416,0.5936,0.6918,0.6427,0.4567,0.5483,0.5025
26.9,-0.2136,0.5558,0.7609,0.3973,0.4776,0.4374,0.5916,0.6881,0.6398,0.4582,0.5495,0.5038
27,-0.201,0.5389,0.7628,0.3877,0.4749,0.4313,0.5906,0.682,0.6363,0.4606,0.5505,0.5055
27.1,-0.1854,0.5185,0.7625,0.3766,0.4687,0.4227,0.5901,0.6734,0.6317,0.4637,0.5512,0.5074
27.2,-0.1682,0.4948,0.7599,0.3635,0.4592,0.4113,0.5891,0.6622,0.6257,0.4669,0.5518,0.5093
27.3,-0.151,0.4686,0.7551,0.3485,0.4469,0.3977,0.587,0.6485,0.6177,0.4697,0.5521,0.5109
27.4,-0.1345,0.4406,0.7483,0.3315,0.4327,0.3821,0.5837,0.6322,0.608,0.4718,0.5522,0.512
27.5,-0.1182,0.4115,0.7397,0.3129,0.4168,0.3649,0.5796,0.6141,0.5968,0.4731,0.5522,0.5126
27.6,-0.1005,0.3821,0.7297,0.2933,0.3994,0.3464,0.5752,0.595,0.5851,0.4736,0.5524,0.513
27.7,-0.0803,0.3539,0.7184,0.2737,0.3817,0.3277,0.5711,0.5759,0.5735,0.474,0.5532,0.5136
27.8,-0.0567,0.3284,0.7064,0.2553,0.3653,0.3103,0.5681,0.5575,0.5628,0.475,0.5552,0.5151
27.9,-0.0295,0.3074,0.6937,0.2398,0.3519,0.2958,0.5668,0.5404,0.5536,0.477,0.5588,0.5179
28,0.0005,0.2921,0.6808,0.2289,0.3427,0.2858,0.5676,0.5251,0.5463,0.4805,0.5644,0.5225
28.1,0.0321,0.283,0.6681,0.2239,0.3387,0.2813,0.5706,0.5119,0.5412,0.4859,0.572,0.5289
28.2,0.0646,0.28,0.6558,0.2257,0.3405,0.2831,0.5757,0.501,0.5383,0.4935,0.5818,0.5377
28.3,0.0977,0.2823,0.6442,0.235,0.3482,0.2916,0.5823,0.4928,0.5375,0.5039,0.5941,0.549
28.4,0.1306,0.2892,0.6333,0.2514,0.3608,0.3061,0.5901,0.4872,0.5387,0.5172,0.6088,0.563
28.5,0.1623,0.2999,0.6239,0.2746,0.3772,0.3259,0.5986,0.4846,0.5416,0.5329,0.6254,0.5791
28.6,0.1914,0.3142,0.6169,0.3039,0.397,0.3505,0.6072,0.4857,0.5464,0.5506,0.6436,0.5971
28.7,0.2169,0.3325,0.6135,0.339,0.4202,0.3796,0.6159,0.4907,0.5533,0.5695,0.663,0.6163
28.8,0.239,0.3544,0.6134,0.3794,0.4465,0.4129,0.6239,0.4997,0.5618,0.5884,0.6824,0.6354
28.9,0.2586,0.3795,0.616,0.4239,0.4749,0.4494,0.6307,0.512,0.5713,0.6054,0.6997,0.6525
29,0.2765,0.4071,0.6199,0.4714,0.5035,0.4874,0.6354,0.5266,0.581,0.619,0.713,0.666
29.1,0.2932,0.4363,0.624,0.5205,0.5305,0.5255,0.6376,0.5423,0.5899,0.6284,0.7214,0.6749
29.2,0.3087,0.4663,0.6275,0.5698,0.555,0.5624,0.637,0.5581,0.5975,0.6333,0.7253,0.6793
29.3,0.3236,0.4968,0.6307,0.6179,0.5773,0.5976,0.634,0.5736,0.6038,0.6339,0.7261,0.68
29.4,0.3395,0.5279,0.634,0.6639,0.5981,0.631,0.6294,0.5888,0.6091,0.6315,0.7253,0.6784
29.5,0.3585,0.5597,0.6376,0.707,0.6179,0.6624,0.6242,0.6037,0.6139,0.6267,0.7231,0.6749
29.6,0.3823,0.5918,0.6411,0.7461,0.6366,0.6913,0.6192,0.6179,0.6185,0.62,0.7188,0.6694
29.7,0.4108,0.6237,0.6438,0.7803,0.6536,0.717,0.6145,0.6308,0.6227,0.612,0.7117,0.6619
29.8,0.4425,0.6549,0.6453,0.809,0.6694,0.7392,0.6102,0.6418,0.626,0.6032,0.7015,0.6523
29.9,0.4753,0.6858,0.6461,0.8327,0.6851,0.7589,0.6065,0.6507,0.6286,0.5941,0.6887,0.6414
