Time,Black Swan Dips - Guacamole 30 TVC,Black Swan Dips - Guacamole 30 TVC,Black Swan Dips - Guacamole 30 TVC,Black Swan Dips - Guacamole 30 TVC,Black Swan Dips - Guacamole 30 TVC,Black Swan Dips - Guacamole 30 TVC,Black Swan Dips - Guacamole 30 TVC,Black Swan Dips - Guacamole 30 TVC,Black Swan Dips - Guacamole 30 TVC,Black Swan Dips - Guacamole 30 TVC,Black Swan Dips - Guacamole 30 TVC,Black Swan Dips - Guacamole 30 TVC
21.2,0.0819,0.6604,0.93,0.7016,0.6927,0.6971,0.7634,0.8595,0.8114,0.5978,0.6693,0.6335
21.3,0.1085,0.6666,0.9165,0.7092,0.6928,0.701,0.7547,0.8446,0.7997,0.5981,0.6667,0.6324
21.4,0.1358,0.6733,0.8995,0.7174,0.6937,0.7055,0.7479,0.8307,0.7893,0.5999,0.6659,0.6329
21.5,0.1636,0.6812,0.8802,0.7264,0.696,0.7112,0.7438,0.8191,0.7815,0.6028,0.6667,0.6348
21.6,0.192,0.6909,0.8599,0.7362,0.7002,0.7182,0.743,0.8106,0.7768,0.6067,0.6689,0.6378
21.7,0.2206,0.7026,0.8395,0.7469,0.706,0.7264,0.7452,0.8056,0.7754,0.6117,0.6726,0.6421
21.8,0.2488,0.7162,0.8197,0.7586,0.7136,0.7361,0.7498,0.8044,0.7771,0.6179,0.6779,0.6479
21.9,0.2756,0.7313,0.8013,0.7712,0.7232,0.7472,0.7563,0.8073,0.7818,0.6257,0.6846,0.6552
22,0.2998,0.7469,0.7849,0.7843,0.7349,0.7596,0.7647,0.8143,0.7895,0.6353,0.6927,0.664
22.1,0.3203,0.7618,0.7711,0.7973,0.7482,0.7728,0.7748,0.8247,0.7998,0.6467,0.7021,0.6744
22.2,0.336,0.7749,0.7604,0.8096,0.7625,0.786,0.7863,0.8379,0.8121,0.6597,0.7129,0.6863
22.3,0.3462,0.7855,0.7536,0.8207,0.7774,0.799,0.7981,0.853,0.8256,0.674,0.7249,0.6994
22.4,0.3509,0.7937,0.7507,0.8307,0.7925,0.8116,0.8096,0.8694,0.8395,0.6887,0.7379,0.7133
22.5,0.3506,0.7992,0.7513,0.8398,0.8076,0.8237,0.82,0.8863,0.8531,0.7037,0.7517,0.7277
22.6,0.3458,0.802,0.7539,0.848,0.8223,0.8352,0.8291,0.9021,0.8656,0.719,0.7657,0.7424
22.7,0.3369,0.802,0.7577,0.8549,0.8357,0.8453,0.8367,0.9157,0.8762,0.7346,0.7799,0.7572
22.8,0.3249,0.799,0.762,0.8597,0.8468,0.8533,0.8427,0.9263,0.8845,0.7503,0.7941,0.7722
22.9,0.3104,0.7929,0.7666,0.8616,0.8548,0.8582,0.8468,0.9337,0.8902,0.7657,0.8078,0.7868
23,0.2938,0.7836,0.7711,0.8599,0.8589,0.8594,0.8492,0.9381,0.8937,0.7804,0.8207,0.8005
23.1,0.2751,0.7706,0.7751,0.8541,0.8584,0.8563,0.85,0.9399,0.895,0.7941,0.8324,0.8132
23.2,0.2546,0.7544,0.7785,0.8441,0.8533,0.8487,0.8492,0.9395,0.8944,0.8071,0.843,0.8251
23.3,0.2323,0.7356,0.7813,0.8304,0.8442,0.8373,0.8468,0.9372,0.892,0.8193,0.853,0.8361
23.4,0.2082,0.7153,0.7837,0.8136,0.8316,0.8226,0.8426,0.9331,0.8878,0.8303,0.8622,0.8462
23.5,0.183,0.6945,0.7857,0.7944,0.8161,0.8053,0.8368,0.9271,0.882,0.8397,0.8705,0.8551
23.6,0.1573,0.6737,0.787,0.7732,0.7979,0.7855,0.8298,0.9192,0.8745,0.8471,0.8772,0.8621
23.7,0.1318,0.6531,0.7866,0.7504,0.7771,0.7638,0.8213,0.9093,0.8653,0.8522,0.8817,0.8669
23.8,0.1068,0.6333,0.784,0.7267,0.7543,0.7405,0.8115,0.8977,0.8546,0.855,0.8842,0.8696
23.9,0.0827,0.6148,0.7795,0.7027,0.7306,0.7166,0.8007,0.8853,0.843,0.8562,0.885,0.8706
24,0.06,0.5978,0.7741,0.6787,0.7068,0.6928,0.7897,0.8728,0.8312,0.8564,0.8847,0.8705
24.1,0.0396,0.5821,0.7684,0.6546,0.6834,0.669,0.7788,0.8606,0.8197,0.8561,0.8835,0.8698
24.2,0.0228,0.5673,0.7621,0.6299,0.66,0.645,0.7682,0.8487,0.8084,0.8555,0.8814,0.8685
24.3,0.0105,0.5534,0.7546,0.6048,0.6369,0.6208,0.7574,0.837,0.7972,0.8542,0.8782,0.8662
24.4,0.0033,0.5414,0.7451,0.5801,0.6148,0.5975,0.7461,0.8255,0.7858,0.8516,0.8732,0.8624
24.5,0.001,0.5325,0.7339,0.5578,0.5956,0.5767,0.7342,0.8141,0.7742,0.8478,0.8664,0.8571
24.6,0.0031,0.5279,0.7214,0.5398,0.581,0.5604,0.7219,0.8032,0.7626,0.843,0.8577,0.8503
24.7,0.0092,0.5281,0.7091,0.5273,0.572,0.5497,0.7097,0.7933,0.7515,0.8375,0.8473,0.8424
24.8,0.0197,0.5324,0.6983,0.5209,0.5691,0.545,0.6977,0.7849,0.7413,0.8319,0.8359,0.8339
24.9,0.0348,0.5401,0.6902,0.5202,0.5719,0.5461,0.6862,0.7783,0.7322,0.8265,0.824,0.8252
25,0.0542,0.5499,0.6853,0.5248,0.5795,0.5522,0.675,0.7737,0.7243,0.8217,0.8122,0.817
25.1,0.0766,0.5609,0.6836,0.5341,0.5909,0.5625,0.664,0.7707,0.7173,0.818,0.8011,0.8095
25.2,0.1,0.572,0.6855,0.5473,0.6049,0.5761,0.6536,0.769,0.7113,0.8153,0.7909,0.8031
25.3,0.1231,0.5826,0.6913,0.5639,0.6207,0.5923,0.6442,0.7686,0.7064,0.8133,0.7819,0.7976
25.4,0.1448,0.5924,0.7007,0.5834,0.6376,0.6105,0.6364,0.7693,0.7029,0.8119,0.7746,0.7933
25.5,0.1648,0.6015,0.7132,0.6053,0.6548,0.6301,0.6304,0.7712,0.7008,0.8107,0.7694,0.79
25.6,0.1833,0.6099,0.7281,0.6289,0.6717,0.6503,0.6262,0.7742,0.7002,0.8097,0.7662,0.7879
25.7,0.2,0.6176,0.7445,0.6534,0.6874,0.6704,0.6235,0.7779,0.7007,0.8088,0.7651,0.787
25.8,0.2147,0.6242,0.7617,0.6775,0.7013,0.6894,0.6222,0.7819,0.702,0.8084,0.7657,0.7871
25.9,0.227,0.6295,0.779,0.6996,0.7131,0.7063,0.6223,0.7856,0.7039,0.8085,0.7679,0.7882
26,0.2366,0.6331,0.7961,0.7183,0.7223,0.7203,0.6235,0.7886,0.7061,0.8089,0.7713,0.7901
26.1,0.2433,0.6349,0.8131,0.7322,0.7287,0.7304,0.6254,0.7909,0.7081,0.8093,0.7753,0.7923
26.2,0.2466,0.6348,0.8298,0.7407,0.7319,0.7363,0.6271,0.792,0.7096,0.8091,0.7793,0.7942
26.3,0.2463,0.633,0.8458,0.7439,0.7324,0.7382,0.6282,0.792,0.7101,0.8079,0.7828,0.7953
26.4,0.2416,0.6302,0.8607,0.7426,0.7308,0.7367,0.6289,0.7911,0.71,0.8057,0.7858,0.7958
26.5,0.2326,0.6272,0.874,0.7377,0.7285,0.7331,0.6297,0.7898,0.7097,0.8027,0.7884,0.7956
26.6,0.2201,0.6251,0.8851,0.7304,0.7263,0.7283,0.6309,0.7881,0.7095,0.7989,0.7908,0.7949
26.7,0.2058,0.6244,0.8929,0.7217,0.7248,0.7232,0.6326,0.7858,0.7092,0.7941,0.7929,0.7935
26.8,0.1911,0.6254,0.8968,0.7124,0.7242,0.7183,0.6346,0.7825,0.7085,0.788,0.7942,0.7911
26.9,0.1767,0.6278,0.8971,0.703,0.7241,0.7136,0.6368,0.7781,0.7074,0.7807,0.7944,0.7876
27,0.1624,0.6316,0.894,0.694,0.7248,0.7094,0.6396,0.7731,0.7063,0.7729,0.7937,0.7833
27.1,0.1473,0.6367,0.8884,0.6857,0.7263,0.706,0.6434,0.7681,0.7058,0.7658,0.7927,0.7792
27.2,0.1317,0.6433,0.8813,0.6787,0.7288,0.7037,0.6488,0.7643,0.7065,0.7606,0.7924,0.7765
27.3,0.1164,0.6516,0.8736,0.6735,0.7323,0.7029,0.6562,0.7622,0.7092,0.7583,0.7934,0.7759
27.4,0.103,0.6618,0.8656,0.6704,0.7365,0.7035,0.6656,0.7618,0.7137,0.759,0.796,0.7775
27.5,0.0924,0.6736,0.8571,0.669,0.7408,0.7049,0.6764,0.7623,0.7194,0.7622,0.7995,0.7809
27.6,0.0843,0.6866,0.848,0.669,0.7446,0.7068,0.6879,0.7629,0.7254,0.7668,0.8035,0.7851
27.7,0.0781,0.7004,0.8389,0.6699,0.7477,0.7088,0.6993,0.7633,0.7313,0.7716,0.8073,0.7895
27.8,0.0736,0.7141,0.8309,0.6715,0.7501,0.7108,0.7106,0.7635,0.7371,0.7763,0.8108,0.7935
27.9,0.0717,0.7267,0.8251,0.6739,0.7515,0.7127,0.7221,0.7645,0.7433,0.7808,0.8144,0.7976
28,0.0737,0.7368,0.8223,0.6767,0.7514,0.714,0.7344,0.767,0.7507,0.7851,0.8188,0.802
28.1,0.0812,0.743,0.8224,0.6796,0.7491,0.7143,0.7475,0.7716,0.7596,0.7889,0.8237,0.8063
28.2,0.0956,0.7447,0.8244,0.6825,0.7443,0.7134,0.761,0.7781,0.7696,0.7912,0.8289,0.8101
28.3,0.1177,0.7418,0.8278,0.6857,0.7369,0.7113,0.7743,0.7861,0.7802,0.7913,0.8337,0.8125
28.4,0.1485,0.7351,0.8322,0.6897,0.727,0.7084,0.7869,0.7949,0.7909,0.7888,0.8377,0.8132
28.5,0.1881,0.7251,0.8371,0.6946,0.7148,0.7047,0.7989,0.8042,0.8015,0.7837,0.8408,0.8123
28.6,0.2359,0.7119,0.8427,0.7002,0.7002,0.7002,0.8102,0.814,0.8121,0.7763,0.8432,0.8098
28.7,0.2904,0.6951,0.8488,0.7058,0.6832,0.6945,0.8208,0.825,0.8229,0.767,0.8455,0.8063
28.8,0.3482,0.6748,0.8558,0.7101,0.6643,0.6872,0.8309,0.8377,0.8343,0.7565,0.8484,0.8025
28.9,0.4051,0.6518,0.8642,0.712,0.6448,0.6784,0.8406,0.852,0.8463,0.746,0.8521,0.7991
29,0.4567,0.6278,0.8743,0.7108,0.6264,0.6686,0.8497,0.8671,0.8584,0.7366,0.8567,0.7966
29.1,0.4992,0.6046,0.8866,0.7064,0.6109,0.6586,0.8573,0.8825,0.8699,0.7289,0.8618,0.7954
29.2,0.5297,0.584,0.9014,0.6993,0.5994,0.6493,0.8628,0.8978,0.8803,0.7235,0.8675,0.7955
29.3,0.5465,0.567,0.9186,0.6898,0.5928,0.6413,0.8658,0.9134,0.8896,0.7205,0.8739,0.7972
29.4,0.5484,0.5542,0.938,0.6785,0.5918,0.6352,0.8664,0.9289,0.8977,0.7199,0.8809,0.8004
29.5,0.5351,0.5463,0.9591,0.6661,0.5968,0.6314,0.8647,0.944,0.9043,0.7214,0.8885,0.8049
29.6,0.507,0.544,0.9812,0.6537,0.6079,0.6308,0.8613,0.958,0.9097,0.7247,0.8969,0.8108
29.7,0.4663,0.5481,1.0037,0.643,0.625,0.634,0.8572,0.9712,0.9142,0.7298,0.9063,0.818
29.8,0.4159,0.5592,1.0255,0.6356,0.6478,0.6417,0.8529,0.9839,0.9184,0.7363,0.9163,0.8263
29.9,0.3594,0.5776,1.0448,0.6326,0.6752,0.6539,0.8485,0.9958,0.9221,0.7435,0.9261,0.8348
