Time,P and O Cruises - Have It All Sale 30 TVC,P and O Cruises - Have It All Sale 30 TVC,P and O Cruises - Have It All Sale 30 TVC,P and O Cruises - Have It All Sale 30 TVC,P and O Cruises - Have It All Sale 30 TVC,P and O Cruises - Have It All Sale 30 TVC,P and O Cruises - Have It All Sale 30 TVC,P and O Cruises - Have It All Sale 30 TVC,P and O Cruises - Have It All Sale 30 TVC,P and O Cruises - Have It All Sale 30 TVC,P and O Cruises - Have It All Sale 30 TVC,P and O Cruises - Have It All Sale 30 TVC
21,0.0527,0.4872,0.3988,0.4708,0.3532,0.412,0.4453,0.2106,0.328,0.6368,0.5715,0.6042
21.1,0.0728,0.4786,0.3761,0.4706,0.3487,0.4096,0.4378,0.1836,0.3107,0.6278,0.5657,0.5968
21.2,0.0895,0.4721,0.3541,0.4714,0.3459,0.4086,0.4303,0.1578,0.294,0.6209,0.5584,0.5897
21.3,0.1027,0.4683,0.334,0.4739,0.3456,0.4098,0.4233,0.1341,0.2787,0.6162,0.5499,0.5831
21.4,0.1128,0.4672,0.3174,0.4786,0.348,0.4133,0.4175,0.1134,0.2655,0.6137,0.5409,0.5773
21.5,0.1202,0.4688,0.3051,0.4853,0.3535,0.4194,0.4134,0.0971,0.2552,0.6135,0.5326,0.5731
21.6,0.1246,0.4728,0.297,0.494,0.3618,0.4279,0.4116,0.0856,0.2486,0.6156,0.5261,0.5708
21.7,0.1248,0.4788,0.2926,0.505,0.3727,0.4389,0.4127,0.0793,0.246,0.6201,0.5224,0.5712
21.8,0.1196,0.4866,0.2914,0.5182,0.3863,0.4522,0.4177,0.0785,0.2481,0.6269,0.5215,0.5742
21.9,0.1088,0.4959,0.2938,0.5331,0.4025,0.4678,0.4272,0.0838,0.2555,0.6358,0.5229,0.5794
22,0.0928,0.506,0.3003,0.5498,0.421,0.4854,0.4419,0.0955,0.2687,0.647,0.5268,0.5869
22.1,0.0728,0.5162,0.3118,0.5684,0.441,0.5047,0.4622,0.1142,0.2882,0.6604,0.5342,0.5973
22.2,0.0511,0.5264,0.3288,0.5889,0.4614,0.5252,0.4882,0.1399,0.3141,0.6758,0.5458,0.6108
22.3,0.0293,0.5361,0.3518,0.6105,0.481,0.5458,0.5199,0.1726,0.3462,0.6927,0.5618,0.6272
22.4,0.0077,0.5447,0.3812,0.6312,0.4986,0.5649,0.5564,0.2122,0.3843,0.7103,0.5812,0.6458
22.5,-0.0137,0.551,0.417,0.649,0.5134,0.5812,0.596,0.2582,0.4271,0.7283,0.6032,0.6657
22.6,-0.0354,0.5537,0.4581,0.6625,0.5246,0.5936,0.6367,0.3093,0.473,0.7464,0.6268,0.6866
22.7,-0.057,0.5519,0.5031,0.6713,0.5318,0.6015,0.6769,0.364,0.5204,0.7645,0.6513,0.7079
22.8,-0.0771,0.5451,0.5505,0.6755,0.5347,0.6051,0.7152,0.421,0.5681,0.7824,0.6756,0.729
22.9,-0.0926,0.534,0.5991,0.676,0.5337,0.6048,0.751,0.479,0.615,0.7995,0.6983,0.7489
23,-0.1014,0.5192,0.6478,0.6739,0.529,0.6014,0.7836,0.5369,0.6602,0.8152,0.718,0.7666
23.1,-0.1037,0.5018,0.6952,0.6697,0.5213,0.5955,0.8117,0.5925,0.7021,0.8295,0.7342,0.7818
23.2,-0.1012,0.4826,0.7392,0.6636,0.511,0.5873,0.8344,0.6436,0.739,0.8419,0.7467,0.7943
23.3,-0.0952,0.4623,0.7781,0.6548,0.498,0.5764,0.851,0.6883,0.7697,0.8521,0.7561,0.8041
23.4,-0.0862,0.4416,0.8106,0.643,0.4822,0.5626,0.8611,0.7255,0.7933,0.8594,0.7626,0.811
23.5,-0.0738,0.4208,0.8363,0.6288,0.4636,0.5462,0.865,0.7552,0.8101,0.8639,0.7663,0.8151
23.6,-0.0574,0.4002,0.855,0.6135,0.4427,0.5281,0.8636,0.7775,0.8206,0.8663,0.7674,0.8169
23.7,-0.037,0.3808,0.8671,0.5988,0.4206,0.5097,0.858,0.7928,0.8254,0.8676,0.7661,0.8169
23.8,-0.0135,0.364,0.8736,0.5858,0.3988,0.4923,0.8498,0.8014,0.8256,0.8677,0.7623,0.815
23.9,0.0121,0.3509,0.875,0.5749,0.3788,0.4769,0.8405,0.8039,0.8222,0.866,0.7556,0.8108
24,0.0376,0.3419,0.8718,0.5664,0.3613,0.4638,0.8316,0.8005,0.816,0.8622,0.7456,0.8039
24.1,0.0611,0.3362,0.8641,0.56,0.3464,0.4532,0.8241,0.7916,0.8078,0.8569,0.733,0.795
24.2,0.0807,0.3331,0.8524,0.5557,0.3345,0.4451,0.8188,0.7781,0.7985,0.8506,0.7185,0.7846
24.3,0.0955,0.3326,0.8371,0.5536,0.3267,0.4401,0.8165,0.7612,0.7888,0.8427,0.7027,0.7727
24.4,0.1047,0.3349,0.8188,0.5538,0.324,0.4389,0.8171,0.7418,0.7794,0.8318,0.6858,0.7588
24.5,0.1075,0.3397,0.798,0.5564,0.3269,0.4417,0.8205,0.7208,0.7707,0.8175,0.6686,0.743
24.6,0.1044,0.3465,0.7751,0.5615,0.3349,0.4482,0.8262,0.6991,0.7627,0.8012,0.6526,0.7269
24.7,0.0968,0.3553,0.7511,0.5686,0.347,0.4578,0.8336,0.6774,0.7555,0.7847,0.6395,0.7121
24.8,0.0849,0.3662,0.7272,0.5766,0.3625,0.4695,0.8424,0.6566,0.7495,0.7697,0.6302,0.7
24.9,0.068,0.3788,0.7042,0.585,0.3803,0.4826,0.8518,0.6374,0.7446,0.757,0.6241,0.6905
25,0.0445,0.3928,0.6826,0.5929,0.3994,0.4961,0.8609,0.6198,0.7404,0.7464,0.6194,0.6829
25.1,0.0138,0.4075,0.6624,0.5996,0.4188,0.5092,0.8688,0.6041,0.7364,0.7384,0.6148,0.6766
25.2,-0.0239,0.4224,0.6442,0.6043,0.4381,0.5212,0.8749,0.5901,0.7325,0.733,0.6096,0.6713
25.3,-0.0665,0.437,0.6287,0.6067,0.4569,0.5318,0.8789,0.5781,0.7285,0.7305,0.6038,0.6671
25.4,-0.1115,0.4504,0.6165,0.6065,0.4745,0.5405,0.8802,0.5678,0.724,0.7306,0.5978,0.6642
25.5,-0.1575,0.4616,0.6081,0.6039,0.4896,0.5468,0.8786,0.5595,0.719,0.7328,0.5915,0.6622
25.6,-0.2042,0.4701,0.6035,0.5992,0.5012,0.5502,0.8739,0.5532,0.7135,0.7358,0.5841,0.66
25.7,-0.2522,0.4755,0.6027,0.5925,0.5098,0.5511,0.8661,0.549,0.7076,0.7391,0.5752,0.6572
25.8,-0.3006,0.4783,0.6058,0.5847,0.5161,0.5504,0.8555,0.5471,0.7013,0.7432,0.5649,0.654
25.9,-0.3479,0.4789,0.6122,0.5769,0.5209,0.5489,0.8421,0.547,0.6946,0.7488,0.5539,0.6514
26,-0.3921,0.4774,0.6212,0.57,0.5236,0.5468,0.8264,0.5477,0.6871,0.7565,0.5429,0.6497
26.1,-0.4314,0.4737,0.6316,0.5642,0.5233,0.5438,0.8085,0.5484,0.6785,0.7653,0.5318,0.6486
26.2,-0.4642,0.468,0.643,0.5596,0.5192,0.5394,0.7885,0.5487,0.6686,0.774,0.5207,0.6474
26.3,-0.4887,0.4608,0.6553,0.5559,0.5112,0.5335,0.7667,0.5485,0.6576,0.7811,0.5099,0.6455
26.4,-0.5045,0.4522,0.6683,0.553,0.4998,0.5264,0.7434,0.5474,0.6454,0.7859,0.5001,0.643
26.5,-0.5138,0.4414,0.6818,0.5502,0.4852,0.5177,0.7188,0.5448,0.6318,0.7882,0.4917,0.6399
26.6,-0.5182,0.4275,0.6955,0.547,0.4675,0.5073,0.6931,0.5402,0.6166,0.7877,0.4851,0.6364
26.7,-0.5175,0.4106,0.709,0.5435,0.4471,0.4953,0.6667,0.5336,0.6002,0.7847,0.4803,0.6325
26.8,-0.511,0.3917,0.7227,0.5403,0.4253,0.4828,0.6403,0.5259,0.5831,0.7798,0.4779,0.6288
26.9,-0.5004,0.3719,0.7378,0.5385,0.4044,0.4715,0.6149,0.5182,0.5665,0.7744,0.4783,0.6263
27,-0.4891,0.3517,0.755,0.5384,0.3861,0.4623,0.5921,0.5114,0.5517,0.7689,0.4822,0.6256
27.1,-0.4796,0.3312,0.7748,0.5395,0.3712,0.4554,0.573,0.5054,0.5392,0.763,0.4897,0.6264
27.2,-0.472,0.3109,0.7969,0.5407,0.3594,0.4501,0.5576,0.5004,0.529,0.756,0.5005,0.6282
27.3,-0.4641,0.291,0.8212,0.5414,0.3502,0.4458,0.5455,0.4969,0.5212,0.7479,0.5144,0.6312
27.4,-0.4552,0.2712,0.8481,0.5407,0.3435,0.4421,0.5363,0.4959,0.5161,0.7402,0.5317,0.636
27.5,-0.4455,0.2518,0.8792,0.5382,0.3401,0.4391,0.53,0.4991,0.5146,0.7344,0.5526,0.6435
27.6,-0.4346,0.2331,0.9157,0.5335,0.3404,0.437,0.5267,0.508,0.5173,0.7309,0.5764,0.6536
27.7,-0.4213,0.216,0.9564,0.527,0.3438,0.4354,0.5264,0.5227,0.5246,0.7289,0.6021,0.6655
27.8,-0.4049,0.2011,0.9988,0.5189,0.3495,0.4342,0.5287,0.5424,0.5356,0.7279,0.6281,0.678
27.9,-0.3856,0.1885,1.0407,0.5098,0.3562,0.433,0.5328,0.5658,0.5493,0.7282,0.6533,0.6908
28,-0.3652,0.1781,1.08,0.4995,0.3631,0.4313,0.5376,0.591,0.5643,0.7308,0.6766,0.7037
28.1,-0.3458,0.1697,1.1149,0.4881,0.3694,0.4288,0.5425,0.6165,0.5795,0.7363,0.6969,0.7166
28.2,-0.3284,0.1628,1.1436,0.4755,0.3749,0.4252,0.5471,0.6404,0.5937,0.7441,0.7135,0.7288
28.3,-0.3119,0.1571,1.1642,0.4618,0.3789,0.4204,0.551,0.6609,0.6059,0.753,0.726,0.7395
28.4,-0.2936,0.1525,1.1762,0.4472,0.3816,0.4144,0.5543,0.6766,0.6154,0.762,0.7351,0.7486
28.5,-0.2712,0.1493,1.1804,0.432,0.3833,0.4077,0.557,0.6869,0.622,0.771,0.7419,0.7565
28.6,-0.2433,0.1482,1.1777,0.4165,0.3845,0.4005,0.5589,0.6918,0.6253,0.7795,0.7473,0.7634
28.7,-0.2093,0.1493,1.1684,0.4011,0.3844,0.3927,0.5594,0.6908,0.6251,0.7864,0.7519,0.7691
28.8,-0.1697,0.152,1.1529,0.386,0.3824,0.3842,0.5578,0.684,0.6209,0.7914,0.7556,0.7735
28.9,-0.1263,0.1563,1.132,0.3719,0.3781,0.375,0.5541,0.6716,0.6128,0.7942,0.7585,0.7764
29,-0.0817,0.1628,1.1068,0.3598,0.3721,0.3659,0.5485,0.6541,0.6013,0.7953,0.7604,0.7778
29.1,-0.0395,0.1722,1.0776,0.3497,0.3652,0.3575,0.5414,0.6317,0.5865,0.7949,0.7613,0.7781
29.2,-0.0028,0.1848,1.0443,0.3412,0.3571,0.3491,0.5328,0.6042,0.5685,0.7934,0.7613,0.7774
29.3,0.026,0.1999,1.0063,0.333,0.3464,0.3397,0.5227,0.571,0.5468,0.7905,0.7603,0.7754
29.4,0.0461,0.2166,0.9633,0.3241,0.3322,0.3282,0.5102,0.5314,0.5208,0.7848,0.7582,0.7715
29.5,0.0574,0.2347,0.9164,0.3148,0.3153,0.315,0.4951,0.4859,0.4905,0.7747,0.7544,0.7645
29.6,0.0609,0.2548,0.8671,0.3061,0.2976,0.3018,0.4778,0.436,0.4569,0.7591,0.7485,0.7538
29.7,0.0589,0.2769,0.8159,0.2995,0.2809,0.2902,0.4596,0.3835,0.4215,0.7384,0.7408,0.7396
29.8,0.0539,0.3001,0.7626,0.2957,0.2657,0.2807,0.4415,0.3296,0.3856,0.7142,0.732,0.7231
29.9,0.047,0.3233,0.7073,0.2949,0.2517,0.2733,0.4245,0.2749,0.3497,0.688,0.723,0.7055
