Time,Disney Plus with Star 30 TVC,Disney Plus with Star 30 TVC,Disney Plus with Star 30 TVC,Disney Plus with Star 30 TVC,Disney Plus with Star 30 TVC,Disney Plus with Star 30 TVC,Disney Plus with Star 30 TVC,Disney Plus with Star 30 TVC,Disney Plus with Star 30 TVC,Disney Plus with Star 30 TVC,Disney Plus with Star 30 TVC,Disney Plus with Star 30 TVC
21.4,-0.274,0.45,0.5166,0.2666,0.6131,0.4399,0.4812,0.4334,0.4573,0.388,0.4143,0.4011
21.5,-0.2156,0.4558,0.5248,0.2742,0.6042,0.4392,0.4993,0.4549,0.4771,0.3876,0.4349,0.4112
21.6,-0.1584,0.4661,0.537,0.2844,0.5987,0.4416,0.5187,0.4812,0.5,0.3874,0.4597,0.4236
21.7,-0.1037,0.481,0.5521,0.2989,0.5971,0.448,0.538,0.511,0.5245,0.388,0.4878,0.4379
21.8,-0.0523,0.5004,0.5689,0.3182,0.5992,0.4587,0.5564,0.5431,0.5497,0.3899,0.518,0.4539
21.9,-0.004,0.5236,0.5862,0.3424,0.6046,0.4735,0.573,0.5761,0.5746,0.3934,0.549,0.4712
22,0.0423,0.5505,0.6033,0.3715,0.6133,0.4924,0.5872,0.6089,0.5981,0.3978,0.5793,0.4885
22.1,0.0876,0.5806,0.6194,0.4057,0.625,0.5153,0.5982,0.64,0.6191,0.4024,0.6069,0.5046
22.2,0.1316,0.6126,0.6337,0.4448,0.6388,0.5418,0.6055,0.6678,0.6367,0.4064,0.6305,0.5185
22.3,0.1721,0.6442,0.6456,0.4878,0.6533,0.5705,0.6089,0.6914,0.6501,0.4099,0.6494,0.5296
22.4,0.2052,0.6733,0.6547,0.5324,0.6674,0.5999,0.6085,0.7099,0.6592,0.4129,0.6634,0.5382
22.5,0.2284,0.6985,0.6611,0.5767,0.6813,0.629,0.6048,0.7229,0.6639,0.415,0.6728,0.5439
22.6,0.2414,0.7202,0.6644,0.6193,0.6954,0.6573,0.5981,0.7296,0.6639,0.4153,0.6774,0.5464
22.7,0.2463,0.7387,0.6643,0.6599,0.7095,0.6847,0.5884,0.7295,0.659,0.4129,0.6775,0.5452
22.8,0.2466,0.7542,0.6607,0.698,0.723,0.7105,0.5763,0.722,0.6491,0.4081,0.6739,0.541
22.9,0.2457,0.7665,0.6538,0.7327,0.7346,0.7337,0.5619,0.7074,0.6347,0.4024,0.6681,0.5353
23,0.2451,0.7753,0.6438,0.7631,0.7435,0.7533,0.5458,0.6865,0.6162,0.3976,0.6615,0.5295
23.1,0.2457,0.7806,0.6314,0.7885,0.749,0.7687,0.5281,0.6603,0.5942,0.3946,0.6548,0.5247
23.2,0.2485,0.7827,0.6171,0.8089,0.7507,0.7798,0.5088,0.6304,0.5696,0.3937,0.6478,0.5207
23.3,0.254,0.7815,0.6015,0.8241,0.7486,0.7864,0.4886,0.5985,0.5436,0.395,0.6405,0.5178
23.4,0.2614,0.7775,0.585,0.8344,0.7433,0.7889,0.4687,0.5663,0.5175,0.3988,0.6334,0.5161
23.5,0.2686,0.7715,0.5677,0.8402,0.7358,0.788,0.4502,0.5357,0.4929,0.4052,0.6272,0.5162
23.6,0.2739,0.7652,0.5495,0.8419,0.7274,0.7847,0.4339,0.5077,0.4708,0.4139,0.6224,0.5182
23.7,0.2772,0.7595,0.53,0.8403,0.7187,0.7795,0.42,0.4827,0.4514,0.4243,0.6187,0.5215
23.8,0.2792,0.7548,0.5097,0.8357,0.7093,0.7725,0.4085,0.4612,0.4348,0.4359,0.6155,0.5257
23.9,0.2802,0.7504,0.4896,0.8286,0.6989,0.7638,0.3991,0.4437,0.4214,0.4481,0.6125,0.5303
24,0.2801,0.7457,0.4706,0.8193,0.6875,0.7534,0.3916,0.431,0.4113,0.4599,0.6094,0.5347
24.1,0.2778,0.7404,0.4531,0.8081,0.6759,0.742,0.3858,0.424,0.4049,0.4701,0.6061,0.5381
24.2,0.2725,0.7346,0.4372,0.7958,0.6654,0.7306,0.3816,0.4229,0.4023,0.4775,0.6024,0.54
24.3,0.2628,0.729,0.4233,0.7835,0.6569,0.7202,0.3795,0.4279,0.4037,0.4821,0.5985,0.5403
24.4,0.2479,0.7245,0.4117,0.772,0.651,0.7115,0.38,0.4385,0.4093,0.4843,0.5943,0.5393
24.5,0.2271,0.7216,0.4029,0.7619,0.648,0.7049,0.3836,0.4544,0.419,0.485,0.5903,0.5377
24.6,0.2011,0.7205,0.3968,0.7535,0.6482,0.7008,0.3905,0.4745,0.4325,0.4848,0.5867,0.5358
24.7,0.1716,0.7211,0.3932,0.7473,0.6521,0.6997,0.4004,0.4978,0.4491,0.4843,0.5837,0.534
24.8,0.1408,0.723,0.3916,0.7439,0.6602,0.7021,0.4131,0.5227,0.4679,0.4841,0.5813,0.5327
24.9,0.1112,0.726,0.3918,0.7435,0.672,0.7078,0.4287,0.548,0.4883,0.4853,0.5797,0.5325
25,0.0842,0.7292,0.3937,0.7456,0.6858,0.7157,0.4468,0.5724,0.5096,0.4883,0.5788,0.5335
25.1,0.0611,0.7318,0.3968,0.749,0.6998,0.7244,0.4668,0.5951,0.5309,0.4923,0.5782,0.5353
25.2,0.0423,0.7328,0.401,0.7525,0.7126,0.7325,0.4875,0.6154,0.5514,0.4961,0.5773,0.5367
25.3,0.0273,0.7321,0.4061,0.7557,0.7236,0.7396,0.5078,0.6327,0.5702,0.4988,0.5759,0.5373
25.4,0.0148,0.7298,0.4128,0.7583,0.7332,0.7458,0.5272,0.6471,0.5871,0.5007,0.5743,0.5375
25.5,0.0034,0.7263,0.4217,0.76,0.742,0.751,0.5454,0.6586,0.602,0.5029,0.5737,0.5383
25.6,-0.0081,0.722,0.4335,0.7603,0.7502,0.7552,0.562,0.6671,0.6145,0.5063,0.5752,0.5408
25.7,-0.0198,0.717,0.4486,0.7585,0.7577,0.7581,0.5757,0.6723,0.624,0.511,0.5796,0.5453
25.8,-0.0308,0.7116,0.4668,0.7545,0.7641,0.7593,0.5856,0.6737,0.6297,0.5163,0.5868,0.5516
25.9,-0.0409,0.7061,0.4873,0.7486,0.7693,0.7589,0.5909,0.671,0.6309,0.5217,0.5967,0.5592
26,-0.05,0.7011,0.509,0.7414,0.7732,0.7573,0.5913,0.6641,0.6277,0.5271,0.6094,0.5683
26.1,-0.058,0.6962,0.531,0.7331,0.7755,0.7543,0.5866,0.6533,0.6199,0.5334,0.6252,0.5793
26.2,-0.0655,0.691,0.5519,0.7236,0.7765,0.75,0.5767,0.6389,0.6078,0.5412,0.6444,0.5928
26.3,-0.073,0.6854,0.5707,0.7133,0.7765,0.7449,0.562,0.6215,0.5918,0.5505,0.6662,0.6084
26.4,-0.0815,0.6799,0.5864,0.7029,0.7762,0.7396,0.5426,0.6018,0.5722,0.5606,0.6894,0.625
26.5,-0.0921,0.6749,0.5988,0.6928,0.7763,0.7346,0.5187,0.5806,0.5497,0.5705,0.712,0.6412
26.6,-0.1064,0.6709,0.6081,0.6826,0.7773,0.73,0.4904,0.5588,0.5246,0.5792,0.7327,0.6559
26.7,-0.1255,0.6679,0.6146,0.6718,0.7799,0.7258,0.4576,0.5368,0.4972,0.5862,0.7499,0.6681
26.8,-0.1497,0.6662,0.6178,0.6602,0.7845,0.7223,0.4199,0.515,0.4674,0.5906,0.7625,0.6766
26.9,-0.1787,0.6658,0.6177,0.6481,0.7912,0.7197,0.3773,0.4939,0.4356,0.5917,0.7699,0.6808
27,-0.2111,0.6664,0.6153,0.6363,0.7993,0.7178,0.3303,0.4746,0.4024,0.5893,0.7719,0.6806
27.1,-0.2452,0.6677,0.6125,0.6253,0.8078,0.7166,0.2799,0.4586,0.3693,0.5838,0.7692,0.6765
27.2,-0.2794,0.6692,0.6118,0.6155,0.8159,0.7157,0.2279,0.4471,0.3375,0.5765,0.7633,0.6699
27.3,-0.3123,0.6709,0.6142,0.6071,0.8231,0.7151,0.1765,0.4406,0.3085,0.5682,0.7552,0.6617
27.4,-0.3421,0.673,0.6196,0.6005,0.8292,0.7148,0.1276,0.4387,0.2831,0.559,0.7456,0.6523
27.5,-0.3669,0.6753,0.6266,0.5955,0.8332,0.7144,0.0832,0.4408,0.262,0.5489,0.7345,0.6417
27.6,-0.3852,0.6775,0.6339,0.5916,0.8344,0.713,0.0451,0.4463,0.2457,0.5378,0.7218,0.6298
27.7,-0.3956,0.6793,0.6404,0.5884,0.8317,0.7101,0.0151,0.4541,0.2346,0.5257,0.7079,0.6168
27.8,-0.3971,0.6804,0.6452,0.5856,0.8249,0.7052,-0.0059,0.4629,0.2285,0.5126,0.6929,0.6028
27.9,-0.3894,0.6807,0.6474,0.5828,0.8141,0.6985,-0.0176,0.471,0.2267,0.4989,0.6773,0.5881
28,-0.373,0.6801,0.6465,0.5795,0.7997,0.6896,-0.0199,0.4775,0.2288,0.485,0.6611,0.573
28.1,-0.3491,0.6782,0.6423,0.5749,0.7817,0.6783,-0.0131,0.4817,0.2343,0.4714,0.6444,0.5579
28.2,-0.3198,0.6747,0.6349,0.5682,0.7602,0.6642,0.0025,0.4838,0.2431,0.4587,0.6272,0.543
28.3,-0.2871,0.6696,0.6243,0.5591,0.7357,0.6474,0.0262,0.4835,0.2549,0.4469,0.6095,0.5282
28.4,-0.2524,0.663,0.6104,0.5481,0.7095,0.6288,0.057,0.4808,0.2689,0.4359,0.5916,0.5138
28.5,-0.2165,0.6558,0.5933,0.5361,0.6834,0.6098,0.0932,0.4754,0.2843,0.4256,0.5739,0.4997
28.6,-0.1799,0.649,0.5733,0.5249,0.6594,0.5921,0.1328,0.4677,0.3002,0.4164,0.5569,0.4866
28.7,-0.1425,0.6441,0.5511,0.5162,0.6389,0.5776,0.1736,0.458,0.3158,0.4093,0.5414,0.4754
28.8,-0.1036,0.6417,0.5276,0.5115,0.623,0.5673,0.2134,0.4467,0.3301,0.4055,0.5286,0.467
28.9,-0.0627,0.6419,0.5035,0.5118,0.6119,0.5618,0.2505,0.4333,0.3419,0.4057,0.5191,0.4624
29,-0.0194,0.6443,0.4792,0.5169,0.6054,0.5612,0.2836,0.4174,0.3505,0.4101,0.5133,0.4617
29.1,0.0258,0.6482,0.455,0.5266,0.603,0.5648,0.3125,0.3989,0.3557,0.4184,0.5107,0.4646
29.2,0.0718,0.6531,0.4319,0.5401,0.6045,0.5723,0.3382,0.3792,0.3587,0.4305,0.5109,0.4707
29.3,0.1163,0.659,0.4109,0.5576,0.61,0.5838,0.3622,0.3605,0.3613,0.4469,0.5138,0.4804
29.4,0.1571,0.666,0.3932,0.5787,0.6197,0.5992,0.3859,0.3456,0.3658,0.4685,0.52,0.4943
29.5,0.1926,0.6739,0.3798,0.6029,0.6332,0.618,0.4102,0.3366,0.3734,0.4959,0.5301,0.513
29.6,0.2214,0.6827,0.3712,0.6293,0.6501,0.6397,0.4354,0.3348,0.3851,0.5285,0.5435,0.536
29.7,0.2432,0.6932,0.3678,0.6579,0.67,0.6639,0.4616,0.3409,0.4012,0.5645,0.5591,0.5618
29.8,0.2581,0.7056,0.3698,0.6885,0.6921,0.6903,0.489,0.3548,0.4219,0.6021,0.5754,0.5887
29.9,0.2665,0.7201,0.3773,0.7211,0.7154,0.7183,0.5182,0.3759,0.4471,0.6401,0.5917,0.6159
