Time,Tower - Canstar Car Insurer of the Year 30 TVC,Tower - Canstar Car Insurer of the Year 30 TVC,Tower - Canstar Car Insurer of the Year 30 TVC,Tower - Canstar Car Insurer of the Year 30 TVC,Tower - Canstar Car Insurer of the Year 30 TVC,Tower - Canstar Car Insurer of the Year 30 TVC,Tower - Canstar Car Insurer of the Year 30 TVC,Tower - Canstar Car Insurer of the Year 30 TVC,Tower - Canstar Car Insurer of the Year 30 TVC,Tower - Canstar Car Insurer of the Year 30 TVC,Tower - Canstar Car Insurer of the Year 30 TVC,Tower - Canstar Car Insurer of the Year 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
7.8,-0.5763,0.707,0.6067,0.5488,0.8989,0.7238,0.6495,0.7103,0.6799,0.5291,0.4561,0.4926
7.9,-0.5618,0.7131,0.6238,0.5594,0.9051,0.7323,0.6676,0.7051,0.6864,0.5303,0.468,0.4991
8,-0.5389,0.7181,0.643,0.5729,0.9089,0.7409,0.6882,0.7009,0.6945,0.5332,0.4826,0.5079
8.1,-0.5083,0.722,0.662,0.589,0.9107,0.7499,0.7095,0.6979,0.7037,0.5379,0.5001,0.519
8.2,-0.4714,0.7243,0.6791,0.607,0.9105,0.7588,0.7302,0.6959,0.713,0.5446,0.5207,0.5327
8.3,-0.4293,0.7246,0.6937,0.6259,0.9083,0.7671,0.7492,0.6949,0.7221,0.553,0.5439,0.5484
8.4,-0.383,0.7227,0.7054,0.6451,0.9041,0.7746,0.7662,0.6948,0.7305,0.5624,0.5684,0.5654
8.5,-0.3331,0.7189,0.7142,0.6645,0.8985,0.7815,0.7807,0.6952,0.7379,0.572,0.5926,0.5823
8.6,-0.2798,0.7134,0.7196,0.684,0.8917,0.7878,0.7923,0.695,0.7437,0.581,0.6153,0.5982
8.7,-0.2237,0.7065,0.7218,0.7033,0.8835,0.7934,0.8005,0.6934,0.747,0.5887,0.6362,0.6125
8.8,-0.166,0.6983,0.7214,0.7226,0.873,0.7978,0.8047,0.6903,0.7475,0.5951,0.655,0.625
8.9,-0.1083,0.6887,0.7192,0.7419,0.8602,0.801,0.8049,0.686,0.7454,0.6002,0.6711,0.6356
9,-0.0526,0.6776,0.7163,0.761,0.8457,0.8034,0.8008,0.6814,0.7411,0.6045,0.6839,0.6442
9.1,-0.0003,0.6653,0.7138,0.7793,0.8305,0.8049,0.7921,0.6768,0.7344,0.6081,0.6931,0.6506
9.2,0.0486,0.652,0.7123,0.7958,0.8148,0.8053,0.779,0.6718,0.7254,0.611,0.6992,0.6551
9.3,0.0949,0.6379,0.7117,0.8103,0.7988,0.8045,0.7621,0.6663,0.7142,0.6134,0.7032,0.6583
9.4,0.1383,0.6234,0.7123,0.8227,0.7829,0.8028,0.7428,0.6604,0.7016,0.6156,0.7056,0.6606
9.5,0.1776,0.609,0.714,0.8334,0.7681,0.8008,0.7225,0.6547,0.6886,0.6177,0.7067,0.6622
9.6,0.2108,0.5951,0.7165,0.8426,0.7556,0.7991,0.7021,0.6494,0.6758,0.6194,0.7068,0.6631
9.7,0.2366,0.582,0.7187,0.8502,0.7461,0.7982,0.6817,0.6441,0.6629,0.6206,0.7056,0.6631
9.8,0.2539,0.5699,0.7195,0.8561,0.7399,0.798,0.6616,0.6381,0.6498,0.6211,0.703,0.6621
9.9,0.2627,0.5591,0.7185,0.8603,0.7371,0.7987,0.6419,0.6314,0.6367,0.6206,0.6985,0.6596
10,0.2631,0.5493,0.7161,0.8627,0.7375,0.8001,0.6232,0.6243,0.6237,0.6184,0.692,0.6552
10.1,0.2557,0.5405,0.7132,0.8627,0.7416,0.8022,0.6058,0.6174,0.6116,0.6144,0.6839,0.6491
10.2,0.2419,0.5326,0.7106,0.8597,0.7496,0.8046,0.5901,0.6113,0.6007,0.6085,0.6749,0.6417
10.3,0.2231,0.526,0.7083,0.8532,0.761,0.8071,0.5756,0.6061,0.5908,0.6007,0.6654,0.633
10.4,0.2009,0.5211,0.7063,0.8431,0.7754,0.8093,0.5623,0.6017,0.582,0.5908,0.6555,0.6231
10.5,0.1767,0.5184,0.7054,0.8305,0.7923,0.8114,0.5508,0.5988,0.5748,0.5792,0.6455,0.6123
10.6,0.1509,0.5182,0.7063,0.8162,0.8115,0.8139,0.5415,0.5978,0.5696,0.5666,0.6357,0.6012
10.7,0.1241,0.5205,0.7086,0.8008,0.8325,0.8166,0.5341,0.5986,0.5663,0.5537,0.6264,0.59
10.8,0.0971,0.5253,0.7109,0.7846,0.8544,0.8195,0.5282,0.6004,0.5643,0.5409,0.6172,0.579
10.9,0.0715,0.5322,0.7117,0.7682,0.8763,0.8222,0.5235,0.6025,0.563,0.5285,0.6077,0.5681
11,0.0481,0.5406,0.7101,0.7519,0.8967,0.8243,0.5198,0.6039,0.5619,0.5166,0.5971,0.5569
