Time,Woolworths - Helping you get your woolies worth 30 TVC,Woolworths - Helping you get your woolies worth 30 TVC,Woolworths - Helping you get your woolies worth 30 TVC,Woolworths - Helping you get your woolies worth 30 TVC,Woolworths - Helping you get your woolies worth 30 TVC,Woolworths - Helping you get your woolies worth 30 TVC,Woolworths - Helping you get your woolies worth 30 TVC,Woolworths - Helping you get your woolies worth 30 TVC,Woolworths - Helping you get your woolies worth 30 TVC,Woolworths - Helping you get your woolies worth 30 TVC,Woolworths - Helping you get your woolies worth 30 TVC,Woolworths - Helping you get your woolies worth 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
10.7,0.3436,0.6358,0.3299,0.5985,0.5412,0.5698,0.2239,0.3323,0.2781,0.2992,0.4587,0.379
10.8,0.3349,0.6291,0.3308,0.5849,0.5462,0.5655,0.2288,0.3329,0.2808,0.2878,0.4438,0.3658
10.9,0.3189,0.6234,0.3329,0.5709,0.5557,0.5633,0.2336,0.3343,0.284,0.2722,0.42,0.3461
11,0.2964,0.6178,0.3358,0.557,0.5695,0.5632,0.239,0.3368,0.2879,0.2549,0.3901,0.3225
11.1,0.2667,0.6115,0.3394,0.5429,0.587,0.565,0.2453,0.3406,0.293,0.2377,0.3569,0.2973
11.2,0.2291,0.6046,0.3438,0.5284,0.6079,0.5682,0.2525,0.3464,0.2995,0.2223,0.3227,0.2725
11.3,0.1835,0.5982,0.3493,0.5141,0.6321,0.5731,0.2605,0.3544,0.3075,0.2097,0.2894,0.2496
11.4,0.1315,0.5933,0.3557,0.501,0.6592,0.5801,0.2688,0.3637,0.3163,0.2006,0.2587,0.2296
11.5,0.0746,0.5907,0.3625,0.4902,0.6892,0.5897,0.2772,0.3734,0.3253,0.1954,0.2317,0.2136
11.6,0.0138,0.591,0.3688,0.4824,0.7221,0.6023,0.2862,0.3828,0.3345,0.1942,0.2093,0.2018
11.7,-0.05,0.5943,0.3741,0.4775,0.7576,0.6176,0.2963,0.3914,0.3438,0.1967,0.192,0.1943
11.8,-0.1153,0.6007,0.3781,0.4748,0.7937,0.6342,0.3072,0.3982,0.3527,0.2025,0.18,0.1912
11.9,-0.1798,0.6094,0.3798,0.4729,0.8278,0.6503,0.3177,0.4019,0.3598,0.2106,0.173,0.1918
12,-0.2408,0.619,0.3784,0.471,0.8569,0.664,0.3268,0.4014,0.3641,0.22,0.1702,0.1951
12.1,-0.2952,0.6288,0.3735,0.469,0.8794,0.6742,0.3343,0.3964,0.3653,0.2297,0.1707,0.2002
12.2,-0.3405,0.6387,0.3661,0.4675,0.8946,0.681,0.3406,0.3875,0.3641,0.2397,0.174,0.2069
12.3,-0.3752,0.6485,0.3579,0.4669,0.9023,0.6846,0.347,0.3761,0.3615,0.2504,0.1805,0.2154
12.4,-0.3995,0.6582,0.3503,0.4681,0.9023,0.6852,0.3543,0.3635,0.3589,0.2617,0.1899,0.2258
12.5,-0.4143,0.6665,0.3436,0.4713,0.894,0.6826,0.3626,0.3506,0.3566,0.2729,0.201,0.237
