Time,ISF Host Plus TVC,ISF Host Plus TVC,ISF Host Plus TVC,ISF Host Plus TVC,ISF Host Plus TVC,ISF Host Plus TVC,ISF Host Plus TVC,ISF Host Plus TVC,ISF Host Plus TVC,ISF Host Plus TVC,ISF Host Plus TVC,ISF Host Plus TVC
21.6,-0.2277,0.6456,0.4743,0.6028,0.5425,0.5727,0.6055,0.5351,0.5703,0.5877,0.6107,0.5992
21.7,-0.2249,0.6575,0.4937,0.6044,0.5562,0.5803,0.6299,0.5576,0.5937,0.6062,0.6251,0.6157
21.8,-0.2189,0.6691,0.5143,0.606,0.5707,0.5883,0.6545,0.5808,0.6176,0.6247,0.6395,0.6321
21.9,-0.2098,0.6805,0.5362,0.6076,0.5859,0.5968,0.6791,0.6046,0.6418,0.6427,0.6539,0.6483
22,-0.1981,0.6919,0.5588,0.6092,0.6018,0.6055,0.703,0.6289,0.6659,0.66,0.6685,0.6642
22.1,-0.1843,0.7033,0.5816,0.6106,0.618,0.6143,0.7254,0.6527,0.689,0.676,0.683,0.6795
22.2,-0.1686,0.7147,0.6037,0.6115,0.6339,0.6227,0.7454,0.6752,0.7103,0.69,0.6971,0.6935
22.3,-0.1512,0.7257,0.6246,0.6117,0.6493,0.6305,0.7627,0.6955,0.7291,0.7012,0.7103,0.7057
22.4,-0.1324,0.7363,0.6436,0.6115,0.664,0.6378,0.7768,0.713,0.7449,0.709,0.7222,0.7156
22.5,-0.1128,0.747,0.66,0.6114,0.6779,0.6447,0.7878,0.7273,0.7576,0.7131,0.7328,0.723
22.6,-0.0929,0.7578,0.6731,0.6122,0.6908,0.6515,0.7954,0.738,0.7667,0.7135,0.7421,0.7278
22.7,-0.073,0.7686,0.6819,0.6143,0.7021,0.6582,0.7992,0.7445,0.7718,0.7105,0.7498,0.7302
22.8,-0.0529,0.7784,0.6857,0.6175,0.71,0.6637,0.7987,0.7463,0.7725,0.7043,0.7553,0.7298
22.9,-0.0329,0.7857,0.6847,0.6207,0.7125,0.6666,0.7938,0.7428,0.7683,0.695,0.7579,0.7264
23,-0.0137,0.7894,0.6795,0.6232,0.7081,0.6656,0.7845,0.7339,0.7592,0.6824,0.7568,0.7196
23.1,0.0034,0.789,0.671,0.6242,0.6963,0.6602,0.771,0.7196,0.7453,0.6667,0.7517,0.7092
23.2,0.0173,0.7843,0.6599,0.6239,0.6777,0.6508,0.7542,0.7002,0.7272,0.6483,0.7425,0.6954
23.3,0.0269,0.7757,0.648,0.6224,0.6543,0.6384,0.7348,0.6768,0.7058,0.628,0.7294,0.6787
23.4,0.0323,0.764,0.6365,0.6198,0.6284,0.6241,0.7137,0.651,0.6824,0.6067,0.7131,0.6599
23.5,0.0325,0.7502,0.6253,0.6159,0.6015,0.6087,0.6916,0.6245,0.658,0.5852,0.6941,0.6397
23.6,0.0267,0.7353,0.6146,0.6115,0.5751,0.5933,0.6693,0.5981,0.6337,0.564,0.6729,0.6184
23.7,0.0149,0.7206,0.6049,0.608,0.5506,0.5793,0.6481,0.5731,0.6106,0.5436,0.6504,0.597
23.8,-0.0016,0.7071,0.5967,0.6068,0.5292,0.568,0.629,0.5506,0.5898,0.5248,0.6278,0.5763
23.9,-0.0204,0.6948,0.5908,0.6086,0.5112,0.5599,0.6129,0.5313,0.5721,0.5089,0.6062,0.5575
24,-0.0393,0.683,0.5876,0.613,0.4961,0.5545,0.6003,0.5158,0.558,0.4969,0.5867,0.5418
24.1,-0.0571,0.6712,0.5873,0.6187,0.4828,0.5507,0.5912,0.504,0.5476,0.4898,0.57,0.5299
24.2,-0.073,0.6589,0.5899,0.6244,0.4708,0.5476,0.5857,0.4958,0.5408,0.4878,0.5567,0.5223
24.3,-0.0867,0.6464,0.5949,0.6293,0.46,0.5447,0.584,0.4909,0.5375,0.4905,0.5471,0.5188
24.4,-0.0984,0.6338,0.6021,0.6332,0.4507,0.542,0.586,0.4889,0.5374,0.497,0.541,0.519
24.5,-0.108,0.6212,0.6112,0.6358,0.4434,0.5396,0.5914,0.4895,0.5404,0.5063,0.5384,0.5223
24.6,-0.116,0.6083,0.6218,0.637,0.438,0.5375,0.5994,0.4925,0.546,0.5179,0.5387,0.5283
24.7,-0.1228,0.595,0.6333,0.6371,0.4347,0.5359,0.6096,0.498,0.5538,0.5314,0.5415,0.5365
24.8,-0.1282,0.5812,0.6452,0.6364,0.433,0.5347,0.6216,0.5058,0.5637,0.5464,0.5469,0.5466
24.9,-0.1313,0.5667,0.6573,0.6354,0.4326,0.534,0.6348,0.5157,0.5752,0.5622,0.5547,0.5584
25,-0.131,0.5515,0.6691,0.634,0.4329,0.5334,0.6486,0.5273,0.588,0.578,0.5648,0.5714
25.1,-0.127,0.536,0.6804,0.6323,0.4336,0.5329,0.6621,0.5404,0.6013,0.5934,0.5768,0.5851
25.2,-0.1195,0.5214,0.6909,0.6299,0.4352,0.5325,0.6747,0.5547,0.6147,0.6082,0.5905,0.5994
25.3,-0.1089,0.5088,0.7006,0.6271,0.4382,0.5326,0.6861,0.57,0.6281,0.6227,0.6055,0.6141
25.4,-0.0954,0.4989,0.7096,0.6241,0.4432,0.5336,0.6968,0.5859,0.6413,0.6368,0.6211,0.6289
25.5,-0.0787,0.4914,0.7181,0.6213,0.4496,0.5355,0.7069,0.6016,0.6543,0.6503,0.6369,0.6436
25.6,-0.0584,0.486,0.7258,0.619,0.457,0.538,0.7166,0.6165,0.6665,0.6627,0.6522,0.6575
25.7,-0.0355,0.4821,0.7326,0.6168,0.4648,0.5408,0.7253,0.6303,0.6778,0.6735,0.6667,0.6701
25.8,-0.0114,0.4801,0.738,0.6144,0.4731,0.5438,0.733,0.6429,0.6879,0.6826,0.68,0.6813
25.9,0.0123,0.4805,0.742,0.6116,0.4822,0.5469,0.7393,0.6546,0.697,0.6902,0.692,0.6911
26,0.0346,0.4835,0.7446,0.6083,0.4921,0.5502,0.7441,0.6656,0.7048,0.6964,0.7025,0.6995
26.1,0.0561,0.4889,0.7464,0.6047,0.5027,0.5537,0.7474,0.6756,0.7115,0.7013,0.7113,0.7063
26.2,0.0774,0.4969,0.7474,0.6011,0.514,0.5575,0.749,0.6847,0.7168,0.7043,0.7185,0.7114
26.3,0.0986,0.5077,0.7478,0.5981,0.5262,0.5622,0.7493,0.6926,0.7209,0.7051,0.7238,0.7145
26.4,0.1193,0.5216,0.7476,0.5967,0.5399,0.5683,0.7483,0.6996,0.7239,0.7036,0.7272,0.7154
26.5,0.1386,0.5384,0.7463,0.5971,0.5552,0.5762,0.7463,0.7056,0.726,0.6999,0.7285,0.7142
26.6,0.156,0.5571,0.7434,0.5995,0.5713,0.5854,0.7434,0.7107,0.7271,0.6943,0.7277,0.711
26.7,0.171,0.5763,0.7386,0.6031,0.5869,0.595,0.7394,0.7147,0.727,0.687,0.7247,0.7058
26.8,0.1831,0.595,0.7315,0.6074,0.6006,0.604,0.7341,0.7173,0.7257,0.6784,0.7197,0.699
26.9,0.1922,0.6123,0.7224,0.6123,0.6118,0.612,0.7278,0.7185,0.7232,0.6689,0.7135,0.6912
27,0.1982,0.6276,0.7115,0.6178,0.6204,0.6191,0.721,0.7181,0.7196,0.6591,0.7067,0.6829
27.1,0.2013,0.6401,0.6996,0.6238,0.6265,0.6251,0.7139,0.7162,0.7151,0.6495,0.6998,0.6747
27.2,0.202,0.6491,0.687,0.6298,0.6299,0.6299,0.7064,0.7129,0.7097,0.6405,0.6932,0.6669
27.3,0.2006,0.6545,0.6742,0.635,0.6306,0.6328,0.6985,0.7083,0.7034,0.6324,0.6869,0.6597
27.4,0.1976,0.6566,0.6615,0.639,0.6286,0.6338,0.69,0.7024,0.6962,0.625,0.6812,0.6531
27.5,0.1933,0.6562,0.649,0.6416,0.6247,0.6331,0.6812,0.6957,0.6884,0.6182,0.6761,0.6472
27.6,0.1876,0.6542,0.6371,0.643,0.6197,0.6313,0.6722,0.6883,0.6803,0.6119,0.6716,0.6417
27.7,0.1808,0.6509,0.6262,0.6435,0.6145,0.629,0.6634,0.6809,0.6721,0.6058,0.6678,0.6368
27.8,0.1729,0.647,0.6169,0.6437,0.6097,0.6267,0.6552,0.6739,0.6645,0.6001,0.6648,0.6325
27.9,0.1644,0.6428,0.61,0.6437,0.6055,0.6246,0.6481,0.6679,0.658,0.5953,0.6631,0.6292
28,0.1554,0.6386,0.6058,0.6438,0.602,0.6229,0.6425,0.6634,0.6529,0.5916,0.663,0.6273
28.1,0.1461,0.6346,0.6044,0.6438,0.5987,0.6213,0.6381,0.6604,0.6493,0.5891,0.6648,0.627
28.2,0.1365,0.6305,0.6054,0.6432,0.5954,0.6193,0.6345,0.6586,0.6466,0.5876,0.6686,0.6281
28.3,0.1261,0.6263,0.6084,0.6417,0.5918,0.6167,0.6311,0.6576,0.6443,0.5867,0.6742,0.6305
28.4,0.1148,0.6221,0.6127,0.6392,0.5879,0.6135,0.6279,0.6569,0.6424,0.5865,0.6813,0.6339
28.5,0.1025,0.6184,0.6182,0.6361,0.5841,0.6101,0.625,0.6564,0.6407,0.5869,0.6893,0.6381
28.6,0.0897,0.6154,0.6247,0.6331,0.581,0.607,0.6231,0.6562,0.6396,0.5879,0.6976,0.6428
28.7,0.0769,0.6132,0.6318,0.6308,0.5788,0.6048,0.6223,0.6559,0.6391,0.589,0.7058,0.6474
28.8,0.0645,0.6117,0.6391,0.6295,0.5774,0.6034,0.6222,0.6553,0.6388,0.5897,0.7133,0.6515
28.9,0.0524,0.6105,0.646,0.6292,0.5765,0.6028,0.6227,0.6538,0.6383,0.5894,0.7199,0.6547
29,0.0407,0.6099,0.6524,0.6297,0.5761,0.6029,0.6234,0.6514,0.6374,0.5881,0.7255,0.6568
29.1,0.0295,0.6101,0.658,0.6311,0.5766,0.6039,0.6244,0.6479,0.6362,0.5861,0.7298,0.6579
29.2,0.0192,0.6115,0.663,0.6336,0.5783,0.6059,0.6261,0.6438,0.6349,0.5837,0.7327,0.6582
29.3,0.011,0.6146,0.6675,0.6376,0.5815,0.6096,0.6287,0.6395,0.6341,0.5814,0.7344,0.6579
29.4,0.0059,0.6197,0.6716,0.6439,0.5863,0.6151,0.6324,0.6351,0.6338,0.5794,0.7349,0.6572
29.5,0.0045,0.6271,0.6758,0.6527,0.5926,0.6226,0.6374,0.6307,0.6341,0.578,0.7349,0.6564
29.6,0.0067,0.6367,0.6803,0.6637,0.6,0.6319,0.6436,0.6262,0.6349,0.5776,0.7345,0.6561
29.7,0.0114,0.6478,0.685,0.6763,0.6081,0.6422,0.6506,0.6213,0.6359,0.5785,0.734,0.6562
29.8,0.0174,0.6595,0.6893,0.6893,0.6157,0.6525,0.6577,0.6156,0.6367,0.5807,0.733,0.6569
29.9,0.024,0.6709,0.6924,0.7018,0.6216,0.6617,0.6641,0.6086,0.6364,0.5842,0.7311,0.6577
