Time,KFC - Bridal Dress Shopping 15 TVC,KFC - Bridal Dress Shopping 15 TVC,KFC - Bridal Dress Shopping 15 TVC,KFC - Bridal Dress Shopping 15 TVC,KFC - Bridal Dress Shopping 15 TVC,KFC - Bridal Dress Shopping 15 TVC,KFC - Bridal Dress Shopping 15 TVC,KFC - Bridal Dress Shopping 15 TVC,KFC - Bridal Dress Shopping 15 TVC,KFC - Bridal Dress Shopping 15 TVC,KFC - Bridal Dress Shopping 15 TVC,KFC - Bridal Dress Shopping 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
9.3,-0.0313,0.447,0.6762,0.4783,0.318,0.3981,0.6409,0.511,0.5759,0.5334,0.5383,0.5359
9.4,-0.0277,0.4497,0.6796,0.4843,0.3153,0.3998,0.649,0.5234,0.5862,0.5401,0.5602,0.5501
9.5,-0.0214,0.4521,0.6842,0.4893,0.3123,0.4008,0.655,0.5376,0.5963,0.5476,0.5817,0.5647
9.6,-0.0113,0.4537,0.6897,0.4926,0.3088,0.4007,0.658,0.5522,0.6051,0.5555,0.6022,0.5788
9.7,0.0034,0.4541,0.6959,0.4946,0.3051,0.3998,0.6571,0.5662,0.6116,0.5631,0.6209,0.592
9.8,0.0227,0.4533,0.7022,0.4955,0.3017,0.3986,0.6521,0.5788,0.6154,0.5703,0.6374,0.6038
9.9,0.0453,0.4511,0.7081,0.4953,0.299,0.3971,0.6432,0.5898,0.6165,0.577,0.6514,0.6142
10,0.07,0.4473,0.7133,0.4936,0.2972,0.3954,0.6314,0.5991,0.6152,0.5833,0.663,0.6231
10.1,0.0957,0.4418,0.7173,0.4902,0.2962,0.3932,0.6177,0.6067,0.6122,0.5891,0.6722,0.6306
10.2,0.1222,0.4346,0.7198,0.4854,0.296,0.3907,0.6035,0.612,0.6078,0.5942,0.6791,0.6366
10.3,0.149,0.426,0.7205,0.4797,0.2969,0.3883,0.5897,0.6147,0.6022,0.5984,0.6834,0.6409
10.4,0.1757,0.4167,0.719,0.4732,0.2991,0.3862,0.5769,0.6144,0.5956,0.6017,0.6852,0.6435
10.5,0.2016,0.4071,0.7152,0.4657,0.3026,0.3841,0.5651,0.611,0.5881,0.6047,0.6844,0.6445
10.6,0.2256,0.3974,0.7088,0.4571,0.3069,0.382,0.5545,0.6048,0.5797,0.6077,0.6815,0.6446
10.7,0.2467,0.3876,0.6998,0.4475,0.3113,0.3794,0.5451,0.5963,0.5707,0.6115,0.6772,0.6444
10.8,0.2641,0.3777,0.6884,0.4375,0.3151,0.3763,0.5368,0.5859,0.5613,0.6166,0.6729,0.6447
10.9,0.2766,0.3681,0.6749,0.4272,0.3181,0.3726,0.5294,0.5741,0.5517,0.6234,0.6694,0.6464
11,0.2834,0.3592,0.6601,0.417,0.3205,0.3688,0.5231,0.5613,0.5422,0.6328,0.6676,0.6502
11.1,0.2836,0.3521,0.6452,0.408,0.3235,0.3657,0.5184,0.5485,0.5334,0.6451,0.6679,0.6565
11.2,0.2775,0.3475,0.6316,0.401,0.328,0.3645,0.5159,0.5364,0.5261,0.6606,0.671,0.6658
11.3,0.2659,0.3459,0.6207,0.3974,0.3346,0.366,0.516,0.5258,0.5209,0.6789,0.6771,0.678
11.4,0.2503,0.3471,0.6132,0.3977,0.3429,0.3703,0.5187,0.517,0.5179,0.6996,0.6862,0.6929
11.5,0.2315,0.3509,0.6093,0.4017,0.3521,0.3769,0.5234,0.5098,0.5166,0.7213,0.698,0.7097
11.6,0.2097,0.3568,0.609,0.4088,0.362,0.3854,0.5297,0.5033,0.5165,0.7431,0.712,0.7275
11.7,0.1848,0.3648,0.6119,0.4186,0.3727,0.3957,0.5372,0.4973,0.5172,0.7639,0.7274,0.7456
11.8,0.1567,0.3749,0.6178,0.4308,0.3849,0.4079,0.5454,0.4916,0.5185,0.7831,0.7438,0.7635
11.9,0.1263,0.3869,0.6263,0.445,0.3988,0.4219,0.5541,0.4863,0.5202,0.8003,0.7607,0.7805
12,0.0952,0.4003,0.637,0.4607,0.4143,0.4375,0.5634,0.4818,0.5226,0.8153,0.7778,0.7966
12.1,0.0656,0.4148,0.6496,0.4774,0.4309,0.4542,0.5735,0.4782,0.5259,0.8283,0.7948,0.8116
12.2,0.039,0.4296,0.6636,0.4947,0.4486,0.4716,0.5842,0.4755,0.5299,0.8393,0.8118,0.8255
12.3,0.0161,0.4445,0.6788,0.5122,0.4671,0.4896,0.5951,0.4735,0.5343,0.8483,0.8282,0.8382
12.4,-0.0033,0.4592,0.6944,0.5293,0.4868,0.508,0.6053,0.4723,0.5388,0.8556,0.8439,0.8497
12.5,-0.0196,0.4736,0.7103,0.5455,0.5076,0.5265,0.6144,0.4725,0.5435,0.8618,0.8583,0.86
12.6,-0.033,0.4872,0.7261,0.5601,0.5294,0.5448,0.6221,0.4745,0.5483,0.8673,0.8714,0.8694
12.7,-0.0437,0.4993,0.7416,0.5725,0.552,0.5622,0.6282,0.4782,0.5532,0.8724,0.8832,0.8778
12.8,-0.0517,0.5094,0.7563,0.5823,0.5746,0.5785,0.6326,0.4828,0.5577,0.8767,0.8933,0.885
12.9,-0.0577,0.5174,0.7698,0.5894,0.5971,0.5933,0.6348,0.4877,0.5613,0.8797,0.9016,0.8907
13,-0.0633,0.523,0.7815,0.5937,0.6193,0.6065,0.635,0.4928,0.5639,0.8812,0.9077,0.8944
13.1,-0.0704,0.5264,0.7914,0.5949,0.641,0.618,0.6336,0.4983,0.5659,0.8812,0.9112,0.8962
13.2,-0.0808,0.5281,0.7994,0.5927,0.6624,0.6275,0.631,0.5041,0.5676,0.8799,0.9122,0.8961
13.3,-0.0954,0.5289,0.8055,0.5869,0.683,0.635,0.6278,0.51,0.5689,0.8778,0.9109,0.8944
13.4,-0.1143,0.5295,0.8094,0.5778,0.7028,0.6403,0.6239,0.5153,0.5696,0.875,0.9078,0.8914
13.5,-0.1368,0.5301,0.8112,0.5661,0.7217,0.6439,0.6196,0.5203,0.5699,0.8717,0.9032,0.8875
13.6,-0.1619,0.5311,0.8112,0.5522,0.7396,0.6459,0.615,0.5255,0.5702,0.8681,0.8972,0.8826
13.7,-0.1889,0.5326,0.81,0.5364,0.7566,0.6465,0.6105,0.5319,0.5712,0.8643,0.8895,0.8769
13.8,-0.217,0.5348,0.8079,0.5185,0.7723,0.6454,0.6062,0.5401,0.5732,0.8602,0.8805,0.8704
13.9,-0.2453,0.5377,0.8053,0.4985,0.7861,0.6423,0.6021,0.5504,0.5763,0.8561,0.8707,0.8634
14,-0.2724,0.5409,0.8022,0.4763,0.7971,0.6367,0.5984,0.5624,0.5804,0.8524,0.8613,0.8568
14.1,-0.2973,0.5436,0.7991,0.4519,0.8047,0.6283,0.5957,0.5761,0.5859,0.8496,0.8535,0.8515
14.2,-0.3191,0.5454,0.797,0.4259,0.809,0.6175,0.5952,0.5915,0.5933,0.8483,0.8485,0.8484
14.3,-0.3371,0.5464,0.7968,0.3996,0.8106,0.6051,0.5975,0.6085,0.603,0.8484,0.8471,0.8478
14.4,-0.3502,0.5475,0.799,0.3746,0.8098,0.5922,0.6032,0.6271,0.6152,0.8497,0.849,0.8494
14.5,-0.3571,0.5496,0.8031,0.353,0.8063,0.5797,0.6128,0.6469,0.6298,0.8518,0.8535,0.8526
14.6,-0.3563,0.5528,0.8084,0.3363,0.7996,0.5679,0.6265,0.6676,0.647,0.8543,0.8596,0.8569
14.7,-0.3473,0.5566,0.8145,0.3254,0.7887,0.557,0.6442,0.6887,0.6664,0.8569,0.8669,0.8619
14.8,-0.3301,0.5602,0.8209,0.3205,0.7733,0.5469,0.6653,0.7094,0.6873,0.8595,0.875,0.8672
14.9,-0.3055,0.5634,0.8275,0.322,0.7541,0.5381,0.689,0.7288,0.7089,0.8619,0.8836,0.8727
