Time,Birds Eye - An Eye For Good 30 TVC,Birds Eye - An Eye For Good 30 TVC,Birds Eye - An Eye For Good 30 TVC,Birds Eye - An Eye For Good 30 TVC,Birds Eye - An Eye For Good 30 TVC,Birds Eye - An Eye For Good 30 TVC,Birds Eye - An Eye For Good 30 TVC,Birds Eye - An Eye For Good 30 TVC,Birds Eye - An Eye For Good 30 TVC,Birds Eye - An Eye For Good 30 TVC,Birds Eye - An Eye For Good 30 TVC,Birds Eye - An Eye For Good 30 TVC
21.1,-0.009,0.2652,0.47,0.4318,0.2192,0.3255,0.679,0.5809,0.63,0.5357,0.52,0.5278
21.2,-0.04,0.2517,0.4822,0.4203,0.232,0.3261,0.6891,0.5751,0.6321,0.5474,0.5141,0.5307
21.3,-0.071,0.2409,0.4964,0.4143,0.2506,0.3325,0.7012,0.5704,0.6358,0.5619,0.5107,0.5363
21.4,-0.1009,0.2329,0.5117,0.4146,0.2747,0.3446,0.7156,0.5668,0.6412,0.5786,0.5095,0.5441
21.5,-0.1283,0.2275,0.5271,0.4211,0.3028,0.362,0.7321,0.5641,0.6481,0.5969,0.5105,0.5537
21.6,-0.152,0.2249,0.5418,0.4335,0.3334,0.3834,0.7505,0.5626,0.6566,0.6159,0.5134,0.5646
21.7,-0.1713,0.2252,0.5559,0.4511,0.3645,0.4078,0.7703,0.5625,0.6664,0.6345,0.5177,0.5761
21.8,-0.1865,0.2282,0.5694,0.4733,0.395,0.4342,0.7906,0.564,0.6773,0.6521,0.5229,0.5875
21.9,-0.1988,0.2333,0.582,0.4988,0.4242,0.4615,0.8105,0.5671,0.6888,0.6684,0.5288,0.5986
22,-0.2081,0.2395,0.5925,0.5259,0.4512,0.4886,0.829,0.5714,0.7002,0.6832,0.5348,0.609
22.1,-0.213,0.2459,0.5998,0.5529,0.4748,0.5139,0.8454,0.5766,0.711,0.6962,0.5406,0.6184
22.2,-0.2117,0.252,0.6032,0.5786,0.4936,0.5361,0.8594,0.5821,0.7207,0.7073,0.5461,0.6267
22.3,-0.2034,0.2578,0.6029,0.6023,0.5072,0.5548,0.8707,0.5879,0.7293,0.7166,0.551,0.6338
22.4,-0.1884,0.2638,0.5993,0.6239,0.516,0.5699,0.8792,0.5942,0.7367,0.7239,0.5554,0.6397
22.5,-0.1683,0.2705,0.5929,0.6432,0.521,0.5821,0.8844,0.6009,0.7426,0.7288,0.559,0.6439
22.6,-0.1449,0.2781,0.5838,0.6595,0.5231,0.5913,0.8854,0.6077,0.7465,0.7304,0.5612,0.6458
22.7,-0.1189,0.2862,0.5721,0.6722,0.5229,0.5975,0.8814,0.6146,0.748,0.7282,0.5615,0.6449
22.8,-0.0911,0.294,0.5581,0.6803,0.5206,0.6005,0.872,0.6217,0.7468,0.7218,0.5593,0.6406
22.9,-0.0622,0.3008,0.5423,0.6837,0.5164,0.6,0.8573,0.6289,0.7431,0.7112,0.5545,0.6328
23,-0.0335,0.3062,0.525,0.6822,0.5108,0.5965,0.8379,0.636,0.7369,0.6969,0.5469,0.6219
23.1,-0.0068,0.3108,0.5064,0.6765,0.5045,0.5905,0.8148,0.6427,0.7288,0.6794,0.5368,0.6081
23.2,0.0159,0.3152,0.4869,0.6672,0.4985,0.5828,0.7892,0.649,0.7191,0.6594,0.5247,0.592
23.3,0.0333,0.3197,0.4668,0.6549,0.4938,0.5744,0.7622,0.6548,0.7085,0.6375,0.511,0.5743
23.4,0.0443,0.3238,0.4464,0.6398,0.4906,0.5652,0.7349,0.6601,0.6975,0.6145,0.4963,0.5554
23.5,0.0483,0.3268,0.426,0.6217,0.4887,0.5552,0.7076,0.6649,0.6862,0.5908,0.4807,0.5358
23.6,0.0451,0.3278,0.4056,0.6006,0.4875,0.544,0.6811,0.6688,0.6749,0.5669,0.4642,0.5156
23.7,0.035,0.3271,0.3855,0.5763,0.4867,0.5315,0.6558,0.6718,0.6638,0.5433,0.4474,0.4953
23.8,0.0182,0.3252,0.366,0.5493,0.4862,0.5178,0.6322,0.6746,0.6534,0.5205,0.4309,0.4757
23.9,-0.0055,0.323,0.3474,0.5199,0.4865,0.5032,0.6105,0.6777,0.6441,0.4992,0.4159,0.4576
24,-0.036,0.3213,0.33,0.4885,0.4879,0.4882,0.5911,0.6811,0.6361,0.4801,0.4032,0.4417
24.1,-0.073,0.3205,0.3142,0.4553,0.4903,0.4728,0.574,0.6845,0.6293,0.4637,0.3934,0.4285
24.2,-0.116,0.321,0.3,0.4212,0.4931,0.4571,0.5596,0.6873,0.6234,0.4499,0.3866,0.4183
24.3,-0.1631,0.323,0.2876,0.388,0.495,0.4415,0.548,0.6888,0.6184,0.4387,0.3828,0.4107
24.4,-0.2116,0.3272,0.2776,0.3573,0.4957,0.4265,0.5395,0.6889,0.6142,0.4297,0.3822,0.406
24.5,-0.2586,0.334,0.2708,0.3304,0.4954,0.4129,0.5347,0.6881,0.6114,0.4229,0.3852,0.404
24.6,-0.3016,0.3437,0.2681,0.3083,0.4948,0.4015,0.5334,0.6864,0.6099,0.4179,0.392,0.405
24.7,-0.3393,0.3564,0.2701,0.2912,0.4942,0.3927,0.5356,0.6841,0.6098,0.4145,0.4024,0.4084
24.8,-0.3701,0.3713,0.2768,0.2794,0.4926,0.386,0.5408,0.681,0.6109,0.4121,0.4157,0.4139
24.9,-0.3927,0.3877,0.288,0.2733,0.4883,0.3808,0.5485,0.6773,0.6129,0.4106,0.4314,0.421
25,-0.4061,0.4045,0.3034,0.2727,0.4799,0.3763,0.5581,0.6731,0.6156,0.4096,0.4489,0.4293
25.1,-0.41,0.421,0.3223,0.277,0.4678,0.3724,0.569,0.6686,0.6188,0.4093,0.4676,0.4384
25.2,-0.4049,0.437,0.3434,0.2851,0.4534,0.3692,0.5805,0.6636,0.622,0.4094,0.4867,0.448
25.3,-0.3919,0.4523,0.3653,0.2961,0.4384,0.3672,0.5916,0.6577,0.6246,0.4099,0.5055,0.4577
25.4,-0.3716,0.4667,0.3867,0.3095,0.4236,0.3665,0.602,0.6507,0.6263,0.4108,0.5237,0.4673
25.5,-0.3444,0.4798,0.4069,0.3255,0.4093,0.3674,0.6118,0.6428,0.6273,0.4123,0.5411,0.4767
25.6,-0.3116,0.4915,0.4259,0.3439,0.3964,0.3702,0.6214,0.6343,0.6279,0.4147,0.5577,0.4862
25.7,-0.2756,0.5017,0.4434,0.3645,0.3864,0.3755,0.6315,0.6258,0.6287,0.4182,0.5728,0.4955
25.8,-0.2387,0.5103,0.4589,0.3869,0.3807,0.3838,0.6422,0.6173,0.6298,0.4223,0.5854,0.5039
25.9,-0.2024,0.5169,0.4722,0.4102,0.3795,0.3948,0.6533,0.609,0.6312,0.4263,0.5946,0.5104
26,-0.1674,0.5207,0.4831,0.4335,0.3819,0.4077,0.6646,0.6007,0.6327,0.4299,0.6,0.515
26.1,-0.134,0.5214,0.492,0.4557,0.387,0.4214,0.6758,0.5928,0.6343,0.4335,0.602,0.5177
26.2,-0.1032,0.5187,0.4985,0.476,0.3942,0.4351,0.6864,0.5856,0.636,0.4369,0.6004,0.5187
26.3,-0.0765,0.5134,0.5025,0.494,0.4036,0.4488,0.6961,0.5793,0.6377,0.4399,0.5953,0.5176
26.4,-0.0544,0.5066,0.5036,0.5099,0.4153,0.4626,0.7039,0.5739,0.6389,0.442,0.5865,0.5143
26.5,-0.0366,0.4994,0.5025,0.5236,0.4286,0.4761,0.709,0.569,0.639,0.4429,0.5744,0.5086
26.6,-0.0231,0.4919,0.4999,0.535,0.4424,0.4887,0.711,0.5643,0.6376,0.4426,0.56,0.5013
26.7,-0.0141,0.484,0.4968,0.5435,0.4553,0.4994,0.7098,0.5597,0.6347,0.4415,0.5445,0.493
26.8,-0.0092,0.4756,0.4942,0.5486,0.466,0.5073,0.7056,0.5553,0.6304,0.4398,0.5289,0.4844
26.9,-0.0075,0.4668,0.4928,0.5503,0.474,0.5122,0.6985,0.5511,0.6248,0.438,0.514,0.476
27,-0.0076,0.4587,0.4931,0.5494,0.479,0.5142,0.6885,0.5472,0.6178,0.4367,0.5001,0.4684
27.1,-0.0073,0.4522,0.4952,0.5465,0.4817,0.5141,0.6755,0.5437,0.6096,0.4367,0.4877,0.4622
27.2,-0.0054,0.448,0.4994,0.542,0.4824,0.5122,0.6598,0.5407,0.6003,0.4385,0.477,0.4577
27.3,-0.0013,0.4463,0.5063,0.5357,0.4816,0.5087,0.6412,0.5379,0.5896,0.4421,0.4678,0.4549
27.4,0.0056,0.4466,0.5166,0.5271,0.4796,0.5034,0.6197,0.5348,0.5773,0.4477,0.4604,0.454
27.5,0.0168,0.4489,0.5304,0.5162,0.4765,0.4964,0.5954,0.5309,0.5632,0.4552,0.4554,0.4553
27.6,0.034,0.4536,0.5473,0.5035,0.4728,0.4882,0.5682,0.5264,0.5473,0.4646,0.4532,0.4589
27.7,0.0585,0.4611,0.5666,0.4898,0.4694,0.4796,0.5385,0.5217,0.5301,0.4758,0.4541,0.465
27.8,0.09,0.4718,0.5872,0.4751,0.4673,0.4712,0.5074,0.5178,0.5126,0.4888,0.4585,0.4737
27.9,0.1267,0.4853,0.6085,0.4594,0.4674,0.4634,0.4766,0.5151,0.4958,0.5036,0.4664,0.485
28,0.1663,0.5009,0.6291,0.4423,0.4696,0.4559,0.4476,0.5136,0.4806,0.5201,0.4775,0.4988
28.1,0.2067,0.5174,0.6477,0.4234,0.4733,0.4483,0.4218,0.5127,0.4673,0.5378,0.4913,0.5145
28.2,0.2462,0.5337,0.6626,0.4023,0.4778,0.44,0.3997,0.5115,0.4556,0.5564,0.5068,0.5316
28.3,0.2832,0.549,0.6729,0.3784,0.4826,0.4305,0.3812,0.5096,0.4454,0.5749,0.5231,0.549
28.4,0.316,0.5629,0.6782,0.3522,0.4879,0.4201,0.366,0.5068,0.4364,0.5928,0.5394,0.5661
28.5,0.3437,0.5758,0.6795,0.3256,0.4945,0.41,0.3543,0.5035,0.4289,0.6095,0.5554,0.5825
28.6,0.3658,0.5884,0.678,0.3017,0.5035,0.4026,0.3465,0.5003,0.4234,0.6253,0.5714,0.5983
28.7,0.3822,0.6012,0.6745,0.2841,0.5158,0.3999,0.3432,0.4982,0.4207,0.6401,0.5873,0.6137
28.8,0.3929,0.6144,0.6693,0.2751,0.5315,0.4033,0.3443,0.4979,0.4211,0.6538,0.603,0.6284
28.9,0.3981,0.6277,0.6627,0.2753,0.5503,0.4128,0.3496,0.4994,0.4245,0.6655,0.6174,0.6414
29,0.3976,0.6409,0.6547,0.2839,0.5714,0.4277,0.3583,0.5028,0.4305,0.6742,0.6296,0.6519
29.1,0.3913,0.6534,0.6462,0.2997,0.5939,0.4468,0.3693,0.5078,0.4385,0.6792,0.6392,0.6592
29.2,0.3792,0.6648,0.6382,0.3213,0.6169,0.4691,0.382,0.5146,0.4483,0.6806,0.6465,0.6635
29.3,0.3627,0.6745,0.6317,0.3477,0.6394,0.4936,0.3962,0.5235,0.4598,0.6792,0.6524,0.6658
29.4,0.343,0.6827,0.6275,0.3775,0.6607,0.5191,0.4118,0.5346,0.4732,0.6758,0.6578,0.6668
29.5,0.3216,0.6899,0.6255,0.4096,0.6803,0.545,0.4285,0.5475,0.488,0.6711,0.6633,0.6672
29.6,0.2986,0.697,0.6257,0.4428,0.6978,0.5703,0.446,0.5617,0.5039,0.6655,0.669,0.6672
29.7,0.2742,0.7046,0.6283,0.4763,0.7129,0.5946,0.4637,0.5763,0.52,0.6595,0.6751,0.6673
29.8,0.2483,0.7129,0.6337,0.5096,0.7252,0.6174,0.4814,0.5908,0.5361,0.6539,0.6823,0.6681
29.9,0.221,0.7214,0.6425,0.5419,0.7348,0.6383,0.4995,0.6051,0.5523,0.6496,0.6911,0.6703
