Time,Codral - Soldier On 15 TVC,Codral - Soldier On 15 TVC,Codral - Soldier On 15 TVC,Codral - Soldier On 15 TVC,Codral - Soldier On 15 TVC,Codral - Soldier On 15 TVC,Codral - Soldier On 15 TVC,Codral - Soldier On 15 TVC,Codral - Soldier On 15 TVC,Codral - Soldier On 15 TVC,Codral - Soldier On 15 TVC,Codral - Soldier On 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
11.7,-0.0999,0.4413,0.4476,0.2894,0.5333,0.4113,0.2503,0.3523,0.3013,0.3943,0.4851,0.4397
11.8,-0.0874,0.4391,0.4321,0.2713,0.5266,0.3989,0.2181,0.349,0.2835,0.387,0.4714,0.4292
11.9,-0.0723,0.4386,0.4156,0.2575,0.5192,0.3884,0.1897,0.3472,0.2684,0.3813,0.4571,0.4192
12,-0.0557,0.4399,0.3991,0.2491,0.511,0.38,0.1665,0.3476,0.257,0.3777,0.4428,0.4102
12.1,-0.0389,0.4424,0.3845,0.2463,0.5024,0.3743,0.1496,0.3508,0.2502,0.3766,0.4288,0.4027
12.2,-0.0224,0.4458,0.3728,0.2496,0.4944,0.372,0.1398,0.3572,0.2485,0.3781,0.416,0.397
12.3,-0.005,0.4496,0.3647,0.2591,0.4879,0.3735,0.1376,0.3669,0.2523,0.3826,0.4047,0.3937
12.4,0.0137,0.4541,0.3604,0.2746,0.4836,0.3791,0.143,0.3792,0.2611,0.3903,0.3955,0.3929
12.5,0.0333,0.4594,0.3599,0.2959,0.4822,0.389,0.1555,0.3932,0.2743,0.4011,0.3884,0.3948
12.6,0.052,0.4655,0.363,0.3216,0.4838,0.4027,0.1745,0.4076,0.291,0.4153,0.3838,0.3995
12.7,0.0673,0.4716,0.37,0.3504,0.4881,0.4192,0.1997,0.4215,0.3106,0.4326,0.3819,0.4072
12.8,0.0777,0.4773,0.3808,0.3806,0.4945,0.4376,0.2309,0.435,0.333,0.4526,0.3826,0.4176
12.9,0.0842,0.4828,0.3951,0.4108,0.5026,0.4567,0.2681,0.4481,0.3581,0.4745,0.3853,0.4299
13,0.0889,0.4884,0.4119,0.4399,0.5121,0.476,0.311,0.4609,0.3859,0.4972,0.3891,0.4431
13.1,0.0938,0.4944,0.4298,0.4664,0.5232,0.4948,0.3582,0.4724,0.4153,0.5191,0.3936,0.4563
13.2,0.0996,0.5013,0.4476,0.4898,0.5362,0.513,0.4077,0.4815,0.4446,0.5392,0.3982,0.4687
13.3,0.1066,0.5094,0.4648,0.51,0.5513,0.5306,0.4577,0.4878,0.4727,0.5567,0.4034,0.48
13.4,0.1154,0.5188,0.4814,0.5276,0.5678,0.5477,0.507,0.4915,0.4993,0.5716,0.4094,0.4905
13.5,0.1268,0.5297,0.4966,0.543,0.5853,0.5641,0.5553,0.4936,0.5244,0.5837,0.416,0.4998
13.6,0.1403,0.542,0.5093,0.5565,0.6026,0.5796,0.6024,0.4945,0.5485,0.5932,0.4226,0.5079
13.7,0.1551,0.5547,0.5186,0.5676,0.6185,0.5931,0.6475,0.4946,0.5711,0.6004,0.4286,0.5145
13.8,0.1699,0.5664,0.5246,0.5758,0.6315,0.6036,0.6897,0.494,0.5918,0.6056,0.4344,0.52
13.9,0.1845,0.5757,0.5281,0.5807,0.6403,0.6105,0.7281,0.4931,0.6106,0.6092,0.4404,0.5248
14,0.1989,0.5816,0.5301,0.5822,0.644,0.6131,0.7627,0.4928,0.6278,0.6113,0.4474,0.5294
14.1,0.2125,0.5842,0.5311,0.58,0.6426,0.6113,0.7934,0.4942,0.6438,0.612,0.4552,0.5336
14.2,0.225,0.5838,0.5314,0.5738,0.6365,0.6051,0.8198,0.4976,0.6587,0.6107,0.4637,0.5372
14.3,0.2363,0.581,0.5316,0.5637,0.6259,0.5948,0.8409,0.5033,0.6721,0.6068,0.4725,0.5397
14.4,0.2459,0.5759,0.5323,0.5496,0.6112,0.5804,0.8559,0.5108,0.6833,0.6,0.4812,0.5406
14.5,0.2527,0.5683,0.5339,0.5313,0.5923,0.5618,0.8649,0.5196,0.6923,0.5908,0.4898,0.5403
14.6,0.2558,0.5584,0.5369,0.5093,0.5701,0.5397,0.8691,0.5296,0.6994,0.5803,0.4985,0.5394
14.7,0.2548,0.5471,0.5422,0.4848,0.5458,0.5153,0.87,0.5405,0.7053,0.5699,0.5083,0.5391
14.8,0.251,0.5353,0.5497,0.4587,0.5205,0.4896,0.8683,0.5516,0.71,0.5612,0.5198,0.5405
14.9,0.247,0.5233,0.5592,0.4317,0.4947,0.4632,0.8634,0.5619,0.7127,0.5549,0.5331,0.544
