Time,Weetbix - Aussie Kids are Weetbix Kids 15 TVC,Weetbix - Aussie Kids are Weetbix Kids 15 TVC,Weetbix - Aussie Kids are Weetbix Kids 15 TVC,Weetbix - Aussie Kids are Weetbix Kids 15 TVC,Weetbix - Aussie Kids are Weetbix Kids 15 TVC,Weetbix - Aussie Kids are Weetbix Kids 15 TVC,Weetbix - Aussie Kids are Weetbix Kids 15 TVC,Weetbix - Aussie Kids are Weetbix Kids 15 TVC,Weetbix - Aussie Kids are Weetbix Kids 15 TVC,Weetbix - Aussie Kids are Weetbix Kids 15 TVC,Weetbix - Aussie Kids are Weetbix Kids 15 TVC,Weetbix - Aussie Kids are Weetbix Kids 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
11,0.5669,0.5954,0.4878,0.7796,0.5296,0.6546,0.5712,0.2984,0.4348,0.5038,0.502,0.5029
11.1,0.5666,0.5926,0.4749,0.7761,0.5069,0.6415,0.5848,0.2956,0.4402,0.5027,0.4928,0.4978
11.2,0.5558,0.5927,0.4612,0.7732,0.486,0.6296,0.6017,0.2949,0.4483,0.5017,0.4841,0.4929
11.3,0.5371,0.5951,0.4475,0.7706,0.4666,0.6186,0.6222,0.2972,0.4597,0.5014,0.4768,0.4891
11.4,0.5141,0.5991,0.4347,0.7682,0.4485,0.6084,0.6461,0.3036,0.4748,0.5026,0.4718,0.4872
11.5,0.4912,0.6033,0.4229,0.766,0.4314,0.5987,0.6727,0.3143,0.4935,0.5058,0.4692,0.4875
11.6,0.4723,0.6057,0.4118,0.7633,0.4151,0.5892,0.7004,0.3288,0.5146,0.5109,0.4687,0.4898
11.7,0.4599,0.6047,0.4011,0.7593,0.3992,0.5793,0.7282,0.3456,0.5369,0.5174,0.4699,0.4936
11.8,0.4554,0.5996,0.3905,0.7542,0.3842,0.5692,0.7555,0.3637,0.5596,0.5248,0.4723,0.4985
11.9,0.4602,0.5909,0.3803,0.7486,0.3707,0.5597,0.782,0.3823,0.5822,0.5329,0.4753,0.5041
12,0.4754,0.5794,0.3708,0.743,0.3587,0.5509,0.8078,0.401,0.6044,0.542,0.4785,0.5103
12.1,0.5003,0.5658,0.3619,0.7373,0.3479,0.5426,0.8322,0.4191,0.6256,0.5519,0.4819,0.5169
12.2,0.5327,0.5512,0.3538,0.7314,0.3378,0.5346,0.8543,0.4363,0.6453,0.5621,0.4852,0.5236
12.3,0.5698,0.5369,0.3471,0.7263,0.329,0.5277,0.8732,0.4526,0.6629,0.5722,0.4884,0.5303
12.4,0.6091,0.5242,0.3428,0.7226,0.3225,0.5225,0.8888,0.4679,0.6783,0.582,0.4918,0.5369
12.5,0.6491,0.5137,0.3417,0.7206,0.3185,0.5195,0.901,0.4819,0.6915,0.5917,0.4958,0.5438
12.6,0.6893,0.5051,0.3438,0.7198,0.3164,0.5181,0.9105,0.4941,0.7023,0.6019,0.5007,0.5513
12.7,0.7297,0.4984,0.3488,0.72,0.3155,0.5177,0.9177,0.504,0.7108,0.6131,0.5066,0.5599
12.8,0.7697,0.494,0.3556,0.7214,0.316,0.5187,0.9231,0.5114,0.7172,0.6252,0.5132,0.5692
12.9,0.8082,0.4926,0.3633,0.7248,0.3184,0.5216,0.9269,0.5167,0.7218,0.6371,0.5202,0.5786
13,0.8443,0.4942,0.3718,0.7303,0.3234,0.5269,0.9292,0.5204,0.7248,0.6477,0.5269,0.5873
13.1,0.8775,0.4981,0.381,0.737,0.3308,0.5339,0.93,0.5226,0.7263,0.6567,0.5331,0.5949
13.2,0.9071,0.5024,0.3914,0.7438,0.3396,0.5417,0.9291,0.5232,0.7261,0.6642,0.5391,0.6017
13.3,0.9325,0.5058,0.4029,0.7498,0.3487,0.5493,0.9262,0.5223,0.7242,0.6708,0.5455,0.6081
13.4,0.9525,0.5078,0.4145,0.7554,0.3583,0.5568,0.9212,0.5201,0.7206,0.6768,0.5525,0.6147
13.5,0.9654,0.509,0.4241,0.7611,0.3689,0.565,0.914,0.5164,0.7152,0.6821,0.5601,0.6211
13.6,0.9696,0.5098,0.4293,0.7671,0.3809,0.574,0.9044,0.5108,0.7076,0.6858,0.5673,0.6266
13.7,0.9634,0.5101,0.4286,0.7731,0.3937,0.5834,0.8915,0.5019,0.6967,0.6874,0.5733,0.6303
13.8,0.9459,0.5099,0.4215,0.7785,0.4066,0.5926,0.8739,0.4886,0.6813,0.6862,0.5779,0.6321
13.9,0.9166,0.5091,0.4082,0.7829,0.4192,0.601,0.8503,0.4702,0.6602,0.6825,0.5816,0.632
14,0.8762,0.5086,0.3897,0.7859,0.4311,0.6085,0.8207,0.4467,0.6337,0.6777,0.585,0.6313
14.1,0.827,0.5086,0.3673,0.7874,0.4417,0.6146,0.7868,0.4197,0.6033,0.6736,0.5887,0.6312
14.2,0.7719,0.5088,0.3424,0.7866,0.45,0.6183,0.7504,0.3911,0.5708,0.6714,0.5929,0.6321
14.3,0.7131,0.508,0.3164,0.7821,0.455,0.6186,0.7131,0.3628,0.538,0.6713,0.5968,0.6341
14.4,0.6506,0.5055,0.2911,0.773,0.4571,0.6151,0.6764,0.3372,0.5068,0.6732,0.5998,0.6365
14.5,0.5836,0.5017,0.2679,0.7594,0.4579,0.6087,0.642,0.3164,0.4792,0.6765,0.6008,0.6387
14.6,0.5125,0.498,0.2472,0.7421,0.4598,0.6009,0.6111,0.3014,0.4563,0.6805,0.5995,0.64
14.7,0.4403,0.4952,0.2286,0.7223,0.4641,0.5932,0.5844,0.292,0.4382,0.6844,0.5959,0.6401
14.8,0.371,0.4932,0.2115,0.701,0.4709,0.586,0.5613,0.2872,0.4243,0.6874,0.59,0.6387
14.9,0.3066,0.4918,0.1956,0.6785,0.4794,0.5789,0.5409,0.286,0.4135,0.6887,0.5816,0.6352
