Time,ANZ3674 - ATM and Ninja Client TVC,ANZ3674 - ATM and Ninja Client TVC,ANZ3674 - ATM and Ninja Client TVC,ANZ3674 - ATM and Ninja Client TVC,ANZ3674 - ATM and Ninja Client TVC,ANZ3674 - ATM and Ninja Client TVC,ANZ3674 - ATM and Ninja Client TVC,ANZ3674 - ATM and Ninja Client TVC,ANZ3674 - ATM and Ninja Client TVC,ANZ3674 - ATM and Ninja Client TVC,ANZ3674 - ATM and Ninja Client TVC,ANZ3674 - ATM and Ninja Client TVC
21,-0.2296,0.7278,0.8044,0.8454,0.8905,0.8679,0.6838,0.7495,0.7166,0.7313,0.7976,0.7645
21.1,-0.2545,0.7403,0.8008,0.8198,0.8947,0.8572,0.6814,0.7538,0.7176,0.7385,0.7827,0.7606
21.2,-0.2811,0.7515,0.7964,0.7894,0.898,0.8437,0.6798,0.7576,0.7187,0.7457,0.7677,0.7567
21.3,-0.3079,0.7612,0.7912,0.7561,0.9002,0.8282,0.6797,0.761,0.7204,0.7538,0.7532,0.7535
21.4,-0.3346,0.7694,0.7857,0.7219,0.9021,0.812,0.6814,0.7644,0.7229,0.7633,0.7396,0.7515
21.5,-0.3617,0.7768,0.7805,0.6885,0.9053,0.7969,0.6851,0.7686,0.7269,0.7746,0.727,0.7508
21.6,-0.3902,0.7839,0.776,0.6579,0.912,0.7849,0.6911,0.7741,0.7326,0.7877,0.7156,0.7517
21.7,-0.4189,0.7911,0.773,0.6316,0.9237,0.7776,0.6996,0.7808,0.7402,0.8026,0.7058,0.7542
21.8,-0.4455,0.7977,0.7714,0.6107,0.9401,0.7754,0.7106,0.7879,0.7493,0.8189,0.6974,0.7581
21.9,-0.4678,0.8025,0.7703,0.5951,0.9591,0.7771,0.7233,0.7943,0.7588,0.8356,0.6902,0.7629
22,-0.4845,0.8045,0.7687,0.5839,0.9782,0.7811,0.7369,0.7993,0.7681,0.8519,0.684,0.7679
22.1,-0.4956,0.8027,0.7663,0.5762,0.9956,0.7859,0.7503,0.8027,0.7765,0.8671,0.6788,0.7729
22.2,-0.5003,0.7967,0.7634,0.5716,1.0097,0.7907,0.7631,0.8043,0.7837,0.8809,0.6743,0.7776
22.3,-0.4966,0.7861,0.7606,0.5703,1.0191,0.7947,0.7745,0.8035,0.789,0.8924,0.6705,0.7814
22.4,-0.4829,0.7702,0.7584,0.572,1.0217,0.7968,0.7833,0.7997,0.7915,0.901,0.6668,0.7839
22.5,-0.4587,0.749,0.7564,0.5752,1.0161,0.7956,0.788,0.7921,0.7901,0.9056,0.6632,0.7844
22.6,-0.4254,0.7233,0.754,0.5781,1.0022,0.7901,0.7872,0.7801,0.7837,0.9057,0.6594,0.7825
22.7,-0.3849,0.6952,0.7503,0.5796,0.9813,0.7805,0.7803,0.7637,0.772,0.901,0.6552,0.7781
22.8,-0.3391,0.6668,0.7452,0.5803,0.9548,0.7676,0.7677,0.7435,0.7556,0.8919,0.6507,0.7713
22.9,-0.2904,0.6398,0.7388,0.5807,0.9239,0.7523,0.7504,0.7202,0.7353,0.8791,0.6464,0.7628
23,-0.2414,0.6147,0.7319,0.5807,0.8892,0.7349,0.7293,0.6954,0.7123,0.8636,0.643,0.7533
23.1,-0.1944,0.5919,0.725,0.5796,0.8517,0.7156,0.705,0.6704,0.6877,0.8465,0.6412,0.7438
23.2,-0.1497,0.5719,0.7186,0.5773,0.8124,0.6949,0.6783,0.6466,0.6624,0.8288,0.642,0.7354
23.3,-0.1076,0.5553,0.7133,0.5741,0.7728,0.6734,0.6496,0.6248,0.6372,0.8112,0.6453,0.7282
23.4,-0.0686,0.5425,0.709,0.5702,0.7342,0.6522,0.6201,0.6056,0.6128,0.7938,0.6507,0.7222
23.5,-0.0336,0.5336,0.7056,0.5657,0.6974,0.6316,0.5909,0.589,0.59,0.7769,0.6576,0.7172
23.6,-0.0038,0.5282,0.7026,0.5609,0.6628,0.6118,0.5633,0.5754,0.5694,0.7615,0.665,0.7133
23.7,0.0192,0.5257,0.6996,0.5559,0.6304,0.5931,0.5381,0.5653,0.5517,0.7485,0.6726,0.7106
23.8,0.0346,0.5256,0.6962,0.5507,0.6002,0.5755,0.5162,0.5586,0.5374,0.7386,0.6797,0.7091
23.9,0.0425,0.5274,0.6924,0.5452,0.5726,0.5589,0.4985,0.5551,0.5268,0.7318,0.686,0.7089
24,0.0434,0.5306,0.6878,0.5387,0.548,0.5433,0.486,0.5545,0.5202,0.7278,0.6915,0.7096
24.1,0.0376,0.5348,0.6819,0.5307,0.5274,0.529,0.479,0.5564,0.5177,0.7265,0.6961,0.7113
24.2,0.0247,0.5393,0.6738,0.5207,0.5117,0.5162,0.4773,0.5603,0.5188,0.7273,0.6992,0.7133
24.3,0.0045,0.5435,0.6627,0.5089,0.5013,0.5051,0.4796,0.5656,0.5226,0.7297,0.7003,0.715
24.4,-0.0229,0.547,0.6483,0.4959,0.4967,0.4963,0.4848,0.5715,0.5281,0.7331,0.6991,0.7161
24.5,-0.0565,0.5499,0.631,0.4827,0.4976,0.4902,0.492,0.5778,0.5349,0.7373,0.6958,0.7166
24.6,-0.0943,0.5527,0.6112,0.4709,0.5034,0.4872,0.5009,0.584,0.5425,0.7422,0.6903,0.7163
24.7,-0.1344,0.5555,0.5892,0.4617,0.5134,0.4875,0.511,0.5896,0.5503,0.747,0.6829,0.715
24.8,-0.1759,0.5582,0.5656,0.4554,0.5266,0.491,0.5218,0.5942,0.558,0.7509,0.6736,0.7122
24.9,-0.2174,0.5604,0.5418,0.452,0.5421,0.4971,0.5329,0.5974,0.5651,0.7531,0.6628,0.7079
25,-0.257,0.5612,0.5189,0.4511,0.5581,0.5046,0.5441,0.599,0.5716,0.7531,0.6514,0.7023
25.1,-0.2923,0.5595,0.4982,0.4523,0.5726,0.5124,0.5554,0.5993,0.5773,0.751,0.6404,0.6957
25.2,-0.3212,0.5539,0.4797,0.455,0.5839,0.5195,0.5663,0.5988,0.5826,0.7469,0.6305,0.6887
25.3,-0.3422,0.5443,0.4634,0.4593,0.5908,0.5251,0.5762,0.5982,0.5872,0.7412,0.6218,0.6815
25.4,-0.3534,0.5314,0.45,0.4654,0.5946,0.53,0.5847,0.5982,0.5915,0.7347,0.6142,0.6745
25.5,-0.3532,0.5164,0.4407,0.4743,0.5972,0.5357,0.5919,0.5998,0.5958,0.7285,0.608,0.6682
25.6,-0.3407,0.5009,0.4364,0.4866,0.6001,0.5434,0.5978,0.6034,0.6006,0.723,0.6038,0.6634
25.7,-0.3166,0.4857,0.4368,0.5023,0.6036,0.5529,0.6023,0.6092,0.6058,0.7183,0.6017,0.66
25.8,-0.2832,0.4714,0.4407,0.5205,0.6073,0.5639,0.6056,0.6172,0.6114,0.7141,0.6017,0.6579
25.9,-0.2443,0.4585,0.4469,0.5404,0.6113,0.5758,0.6079,0.6271,0.6175,0.7102,0.6033,0.6567
26,-0.2027,0.4478,0.4549,0.5615,0.6158,0.5886,0.6101,0.6386,0.6244,0.7061,0.6061,0.6561
26.1,-0.1601,0.4395,0.4645,0.5836,0.621,0.6023,0.6129,0.6509,0.6319,0.7016,0.6097,0.6557
26.2,-0.1177,0.4333,0.4755,0.6064,0.6265,0.6164,0.6164,0.6631,0.6398,0.6966,0.6136,0.6551
26.3,-0.0773,0.429,0.4876,0.6287,0.6317,0.6302,0.6201,0.6748,0.6474,0.6915,0.6177,0.6546
26.4,-0.0409,0.4261,0.5002,0.6493,0.6366,0.6429,0.6236,0.685,0.6543,0.6867,0.6216,0.6542
26.5,-0.0095,0.4249,0.5129,0.6674,0.6415,0.6545,0.6266,0.6933,0.66,0.6827,0.6254,0.654
26.6,0.0166,0.4255,0.5251,0.6831,0.6468,0.665,0.6293,0.6992,0.6643,0.6794,0.6286,0.654
26.7,0.0375,0.4276,0.5359,0.6967,0.6529,0.6748,0.6317,0.7024,0.667,0.6765,0.6308,0.6536
26.8,0.0539,0.4303,0.5442,0.7079,0.6595,0.6837,0.6336,0.7027,0.6681,0.6735,0.6317,0.6526
26.9,0.0665,0.4327,0.5489,0.7167,0.6664,0.6916,0.6345,0.7001,0.6673,0.6703,0.6313,0.6508
27,0.0767,0.4344,0.5496,0.7231,0.6732,0.6981,0.6341,0.6947,0.6644,0.6662,0.6296,0.6479
27.1,0.0865,0.4357,0.5468,0.7269,0.6788,0.7028,0.6322,0.6865,0.6593,0.6609,0.6265,0.6437
27.2,0.0973,0.4367,0.5411,0.7282,0.6825,0.7053,0.6288,0.6753,0.652,0.6535,0.6219,0.6377
27.3,0.1096,0.4376,0.5333,0.7268,0.6844,0.7056,0.6244,0.6616,0.643,0.6442,0.6155,0.6299
27.4,0.1225,0.4384,0.524,0.7228,0.6846,0.7037,0.6196,0.6464,0.633,0.6335,0.6075,0.6205
27.5,0.1345,0.4387,0.514,0.7161,0.6838,0.6999,0.615,0.6309,0.623,0.6222,0.5982,0.6102
27.6,0.144,0.4379,0.5042,0.7065,0.6816,0.6941,0.6112,0.616,0.6136,0.6109,0.5879,0.5994
27.7,0.1504,0.4352,0.4955,0.6941,0.6778,0.686,0.6088,0.602,0.6054,0.5998,0.5769,0.5883
27.8,0.1536,0.4302,0.4886,0.6793,0.672,0.6757,0.6086,0.5896,0.5991,0.589,0.5655,0.5773
27.9,0.1535,0.4233,0.4841,0.6627,0.6651,0.6639,0.6115,0.5797,0.5956,0.5795,0.5543,0.5669
28,0.1497,0.4156,0.4827,0.6447,0.6585,0.6516,0.6182,0.5735,0.5958,0.5719,0.5436,0.5578
28.1,0.1409,0.4076,0.4849,0.6254,0.6535,0.6394,0.629,0.572,0.6005,0.567,0.5341,0.5506
28.2,0.1261,0.3997,0.491,0.6043,0.6508,0.6276,0.644,0.576,0.61,0.5652,0.5262,0.5457
28.3,0.1063,0.3912,0.5005,0.5813,0.6501,0.6157,0.6628,0.5854,0.6241,0.5664,0.52,0.5432
28.4,0.0823,0.3814,0.5125,0.5567,0.6505,0.6036,0.6845,0.5999,0.6422,0.5707,0.5152,0.543
28.5,0.055,0.3697,0.5264,0.5308,0.6522,0.5915,0.7083,0.6188,0.6635,0.5779,0.5118,0.5449
28.6,0.0238,0.3566,0.5416,0.5037,0.656,0.5798,0.7334,0.6417,0.6875,0.5882,0.5099,0.549
28.7,-0.0118,0.3426,0.5584,0.4748,0.6622,0.5685,0.7591,0.6674,0.7132,0.6015,0.5095,0.5555
28.8,-0.0526,0.3284,0.5768,0.4435,0.6707,0.5571,0.7848,0.6942,0.7395,0.617,0.5109,0.564
28.9,-0.0984,0.3141,0.5958,0.4092,0.6799,0.5446,0.8091,0.7205,0.7648,0.634,0.5144,0.5742
29,-0.1493,0.3005,0.614,0.3719,0.688,0.53,0.8304,0.7441,0.7873,0.651,0.5192,0.5851
29.1,-0.2052,0.2882,0.6292,0.3317,0.6931,0.5124,0.8472,0.7629,0.805,0.6663,0.5243,0.5953
29.2,-0.2648,0.278,0.6401,0.2895,0.6937,0.4916,0.8578,0.7757,0.8168,0.6786,0.5284,0.6035
29.3,-0.3259,0.2705,0.646,0.2458,0.6883,0.4671,0.8616,0.7816,0.8216,0.6869,0.5309,0.6089
29.4,-0.3846,0.2662,0.6466,0.2022,0.6765,0.4393,0.8583,0.7802,0.8193,0.6905,0.531,0.6108
29.5,-0.4359,0.2654,0.6416,0.1608,0.6585,0.4097,0.848,0.7717,0.8099,0.6897,0.5287,0.6092
29.6,-0.4744,0.2685,0.6315,0.1244,0.636,0.3802,0.8313,0.757,0.7941,0.6853,0.5247,0.605
29.7,-0.4962,0.2761,0.6172,0.0951,0.611,0.3531,0.8089,0.7374,0.7731,0.6786,0.52,0.5993
29.8,-0.4998,0.2884,0.5992,0.075,0.5855,0.3302,0.7824,0.7135,0.7479,0.6699,0.515,0.5924
29.9,-0.4852,0.3053,0.5773,0.0657,0.5608,0.3132,0.7528,0.6858,0.7193,0.6595,0.5094,0.5844
