Time,AFLW - We Are Back 30 TVC,AFLW - We Are Back 30 TVC,AFLW - We Are Back 30 TVC,AFLW - We Are Back 30 TVC,AFLW - We Are Back 30 TVC,AFLW - We Are Back 30 TVC,AFLW - We Are Back 30 TVC,AFLW - We Are Back 30 TVC,AFLW - We Are Back 30 TVC,AFLW - We Are Back 30 TVC,AFLW - We Are Back 30 TVC,AFLW - We Are Back 30 TVC
21.3,-0.4368,0.6752,0.7806,0.5187,0.7689,0.6438,0.6994,0.6221,0.6607,0.9679,0.8187,0.8933
21.4,-0.4527,0.6555,0.7772,0.5039,0.754,0.6289,0.6868,0.5981,0.6425,0.972,0.8317,0.9018
21.5,-0.462,0.6359,0.7708,0.4894,0.7352,0.6123,0.6747,0.5757,0.6252,0.9733,0.8421,0.9077
21.6,-0.4649,0.617,0.7621,0.4754,0.7135,0.5945,0.664,0.556,0.61,0.9725,0.8505,0.9115
21.7,-0.4619,0.5994,0.7516,0.4624,0.6899,0.5762,0.6556,0.54,0.5978,0.97,0.8579,0.914
21.8,-0.4533,0.5835,0.7394,0.4507,0.6652,0.5579,0.6499,0.5279,0.5889,0.9668,0.8648,0.9158
21.9,-0.4397,0.5696,0.7252,0.4406,0.64,0.5403,0.6474,0.5192,0.5833,0.964,0.8714,0.9177
22,-0.4213,0.5584,0.7085,0.4322,0.6151,0.5237,0.6482,0.5131,0.5806,0.9625,0.8779,0.9202
22.1,-0.3981,0.5499,0.6894,0.4255,0.5911,0.5083,0.652,0.5086,0.5803,0.9622,0.8834,0.9228
22.2,-0.3699,0.544,0.6686,0.4203,0.5684,0.4943,0.6587,0.5054,0.5821,0.9627,0.8872,0.9249
22.3,-0.3371,0.5399,0.6473,0.4165,0.547,0.4817,0.6683,0.5035,0.5859,0.9637,0.8887,0.9262
22.4,-0.3008,0.5369,0.6266,0.4141,0.5271,0.4706,0.6802,0.503,0.5916,0.965,0.8884,0.9267
22.5,-0.2626,0.5343,0.6069,0.4131,0.5091,0.4611,0.6936,0.5038,0.5987,0.9667,0.8869,0.9268
22.6,-0.2237,0.5316,0.5881,0.4131,0.4935,0.4533,0.7073,0.5055,0.6064,0.9686,0.8846,0.9266
22.7,-0.1849,0.5286,0.5698,0.4141,0.4809,0.4475,0.72,0.5075,0.6137,0.9702,0.8817,0.9259
22.8,-0.1461,0.5252,0.5521,0.4161,0.471,0.4436,0.7308,0.509,0.6199,0.9711,0.8777,0.9244
22.9,-0.1078,0.521,0.5355,0.4194,0.4634,0.4414,0.7392,0.5097,0.6244,0.9708,0.8719,0.9214
23,-0.0712,0.5157,0.521,0.4236,0.4577,0.4407,0.745,0.5098,0.6274,0.9691,0.8637,0.9164
23.1,-0.0378,0.509,0.5093,0.4282,0.4537,0.441,0.7481,0.5098,0.6289,0.9656,0.8529,0.9092
23.2,-0.0085,0.5003,0.5009,0.4322,0.4513,0.4417,0.749,0.5105,0.6297,0.9601,0.8395,0.8998
23.3,0.0171,0.4892,0.496,0.4351,0.4503,0.4427,0.7486,0.5124,0.6305,0.9527,0.8241,0.8884
23.4,0.04,0.4757,0.4947,0.437,0.4506,0.4438,0.7478,0.5158,0.6318,0.9434,0.8073,0.8753
23.5,0.0611,0.4604,0.4971,0.4387,0.4522,0.4455,0.7471,0.5204,0.6337,0.9323,0.7895,0.8609
23.6,0.0802,0.4445,0.5027,0.4411,0.4553,0.4482,0.7467,0.5261,0.6364,0.9192,0.7709,0.845
23.7,0.0965,0.4291,0.5111,0.4444,0.4602,0.4523,0.7464,0.5324,0.6394,0.9035,0.7513,0.8274
23.8,0.1095,0.415,0.522,0.4484,0.4669,0.4577,0.7461,0.5394,0.6427,0.8852,0.7311,0.8081
23.9,0.1195,0.4026,0.5351,0.453,0.475,0.464,0.7457,0.547,0.6464,0.8645,0.7107,0.7876
24,0.1266,0.3921,0.5507,0.4578,0.4837,0.4708,0.7456,0.5555,0.6505,0.8427,0.6911,0.7669
24.1,0.1304,0.3836,0.5683,0.4624,0.4926,0.4775,0.7458,0.5648,0.6553,0.8207,0.6728,0.7468
24.2,0.1309,0.3776,0.5878,0.4669,0.5012,0.484,0.7464,0.575,0.6607,0.7999,0.6565,0.7282
24.3,0.1277,0.3746,0.6085,0.4716,0.5096,0.4906,0.747,0.586,0.6665,0.7812,0.6427,0.712
24.4,0.1213,0.3746,0.6302,0.4769,0.5182,0.4975,0.7474,0.5983,0.6729,0.7655,0.632,0.6988
24.5,0.1129,0.3771,0.6524,0.4829,0.5272,0.5051,0.7476,0.6121,0.6798,0.7537,0.6249,0.6893
24.6,0.1031,0.3811,0.6751,0.4897,0.5369,0.5133,0.7479,0.6271,0.6875,0.7465,0.6218,0.6842
24.7,0.0921,0.3863,0.6982,0.4969,0.5472,0.522,0.7486,0.643,0.6958,0.7441,0.6233,0.6837
24.8,0.08,0.3928,0.7214,0.5045,0.5576,0.5311,0.7498,0.6589,0.7043,0.7464,0.6296,0.688
24.9,0.0668,0.4007,0.7446,0.5126,0.5674,0.54,0.7516,0.6742,0.7129,0.7526,0.6406,0.6966
25,0.0535,0.4103,0.7672,0.5214,0.576,0.5487,0.7539,0.6884,0.7212,0.7614,0.6553,0.7083
25.1,0.0413,0.4215,0.7887,0.5309,0.583,0.5569,0.7566,0.7008,0.7287,0.7715,0.6718,0.7216
25.2,0.0315,0.4344,0.8081,0.5414,0.5883,0.5648,0.7591,0.7105,0.7348,0.7816,0.6883,0.7349
25.3,0.0249,0.4488,0.8248,0.5531,0.592,0.5725,0.7613,0.7167,0.739,0.7906,0.7031,0.7468
25.4,0.0226,0.4646,0.8383,0.5663,0.5939,0.5801,0.7632,0.7192,0.7412,0.7977,0.7156,0.7566
25.5,0.0252,0.4811,0.8488,0.5807,0.594,0.5873,0.765,0.7186,0.7418,0.8023,0.7255,0.7639
25.6,0.0336,0.4976,0.8563,0.5957,0.5922,0.5939,0.7668,0.7156,0.7412,0.804,0.7331,0.7685
25.7,0.048,0.5131,0.8611,0.6106,0.5888,0.5997,0.7685,0.7108,0.7397,0.8028,0.7385,0.7706
25.8,0.0675,0.5269,0.8632,0.6247,0.5834,0.6041,0.7702,0.7044,0.7373,0.7991,0.7424,0.7708
25.9,0.0912,0.5387,0.8627,0.6373,0.5754,0.6063,0.7718,0.6964,0.7341,0.7937,0.7453,0.7695
26,0.1189,0.5485,0.8599,0.648,0.5643,0.6061,0.7733,0.6866,0.73,0.7871,0.7469,0.767
26.1,0.1505,0.5565,0.855,0.657,0.5497,0.6033,0.7749,0.6755,0.7252,0.7795,0.747,0.7633
26.2,0.1849,0.5625,0.8482,0.6645,0.5313,0.5979,0.7769,0.6634,0.7201,0.7709,0.7451,0.758
26.3,0.2208,0.5659,0.84,0.6702,0.5096,0.5899,0.7795,0.6512,0.7153,0.7615,0.7411,0.7513
26.4,0.2557,0.5666,0.8315,0.6737,0.4855,0.5796,0.7828,0.6396,0.7112,0.7515,0.7354,0.7435
26.5,0.2877,0.5646,0.8234,0.675,0.4614,0.5682,0.7868,0.6292,0.708,0.7411,0.7284,0.7347
26.6,0.3155,0.5608,0.8161,0.6747,0.4393,0.557,0.7913,0.6202,0.7058,0.7299,0.7208,0.7254
26.7,0.3381,0.5562,0.8099,0.6735,0.4205,0.547,0.7961,0.6123,0.7042,0.7176,0.7129,0.7152
26.8,0.3545,0.5514,0.8046,0.672,0.405,0.5385,0.8006,0.6053,0.7029,0.7039,0.7042,0.704
26.9,0.3637,0.5464,0.8005,0.6702,0.3924,0.5313,0.8045,0.5991,0.7018,0.6883,0.6944,0.6914
27,0.3652,0.5414,0.7978,0.6678,0.3826,0.5252,0.807,0.5941,0.7006,0.6707,0.6828,0.6768
27.1,0.3596,0.5364,0.7967,0.6645,0.3764,0.5204,0.8072,0.5905,0.6988,0.6509,0.669,0.66
27.2,0.3485,0.5314,0.7968,0.6604,0.3747,0.5175,0.8041,0.5882,0.6962,0.6289,0.6532,0.641
27.3,0.3331,0.5267,0.7978,0.656,0.3779,0.517,0.7978,0.5872,0.6925,0.6047,0.6359,0.6203
27.4,0.3138,0.5222,0.7995,0.652,0.3857,0.5188,0.7884,0.5878,0.6881,0.579,0.618,0.5985
27.5,0.2905,0.5182,0.8018,0.6485,0.3976,0.523,0.7764,0.5899,0.6831,0.5525,0.6003,0.5764
27.6,0.2639,0.5148,0.8046,0.6454,0.4129,0.5291,0.7621,0.5935,0.6778,0.5261,0.5832,0.5547
27.7,0.2349,0.5122,0.8078,0.6424,0.4305,0.5364,0.7455,0.5985,0.672,0.5005,0.5673,0.5339
27.8,0.2047,0.5102,0.8114,0.6391,0.4495,0.5443,0.7268,0.604,0.6654,0.476,0.5527,0.5143
27.9,0.174,0.5087,0.8151,0.6352,0.4688,0.552,0.7062,0.6096,0.6579,0.453,0.5394,0.4962
28,0.142,0.508,0.819,0.6307,0.4879,0.5593,0.6842,0.6144,0.6493,0.4315,0.5276,0.4795
28.1,0.1075,0.5084,0.8231,0.6258,0.5066,0.5662,0.6612,0.6184,0.6398,0.4116,0.5167,0.4642
28.2,0.0698,0.5099,0.8271,0.6206,0.5247,0.5726,0.6373,0.6214,0.6294,0.3934,0.5061,0.4498
28.3,0.0291,0.5123,0.8307,0.6147,0.5417,0.5782,0.6133,0.6236,0.6184,0.3772,0.4955,0.4364
28.4,-0.0136,0.5151,0.8339,0.6078,0.5571,0.5824,0.5897,0.6254,0.6076,0.3636,0.4849,0.4243
28.5,-0.0571,0.5179,0.837,0.6001,0.5705,0.5853,0.5677,0.6274,0.5975,0.3533,0.475,0.4142
28.6,-0.1004,0.5205,0.8396,0.5921,0.582,0.587,0.5481,0.6295,0.5888,0.347,0.466,0.4065
28.7,-0.1424,0.5222,0.841,0.5839,0.5914,0.5877,0.5319,0.6317,0.5818,0.3449,0.4577,0.4013
28.8,-0.1828,0.5224,0.8407,0.5751,0.5985,0.5868,0.5193,0.6335,0.5764,0.3468,0.4499,0.3983
28.9,-0.2217,0.5207,0.8381,0.5645,0.6031,0.5838,0.5103,0.6348,0.5726,0.3519,0.4425,0.3972
29,-0.2595,0.5172,0.8327,0.5513,0.605,0.5781,0.5045,0.6354,0.57,0.3595,0.4352,0.3974
29.1,-0.2964,0.512,0.8243,0.535,0.6035,0.5693,0.5015,0.6349,0.5682,0.3695,0.4284,0.399
29.2,-0.3315,0.5053,0.8127,0.5156,0.5976,0.5566,0.5006,0.6326,0.5666,0.382,0.4224,0.4022
29.3,-0.3635,0.497,0.7974,0.493,0.5868,0.5399,0.5012,0.6282,0.5647,0.3972,0.4176,0.4074
29.4,-0.391,0.487,0.7778,0.4674,0.5715,0.5194,0.5031,0.6218,0.5625,0.4147,0.414,0.4143
29.5,-0.4128,0.4759,0.7537,0.4394,0.5531,0.4962,0.5061,0.6137,0.5599,0.4336,0.4117,0.4227
29.6,-0.4282,0.4641,0.7246,0.41,0.5331,0.4715,0.51,0.6046,0.5573,0.453,0.4109,0.432
29.7,-0.436,0.4527,0.6904,0.3802,0.5121,0.4462,0.5141,0.5944,0.5543,0.4723,0.4116,0.4419
29.8,-0.4354,0.4425,0.651,0.3513,0.4906,0.4209,0.5178,0.5827,0.5503,0.4908,0.4137,0.4523
29.9,-0.4261,0.4343,0.6067,0.3243,0.469,0.3966,0.5202,0.5691,0.5447,0.5083,0.4173,0.4628
