Time,Lite n Easy Jump Start 30 TVC,Lite n Easy Jump Start 30 TVC,Lite n Easy Jump Start 30 TVC,Lite n Easy Jump Start 30 TVC,Lite n Easy Jump Start 30 TVC,Lite n Easy Jump Start 30 TVC,Lite n Easy Jump Start 30 TVC,Lite n Easy Jump Start 30 TVC,Lite n Easy Jump Start 30 TVC,Lite n Easy Jump Start 30 TVC,Lite n Easy Jump Start 30 TVC,Lite n Easy Jump Start 30 TVC
21.3,-0.3882,0.5103,0.4044,0.367,0.6014,0.4842,0.4646,0.6383,0.5514,0.5606,0.3382,0.4494
21.4,-0.3904,0.502,0.3866,0.3545,0.5652,0.4598,0.4642,0.6315,0.5478,0.5498,0.3291,0.4394
21.5,-0.3795,0.4945,0.3657,0.3441,0.5284,0.4362,0.4634,0.6216,0.5425,0.5337,0.3181,0.4259
21.6,-0.3575,0.4883,0.3435,0.3363,0.4932,0.4148,0.4627,0.6094,0.5361,0.5122,0.3053,0.4088
21.7,-0.3259,0.4834,0.322,0.3318,0.4619,0.3968,0.463,0.5958,0.5294,0.486,0.2917,0.3888
21.8,-0.286,0.48,0.3029,0.3311,0.4368,0.3839,0.4646,0.5821,0.5234,0.4568,0.2784,0.3676
21.9,-0.2393,0.4782,0.2876,0.3345,0.4192,0.3768,0.4676,0.5689,0.5183,0.4271,0.2671,0.3471
22,-0.188,0.4783,0.2766,0.3417,0.4094,0.3755,0.4721,0.5568,0.5144,0.3988,0.2594,0.3291
22.1,-0.1355,0.4806,0.27,0.3517,0.4063,0.379,0.4777,0.5458,0.5117,0.3737,0.2565,0.3151
22.2,-0.0849,0.4846,0.2677,0.363,0.409,0.386,0.4839,0.5359,0.5099,0.3532,0.2591,0.3062
22.3,-0.0389,0.49,0.2693,0.3748,0.4167,0.3958,0.4904,0.5269,0.5087,0.3384,0.267,0.3027
22.4,0.0017,0.4966,0.274,0.3873,0.429,0.4082,0.497,0.5188,0.5079,0.3302,0.2799,0.305
22.5,0.0375,0.5049,0.2815,0.4013,0.4451,0.4232,0.5038,0.5117,0.5077,0.3288,0.2976,0.3132
22.6,0.0698,0.5147,0.2914,0.417,0.4637,0.4403,0.5108,0.5054,0.5081,0.3341,0.3196,0.3269
22.7,0.0991,0.5256,0.3034,0.4335,0.4835,0.4585,0.5183,0.5001,0.5092,0.346,0.3455,0.3457
22.8,0.1241,0.5367,0.3171,0.4491,0.5038,0.4764,0.5261,0.4958,0.511,0.3638,0.3745,0.3692
22.9,0.1428,0.5475,0.3319,0.4625,0.5244,0.4934,0.5343,0.4925,0.5134,0.3864,0.4059,0.3961
23,0.1537,0.5581,0.3472,0.4733,0.5453,0.5093,0.5423,0.4899,0.5161,0.4121,0.4386,0.4254
23.1,0.1567,0.5687,0.3627,0.482,0.5662,0.5241,0.55,0.4878,0.5189,0.4398,0.4718,0.4558
23.2,0.1525,0.5792,0.3784,0.4893,0.5864,0.5379,0.557,0.4861,0.5216,0.4687,0.5047,0.4867
23.3,0.1422,0.5894,0.3941,0.4953,0.6054,0.5503,0.5637,0.4845,0.5241,0.4991,0.5369,0.518
23.4,0.127,0.5991,0.409,0.4998,0.623,0.5614,0.5704,0.4829,0.5267,0.5315,0.5674,0.5495
23.5,0.1081,0.6078,0.4224,0.5025,0.639,0.5707,0.5772,0.4807,0.5289,0.5654,0.5956,0.5805
23.6,0.0861,0.6152,0.4336,0.5029,0.6528,0.5779,0.5835,0.4774,0.5305,0.6,0.621,0.6105
23.7,0.0617,0.6208,0.4422,0.501,0.6641,0.5826,0.5889,0.4726,0.5307,0.6344,0.6434,0.6389
23.8,0.0363,0.6243,0.4485,0.4974,0.6729,0.5851,0.5927,0.4663,0.5295,0.6676,0.6631,0.6653
23.9,0.0119,0.6258,0.4524,0.4931,0.6798,0.5865,0.5946,0.4588,0.5267,0.6986,0.68,0.6893
24,-0.0092,0.6254,0.4534,0.4895,0.6854,0.5874,0.5945,0.4499,0.5222,0.7267,0.6939,0.7103
24.1,-0.0254,0.6234,0.4508,0.4875,0.6895,0.5885,0.5925,0.4397,0.5161,0.7515,0.7047,0.7281
24.2,-0.0364,0.6192,0.4451,0.4873,0.6917,0.5895,0.5896,0.4279,0.5088,0.7726,0.7122,0.7424
24.3,-0.0428,0.6122,0.4366,0.4884,0.6915,0.59,0.5863,0.4147,0.5005,0.7898,0.7164,0.7531
24.4,-0.0455,0.6023,0.4256,0.4905,0.6893,0.5899,0.5826,0.4001,0.4913,0.8023,0.7171,0.7597
24.5,-0.0458,0.59,0.412,0.4935,0.6863,0.5899,0.5778,0.3839,0.4809,0.8085,0.7143,0.7614
24.6,-0.0455,0.5762,0.3959,0.4977,0.684,0.5908,0.5714,0.3659,0.4687,0.8073,0.7078,0.7575
24.7,-0.046,0.5624,0.3779,0.5034,0.6835,0.5935,0.5631,0.3463,0.4547,0.7979,0.6981,0.748
24.8,-0.0471,0.5495,0.3596,0.5108,0.6855,0.5982,0.5538,0.3261,0.44,0.7809,0.6861,0.7335
24.9,-0.0475,0.5381,0.3433,0.5195,0.6901,0.6048,0.5446,0.3064,0.4255,0.7575,0.6731,0.7153
25,-0.0452,0.5284,0.3307,0.5282,0.6971,0.6127,0.5358,0.2882,0.412,0.7301,0.6608,0.6955
25.1,-0.0399,0.5206,0.3222,0.5354,0.7061,0.6208,0.5268,0.2715,0.3991,0.7009,0.6506,0.6757
25.2,-0.0322,0.515,0.3172,0.5402,0.7169,0.6285,0.5163,0.2562,0.3863,0.6713,0.6434,0.6573
25.3,-0.0225,0.5121,0.3151,0.5425,0.7288,0.6357,0.504,0.2423,0.3731,0.6424,0.6393,0.6408
25.4,-0.0111,0.5118,0.3147,0.5425,0.7409,0.6417,0.4899,0.2299,0.3599,0.615,0.6379,0.6264
25.5,0.0014,0.5142,0.3152,0.5406,0.7525,0.6466,0.4748,0.2187,0.3467,0.59,0.6384,0.6142
25.6,0.0144,0.5192,0.3161,0.5377,0.764,0.6509,0.4595,0.2082,0.3339,0.5683,0.6406,0.6044
25.7,0.0275,0.5269,0.318,0.5351,0.7757,0.6554,0.4448,0.1987,0.3218,0.5501,0.6444,0.5973
25.8,0.041,0.5376,0.3223,0.5337,0.7877,0.6607,0.4312,0.1909,0.3111,0.5353,0.6505,0.5929
25.9,0.0552,0.5516,0.3299,0.5337,0.7999,0.6668,0.4186,0.1855,0.302,0.524,0.6591,0.5916
26,0.0695,0.5678,0.3407,0.5342,0.8116,0.6729,0.4068,0.1833,0.2951,0.5164,0.6707,0.5936
26.1,0.0812,0.5848,0.3543,0.5338,0.8223,0.678,0.3962,0.1851,0.2907,0.513,0.6854,0.5992
26.2,0.0873,0.6017,0.3707,0.5327,0.8321,0.6824,0.3872,0.1915,0.2894,0.5144,0.703,0.6087
26.3,0.0867,0.618,0.3906,0.5325,0.8413,0.6869,0.3802,0.2024,0.2913,0.5206,0.7231,0.6219
26.4,0.0808,0.6335,0.414,0.5353,0.8497,0.6925,0.3746,0.2179,0.2962,0.5313,0.7448,0.638
26.5,0.0723,0.6473,0.4409,0.5425,0.8567,0.6996,0.3695,0.2377,0.3036,0.5456,0.767,0.6563
26.6,0.063,0.6583,0.4707,0.5546,0.8611,0.7079,0.3644,0.2612,0.3128,0.5627,0.7894,0.676
26.7,0.0527,0.6652,0.5031,0.572,0.8628,0.7174,0.3592,0.2879,0.3236,0.5823,0.8118,0.6971
26.8,0.0405,0.6674,0.5383,0.5953,0.8617,0.7285,0.3542,0.3176,0.3359,0.6043,0.8349,0.7196
26.9,0.0274,0.665,0.5762,0.6247,0.8579,0.7413,0.3497,0.3496,0.3497,0.6281,0.8588,0.7435
27,0.0151,0.658,0.6158,0.6595,0.8508,0.7552,0.346,0.3826,0.3643,0.6529,0.8837,0.7683
27.1,0.0051,0.6472,0.6552,0.6981,0.8404,0.7693,0.343,0.4153,0.3792,0.6771,0.9086,0.7928
27.2,-0.0026,0.6342,0.6935,0.7389,0.8284,0.7836,0.3413,0.4467,0.394,0.6996,0.9329,0.8162
27.3,-0.0091,0.6219,0.7299,0.781,0.8167,0.7989,0.3418,0.4762,0.409,0.7201,0.9559,0.838
27.4,-0.0149,0.6126,0.764,0.8238,0.8073,0.8155,0.3449,0.5035,0.4242,0.7383,0.9769,0.8576
27.5,-0.0192,0.6074,0.7954,0.8661,0.8003,0.8332,0.3506,0.528,0.4393,0.7538,0.9947,0.8743
27.6,-0.0213,0.6067,0.8235,0.9059,0.7959,0.8509,0.3581,0.5492,0.4537,0.7656,1.0079,0.8868
27.7,-0.0211,0.6106,0.8478,0.9413,0.7943,0.8678,0.3663,0.5669,0.4666,0.7724,1.0157,0.894
27.8,-0.0183,0.6194,0.8682,0.9717,0.7958,0.8837,0.3744,0.5813,0.4778,0.7729,1.018,0.8954
27.9,-0.014,0.6331,0.8852,0.9972,0.8001,0.8986,0.3818,0.5927,0.4873,0.7671,1.0149,0.891
28,-0.0094,0.6504,0.8991,1.0177,0.8064,0.9121,0.3885,0.6019,0.4952,0.7552,1.0068,0.881
28.1,-0.0057,0.6699,0.9105,1.0326,0.8136,0.9231,0.3947,0.6094,0.5021,0.7384,0.9937,0.8661
28.2,-0.0042,0.69,0.92,1.0412,0.8209,0.931,0.4006,0.6163,0.5084,0.7181,0.9766,0.8474
28.3,-0.0058,0.7098,0.9279,1.0426,0.828,0.9353,0.4058,0.6234,0.5146,0.6956,0.9568,0.8262
28.4,-0.0112,0.7293,0.9336,1.0368,0.8352,0.936,0.4102,0.6313,0.5208,0.6718,0.9354,0.8036
28.5,-0.0211,0.7486,0.9363,1.0246,0.8425,0.9336,0.414,0.6404,0.5272,0.6473,0.9127,0.78
28.6,-0.0369,0.7672,0.9353,1.0062,0.8495,0.9279,0.4174,0.6506,0.534,0.6228,0.8886,0.7557
28.7,-0.0598,0.7841,0.9306,0.9812,0.8559,0.9185,0.4208,0.6617,0.5412,0.599,0.8628,0.7309
28.8,-0.0903,0.7986,0.9222,0.9489,0.8614,0.9051,0.4246,0.6736,0.5491,0.5773,0.8361,0.7067
28.9,-0.1286,0.8106,0.9099,0.9089,0.866,0.8875,0.4291,0.6862,0.5576,0.5585,0.8096,0.684
29,-0.174,0.8205,0.8933,0.8614,0.8692,0.8653,0.4347,0.6994,0.5671,0.5431,0.7843,0.6637
29.1,-0.2251,0.8284,0.8722,0.8066,0.8699,0.8383,0.4423,0.7136,0.5779,0.5313,0.7609,0.6461
29.2,-0.2809,0.835,0.8471,0.7458,0.867,0.8064,0.453,0.7292,0.5911,0.5238,0.7398,0.6318
29.3,-0.3406,0.8405,0.8184,0.6818,0.8605,0.7712,0.4675,0.7465,0.607,0.5221,0.7219,0.622
29.4,-0.4032,0.8453,0.7875,0.6185,0.8515,0.735,0.4858,0.7661,0.626,0.5281,0.7084,0.6182
29.5,-0.4672,0.8498,0.7555,0.5594,0.8406,0.7,0.5078,0.7879,0.6478,0.5433,0.6999,0.6216
29.6,-0.531,0.8545,0.7231,0.507,0.8275,0.6673,0.5335,0.8115,0.6725,0.5687,0.6966,0.6326
29.7,-0.5931,0.8597,0.691,0.4627,0.8121,0.6374,0.5626,0.8365,0.6995,0.6045,0.6984,0.6514
29.8,-0.6513,0.8653,0.6598,0.4271,0.7944,0.6108,0.5943,0.8625,0.7284,0.6499,0.7052,0.6776
29.9,-0.7034,0.871,0.6302,0.4004,0.7757,0.588,0.6275,0.8894,0.7584,0.7036,0.7171,0.7104
