Time,Youi - You Shaped Insurance 2023 30 TVC,Youi - You Shaped Insurance 2023 30 TVC,Youi - You Shaped Insurance 2023 30 TVC,Youi - You Shaped Insurance 2023 30 TVC,Youi - You Shaped Insurance 2023 30 TVC,Youi - You Shaped Insurance 2023 30 TVC,Youi - You Shaped Insurance 2023 30 TVC,Youi - You Shaped Insurance 2023 30 TVC,Youi - You Shaped Insurance 2023 30 TVC,Youi - You Shaped Insurance 2023 30 TVC,Youi - You Shaped Insurance 2023 30 TVC,Youi - You Shaped Insurance 2023 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
17.8,0.0771,0.6254,0.4479,0.5672,0.7726,0.6699,0.4515,0.5646,0.508,0.5867,0.7945,0.6906
17.9,0.0684,0.6245,0.4583,0.5677,0.7621,0.6649,0.433,0.5465,0.4898,0.594,0.8033,0.6987
18,0.0655,0.6204,0.4704,0.5685,0.7473,0.6579,0.4148,0.5276,0.4712,0.6009,0.812,0.7064
18.1,0.0667,0.6135,0.4844,0.5694,0.7287,0.649,0.3973,0.5083,0.4528,0.6074,0.8203,0.7138
18.2,0.0702,0.604,0.4999,0.5697,0.7066,0.6382,0.3803,0.4891,0.4347,0.6139,0.8277,0.7208
18.3,0.0745,0.5922,0.5163,0.5688,0.6819,0.6253,0.3636,0.4701,0.4169,0.6211,0.8336,0.7274
18.4,0.0785,0.5784,0.5331,0.5664,0.6558,0.6111,0.3476,0.452,0.3998,0.6296,0.8377,0.7336
18.5,0.0823,0.5634,0.5501,0.5634,0.63,0.5967,0.3335,0.4352,0.3844,0.6401,0.84,0.74
18.6,0.0852,0.5481,0.5678,0.5602,0.6061,0.5832,0.3228,0.4207,0.3717,0.6535,0.841,0.7473
18.7,0.0862,0.5332,0.5867,0.557,0.5856,0.5713,0.3164,0.409,0.3627,0.6709,0.8416,0.7562
18.8,0.0839,0.5191,0.6072,0.5536,0.5692,0.5614,0.315,0.4007,0.3578,0.6926,0.8425,0.7676
18.9,0.078,0.5054,0.6287,0.5498,0.5568,0.5533,0.3193,0.3961,0.3577,0.7187,0.8444,0.7816
19,0.069,0.4922,0.6501,0.5457,0.548,0.5469,0.3298,0.3952,0.3625,0.7485,0.8477,0.7981
19.1,0.0577,0.4798,0.6709,0.5422,0.5426,0.5424,0.347,0.3978,0.3724,0.7812,0.8526,0.8169
19.2,0.045,0.4687,0.6914,0.5397,0.54,0.5399,0.3714,0.4036,0.3875,0.8162,0.8592,0.8377
19.3,0.0309,0.4589,0.7119,0.5389,0.5399,0.5394,0.4035,0.4127,0.4081,0.8528,0.8675,0.8601
19.4,0.0154,0.4505,0.7323,0.5402,0.5423,0.5413,0.443,0.4253,0.4342,0.89,0.8775,0.8837
19.5,-0.0013,0.4438,0.7525,0.5438,0.5478,0.5458,0.4891,0.442,0.4656,0.9264,0.8891,0.9077
19.6,-0.0192,0.439,0.7725,0.5494,0.5569,0.5532,0.5395,0.4632,0.5014,0.9606,0.902,0.9313
