Time,David Jones - Let Your Spirit Soar 30 TVC,David Jones - Let Your Spirit Soar 30 TVC,David Jones - Let Your Spirit Soar 30 TVC,David Jones - Let Your Spirit Soar 30 TVC,David Jones - Let Your Spirit Soar 30 TVC,David Jones - Let Your Spirit Soar 30 TVC,David Jones - Let Your Spirit Soar 30 TVC,David Jones - Let Your Spirit Soar 30 TVC,David Jones - Let Your Spirit Soar 30 TVC,David Jones - Let Your Spirit Soar 30 TVC,David Jones - Let Your Spirit Soar 30 TVC,David Jones - Let Your Spirit Soar 30 TVC
21.1,-0.4419,0.3831,0.7783,0.5614,0.5342,0.5478,0.8917,0.9035,0.8976,0.6294,0.7513,0.6904
21.2,-0.434,0.4125,0.7779,0.5764,0.5567,0.5665,0.8971,0.9125,0.9048,0.6261,0.7383,0.6822
21.3,-0.4184,0.4421,0.7783,0.5941,0.582,0.588,0.9056,0.9224,0.914,0.6256,0.728,0.6768
21.4,-0.3938,0.4702,0.7788,0.6141,0.6074,0.6107,0.9169,0.9314,0.9241,0.6277,0.7204,0.674
21.5,-0.3599,0.4956,0.779,0.6358,0.6304,0.6331,0.9293,0.937,0.9332,0.6319,0.7147,0.6733
21.6,-0.3184,0.5174,0.7783,0.6579,0.6495,0.6537,0.9413,0.9382,0.9398,0.6379,0.7106,0.6742
21.7,-0.2716,0.5349,0.7766,0.6793,0.6637,0.6715,0.9519,0.9351,0.9435,0.6459,0.708,0.6769
21.8,-0.2213,0.5472,0.7733,0.6987,0.6724,0.6855,0.9608,0.9281,0.9444,0.6561,0.7075,0.6818
21.9,-0.1686,0.5536,0.7681,0.7148,0.6754,0.6951,0.9679,0.9171,0.9425,0.6685,0.7096,0.689
22,-0.1149,0.5538,0.7608,0.7265,0.6728,0.6997,0.9729,0.9021,0.9375,0.6825,0.7142,0.6983
22.1,-0.0622,0.5485,0.7514,0.7336,0.6654,0.6995,0.9754,0.8831,0.9293,0.6971,0.7204,0.7088
22.2,-0.0123,0.5384,0.7402,0.7359,0.6535,0.6947,0.975,0.8613,0.9182,0.7117,0.7276,0.7196
22.3,0.0341,0.5244,0.7278,0.7338,0.6379,0.6858,0.9723,0.8376,0.9049,0.726,0.7355,0.7308
22.4,0.0762,0.5068,0.7143,0.7272,0.6186,0.6729,0.9675,0.8123,0.8899,0.7402,0.7444,0.7423
22.5,0.1128,0.4858,0.6997,0.716,0.5961,0.656,0.9607,0.7853,0.873,0.754,0.754,0.754
22.6,0.1433,0.4622,0.6842,0.7004,0.5711,0.6358,0.9516,0.7569,0.8543,0.767,0.7638,0.7654
22.7,0.1672,0.4371,0.6686,0.6816,0.5445,0.613,0.9404,0.7281,0.8342,0.7787,0.773,0.7759
22.8,0.1837,0.4122,0.654,0.661,0.5179,0.5895,0.9272,0.7002,0.8137,0.7885,0.7812,0.7849
22.9,0.1924,0.3892,0.6413,0.6402,0.4927,0.5665,0.9128,0.6744,0.7936,0.796,0.7884,0.7922
23,0.1926,0.3691,0.6311,0.6197,0.4696,0.5446,0.8976,0.6509,0.7743,0.8009,0.7945,0.7977
23.1,0.1836,0.3524,0.6232,0.5988,0.4485,0.5237,0.8822,0.6296,0.7559,0.8031,0.7994,0.8012
23.2,0.1651,0.3389,0.6174,0.5772,0.429,0.5031,0.8671,0.6106,0.7389,0.8027,0.8028,0.8027
23.3,0.1373,0.3288,0.6134,0.5549,0.4114,0.4832,0.8527,0.5944,0.7235,0.7999,0.8044,0.8021
23.4,0.1012,0.322,0.6113,0.5327,0.3962,0.4644,0.8392,0.5813,0.7103,0.795,0.8041,0.7996
23.5,0.0582,0.3191,0.6108,0.5116,0.3843,0.448,0.8269,0.5711,0.699,0.788,0.8021,0.795
23.6,0.0101,0.3203,0.6115,0.4922,0.3768,0.4345,0.8156,0.5633,0.6894,0.7791,0.7984,0.7887
23.7,-0.0412,0.3254,0.6128,0.4746,0.3739,0.4242,0.8053,0.5575,0.6814,0.7683,0.7932,0.7807
23.8,-0.0948,0.3344,0.6142,0.4587,0.3756,0.4171,0.796,0.5538,0.6749,0.7558,0.7867,0.7712
23.9,-0.1501,0.3471,0.6154,0.4446,0.3822,0.4134,0.7877,0.5526,0.6702,0.7417,0.7791,0.7604
24,-0.2061,0.3634,0.616,0.4328,0.3941,0.4134,0.7804,0.5539,0.6672,0.7259,0.7704,0.7482
24.1,-0.2605,0.3828,0.6157,0.4237,0.4113,0.4175,0.7738,0.5575,0.6656,0.7083,0.7604,0.7343
24.2,-0.3111,0.4046,0.6142,0.4182,0.4333,0.4257,0.7678,0.5627,0.6653,0.689,0.7488,0.7189
24.3,-0.3558,0.4276,0.6114,0.4163,0.4586,0.4374,0.7624,0.5696,0.666,0.6682,0.7359,0.7021
24.4,-0.3931,0.4504,0.6074,0.4181,0.4854,0.4517,0.7579,0.5779,0.6679,0.6467,0.7221,0.6844
24.5,-0.4224,0.4721,0.6024,0.4234,0.5122,0.4678,0.7546,0.5874,0.671,0.6248,0.708,0.6664
24.6,-0.4436,0.4925,0.597,0.4326,0.5381,0.4853,0.7524,0.5976,0.675,0.6031,0.694,0.6485
24.7,-0.4571,0.512,0.5914,0.4452,0.5628,0.504,0.7516,0.6077,0.6797,0.5819,0.6805,0.6312
24.8,-0.4634,0.5305,0.5857,0.461,0.5857,0.5233,0.7523,0.6172,0.6848,0.5622,0.6681,0.6151
24.9,-0.4634,0.5479,0.5801,0.4791,0.6067,0.5429,0.7547,0.6261,0.6904,0.5455,0.6576,0.6016
25,-0.4584,0.5638,0.5747,0.4991,0.6259,0.5625,0.7588,0.6349,0.6968,0.5327,0.6499,0.5913
25.1,-0.4492,0.5781,0.5694,0.5204,0.6436,0.582,0.7644,0.6435,0.7039,0.5239,0.6451,0.5845
25.2,-0.4366,0.5905,0.564,0.5423,0.66,0.6012,0.771,0.6514,0.7112,0.5185,0.6424,0.5805
25.3,-0.4214,0.6012,0.5587,0.564,0.6753,0.6196,0.7778,0.6574,0.7176,0.5157,0.6411,0.5784
25.4,-0.4041,0.6102,0.5536,0.5846,0.6893,0.637,0.7842,0.6608,0.7225,0.5153,0.6403,0.5778
25.5,-0.3855,0.6177,0.5489,0.6038,0.7023,0.653,0.7893,0.6611,0.7252,0.5171,0.6398,0.5785
25.6,-0.3664,0.6239,0.5445,0.6214,0.7146,0.668,0.7928,0.6584,0.7256,0.5209,0.6393,0.5801
25.7,-0.3483,0.6294,0.5403,0.6374,0.7273,0.6824,0.7943,0.6531,0.7237,0.5262,0.6382,0.5822
25.8,-0.3331,0.635,0.5366,0.6519,0.7414,0.6967,0.7935,0.6458,0.7196,0.5323,0.6354,0.5838
25.9,-0.3221,0.6408,0.5331,0.6649,0.7571,0.711,0.7901,0.6368,0.7135,0.5388,0.6295,0.5841
26,-0.3158,0.6467,0.5301,0.6767,0.7738,0.7253,0.7846,0.6271,0.7059,0.5453,0.6196,0.5824
26.1,-0.3135,0.6523,0.5279,0.6872,0.7911,0.7392,0.7775,0.6179,0.6977,0.5514,0.6055,0.5784
26.2,-0.3148,0.657,0.5273,0.6961,0.8086,0.7524,0.7694,0.6103,0.6899,0.5564,0.5881,0.5723
26.3,-0.3203,0.6602,0.529,0.7029,0.8263,0.7646,0.7613,0.6057,0.6835,0.5601,0.5682,0.5642
26.4,-0.33,0.6616,0.5334,0.7072,0.8439,0.7755,0.754,0.6047,0.6793,0.5624,0.5467,0.5545
26.5,-0.3432,0.6611,0.5401,0.7097,0.8611,0.7854,0.7478,0.6077,0.6777,0.5635,0.524,0.5438
26.6,-0.3586,0.659,0.5489,0.7118,0.8778,0.7948,0.743,0.6146,0.6788,0.5639,0.5002,0.5321
26.7,-0.3746,0.6555,0.5595,0.7145,0.8934,0.804,0.7392,0.6251,0.6822,0.5632,0.4755,0.5194
26.8,-0.3899,0.6506,0.5722,0.7178,0.9071,0.8125,0.7359,0.6386,0.6872,0.5612,0.4502,0.5057
26.9,-0.4042,0.6444,0.5871,0.7211,0.9182,0.8196,0.7332,0.6543,0.6937,0.5576,0.4251,0.4913
27,-0.4179,0.6366,0.6042,0.7234,0.9262,0.8248,0.7311,0.6722,0.7016,0.5528,0.4008,0.4768
27.1,-0.431,0.6271,0.6234,0.7247,0.9309,0.8278,0.7302,0.6924,0.7113,0.5471,0.3785,0.4628
27.2,-0.4434,0.6161,0.6446,0.7247,0.932,0.8284,0.7308,0.7152,0.723,0.5412,0.3596,0.4504
27.3,-0.4546,0.6034,0.6679,0.7237,0.9295,0.8266,0.7333,0.7399,0.7366,0.5357,0.3459,0.4408
27.4,-0.4634,0.5886,0.6929,0.7216,0.9226,0.8221,0.7377,0.7657,0.7517,0.5314,0.3393,0.4353
27.5,-0.4685,0.5716,0.7193,0.7182,0.9105,0.8144,0.7437,0.7912,0.7675,0.5288,0.3409,0.4349
27.6,-0.4701,0.553,0.746,0.7139,0.8936,0.8038,0.7512,0.8153,0.7832,0.5283,0.351,0.4396
27.7,-0.4693,0.5339,0.7718,0.7088,0.8729,0.7908,0.7599,0.837,0.7985,0.5293,0.3684,0.4488
27.8,-0.4673,0.5154,0.796,0.7034,0.8498,0.7766,0.7693,0.8563,0.8128,0.531,0.3915,0.4613
27.9,-0.4645,0.4987,0.8177,0.6984,0.8257,0.762,0.7788,0.873,0.8259,0.5329,0.4185,0.4757
28,-0.4605,0.4844,0.836,0.6942,0.8009,0.7476,0.7877,0.887,0.8374,0.535,0.4474,0.4912
28.1,-0.4542,0.4725,0.8499,0.6911,0.7755,0.7333,0.7956,0.8977,0.8467,0.5375,0.4761,0.5068
28.2,-0.4447,0.463,0.859,0.6886,0.7494,0.719,0.8019,0.9049,0.8534,0.5407,0.5026,0.5216
28.3,-0.4314,0.456,0.8629,0.6863,0.723,0.7047,0.8063,0.9081,0.8572,0.544,0.5253,0.5346
28.4,-0.4145,0.4518,0.8619,0.6836,0.697,0.6903,0.8085,0.9069,0.8577,0.5467,0.5434,0.5451
28.5,-0.3942,0.451,0.8562,0.6801,0.6719,0.676,0.8079,0.9008,0.8543,0.5488,0.5567,0.5528
28.6,-0.3712,0.4541,0.8462,0.6759,0.6482,0.6621,0.8045,0.8897,0.8471,0.5507,0.5661,0.5584
28.7,-0.3461,0.4617,0.8326,0.6715,0.6267,0.6491,0.7987,0.8742,0.8364,0.5532,0.5723,0.5627
28.8,-0.3194,0.474,0.8162,0.6672,0.6084,0.6378,0.7908,0.855,0.8229,0.5562,0.576,0.5661
28.9,-0.2921,0.4906,0.7977,0.663,0.5936,0.6283,0.781,0.8331,0.8071,0.5595,0.5778,0.5686
29,-0.2664,0.511,0.7781,0.6587,0.5824,0.6205,0.7698,0.809,0.7894,0.5629,0.5777,0.5703
29.1,-0.2449,0.5346,0.758,0.6542,0.5747,0.6145,0.7575,0.7833,0.7704,0.5667,0.5758,0.5713
29.2,-0.229,0.5608,0.7378,0.6498,0.5704,0.6101,0.7448,0.7568,0.7508,0.5711,0.5727,0.5719
29.3,-0.2188,0.5882,0.7181,0.6453,0.5689,0.6071,0.732,0.7308,0.7314,0.5759,0.5688,0.5723
29.4,-0.2131,0.6152,0.6993,0.6403,0.5697,0.605,0.7189,0.7064,0.7127,0.5807,0.5644,0.5726
29.5,-0.2113,0.6408,0.682,0.6347,0.5729,0.6038,0.7057,0.6844,0.695,0.5852,0.56,0.5726
29.6,-0.213,0.664,0.6667,0.6292,0.5788,0.604,0.6926,0.6647,0.6787,0.5895,0.5557,0.5726
29.7,-0.2183,0.6848,0.6533,0.625,0.5877,0.6064,0.6804,0.6467,0.6636,0.5939,0.5514,0.5726
29.8,-0.2254,0.7029,0.6418,0.6228,0.5989,0.6108,0.6692,0.6292,0.6492,0.5988,0.5473,0.573
29.9,-0.232,0.7178,0.6321,0.6224,0.6105,0.6164,0.6588,0.6116,0.6352,0.6044,0.5438,0.5741
30,-0.2366,0.7283,0.624,0.6229,0.6205,0.6217,0.6487,0.5937,0.6212,0.6111,0.5416,0.5764
30.1,-0.2403,0.7338,0.6173,0.623,0.6275,0.6253,0.6388,0.5754,0.6071,0.6192,0.5414,0.5803
30.2,-0.245,0.734,0.6116,0.6217,0.6309,0.6263,0.6296,0.5567,0.5931,0.6289,0.5438,0.5864
30.3,-0.2518,0.7291,0.6068,0.6188,0.6311,0.6249,0.6219,0.538,0.5799,0.6407,0.5495,0.5951
30.4,-0.2597,0.7198,0.6026,0.6144,0.6285,0.6215,0.6163,0.5202,0.5683,0.6544,0.5584,0.6064
30.5,-0.2669,0.7067,0.5988,0.6092,0.6236,0.6164,0.6132,0.5038,0.5585,0.6694,0.5705,0.6199
30.6,-0.2722,0.6911,0.5948,0.6034,0.6167,0.6101,0.6121,0.4883,0.5502,0.6845,0.5849,0.6347
30.7,-0.2758,0.6737,0.5907,0.5977,0.6086,0.6032,0.6127,0.4734,0.543,0.6986,0.6008,0.6497
30.8,-0.2785,0.6557,0.5869,0.5927,0.6006,0.5966,0.6146,0.4587,0.5366,0.7107,0.6168,0.6637
30.9,-0.2812,0.638,0.5833,0.5888,0.5933,0.591,0.6177,0.4443,0.531,0.7196,0.631,0.6753
31,-0.2845,0.6212,0.5797,0.5863,0.5872,0.5867,0.6215,0.4307,0.5261,0.7245,0.6416,0.683
31.1,-0.2882,0.6056,0.5756,0.5857,0.582,0.5838,0.6258,0.4183,0.5221,0.7253,0.6476,0.6865
31.2,-0.2913,0.5914,0.571,0.5873,0.5774,0.5823,0.6305,0.4078,0.5192,0.7224,0.6487,0.6855
31.3,-0.2936,0.5788,0.5663,0.5913,0.5734,0.5824,0.635,0.3999,0.5174,0.7158,0.6449,0.6803
31.4,-0.2952,0.5681,0.5619,0.5977,0.5698,0.5838,0.6386,0.3951,0.5169,0.7054,0.6366,0.671
31.5,-0.2965,0.5598,0.5587,0.6063,0.5668,0.5865,0.6414,0.3941,0.5177,0.6916,0.6248,0.6582
31.6,-0.2978,0.5545,0.5572,0.6173,0.5647,0.591,0.6434,0.3973,0.5203,0.6746,0.6106,0.6426
31.7,-0.2997,0.5527,0.5582,0.6315,0.5643,0.5979,0.645,0.4047,0.5249,0.655,0.5948,0.6249
31.8,-0.3025,0.5551,0.5621,0.65,0.5661,0.6081,0.6461,0.4166,0.5314,0.633,0.5782,0.6056
31.9,-0.3063,0.5618,0.5695,0.6727,0.5706,0.6216,0.6458,0.4332,0.5395,0.6087,0.5614,0.585
32,-0.3107,0.5726,0.5807,0.6984,0.5779,0.6381,0.6437,0.4543,0.549,0.5823,0.5446,0.5634
32.1,-0.315,0.5865,0.5955,0.7251,0.5876,0.6563,0.6391,0.4797,0.5594,0.5543,0.5282,0.5412
32.2,-0.3179,0.6027,0.6129,0.751,0.5991,0.6751,0.6317,0.5083,0.57,0.526,0.513,0.5195
32.3,-0.3183,0.6201,0.6316,0.7749,0.6121,0.6935,0.6215,0.5391,0.5803,0.4988,0.4996,0.4992
32.4,-0.3145,0.6381,0.6505,0.7963,0.6258,0.711,0.6086,0.5708,0.5897,0.4737,0.4884,0.481
32.5,-0.3039,0.6561,0.6689,0.8152,0.6396,0.7274,0.593,0.602,0.5975,0.4507,0.479,0.4648
32.6,-0.2852,0.6732,0.6858,0.8309,0.6522,0.7416,0.575,0.6315,0.6032,0.4295,0.4711,0.4503
32.7,-0.2584,0.6881,0.7001,0.8419,0.6626,0.7522,0.5547,0.6584,0.6065,0.4104,0.4646,0.4375
32.8,-0.2243,0.699,0.7111,0.8468,0.67,0.7584,0.5327,0.6819,0.6073,0.3935,0.4595,0.4265
32.9,-0.1839,0.7046,0.7187,0.8451,0.6748,0.76,0.5099,0.7018,0.6059,0.3789,0.4554,0.4171
