Time,Bonds - Fathers Day Package 15 TVC,Bonds - Fathers Day Package 15 TVC,Bonds - Fathers Day Package 15 TVC,Bonds - Fathers Day Package 15 TVC,Bonds - Fathers Day Package 15 TVC,Bonds - Fathers Day Package 15 TVC,Bonds - Fathers Day Package 15 TVC,Bonds - Fathers Day Package 15 TVC,Bonds - Fathers Day Package 15 TVC,Bonds - Fathers Day Package 15 TVC,Bonds - Fathers Day Package 15 TVC,Bonds - Fathers Day Package 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
11.5,0.2568,0.7192,0.5977,0.798,0.5992,0.6986,0.6014,0.4162,0.5088,0.7012,0.7363,0.7187
11.6,0.223,0.708,0.5824,0.7878,0.6058,0.6968,0.5898,0.4195,0.5046,0.7115,0.7309,0.7212
11.7,0.1899,0.6959,0.5626,0.7755,0.6115,0.6935,0.5774,0.4214,0.4994,0.7217,0.7239,0.7228
11.8,0.1575,0.6826,0.5386,0.7619,0.6159,0.6889,0.5638,0.4215,0.4927,0.7309,0.7146,0.7227
11.9,0.1268,0.6681,0.5113,0.7478,0.6185,0.6832,0.5486,0.4191,0.4838,0.7383,0.703,0.7207
12,0.0996,0.6524,0.4818,0.7338,0.619,0.6764,0.5316,0.4138,0.4727,0.7441,0.6898,0.717
12.1,0.0769,0.636,0.4514,0.7197,0.6173,0.6685,0.5129,0.4058,0.4594,0.7481,0.6759,0.712
12.2,0.0581,0.6195,0.4208,0.7056,0.6138,0.6597,0.493,0.3954,0.4442,0.75,0.6617,0.7058
12.3,0.0423,0.6036,0.3905,0.6916,0.6089,0.6502,0.4717,0.3831,0.4274,0.7488,0.6475,0.6982
12.4,0.0291,0.5891,0.361,0.6783,0.6034,0.6408,0.4491,0.3691,0.4091,0.7439,0.6338,0.6889
12.5,0.0186,0.5766,0.3331,0.6659,0.5974,0.6317,0.4253,0.3537,0.3895,0.7354,0.6213,0.6783
12.6,0.0108,0.5665,0.3078,0.6545,0.5912,0.6229,0.4007,0.3373,0.369,0.7241,0.611,0.6676
12.7,0.0043,0.559,0.2865,0.644,0.5849,0.6145,0.3765,0.3204,0.3484,0.7108,0.6038,0.6573
12.8,-0.0017,0.5542,0.2702,0.6344,0.5791,0.6067,0.3535,0.3038,0.3286,0.6958,0.5997,0.6477
12.9,-0.0074,0.5523,0.2597,0.6262,0.574,0.6001,0.3331,0.2878,0.3104,0.6796,0.5982,0.6389
13,-0.0117,0.5535,0.2553,0.6204,0.5701,0.5952,0.3169,0.273,0.295,0.6629,0.5993,0.6311
13.1,-0.0134,0.558,0.2568,0.6179,0.5674,0.5926,0.3062,0.2601,0.2832,0.647,0.6035,0.6253
13.2,-0.0113,0.5652,0.2641,0.6197,0.5657,0.5927,0.3019,0.2495,0.2757,0.6338,0.6113,0.6225
13.3,-0.0048,0.5742,0.2765,0.626,0.5644,0.5952,0.3037,0.2414,0.2725,0.624,0.6218,0.6229
13.4,0.0056,0.5841,0.2936,0.6365,0.5633,0.5999,0.3112,0.2355,0.2734,0.6179,0.6332,0.6255
13.5,0.0188,0.5948,0.3152,0.6506,0.5621,0.6063,0.3239,0.2319,0.2779,0.6147,0.6438,0.6293
13.6,0.0337,0.6066,0.3417,0.668,0.5616,0.6148,0.3417,0.231,0.2864,0.6145,0.653,0.6338
13.7,0.0492,0.6201,0.3738,0.6886,0.5632,0.6259,0.3652,0.2341,0.2996,0.6178,0.6617,0.6397
13.8,0.0641,0.6355,0.4116,0.7123,0.5682,0.6403,0.3941,0.2421,0.3181,0.6246,0.6701,0.6473
13.9,0.0772,0.6527,0.4538,0.7385,0.577,0.6577,0.4277,0.2552,0.3414,0.6344,0.6774,0.6559
14,0.0871,0.6712,0.4983,0.7662,0.59,0.6781,0.4648,0.273,0.3689,0.6464,0.6826,0.6645
14.1,0.0931,0.6909,0.5435,0.7951,0.6073,0.7012,0.5049,0.295,0.4,0.6606,0.686,0.6733
14.2,0.0956,0.7114,0.5883,0.8247,0.6287,0.7267,0.5479,0.3211,0.4345,0.6772,0.6888,0.683
14.3,0.0959,0.7318,0.6323,0.8545,0.6537,0.7541,0.5935,0.3511,0.4723,0.6965,0.6921,0.6943
14.4,0.0947,0.7508,0.6751,0.883,0.6809,0.782,0.6408,0.3846,0.5127,0.718,0.6958,0.7069
14.5,0.0925,0.7672,0.7154,0.9082,0.7086,0.8084,0.6877,0.42,0.5539,0.7404,0.6988,0.7196
14.6,0.0906,0.7804,0.7516,0.9285,0.7345,0.8315,0.7323,0.4556,0.5939,0.7617,0.6997,0.7307
14.7,0.0907,0.7901,0.782,0.9438,0.7563,0.8501,0.773,0.4899,0.6314,0.7799,0.6975,0.7387
14.8,0.0942,0.7957,0.8054,0.9545,0.7722,0.8633,0.8093,0.5215,0.6654,0.7934,0.6915,0.7424
14.9,0.1027,0.7959,0.8211,0.9609,0.7814,0.8712,0.8408,0.5501,0.6954,0.8015,0.6818,0.7416
