Time,Bendigo Bank - Bigger for you 30 TVC,Bendigo Bank - Bigger for you 30 TVC,Bendigo Bank - Bigger for you 30 TVC,Bendigo Bank - Bigger for you 30 TVC,Bendigo Bank - Bigger for you 30 TVC,Bendigo Bank - Bigger for you 30 TVC,Bendigo Bank - Bigger for you 30 TVC,Bendigo Bank - Bigger for you 30 TVC,Bendigo Bank - Bigger for you 30 TVC,Bendigo Bank - Bigger for you 30 TVC,Bendigo Bank - Bigger for you 30 TVC,Bendigo Bank - Bigger for you 30 TVC
21.1,0.0749,0.827,0.7414,0.8476,0.8421,0.8449,0.768,0.7088,0.7384,0.4133,0.4451,0.4292
21.2,0.1107,0.8169,0.7187,0.8205,0.8173,0.8189,0.7703,0.7156,0.743,0.3923,0.445,0.4186
21.3,0.1447,0.8037,0.6915,0.7909,0.7878,0.7894,0.7645,0.7145,0.7395,0.3708,0.443,0.4069
21.4,0.176,0.7873,0.6615,0.7601,0.7548,0.7575,0.751,0.7062,0.7286,0.3497,0.4392,0.3944
21.5,0.2037,0.7683,0.63,0.7297,0.7204,0.725,0.7305,0.6913,0.7109,0.3294,0.4335,0.3814
21.6,0.2274,0.7478,0.5979,0.7009,0.6868,0.6938,0.7037,0.6706,0.6872,0.3101,0.426,0.368
21.7,0.2469,0.7264,0.5652,0.6746,0.6554,0.665,0.6719,0.6452,0.6586,0.2921,0.4169,0.3545
21.8,0.2623,0.7042,0.533,0.6511,0.6268,0.639,0.6371,0.6165,0.6268,0.2764,0.4065,0.3415
21.9,0.274,0.6817,0.5023,0.6309,0.6017,0.6163,0.6014,0.5864,0.5939,0.264,0.3955,0.3298
22,0.2822,0.6597,0.4748,0.6146,0.58,0.5973,0.5669,0.5568,0.5619,0.2556,0.3846,0.3201
22.1,0.2869,0.6394,0.451,0.6025,0.5618,0.5821,0.5346,0.529,0.5318,0.2511,0.3741,0.3126
22.2,0.2878,0.6211,0.4307,0.594,0.5462,0.5701,0.5045,0.5036,0.5041,0.2501,0.3646,0.3073
22.3,0.2842,0.605,0.4133,0.5881,0.5326,0.5603,0.4764,0.4806,0.4785,0.2522,0.3568,0.3045
22.4,0.2755,0.5908,0.3986,0.5835,0.5202,0.5518,0.4501,0.4599,0.455,0.2577,0.3516,0.3046
22.5,0.2611,0.5776,0.3868,0.5794,0.5089,0.5442,0.4254,0.4419,0.4336,0.2668,0.3502,0.3085
22.6,0.2409,0.5653,0.378,0.5755,0.4988,0.5371,0.4024,0.4268,0.4146,0.2803,0.3534,0.3169
22.7,0.216,0.5534,0.3722,0.5712,0.4898,0.5305,0.3813,0.4148,0.3981,0.2982,0.3616,0.3299
22.8,0.188,0.5421,0.3691,0.5663,0.4819,0.5241,0.3621,0.4059,0.384,0.32,0.3742,0.3471
22.9,0.1586,0.5314,0.3678,0.5606,0.475,0.5178,0.345,0.4,0.3725,0.3447,0.3907,0.3677
23,0.1295,0.5218,0.3683,0.5543,0.47,0.5121,0.3301,0.3977,0.3639,0.3719,0.4105,0.3912
23.1,0.1013,0.5136,0.371,0.5479,0.4675,0.5077,0.3177,0.3997,0.3587,0.4015,0.4329,0.4172
23.2,0.0743,0.5072,0.3768,0.542,0.4682,0.5051,0.3076,0.4066,0.3571,0.4327,0.4574,0.445
23.3,0.0487,0.5029,0.3858,0.5369,0.4719,0.5044,0.2993,0.4182,0.3588,0.4635,0.4828,0.4732
23.4,0.0243,0.5006,0.3975,0.5325,0.4786,0.5056,0.2925,0.4337,0.3631,0.4917,0.5075,0.4996
23.5,0.0012,0.5001,0.4113,0.5285,0.4878,0.5082,0.2872,0.4518,0.3695,0.5157,0.5307,0.5232
23.6,-0.021,0.5011,0.4264,0.5249,0.4993,0.5121,0.2833,0.4715,0.3774,0.5355,0.5522,0.5439
23.7,-0.043,0.5033,0.4422,0.522,0.5132,0.5176,0.2814,0.4918,0.3866,0.5522,0.5722,0.5622
23.8,-0.0653,0.5064,0.4582,0.52,0.5293,0.5247,0.2818,0.5124,0.3971,0.5664,0.5904,0.5784
23.9,-0.0876,0.5103,0.474,0.5195,0.5472,0.5333,0.2851,0.5332,0.4091,0.5782,0.6058,0.592
24,-0.1091,0.5151,0.4887,0.5208,0.5665,0.5437,0.2913,0.5539,0.4226,0.587,0.6169,0.602
24.1,-0.1289,0.5209,0.5015,0.5246,0.5872,0.5559,0.3,0.5739,0.437,0.5926,0.6223,0.6075
24.2,-0.147,0.528,0.5121,0.5315,0.6092,0.5703,0.3106,0.5926,0.4516,0.5948,0.6214,0.6081
24.3,-0.1639,0.5364,0.5203,0.5415,0.6322,0.5869,0.3222,0.6087,0.4654,0.5937,0.6137,0.6037
24.4,-0.1807,0.5462,0.526,0.5544,0.6551,0.6048,0.3341,0.6217,0.4779,0.5897,0.5997,0.5947
24.5,-0.1978,0.5572,0.5296,0.569,0.6767,0.6228,0.3456,0.6314,0.4885,0.5831,0.58,0.5816
24.6,-0.2152,0.569,0.531,0.5843,0.6955,0.6399,0.3562,0.6375,0.4968,0.5741,0.5554,0.5648
24.7,-0.232,0.581,0.5299,0.5989,0.7109,0.6549,0.3652,0.6394,0.5023,0.5628,0.5265,0.5446
24.8,-0.2469,0.5926,0.526,0.6117,0.7225,0.6671,0.3723,0.6363,0.5043,0.5487,0.4937,0.5212
24.9,-0.2586,0.6033,0.5191,0.6218,0.73,0.6759,0.3771,0.6276,0.5024,0.5314,0.4573,0.4944
25,-0.2661,0.6132,0.5093,0.6291,0.7331,0.6811,0.3799,0.6138,0.4969,0.5105,0.4179,0.4642
25.1,-0.2694,0.6225,0.4972,0.6337,0.7321,0.6829,0.3808,0.596,0.4884,0.4863,0.3765,0.4314
25.2,-0.2692,0.6316,0.4833,0.6367,0.7272,0.682,0.3801,0.5754,0.4778,0.4593,0.3339,0.3966
25.3,-0.2667,0.6404,0.468,0.6388,0.7187,0.6788,0.3777,0.5527,0.4652,0.4302,0.2905,0.3604
25.4,-0.2627,0.6482,0.4514,0.6399,0.707,0.6734,0.3737,0.5283,0.451,0.3991,0.2465,0.3228
25.5,-0.2571,0.654,0.4337,0.6392,0.6923,0.6658,0.3685,0.5032,0.4359,0.3659,0.2023,0.2841
25.6,-0.2497,0.6568,0.4158,0.636,0.6754,0.6557,0.363,0.4785,0.4207,0.3312,0.1588,0.245
25.7,-0.2405,0.6559,0.3987,0.6295,0.6572,0.6433,0.3577,0.4558,0.4068,0.2955,0.1171,0.2063
25.8,-0.2295,0.6509,0.3836,0.6197,0.6387,0.6292,0.3532,0.4364,0.3948,0.2597,0.0778,0.1687
25.9,-0.2166,0.6419,0.3713,0.6072,0.6209,0.6141,0.3495,0.4206,0.385,0.2246,0.0411,0.1328
26,-0.2016,0.6297,0.3616,0.5928,0.6041,0.5984,0.3466,0.4082,0.3774,0.1904,0.0064,0.0984
26.1,-0.1843,0.6155,0.3543,0.5771,0.5884,0.5828,0.3443,0.3987,0.3715,0.157,-0.0263,0.0654
26.2,-0.1648,0.6003,0.3491,0.5607,0.5743,0.5675,0.3423,0.3918,0.367,0.1243,-0.0564,0.034
26.3,-0.1444,0.5845,0.3456,0.5435,0.5618,0.5526,0.3405,0.3871,0.3638,0.0929,-0.0829,0.005
26.4,-0.1245,0.5684,0.3441,0.5255,0.5511,0.5383,0.3387,0.3845,0.3616,0.0636,-0.1054,-0.0209
26.5,-0.1067,0.5525,0.3444,0.5068,0.5422,0.5245,0.3371,0.3831,0.3601,0.0368,-0.1242,-0.0437
26.6,-0.0916,0.5372,0.3462,0.4875,0.5346,0.511,0.336,0.3822,0.3591,0.0126,-0.14,-0.0637
26.7,-0.0788,0.5226,0.3484,0.4682,0.5276,0.4979,0.3355,0.3813,0.3584,-0.009,-0.1531,-0.0811
26.8,-0.0668,0.5087,0.3499,0.4495,0.5209,0.4852,0.3357,0.3799,0.3578,-0.0277,-0.1636,-0.0957
26.9,-0.0544,0.4956,0.3505,0.4322,0.5143,0.4733,0.3367,0.3778,0.3572,-0.0431,-0.1713,-0.1072
27,-0.0409,0.4833,0.3502,0.4166,0.5081,0.4624,0.3385,0.3751,0.3568,-0.0547,-0.1764,-0.1155
27.1,-0.026,0.4719,0.3491,0.4026,0.5021,0.4523,0.3413,0.3718,0.3565,-0.0624,-0.1795,-0.1209
27.2,-0.009,0.4617,0.347,0.3897,0.4958,0.4428,0.345,0.368,0.3565,-0.0666,-0.1812,-0.1239
27.3,0.0104,0.4532,0.3434,0.378,0.4885,0.4333,0.3497,0.3638,0.3568,-0.0676,-0.182,-0.1248
27.4,0.0322,0.4466,0.3377,0.3679,0.4797,0.4238,0.3556,0.3591,0.3573,-0.0654,-0.1822,-0.1238
27.5,0.0558,0.4416,0.3295,0.3597,0.4686,0.4141,0.3624,0.3534,0.3579,-0.0595,-0.1821,-0.1208
27.6,0.0805,0.4384,0.3186,0.3534,0.4554,0.4044,0.3697,0.3464,0.358,-0.0497,-0.1817,-0.1157
27.7,0.1054,0.4372,0.3052,0.3488,0.4405,0.3947,0.3769,0.3382,0.3576,-0.0358,-0.1807,-0.1083
27.8,0.13,0.4384,0.2903,0.3454,0.4247,0.3851,0.3839,0.3293,0.3566,-0.0179,-0.1785,-0.0982
27.9,0.1543,0.4419,0.2748,0.3431,0.4085,0.3758,0.391,0.3202,0.3556,0.0041,-0.1747,-0.0853
28,0.1783,0.4471,0.2598,0.3424,0.3921,0.3673,0.3991,0.3111,0.3551,0.0307,-0.169,-0.0691
28.1,0.2015,0.4534,0.2466,0.3437,0.3753,0.3595,0.4091,0.3022,0.3557,0.0624,-0.1608,-0.0492
28.2,0.222,0.4608,0.2369,0.3474,0.3583,0.3529,0.4218,0.2941,0.358,0.0986,-0.1496,-0.0255
28.3,0.2373,0.4693,0.232,0.3539,0.3421,0.348,0.4379,0.2878,0.3629,0.1377,-0.135,0.0014
28.4,0.2448,0.4793,0.2327,0.3631,0.3279,0.3455,0.4577,0.2843,0.371,0.1774,-0.1172,0.0301
28.5,0.242,0.4909,0.2386,0.3749,0.3168,0.3459,0.4809,0.2838,0.3824,0.2161,-0.0968,0.0597
28.6,0.228,0.5034,0.2491,0.3888,0.3093,0.3491,0.5065,0.2857,0.3961,0.2535,-0.0739,0.0898
28.7,0.2036,0.5162,0.2634,0.403,0.305,0.354,0.5335,0.2892,0.4114,0.2898,-0.0485,0.1207
28.8,0.1708,0.5287,0.2804,0.4158,0.3034,0.3596,0.561,0.2939,0.4275,0.3249,-0.0206,0.1522
28.9,0.1322,0.5402,0.2993,0.4258,0.3044,0.3651,0.5879,0.2995,0.4437,0.358,0.0092,0.1836
29,0.0892,0.5507,0.3191,0.4332,0.3081,0.3707,0.6123,0.3061,0.4592,0.3875,0.0394,0.2134
29.1,0.0422,0.5609,0.3393,0.4388,0.3152,0.377,0.6327,0.3133,0.473,0.412,0.0686,0.2403
29.2,-0.0083,0.5717,0.3595,0.4439,0.3261,0.385,0.6487,0.3211,0.4849,0.4309,0.0958,0.2634
29.3,-0.0617,0.5844,0.3792,0.4493,0.3415,0.3954,0.6604,0.3295,0.4949,0.444,0.1209,0.2824
29.4,-0.1175,0.5996,0.3974,0.4551,0.3615,0.4083,0.6681,0.3382,0.5032,0.4509,0.1433,0.2971
29.5,-0.1756,0.6174,0.4129,0.4617,0.3862,0.4239,0.672,0.3467,0.5093,0.4515,0.1631,0.3073
29.6,-0.2368,0.6383,0.4246,0.4698,0.4156,0.4427,0.6721,0.3544,0.5132,0.4455,0.1799,0.3127
29.7,-0.3024,0.6633,0.432,0.4807,0.4506,0.4657,0.6686,0.3615,0.515,0.4332,0.1932,0.3132
29.8,-0.3717,0.6929,0.4343,0.4951,0.4913,0.4932,0.6619,0.3679,0.5149,0.4146,0.2023,0.3084
29.9,-0.4411,0.7259,0.4309,0.5128,0.5358,0.5243,0.6518,0.3739,0.5129,0.3902,0.2066,0.2984
