Time,Pantene - Oil Replacement 30 TVC,Pantene - Oil Replacement 30 TVC,Pantene - Oil Replacement 30 TVC,Pantene - Oil Replacement 30 TVC,Pantene - Oil Replacement 30 TVC,Pantene - Oil Replacement 30 TVC,Pantene - Oil Replacement 30 TVC,Pantene - Oil Replacement 30 TVC,Pantene - Oil Replacement 30 TVC,Pantene - Oil Replacement 30 TVC,Pantene - Oil Replacement 30 TVC,Pantene - Oil Replacement 30 TVC
21.2,-0.2915,0.444,0.4183,0.435,0.5535,0.4942,0.3497,0.611,0.4803,0.7421,0.6491,0.6956
21.3,-0.3028,0.4432,0.4159,0.4191,0.5559,0.4875,0.349,0.6098,0.4794,0.7332,0.6259,0.6796
21.4,-0.3047,0.4433,0.4135,0.4063,0.5574,0.4819,0.349,0.6063,0.4777,0.7214,0.6027,0.662
21.5,-0.2979,0.4446,0.4109,0.3972,0.5584,0.4778,0.3497,0.6008,0.4753,0.7069,0.5798,0.6434
21.6,-0.2834,0.4468,0.4085,0.3914,0.5587,0.4751,0.351,0.5938,0.4724,0.6898,0.5581,0.6239
21.7,-0.2627,0.4494,0.4069,0.3878,0.5578,0.4728,0.3526,0.5853,0.4689,0.6704,0.538,0.6042
21.8,-0.2369,0.4515,0.406,0.3851,0.5548,0.47,0.3538,0.5755,0.4647,0.6495,0.52,0.5848
21.9,-0.2062,0.4524,0.4063,0.383,0.55,0.4665,0.3548,0.5646,0.4597,0.6281,0.5046,0.5663
22,-0.1706,0.4523,0.4083,0.3815,0.5436,0.4626,0.3561,0.5528,0.4545,0.607,0.4917,0.5493
22.1,-0.1313,0.4511,0.4123,0.3807,0.5356,0.4582,0.3586,0.5406,0.4496,0.5868,0.4811,0.5339
22.2,-0.0902,0.4485,0.4178,0.3798,0.5253,0.4525,0.3623,0.528,0.4452,0.5672,0.4727,0.52
22.3,-0.0504,0.4444,0.4243,0.3778,0.512,0.4449,0.3668,0.5154,0.4411,0.5482,0.4664,0.5073
22.4,-0.014,0.4392,0.4314,0.374,0.4959,0.4349,0.3709,0.503,0.437,0.5303,0.4621,0.4962
22.5,0.018,0.4335,0.4395,0.3687,0.4778,0.4233,0.3743,0.4914,0.4329,0.514,0.4601,0.487
22.6,0.0452,0.4284,0.4489,0.3629,0.459,0.411,0.377,0.4808,0.4289,0.4996,0.4606,0.4801
22.7,0.0675,0.4248,0.4597,0.3577,0.4406,0.3992,0.3791,0.4712,0.4251,0.4868,0.4634,0.4751
22.8,0.084,0.4227,0.4713,0.3541,0.4235,0.3888,0.3807,0.4624,0.4216,0.4754,0.4683,0.4718
22.9,0.0934,0.4219,0.4834,0.3528,0.4083,0.3806,0.3816,0.4545,0.4181,0.4656,0.4753,0.4705
23,0.0948,0.4221,0.4963,0.3541,0.3961,0.3751,0.3816,0.4479,0.4148,0.4573,0.4847,0.471
23.1,0.0882,0.4228,0.5102,0.3577,0.3872,0.3725,0.3807,0.4427,0.4117,0.4507,0.4959,0.4733
23.2,0.0739,0.4238,0.5246,0.3635,0.3817,0.3726,0.3793,0.4384,0.4088,0.446,0.508,0.477
23.3,0.0529,0.4251,0.5386,0.3712,0.3785,0.3748,0.378,0.4346,0.4063,0.4435,0.5204,0.482
23.4,0.0266,0.4264,0.5517,0.3807,0.3772,0.3789,0.3777,0.4312,0.4044,0.4437,0.5331,0.4884
23.5,-0.0035,0.4274,0.564,0.3922,0.3777,0.3849,0.3797,0.4285,0.4041,0.4473,0.5469,0.4971
23.6,-0.0362,0.4281,0.5759,0.406,0.3805,0.3932,0.3854,0.4273,0.4064,0.4545,0.5622,0.5084
23.7,-0.0698,0.4287,0.5879,0.423,0.3867,0.4048,0.3954,0.428,0.4117,0.4654,0.579,0.5222
23.8,-0.1023,0.4296,0.5997,0.4442,0.3967,0.4205,0.4097,0.4307,0.4202,0.4794,0.5968,0.5381
23.9,-0.1317,0.431,0.6109,0.4702,0.4104,0.4403,0.4283,0.4353,0.4318,0.4961,0.6149,0.5555
24,-0.1569,0.4331,0.6211,0.5006,0.4271,0.4639,0.4508,0.4417,0.4462,0.5147,0.6328,0.5737
24.1,-0.1778,0.4351,0.6302,0.5345,0.446,0.4902,0.4768,0.4498,0.4633,0.5345,0.6502,0.5923
24.2,-0.1944,0.4368,0.6387,0.5702,0.4662,0.5182,0.5055,0.4596,0.4825,0.5549,0.6664,0.6107
24.3,-0.2058,0.438,0.6469,0.6059,0.4869,0.5464,0.5355,0.4707,0.5031,0.5753,0.6806,0.628
24.4,-0.2113,0.4386,0.6544,0.639,0.5066,0.5728,0.5652,0.4821,0.5237,0.5948,0.6921,0.6434
24.5,-0.2116,0.4387,0.6609,0.6677,0.5244,0.5961,0.5934,0.4928,0.5431,0.6132,0.7004,0.6568
24.6,-0.2081,0.4384,0.6662,0.6909,0.5398,0.6154,0.6192,0.502,0.5606,0.6303,0.706,0.6681
24.7,-0.2021,0.4379,0.6706,0.7084,0.5526,0.6305,0.6417,0.5092,0.5755,0.646,0.7087,0.6773
24.8,-0.194,0.4375,0.6739,0.7203,0.563,0.6416,0.6603,0.5143,0.5873,0.66,0.7083,0.6841
24.9,-0.1839,0.4375,0.6754,0.7267,0.571,0.6488,0.6745,0.5172,0.5958,0.6717,0.705,0.6883
25,-0.1723,0.4378,0.6746,0.7278,0.5764,0.6521,0.6841,0.5177,0.6009,0.6808,0.6993,0.6901
25.1,-0.1599,0.4382,0.6711,0.7243,0.579,0.6517,0.6897,0.5164,0.603,0.6876,0.6916,0.6896
25.2,-0.1474,0.4389,0.6656,0.7172,0.5787,0.648,0.6919,0.5136,0.6028,0.6923,0.6823,0.6873
25.3,-0.1355,0.4404,0.6586,0.7078,0.5768,0.6423,0.6914,0.5099,0.6006,0.6952,0.6711,0.6832
25.4,-0.1254,0.4432,0.6504,0.6969,0.5742,0.6356,0.6881,0.506,0.5971,0.6958,0.6575,0.6767
25.5,-0.1184,0.4478,0.6407,0.6852,0.5714,0.6283,0.682,0.5021,0.592,0.6936,0.6412,0.6674
25.6,-0.1159,0.4541,0.6287,0.6727,0.5685,0.6206,0.6729,0.498,0.5854,0.688,0.6223,0.6552
25.7,-0.1182,0.4618,0.6145,0.6594,0.5654,0.6124,0.6608,0.4934,0.5771,0.6795,0.6015,0.6405
25.8,-0.1244,0.4704,0.5988,0.6453,0.5622,0.6038,0.6461,0.4878,0.567,0.669,0.5791,0.6241
25.9,-0.1338,0.4796,0.5823,0.6302,0.5592,0.5947,0.6293,0.4813,0.5553,0.6576,0.5559,0.6067
26,-0.1459,0.4887,0.5653,0.6138,0.5566,0.5852,0.6111,0.4737,0.5424,0.6457,0.5318,0.5887
26.1,-0.1605,0.4974,0.5475,0.596,0.5547,0.5753,0.5925,0.4656,0.529,0.6336,0.5069,0.5702
26.2,-0.1777,0.5051,0.5286,0.577,0.5532,0.5651,0.5744,0.4574,0.5159,0.6218,0.4813,0.5515
26.3,-0.1968,0.5115,0.5089,0.5571,0.552,0.5545,0.5576,0.4494,0.5035,0.6105,0.455,0.5327
26.4,-0.2161,0.5163,0.4892,0.5366,0.551,0.5438,0.5428,0.4416,0.4922,0.5998,0.4278,0.5138
26.5,-0.2342,0.5191,0.4695,0.5156,0.5501,0.5329,0.5301,0.4335,0.4818,0.5893,0.3999,0.4946
26.6,-0.25,0.5195,0.4497,0.4942,0.5491,0.5216,0.5198,0.4249,0.4724,0.579,0.3717,0.4754
26.7,-0.2626,0.5174,0.4296,0.4726,0.5475,0.51,0.5123,0.4164,0.4643,0.569,0.3444,0.4567
26.8,-0.2715,0.5131,0.4095,0.4517,0.5453,0.4985,0.5074,0.4086,0.458,0.5591,0.3192,0.4391
26.9,-0.2761,0.5074,0.3901,0.4325,0.5427,0.4876,0.5051,0.4023,0.4537,0.5497,0.2969,0.4233
27,-0.276,0.5007,0.3717,0.4156,0.5398,0.4777,0.505,0.3976,0.4513,0.541,0.2782,0.4096
27.1,-0.2705,0.4931,0.3548,0.4013,0.5361,0.4687,0.5067,0.3944,0.4506,0.5336,0.263,0.3983
27.2,-0.2598,0.4838,0.3397,0.3892,0.5307,0.46,0.5103,0.3928,0.4515,0.5279,0.2516,0.3897
27.3,-0.2441,0.4726,0.3272,0.3788,0.5232,0.451,0.5159,0.3929,0.4544,0.5246,0.2445,0.3845
27.4,-0.2239,0.4595,0.318,0.3695,0.5136,0.4415,0.524,0.3951,0.4596,0.5242,0.2422,0.3832
27.5,-0.1992,0.445,0.3129,0.3611,0.5022,0.4317,0.5348,0.3997,0.4672,0.5272,0.2451,0.3862
27.6,-0.17,0.4303,0.3125,0.3543,0.4899,0.4221,0.5484,0.4067,0.4775,0.5341,0.2532,0.3936
27.7,-0.1367,0.4169,0.3174,0.3499,0.4777,0.4138,0.5649,0.416,0.4904,0.5448,0.2658,0.4053
27.8,-0.0997,0.4055,0.3278,0.3486,0.4663,0.4075,0.5841,0.4272,0.5057,0.5591,0.2824,0.4207
27.9,-0.0598,0.397,0.3438,0.3506,0.4565,0.4035,0.6058,0.4402,0.523,0.5766,0.3024,0.4395
28,-0.0167,0.3917,0.365,0.3556,0.4485,0.4021,0.6294,0.4546,0.542,0.5968,0.3252,0.461
28.1,0.0305,0.39,0.3905,0.3635,0.4426,0.4031,0.6536,0.47,0.5618,0.619,0.3503,0.4847
28.2,0.0828,0.3917,0.4191,0.3741,0.439,0.4065,0.677,0.4858,0.5814,0.643,0.3776,0.5103
28.3,0.1392,0.396,0.4494,0.3872,0.4373,0.4122,0.6978,0.5011,0.5994,0.6685,0.407,0.5377
28.4,0.1962,0.4014,0.4807,0.402,0.4369,0.4195,0.7144,0.5152,0.6148,0.6945,0.4378,0.5661
28.5,0.2497,0.4067,0.5121,0.417,0.4375,0.4273,0.7256,0.5277,0.6266,0.72,0.4688,0.5944
28.6,0.2969,0.411,0.543,0.4309,0.4392,0.435,0.7307,0.5381,0.6344,0.744,0.4984,0.6212
28.7,0.3362,0.4136,0.5726,0.4431,0.4421,0.4426,0.7296,0.546,0.6378,0.7657,0.5252,0.6455
28.8,0.3662,0.4144,0.5999,0.4536,0.4468,0.4502,0.7227,0.5514,0.637,0.7845,0.5488,0.6666
28.9,0.3851,0.4132,0.6246,0.4625,0.4536,0.4581,0.711,0.5545,0.6327,0.7996,0.5692,0.6844
29,0.3906,0.4098,0.6468,0.4692,0.4622,0.4657,0.6952,0.5561,0.6256,0.8108,0.5867,0.6987
29.1,0.3817,0.4041,0.6664,0.4729,0.4719,0.4724,0.6763,0.5567,0.6165,0.8179,0.601,0.7095
29.2,0.3591,0.3965,0.6829,0.4729,0.4825,0.4777,0.6551,0.5569,0.606,0.8214,0.6113,0.7163
29.3,0.3242,0.3875,0.6955,0.4698,0.494,0.4819,0.6321,0.5567,0.5944,0.8212,0.6169,0.719
29.4,0.2785,0.3778,0.7039,0.4644,0.5065,0.4854,0.6079,0.5561,0.582,0.8171,0.6175,0.7173
29.5,0.223,0.3684,0.7084,0.4576,0.5195,0.4886,0.583,0.5546,0.5688,0.8087,0.6131,0.7109
29.6,0.1591,0.3594,0.7099,0.4497,0.5322,0.491,0.5578,0.5519,0.5549,0.7956,0.6039,0.6998
29.7,0.089,0.351,0.7092,0.4404,0.5433,0.4919,0.5326,0.5478,0.5402,0.7781,0.5906,0.6843
29.8,0.0147,0.343,0.7065,0.4292,0.552,0.4906,0.5079,0.5425,0.5252,0.7569,0.5738,0.6653
29.9,-0.0619,0.3356,0.7023,0.4164,0.5581,0.4873,0.4846,0.5364,0.5105,0.7329,0.5542,0.6436
