Time,BOQ - Drummer 30 Client TVC,BOQ - Drummer 30 Client TVC,BOQ - Drummer 30 Client TVC,BOQ - Drummer 30 Client TVC,BOQ - Drummer 30 Client TVC,BOQ - Drummer 30 Client TVC,BOQ - Drummer 30 Client TVC,BOQ - Drummer 30 Client TVC,BOQ - Drummer 30 Client TVC,BOQ - Drummer 30 Client TVC,BOQ - Drummer 30 Client TVC,BOQ - Drummer 30 Client TVC
21.3,0.2114,0.343,0.4474,0.4465,0.4719,0.4592,0.4409,0.4174,0.4292,0.5663,0.3828,0.4746
21.4,0.2123,0.3365,0.4353,0.4355,0.4692,0.4524,0.4299,0.4135,0.4217,0.5583,0.3692,0.4637
21.5,0.2125,0.3347,0.4199,0.423,0.4693,0.4461,0.4181,0.4072,0.4127,0.5498,0.3547,0.4523
21.6,0.2135,0.3378,0.4015,0.4088,0.4714,0.4401,0.4054,0.3987,0.402,0.5412,0.3398,0.4405
21.7,0.2155,0.3461,0.381,0.3938,0.4751,0.4345,0.3923,0.3886,0.3905,0.5327,0.3253,0.429
21.8,0.2176,0.3597,0.36,0.3795,0.4801,0.4298,0.3798,0.3781,0.379,0.5248,0.3121,0.4184
21.9,0.2183,0.3782,0.3397,0.3672,0.4862,0.4267,0.3691,0.3678,0.3684,0.5179,0.3013,0.4096
22,0.2167,0.4012,0.3209,0.3577,0.4934,0.4255,0.3611,0.3581,0.3596,0.5129,0.2939,0.4034
22.1,0.213,0.4277,0.3043,0.3514,0.5014,0.4264,0.3567,0.3494,0.3531,0.5099,0.2906,0.4002
22.2,0.2086,0.4567,0.2901,0.3486,0.5097,0.4292,0.3567,0.3424,0.3496,0.5091,0.2922,0.4006
22.3,0.2043,0.4872,0.2794,0.3494,0.5178,0.4336,0.3615,0.3374,0.3494,0.5106,0.299,0.4048
22.4,0.2003,0.5181,0.2728,0.3536,0.5252,0.4394,0.3709,0.3345,0.3527,0.5146,0.3113,0.4129
22.5,0.196,0.5485,0.271,0.361,0.5321,0.4465,0.3842,0.3342,0.3592,0.5218,0.3292,0.4255
22.6,0.1895,0.5776,0.2742,0.3709,0.5391,0.455,0.401,0.3374,0.3692,0.533,0.3533,0.4431
22.7,0.18,0.6046,0.2821,0.3829,0.5469,0.4649,0.4213,0.3452,0.3833,0.5493,0.3838,0.4665
22.8,0.1676,0.6293,0.2945,0.3962,0.556,0.4761,0.4452,0.3582,0.4017,0.5714,0.4218,0.4966
22.9,0.1529,0.6514,0.3111,0.4103,0.5667,0.4885,0.4726,0.3762,0.4244,0.6,0.4679,0.534
23,0.1363,0.671,0.3307,0.4243,0.579,0.5017,0.5024,0.3984,0.4504,0.6354,0.5217,0.5785
23.1,0.1178,0.6881,0.3523,0.4374,0.5932,0.5153,0.5336,0.4242,0.4789,0.6772,0.5814,0.6293
23.2,0.0965,0.7031,0.3743,0.4491,0.6092,0.5292,0.5657,0.4526,0.5091,0.7245,0.644,0.6842
23.3,0.0722,0.7162,0.3956,0.4592,0.6272,0.5432,0.598,0.4826,0.5403,0.7754,0.7059,0.7407
23.4,0.0452,0.7281,0.4154,0.4677,0.6467,0.5572,0.6299,0.5131,0.5715,0.8275,0.7634,0.7954
23.5,0.0157,0.739,0.4332,0.4747,0.6671,0.5709,0.6606,0.5433,0.6019,0.878,0.8131,0.8455
23.6,-0.0168,0.7488,0.4488,0.4797,0.6878,0.5837,0.689,0.5727,0.6308,0.9246,0.8526,0.8886
23.7,-0.0525,0.7571,0.4631,0.4821,0.708,0.5951,0.7144,0.6009,0.6577,0.9654,0.8811,0.9233
23.8,-0.0906,0.7639,0.4774,0.4815,0.7273,0.6044,0.7366,0.6276,0.6821,0.9989,0.8994,0.9491
23.9,-0.1299,0.7686,0.4929,0.4779,0.7449,0.6114,0.7551,0.6522,0.7036,1.0236,0.9086,0.9661
24,-0.1692,0.7713,0.5099,0.4715,0.7599,0.6157,0.7694,0.6738,0.7216,1.0386,0.9097,0.9742
24.1,-0.2086,0.7719,0.5276,0.463,0.7713,0.6171,0.7791,0.691,0.7351,1.0433,0.903,0.9731
24.2,-0.2476,0.7708,0.5446,0.4529,0.7788,0.6159,0.7843,0.7028,0.7436,1.0377,0.889,0.9633
24.3,-0.2843,0.7688,0.5601,0.4422,0.7826,0.6124,0.7856,0.7088,0.7472,1.0229,0.8689,0.9459
24.4,-0.3151,0.7665,0.574,0.4322,0.7829,0.6075,0.7845,0.7099,0.7472,1.0005,0.844,0.9223
24.5,-0.3372,0.7645,0.5874,0.4239,0.78,0.6019,0.7823,0.7071,0.7447,0.9721,0.8157,0.8939
24.6,-0.3498,0.7626,0.6016,0.4179,0.7741,0.596,0.7801,0.7019,0.741,0.9396,0.7852,0.8624
24.7,-0.3537,0.7606,0.6173,0.4142,0.7653,0.5898,0.7783,0.6956,0.737,0.905,0.754,0.8295
24.8,-0.3496,0.7581,0.6344,0.4127,0.7542,0.5834,0.7775,0.6893,0.7334,0.8706,0.7244,0.7975
24.9,-0.3385,0.7551,0.653,0.4134,0.7413,0.5774,0.7785,0.6844,0.7314,0.8384,0.6986,0.7685
25,-0.3217,0.751,0.6729,0.4166,0.7277,0.5721,0.7819,0.6814,0.7316,0.8098,0.6788,0.7443
25.1,-0.3014,0.7458,0.6936,0.4223,0.7142,0.5683,0.7882,0.6808,0.7345,0.7859,0.666,0.726
25.2,-0.2795,0.7393,0.7141,0.4303,0.7023,0.5663,0.7976,0.6827,0.7401,0.7675,0.6606,0.714
25.3,-0.2569,0.7317,0.7328,0.4398,0.6929,0.5664,0.8101,0.6877,0.7489,0.7549,0.662,0.7084
25.4,-0.2327,0.723,0.7487,0.4502,0.6865,0.5684,0.8259,0.6962,0.761,0.7481,0.6693,0.7087
25.5,-0.2058,0.7135,0.7617,0.461,0.6828,0.5719,0.8444,0.7082,0.7763,0.7469,0.6818,0.7143
25.6,-0.1756,0.7033,0.7724,0.4718,0.6814,0.5766,0.8643,0.7233,0.7938,0.7511,0.6985,0.7248
25.7,-0.1425,0.693,0.7818,0.4827,0.6818,0.5823,0.8839,0.7412,0.8125,0.7609,0.7188,0.7398
25.8,-0.1064,0.6831,0.7903,0.4937,0.6843,0.589,0.9022,0.7617,0.832,0.7764,0.7419,0.7591
25.9,-0.0667,0.6737,0.7978,0.5046,0.6886,0.5966,0.9189,0.7849,0.8519,0.7973,0.767,0.7822
26,-0.024,0.665,0.8043,0.5148,0.6942,0.6045,0.9338,0.8107,0.8723,0.8228,0.7934,0.8081
26.1,0.0209,0.6564,0.8101,0.5236,0.7,0.6118,0.9463,0.8382,0.8922,0.8518,0.82,0.8359
26.2,0.0669,0.6477,0.8155,0.5304,0.7049,0.6176,0.9552,0.8658,0.9105,0.8832,0.8465,0.8649
26.3,0.1133,0.6387,0.8203,0.5347,0.7083,0.6215,0.9594,0.8922,0.9258,0.9159,0.872,0.8939
26.4,0.1594,0.6298,0.8239,0.5368,0.7098,0.6233,0.9584,0.9166,0.9375,0.9479,0.8953,0.9216
26.5,0.2044,0.621,0.8261,0.5366,0.7092,0.6229,0.952,0.9385,0.9453,0.9773,0.9147,0.946
26.6,0.2473,0.6123,0.8268,0.5342,0.706,0.6201,0.94,0.957,0.9485,1.0026,0.9288,0.9657
26.7,0.2875,0.603,0.8266,0.5295,0.6997,0.6146,0.9223,0.9712,0.9467,1.0229,0.9366,0.9797
26.8,0.3241,0.5926,0.8266,0.5219,0.6902,0.6061,0.8997,0.9802,0.94,1.038,0.9379,0.9879
26.9,0.3557,0.5804,0.8272,0.5109,0.6775,0.5942,0.8736,0.9836,0.9286,1.0482,0.9325,0.9904
27,0.3809,0.566,0.8284,0.4959,0.6623,0.5791,0.8456,0.9805,0.913,1.0534,0.9204,0.9869
27.1,0.398,0.5492,0.8296,0.4772,0.6456,0.5614,0.8169,0.9706,0.8937,1.0529,0.9012,0.9771
27.2,0.406,0.5301,0.8294,0.4561,0.6285,0.5423,0.7885,0.9541,0.8713,1.0463,0.8749,0.9606
27.3,0.4045,0.5094,0.8273,0.4341,0.612,0.5231,0.7614,0.9322,0.8468,1.0336,0.8421,0.9378
27.4,0.3937,0.4883,0.8236,0.4133,0.5971,0.5052,0.7365,0.9066,0.8216,1.015,0.804,0.9095
27.5,0.3751,0.4683,0.8191,0.3957,0.5848,0.4903,0.7148,0.8791,0.7969,0.9912,0.7623,0.8767
27.6,0.3503,0.4501,0.8149,0.382,0.5758,0.4789,0.6962,0.8513,0.7737,0.9621,0.7185,0.8403
27.7,0.3199,0.4336,0.8111,0.3716,0.57,0.4708,0.6801,0.8247,0.7524,0.9278,0.6743,0.8011
27.8,0.2845,0.4185,0.8074,0.3634,0.5666,0.465,0.6658,0.8003,0.733,0.8886,0.6317,0.7602
27.9,0.2452,0.4046,0.8035,0.3567,0.5645,0.4606,0.6526,0.7786,0.7156,0.8451,0.5926,0.7188
28,0.2038,0.3924,0.7991,0.3519,0.563,0.4575,0.6403,0.7599,0.7001,0.799,0.5583,0.6786
28.1,0.1628,0.3825,0.7944,0.3497,0.562,0.4559,0.6289,0.7439,0.6864,0.7524,0.53,0.6412
28.2,0.1239,0.3756,0.7892,0.3505,0.5614,0.4559,0.6184,0.7299,0.6742,0.7075,0.508,0.6078
28.3,0.087,0.3718,0.7835,0.3531,0.5607,0.4569,0.6086,0.7174,0.663,0.6657,0.4928,0.5792
28.4,0.0513,0.3707,0.7776,0.3559,0.5598,0.4578,0.5989,0.7066,0.6528,0.6281,0.4839,0.556
28.5,0.0162,0.3717,0.7714,0.3572,0.5584,0.4578,0.589,0.6978,0.6434,0.5952,0.4807,0.5379
28.6,-0.0184,0.375,0.765,0.3568,0.5567,0.4567,0.5785,0.6911,0.6348,0.5672,0.4819,0.5246
28.7,-0.0518,0.3807,0.7585,0.3551,0.5549,0.455,0.5673,0.686,0.6266,0.5442,0.4866,0.5154
28.8,-0.0825,0.3889,0.752,0.3529,0.5529,0.4529,0.5555,0.6819,0.6187,0.5263,0.4942,0.5103
28.9,-0.1097,0.3995,0.746,0.3507,0.5505,0.4506,0.5428,0.6783,0.6105,0.5137,0.5043,0.509
29,-0.1336,0.4118,0.7402,0.3482,0.5476,0.4479,0.5286,0.6749,0.6018,0.506,0.5162,0.5111
29.1,-0.155,0.425,0.7344,0.345,0.5447,0.4448,0.5133,0.6713,0.5923,0.5026,0.5287,0.5157
29.2,-0.1744,0.4384,0.7279,0.341,0.542,0.4415,0.4973,0.667,0.5822,0.5024,0.5408,0.5216
29.3,-0.1921,0.4515,0.7203,0.3369,0.54,0.4384,0.4814,0.6616,0.5715,0.5042,0.5519,0.5281
29.4,-0.2084,0.464,0.7111,0.3334,0.5387,0.436,0.4658,0.6554,0.5606,0.5075,0.5613,0.5344
29.5,-0.2226,0.4755,0.6992,0.3315,0.5382,0.4348,0.4508,0.649,0.5499,0.5119,0.5686,0.5403
29.6,-0.234,0.4864,0.6839,0.3314,0.5389,0.4351,0.4367,0.6429,0.5398,0.5166,0.5735,0.545
29.7,-0.2417,0.497,0.6648,0.3333,0.5406,0.4369,0.424,0.6368,0.5304,0.5208,0.5757,0.5483
29.8,-0.2451,0.5075,0.6423,0.3371,0.5431,0.4401,0.4126,0.6301,0.5214,0.524,0.5751,0.5495
29.9,-0.2441,0.5176,0.6175,0.3431,0.5456,0.4444,0.4023,0.622,0.5122,0.5258,0.5719,0.5488
