Time,ANZ3674 - Ninja Client TVC,ANZ3674 - Ninja Client TVC,ANZ3674 - Ninja Client TVC,ANZ3674 - Ninja Client TVC,ANZ3674 - Ninja Client TVC,ANZ3674 - Ninja Client TVC,ANZ3674 - Ninja Client TVC,ANZ3674 - Ninja Client TVC,ANZ3674 - Ninja Client TVC,ANZ3674 - Ninja Client TVC,ANZ3674 - Ninja Client TVC,ANZ3674 - Ninja Client TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
12.5,-0.191,0.7428,0.6702,0.6326,0.7153,0.674,0.8375,0.7516,0.7945,0.6934,0.7144,0.7039
12.6,-0.195,0.7382,0.6721,0.6163,0.7015,0.6589,0.8416,0.7544,0.798,0.6877,0.6924,0.6901
12.7,-0.2004,0.7312,0.675,0.5976,0.6903,0.6439,0.8435,0.7564,0.8,0.6809,0.6699,0.6754
12.8,-0.2065,0.7215,0.6787,0.5767,0.6814,0.6291,0.843,0.7567,0.7998,0.673,0.6478,0.6604
12.9,-0.2123,0.709,0.6829,0.5537,0.6746,0.6142,0.8398,0.7543,0.797,0.6635,0.6264,0.6449
13,-0.2172,0.6934,0.6875,0.5287,0.6693,0.599,0.8343,0.749,0.7917,0.652,0.6061,0.629
13.1,-0.2209,0.6746,0.6921,0.5018,0.665,0.5834,0.8269,0.7415,0.7842,0.6392,0.5878,0.6135
13.2,-0.2237,0.6519,0.6967,0.4731,0.6612,0.5672,0.8176,0.7322,0.7749,0.6261,0.5725,0.5993
13.3,-0.2262,0.6253,0.7005,0.4425,0.6575,0.55,0.8057,0.7215,0.7636,0.6134,0.5606,0.587
13.4,-0.228,0.5949,0.7027,0.41,0.6531,0.5316,0.7906,0.709,0.7498,0.6014,0.5522,0.5768
13.5,-0.2286,0.5616,0.7029,0.3766,0.6478,0.5122,0.7718,0.6944,0.7331,0.5901,0.547,0.5686
13.6,-0.2277,0.5263,0.7004,0.3437,0.6408,0.4922,0.7497,0.6774,0.7136,0.5796,0.5449,0.5623
13.7,-0.2262,0.4899,0.6953,0.3126,0.6312,0.4719,0.7245,0.6582,0.6913,0.5698,0.5459,0.5579
13.8,-0.2256,0.4532,0.6878,0.2839,0.6187,0.4513,0.6963,0.637,0.6667,0.5609,0.5495,0.5552
13.9,-0.2271,0.4166,0.6783,0.2579,0.6033,0.4306,0.6651,0.6146,0.6398,0.5524,0.5548,0.5536
14,-0.2307,0.3811,0.6668,0.2349,0.586,0.4105,0.6313,0.5915,0.6114,0.5436,0.5602,0.5519
14.1,-0.2351,0.3478,0.6533,0.2159,0.5683,0.3921,0.5959,0.5686,0.5823,0.5338,0.5648,0.5493
14.2,-0.2384,0.3179,0.6377,0.2021,0.5515,0.3768,0.5602,0.5463,0.5533,0.5225,0.5682,0.5454
14.3,-0.239,0.2922,0.6201,0.1943,0.5361,0.3652,0.5249,0.5249,0.5249,0.5097,0.5708,0.5403
14.4,-0.2362,0.2707,0.6015,0.1917,0.522,0.3568,0.4908,0.5042,0.4975,0.4957,0.5722,0.5339
14.5,-0.2305,0.2534,0.5828,0.1929,0.5087,0.3508,0.4589,0.4847,0.4718,0.4809,0.5719,0.5264
14.6,-0.2232,0.24,0.5648,0.1965,0.4958,0.3462,0.4302,0.4671,0.4487,0.4658,0.5694,0.5176
14.7,-0.2152,0.2306,0.548,0.2018,0.4835,0.3426,0.4054,0.4526,0.429,0.4507,0.5644,0.5076
