Time,GWM Australia Tank 300 - See you out there 30 TVC,GWM Australia Tank 300 - See you out there 30 TVC,GWM Australia Tank 300 - See you out there 30 TVC,GWM Australia Tank 300 - See you out there 30 TVC,GWM Australia Tank 300 - See you out there 30 TVC,GWM Australia Tank 300 - See you out there 30 TVC,GWM Australia Tank 300 - See you out there 30 TVC,GWM Australia Tank 300 - See you out there 30 TVC,GWM Australia Tank 300 - See you out there 30 TVC,GWM Australia Tank 300 - See you out there 30 TVC,GWM Australia Tank 300 - See you out there 30 TVC,GWM Australia Tank 300 - See you out there 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
9.7,-0.1094,0.45,0.1137,0.3251,0.5047,0.4149,0.4672,0.344,0.4056,0.3071,0.1869,0.247
9.8,-0.142,0.4419,0.1299,0.343,0.5137,0.4283,0.4768,0.3326,0.4047,0.3112,0.182,0.2466
9.9,-0.1737,0.4359,0.1569,0.3644,0.5273,0.4458,0.4867,0.3287,0.4077,0.3171,0.1831,0.2501
10,-0.2051,0.4319,0.194,0.3878,0.5442,0.466,0.496,0.3306,0.4133,0.3242,0.1902,0.2572
10.1,-0.2361,0.4302,0.2394,0.4121,0.5632,0.4877,0.5036,0.3366,0.4201,0.3322,0.2022,0.2672
10.2,-0.2669,0.4309,0.2912,0.4364,0.5836,0.51,0.5087,0.3458,0.4273,0.3404,0.2181,0.2793
10.3,-0.297,0.4341,0.3476,0.4604,0.6051,0.5328,0.511,0.3582,0.4346,0.3483,0.2362,0.2923
10.4,-0.3256,0.44,0.407,0.484,0.6276,0.5558,0.511,0.3743,0.4427,0.3561,0.2558,0.3059
10.5,-0.3515,0.449,0.467,0.5085,0.6511,0.5798,0.5097,0.3941,0.4519,0.3646,0.2767,0.3207
10.6,-0.3737,0.4612,0.5248,0.5347,0.6757,0.6052,0.5079,0.4172,0.4625,0.3748,0.2991,0.3369
10.7,-0.3917,0.4767,0.5777,0.5631,0.7015,0.6323,0.5064,0.4423,0.4744,0.387,0.3222,0.3546
10.8,-0.4051,0.4947,0.6242,0.5927,0.7281,0.6604,0.5061,0.4682,0.4872,0.4011,0.3449,0.373
10.9,-0.4133,0.5142,0.6642,0.6224,0.7543,0.6883,0.5078,0.4941,0.501,0.4173,0.3666,0.392
11,-0.4156,0.5338,0.6973,0.6506,0.7785,0.7146,0.5127,0.5194,0.516,0.4359,0.387,0.4115
11.1,-0.412,0.5524,0.7225,0.6767,0.7997,0.7382,0.5211,0.5432,0.5321,0.4572,0.4066,0.4319
11.2,-0.4034,0.5695,0.7387,0.7005,0.8178,0.7591,0.5322,0.5651,0.5487,0.4815,0.4254,0.4535
11.3,-0.3913,0.5851,0.7458,0.7226,0.833,0.7778,0.5448,0.5846,0.5647,0.5083,0.4435,0.4759
11.4,-0.3773,0.599,0.7453,0.7427,0.8457,0.7942,0.5583,0.6019,0.5801,0.5366,0.4612,0.4989
11.5,-0.3623,0.6109,0.7394,0.7604,0.8557,0.808,0.572,0.6172,0.5946,0.5654,0.4785,0.5219
11.6,-0.3467,0.6204,0.7298,0.7748,0.8628,0.8188,0.5848,0.6305,0.6076,0.5935,0.4951,0.5443
11.7,-0.3304,0.6271,0.7174,0.7853,0.8667,0.826,0.595,0.6415,0.6183,0.6197,0.5104,0.565
11.8,-0.3123,0.6312,0.7026,0.792,0.8675,0.8297,0.6012,0.6498,0.6255,0.6427,0.5234,0.5831
11.9,-0.2915,0.633,0.6861,0.7952,0.8651,0.8301,0.6035,0.6555,0.6295,0.6617,0.5333,0.5975
12,-0.2684,0.6327,0.669,0.7948,0.8599,0.8274,0.6026,0.6585,0.6306,0.6756,0.5392,0.6074
12.1,-0.2439,0.6307,0.6522,0.791,0.8522,0.8216,0.5991,0.6591,0.6291,0.6841,0.5408,0.6125
12.2,-0.2181,0.6272,0.6363,0.7838,0.8426,0.8132,0.5929,0.6579,0.6254,0.6873,0.5385,0.6129
12.3,-0.1909,0.6227,0.6216,0.7736,0.832,0.8028,0.5845,0.6551,0.6198,0.6856,0.5327,0.6092
12.4,-0.1624,0.618,0.6085,0.7614,0.8218,0.7916,0.5745,0.6507,0.6126,0.6797,0.5238,0.6017
12.5,-0.1332,0.614,0.5975,0.7481,0.8131,0.7806,0.5644,0.6451,0.6048,0.6703,0.5123,0.5913
12.6,-0.1047,0.6115,0.589,0.7349,0.8067,0.7708,0.5556,0.6388,0.5972,0.6578,0.4989,0.5783
