Time,ANZ3674 - ATM Client TVC,ANZ3674 - ATM Client TVC,ANZ3674 - ATM Client TVC,ANZ3674 - ATM Client TVC,ANZ3674 - ATM Client TVC,ANZ3674 - ATM Client TVC,ANZ3674 - ATM Client TVC,ANZ3674 - ATM Client TVC,ANZ3674 - ATM Client TVC,ANZ3674 - ATM Client TVC,ANZ3674 - ATM Client TVC,ANZ3674 - ATM Client TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
11.9,0.2453,0.2929,0.9063,0.4932,0.4935,0.4934,0.7373,0.5314,0.6344,0.6839,0.7498,0.7169
12,0.2583,0.2831,0.9285,0.4815,0.4882,0.4849,0.7463,0.5306,0.6384,0.6724,0.7658,0.7191
12.1,0.2667,0.2759,0.9456,0.4693,0.4831,0.4762,0.7538,0.5314,0.6426,0.6611,0.7801,0.7206
12.2,0.2696,0.2717,0.9572,0.4569,0.4787,0.4678,0.7602,0.5349,0.6476,0.6507,0.7929,0.7218
12.3,0.2667,0.2702,0.964,0.4446,0.4755,0.46,0.7658,0.542,0.6539,0.6417,0.8045,0.7231
12.4,0.2575,0.271,0.9661,0.4326,0.4741,0.4533,0.7706,0.5528,0.6617,0.6345,0.8147,0.7246
12.5,0.2417,0.2738,0.9632,0.4213,0.4748,0.448,0.7746,0.5675,0.671,0.6298,0.8233,0.7265
12.6,0.2198,0.2783,0.9552,0.4112,0.478,0.4446,0.7776,0.5858,0.6817,0.6282,0.8301,0.7292
12.7,0.1932,0.284,0.9429,0.4026,0.4841,0.4433,0.7801,0.6075,0.6938,0.6303,0.8357,0.733
12.8,0.1642,0.2905,0.9277,0.3954,0.4933,0.4444,0.7825,0.6321,0.7073,0.6364,0.8405,0.7385
12.9,0.1355,0.2974,0.9112,0.3893,0.5057,0.4475,0.7847,0.6588,0.7217,0.6459,0.8451,0.7455
13,0.1092,0.3046,0.8944,0.3842,0.5209,0.4525,0.7863,0.687,0.7366,0.6579,0.8493,0.7536
13.1,0.0863,0.3124,0.878,0.3801,0.5387,0.4594,0.787,0.7162,0.7516,0.6712,0.853,0.7621
13.2,0.0677,0.3212,0.8627,0.3772,0.5584,0.4678,0.7869,0.746,0.7664,0.6851,0.856,0.7706
13.3,0.0534,0.331,0.8499,0.3758,0.5793,0.4775,0.7867,0.7762,0.7814,0.6992,0.8585,0.7789
13.4,0.0433,0.3418,0.8412,0.3759,0.6006,0.4883,0.7868,0.8063,0.7966,0.713,0.8612,0.7871
13.5,0.0379,0.3535,0.8374,0.3781,0.6212,0.4996,0.7871,0.8352,0.8111,0.7256,0.8646,0.7951
13.6,0.0372,0.3659,0.8385,0.3825,0.6394,0.511,0.7864,0.8615,0.8239,0.7359,0.8684,0.8022
13.7,0.0411,0.3787,0.8436,0.3889,0.6543,0.5216,0.7837,0.8836,0.8337,0.7432,0.8719,0.8076
13.8,0.0489,0.3919,0.8518,0.397,0.6654,0.5312,0.7788,0.9011,0.84,0.7473,0.8742,0.8107
13.9,0.0589,0.4058,0.8626,0.4066,0.6732,0.5399,0.7723,0.914,0.8431,0.7485,0.875,0.8117
14,0.0698,0.4211,0.8756,0.4178,0.6782,0.548,0.7651,0.9229,0.844,0.7475,0.8745,0.811
14.1,0.0805,0.4381,0.8902,0.4308,0.6812,0.556,0.7577,0.9284,0.843,0.7451,0.8735,0.8093
14.2,0.0895,0.4568,0.9062,0.4452,0.6827,0.5639,0.7502,0.931,0.8406,0.7416,0.8728,0.8072
14.3,0.0952,0.4771,0.9231,0.4601,0.6828,0.5715,0.7427,0.9313,0.837,0.7374,0.8728,0.8051
14.4,0.0977,0.499,0.9404,0.4751,0.6818,0.5785,0.7354,0.9296,0.8325,0.7326,0.8735,0.8031
14.5,0.0977,0.5231,0.9573,0.4903,0.6802,0.5852,0.7286,0.9263,0.8274,0.7274,0.8747,0.801
14.6,0.0949,0.5502,0.9732,0.5064,0.6789,0.5927,0.7226,0.9217,0.8222,0.7217,0.8756,0.7987
14.7,0.0881,0.5806,0.9877,0.5244,0.6789,0.6017,0.7173,0.9165,0.8169,0.7155,0.8758,0.7957
14.8,0.0767,0.6142,1.0002,0.5449,0.6806,0.6128,0.7132,0.9111,0.8121,0.7091,0.8747,0.7919
14.9,0.062,0.6495,1.0102,0.5676,0.6842,0.6259,0.7107,0.9056,0.8082,0.7028,0.8717,0.7872
