Time,DoorDash - 30 TVC,DoorDash - 30 TVC,DoorDash - 30 TVC,DoorDash - 30 TVC,DoorDash - 30 TVC,DoorDash - 30 TVC,DoorDash - 30 TVC,DoorDash - 30 TVC,DoorDash - 30 TVC,DoorDash - 30 TVC,DoorDash - 30 TVC,DoorDash - 30 TVC
21.4,-0.1527,0.5645,0.8817,0.5162,0.5367,0.5264,0.6953,0.7044,0.6998,0.7128,0.7208,0.7168
21.5,-0.1227,0.5627,0.8746,0.5323,0.5258,0.529,0.6976,0.6888,0.6932,0.7142,0.7186,0.7164
21.6,-0.0954,0.5616,0.8645,0.5505,0.5174,0.5339,0.699,0.6708,0.6849,0.713,0.7142,0.7136
21.7,-0.0719,0.5613,0.8522,0.5706,0.5121,0.5413,0.6986,0.6505,0.6745,0.7091,0.7075,0.7083
21.8,-0.0533,0.5613,0.8379,0.5918,0.5099,0.5508,0.6973,0.6288,0.6631,0.7027,0.6985,0.7006
21.9,-0.0396,0.5613,0.8221,0.6132,0.5101,0.5616,0.6964,0.6071,0.6518,0.6948,0.6874,0.6911
22,-0.0295,0.5608,0.8049,0.634,0.5119,0.573,0.6962,0.586,0.6411,0.6862,0.6747,0.6804
22.1,-0.0214,0.5598,0.7864,0.6539,0.5146,0.5842,0.6958,0.5653,0.6306,0.6777,0.6608,0.6693
22.2,-0.0145,0.5589,0.767,0.6724,0.518,0.5952,0.6942,0.5446,0.6194,0.6697,0.6463,0.658
22.3,-0.0089,0.5584,0.7471,0.6892,0.5222,0.6057,0.6913,0.5236,0.6075,0.6627,0.6319,0.6473
22.4,-0.0052,0.5584,0.7273,0.704,0.5274,0.6157,0.6877,0.5032,0.5954,0.657,0.6182,0.6376
22.5,-0.0036,0.5583,0.7085,0.7158,0.5335,0.6246,0.6842,0.4843,0.5843,0.6531,0.6056,0.6294
22.6,-0.0039,0.5575,0.692,0.7235,0.5398,0.6317,0.6809,0.4682,0.5746,0.6515,0.5946,0.6231
22.7,-0.0061,0.5555,0.6786,0.7266,0.5458,0.6362,0.6775,0.4553,0.5664,0.6525,0.5855,0.619
22.8,-0.0101,0.5524,0.6688,0.7248,0.5508,0.6378,0.6739,0.4459,0.5599,0.656,0.5783,0.6172
22.9,-0.0156,0.5485,0.6627,0.7191,0.5544,0.6367,0.6703,0.4403,0.5553,0.6615,0.573,0.6172
23,-0.0219,0.5444,0.6602,0.7102,0.5561,0.6332,0.667,0.4393,0.5531,0.6683,0.5691,0.6187
23.1,-0.0284,0.5403,0.6611,0.6987,0.5557,0.6272,0.6637,0.4436,0.5537,0.6759,0.5664,0.6211
23.2,-0.0351,0.5359,0.6657,0.6847,0.553,0.6188,0.6603,0.4533,0.5568,0.6837,0.565,0.6244
23.3,-0.0424,0.5309,0.6735,0.6681,0.5481,0.6081,0.656,0.4677,0.5619,0.6911,0.5648,0.6279
23.4,-0.0507,0.5253,0.6838,0.6494,0.5411,0.5952,0.6509,0.4858,0.5684,0.6973,0.5651,0.6312
23.5,-0.0596,0.5201,0.6952,0.6298,0.5322,0.581,0.645,0.5069,0.576,0.7016,0.5655,0.6335
23.6,-0.0685,0.5168,0.7069,0.6108,0.5224,0.5666,0.6384,0.5306,0.5845,0.7038,0.5657,0.6347
23.7,-0.0768,0.5168,0.7184,0.5937,0.5127,0.5532,0.6309,0.5561,0.5935,0.7036,0.5656,0.6346
23.8,-0.0841,0.5209,0.7299,0.5797,0.5042,0.5419,0.6226,0.5826,0.6026,0.7013,0.5655,0.6334
23.9,-0.0906,0.5291,0.7418,0.5689,0.4973,0.5331,0.6142,0.609,0.6116,0.6971,0.5661,0.6316
24,-0.0961,0.5404,0.7546,0.5619,0.4919,0.5269,0.606,0.6344,0.6202,0.691,0.5677,0.6293
24.1,-0.1,0.5539,0.768,0.5585,0.4873,0.5229,0.5983,0.6583,0.6283,0.6824,0.5698,0.6261
24.2,-0.1024,0.5683,0.7819,0.5588,0.4833,0.521,0.5906,0.6803,0.6354,0.6713,0.5719,0.6216
24.3,-0.104,0.5833,0.7955,0.5624,0.4801,0.5213,0.5825,0.7001,0.6413,0.6577,0.5735,0.6156
24.4,-0.1067,0.5985,0.808,0.569,0.4784,0.5237,0.5739,0.7175,0.6457,0.6415,0.5745,0.608
24.5,-0.1115,0.6135,0.8184,0.5781,0.4785,0.5283,0.5649,0.7322,0.6485,0.6231,0.5747,0.5989
24.6,-0.1189,0.6277,0.8261,0.5897,0.4806,0.5351,0.5558,0.7439,0.6498,0.6031,0.5736,0.5884
24.7,-0.1289,0.6408,0.8304,0.6033,0.4845,0.5439,0.5473,0.7523,0.6498,0.5828,0.5714,0.5771
24.8,-0.1414,0.6521,0.8309,0.6183,0.4899,0.5541,0.5395,0.7573,0.6484,0.5635,0.5682,0.5659
24.9,-0.1566,0.6612,0.8269,0.6332,0.4959,0.5646,0.5328,0.7585,0.6456,0.5465,0.5649,0.5557
25,-0.1736,0.6676,0.8177,0.6467,0.5018,0.5742,0.527,0.7564,0.6417,0.5328,0.5619,0.5473
25.1,-0.1907,0.6715,0.8033,0.6579,0.5072,0.5826,0.522,0.7519,0.6369,0.5232,0.5597,0.5414
25.2,-0.2052,0.6733,0.7842,0.6667,0.5121,0.5894,0.5176,0.7461,0.6318,0.5185,0.5586,0.5386
25.3,-0.2152,0.6736,0.7615,0.6732,0.5167,0.595,0.5131,0.7395,0.6263,0.5194,0.5591,0.5393
25.4,-0.2202,0.6728,0.7367,0.6774,0.5213,0.5993,0.5082,0.7317,0.6199,0.5264,0.5613,0.5438
25.5,-0.2211,0.6709,0.7113,0.6792,0.5263,0.6027,0.5028,0.7222,0.6125,0.5389,0.5656,0.5522
25.6,-0.2188,0.6684,0.6868,0.679,0.5318,0.6054,0.4976,0.7113,0.6044,0.556,0.5716,0.5638
25.7,-0.2137,0.6653,0.6647,0.6775,0.5382,0.6078,0.4927,0.7,0.5963,0.5767,0.5784,0.5776
25.8,-0.2057,0.6618,0.6466,0.6752,0.5452,0.6102,0.488,0.6893,0.5886,0.5998,0.5852,0.5925
25.9,-0.1949,0.6579,0.633,0.6723,0.5526,0.6125,0.4829,0.6793,0.5811,0.6239,0.5909,0.6074
26,-0.1819,0.6536,0.624,0.6693,0.5599,0.6146,0.4767,0.6695,0.5731,0.6476,0.5948,0.6212
26.1,-0.1675,0.6493,0.6195,0.6665,0.5664,0.6164,0.4693,0.6591,0.5642,0.6699,0.5963,0.6331
26.2,-0.1525,0.6453,0.6196,0.6644,0.5717,0.6181,0.4605,0.6478,0.5542,0.6896,0.5949,0.6422
26.3,-0.1377,0.6419,0.6243,0.6632,0.5753,0.6193,0.4503,0.6354,0.5428,0.7057,0.5903,0.648
26.4,-0.1243,0.6389,0.6336,0.6622,0.5767,0.6194,0.4382,0.6216,0.5299,0.7172,0.5828,0.65
26.5,-0.1139,0.6357,0.6464,0.66,0.576,0.618,0.4241,0.6063,0.5152,0.723,0.5726,0.6478
26.6,-0.1074,0.632,0.6613,0.6558,0.5737,0.6148,0.408,0.5895,0.4988,0.723,0.56,0.6415
26.7,-0.1049,0.6278,0.6769,0.6494,0.5702,0.6098,0.3905,0.5717,0.4811,0.7176,0.5454,0.6315
26.8,-0.1058,0.6233,0.6924,0.6409,0.5662,0.6036,0.3721,0.5535,0.4628,0.7075,0.5292,0.6184
26.9,-0.1093,0.6185,0.7083,0.6305,0.562,0.5962,0.3533,0.5354,0.4444,0.6936,0.5121,0.6029
27,-0.1156,0.6131,0.7253,0.6183,0.5577,0.588,0.3347,0.5176,0.4262,0.6767,0.4942,0.5855
27.1,-0.1251,0.6071,0.7435,0.6044,0.5537,0.5791,0.3169,0.5002,0.4085,0.6573,0.4756,0.5665
27.2,-0.1374,0.6006,0.7622,0.589,0.5506,0.5698,0.3004,0.4832,0.3918,0.6361,0.4569,0.5465
27.3,-0.1515,0.5934,0.7806,0.5722,0.5488,0.5605,0.2852,0.4669,0.376,0.6133,0.4385,0.5259
27.4,-0.1658,0.5852,0.7975,0.5547,0.5485,0.5516,0.2709,0.4515,0.3612,0.5892,0.4208,0.505
27.5,-0.1795,0.5757,0.813,0.5366,0.5502,0.5434,0.2576,0.4372,0.3474,0.5641,0.404,0.484
27.6,-0.1933,0.5654,0.8274,0.5183,0.5551,0.5367,0.2458,0.4246,0.3352,0.5388,0.3887,0.4638
27.7,-0.2078,0.555,0.8414,0.5002,0.5645,0.5324,0.2367,0.4149,0.3258,0.5147,0.3765,0.4456
27.8,-0.2229,0.5456,0.8559,0.4828,0.5797,0.5313,0.2317,0.4086,0.3201,0.493,0.3688,0.4309
27.9,-0.2379,0.5378,0.8719,0.4668,0.6009,0.5338,0.2318,0.4064,0.3191,0.475,0.3666,0.4208
28,-0.2523,0.5319,0.8895,0.4526,0.6278,0.5402,0.2372,0.4088,0.323,0.4612,0.3704,0.4158
28.1,-0.266,0.5282,0.9082,0.4404,0.66,0.5502,0.2471,0.4159,0.3315,0.4516,0.3801,0.4158
28.2,-0.2784,0.5273,0.9271,0.4304,0.6973,0.5638,0.2599,0.428,0.3439,0.4456,0.3952,0.4204
28.3,-0.2878,0.5299,0.9459,0.4234,0.7389,0.5812,0.2743,0.4458,0.36,0.4429,0.4151,0.429
28.4,-0.2922,0.5367,0.9645,0.4206,0.7833,0.6019,0.2892,0.4697,0.3795,0.4433,0.4388,0.4411
28.5,-0.2908,0.548,0.9828,0.423,0.8286,0.6258,0.304,0.4994,0.4017,0.4467,0.4652,0.456
28.6,-0.2848,0.5639,1.0003,0.4315,0.8736,0.6525,0.3184,0.534,0.4262,0.4535,0.4933,0.4734
28.7,-0.2769,0.5845,1.017,0.4464,0.9172,0.6818,0.3325,0.5717,0.4521,0.4635,0.5221,0.4928
28.8,-0.2689,0.6092,1.033,0.4673,0.9586,0.7129,0.3461,0.6106,0.4784,0.4767,0.5515,0.5141
28.9,-0.2615,0.637,1.049,0.4934,0.9964,0.7449,0.3591,0.6494,0.5042,0.4929,0.5813,0.5371
29,-0.255,0.6663,1.0657,0.5232,1.0299,0.7766,0.3711,0.6872,0.5292,0.5126,0.6117,0.5622
29.1,-0.2504,0.6959,1.0837,0.5551,1.0593,0.8072,0.382,0.724,0.553,0.5364,0.6429,0.5896
29.2,-0.2489,0.7252,1.1023,0.5876,1.0853,0.8364,0.3916,0.7597,0.5757,0.5642,0.6744,0.6193
29.3,-0.2507,0.7538,1.1206,0.6193,1.1089,0.8641,0.3998,0.7941,0.597,0.5953,0.706,0.6506
29.4,-0.2545,0.7809,1.1378,0.6488,1.13,0.8894,0.4065,0.8267,0.6166,0.629,0.7373,0.6832
29.5,-0.2585,0.8054,1.1534,0.6747,1.1478,0.9113,0.4112,0.8571,0.6341,0.6652,0.7687,0.717
29.6,-0.2615,0.8273,1.1678,0.6959,1.1618,0.9288,0.4137,0.885,0.6494,0.7039,0.8009,0.7524
29.7,-0.2626,0.8468,1.1811,0.712,1.1717,0.9418,0.4145,0.9104,0.6625,0.7451,0.8353,0.7902
29.8,-0.2604,0.8646,1.1939,0.7233,1.1779,0.9506,0.4145,0.9337,0.6741,0.7894,0.8733,0.8313
29.9,-0.2533,0.8809,1.2068,0.7306,1.1813,0.9559,0.4154,0.9548,0.6851,0.8369,0.9159,0.8764
