Time,Big W - More Celebration for Less 15 Client TVC,Big W - More Celebration for Less 15 Client TVC,Big W - More Celebration for Less 15 Client TVC,Big W - More Celebration for Less 15 Client TVC,Big W - More Celebration for Less 15 Client TVC,Big W - More Celebration for Less 15 Client TVC,Big W - More Celebration for Less 15 Client TVC,Big W - More Celebration for Less 15 Client TVC,Big W - More Celebration for Less 15 Client TVC,Big W - More Celebration for Less 15 Client TVC,Big W - More Celebration for Less 15 Client TVC,Big W - More Celebration for Less 15 Client TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
11.6,0.1457,0.9061,0.8655,0.9113,0.8245,0.8679,0.7676,0.7145,0.7411,0.844,0.9047,0.8743
11.7,0.1424,0.9004,0.8827,0.9091,0.8389,0.874,0.7759,0.7211,0.7485,0.8501,0.9322,0.8911
11.8,0.1306,0.8953,0.8974,0.9086,0.853,0.8808,0.7821,0.7271,0.7546,0.8566,0.9571,0.9069
11.9,0.1114,0.89,0.9099,0.9094,0.8664,0.8879,0.7853,0.7322,0.7587,0.8636,0.9788,0.9212
12,0.0854,0.8846,0.9212,0.9111,0.8788,0.8949,0.7848,0.7361,0.7605,0.8709,0.9967,0.9338
12.1,0.0536,0.8794,0.9314,0.9135,0.8897,0.9016,0.7807,0.7387,0.7597,0.8777,1.0101,0.9439
12.2,0.0184,0.875,0.9398,0.9158,0.8992,0.9075,0.7735,0.7398,0.7567,0.8829,1.0184,0.9507
12.3,-0.0169,0.8713,0.9456,0.9173,0.9076,0.9125,0.764,0.7391,0.7515,0.8859,1.0217,0.9538
12.4,-0.0479,0.8681,0.948,0.9169,0.9155,0.9162,0.753,0.7361,0.7445,0.8868,1.0208,0.9538
12.5,-0.0711,0.8647,0.9472,0.9136,0.9237,0.9187,0.7407,0.7306,0.7357,0.886,1.017,0.9515
12.6,-0.0845,0.8605,0.9438,0.9069,0.9321,0.9195,0.7274,0.7226,0.725,0.8838,1.011,0.9474
12.7,-0.0881,0.8549,0.9385,0.8969,0.9398,0.9184,0.7137,0.7119,0.7128,0.8799,1.0027,0.9413
12.8,-0.0831,0.8476,0.9316,0.884,0.9461,0.9151,0.7001,0.6991,0.6996,0.8738,0.9919,0.9329
12.9,-0.0701,0.8383,0.9227,0.8693,0.9504,0.9098,0.6872,0.6843,0.6858,0.8652,0.9784,0.9218
13,-0.0498,0.827,0.9115,0.8532,0.952,0.9026,0.6749,0.6679,0.6714,0.8536,0.9623,0.9079
13.1,-0.0227,0.8141,0.8986,0.836,0.9504,0.8932,0.6629,0.6503,0.6566,0.8388,0.9439,0.8914
13.2,0.0099,0.8006,0.8855,0.8181,0.9453,0.8817,0.6506,0.6321,0.6413,0.8203,0.9237,0.872
13.3,0.0455,0.788,0.8735,0.8003,0.9375,0.8689,0.6381,0.6138,0.6259,0.7978,0.902,0.8499
