Time,Coca Cola - What Else havent you tried 15 TVC,Coca Cola - What Else havent you tried 15 TVC,Coca Cola - What Else havent you tried 15 TVC,Coca Cola - What Else havent you tried 15 TVC,Coca Cola - What Else havent you tried 15 TVC,Coca Cola - What Else havent you tried 15 TVC,Coca Cola - What Else havent you tried 15 TVC,Coca Cola - What Else havent you tried 15 TVC,Coca Cola - What Else havent you tried 15 TVC,Coca Cola - What Else havent you tried 15 TVC,Coca Cola - What Else havent you tried 15 TVC,Coca Cola - What Else havent you tried 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
10.4,0.0306,0.455,0.664,0.5756,0.6053,0.5904,0.5082,0.6375,0.5729,0.3761,0.5703,0.4732
10.5,0.0125,0.4714,0.6604,0.5897,0.6159,0.6028,0.5066,0.6404,0.5735,0.3722,0.5646,0.4684
10.6,-0.0023,0.4884,0.6547,0.5995,0.6247,0.6121,0.5031,0.6407,0.5719,0.3664,0.5579,0.4622
10.7,-0.0137,0.5052,0.6468,0.6053,0.6316,0.6184,0.4974,0.6379,0.5676,0.3584,0.5502,0.4543
10.8,-0.0216,0.5219,0.6374,0.6079,0.6363,0.6221,0.49,0.6322,0.5611,0.3486,0.5419,0.4452
10.9,-0.0264,0.5383,0.6272,0.6086,0.6391,0.6238,0.4817,0.6251,0.5534,0.3382,0.5337,0.4359
11,-0.0284,0.5541,0.6167,0.6084,0.6398,0.6241,0.4738,0.6173,0.5455,0.3279,0.526,0.427
11.1,-0.0274,0.5685,0.6057,0.6077,0.6384,0.623,0.4666,0.6088,0.5377,0.3181,0.5189,0.4185
11.2,-0.0233,0.5809,0.5941,0.6064,0.6346,0.6205,0.4604,0.5993,0.5298,0.3085,0.5118,0.4102
11.3,-0.0165,0.5909,0.5817,0.604,0.6287,0.6163,0.4552,0.5882,0.5217,0.2995,0.5049,0.4022
11.4,-0.008,0.5986,0.5691,0.6006,0.6211,0.6109,0.4512,0.5762,0.5137,0.292,0.4985,0.3952
11.5,0.0013,0.6041,0.5568,0.5965,0.6124,0.6044,0.4491,0.5641,0.5066,0.2868,0.4931,0.39
11.6,0.011,0.6075,0.5455,0.5921,0.603,0.5976,0.4493,0.5527,0.501,0.2843,0.4891,0.3867
