Time,Subway - Eat Fresh,Subway - Eat Fresh,Subway - Eat Fresh,Subway - Eat Fresh,Subway - Eat Fresh,Subway - Eat Fresh,Subway - Eat Fresh,Subway - Eat Fresh,Subway - Eat Fresh,Subway - Eat Fresh,Subway - Eat Fresh,Subway - Eat Fresh
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
10.3,0.0452,0.8169,0.8141,0.6348,0.7879,0.7114,0.6471,0.694,0.6706,0.7017,0.7701,0.7359
10.4,0.0379,0.8078,0.8039,0.6234,0.7932,0.7083,0.6555,0.6971,0.6763,0.7124,0.7714,0.7419
10.5,0.0312,0.7967,0.7915,0.6116,0.7958,0.7037,0.6642,0.6993,0.6817,0.7231,0.7709,0.747
10.6,0.024,0.7831,0.777,0.5994,0.7954,0.6974,0.6725,0.7001,0.6863,0.7331,0.7682,0.7506
10.7,0.0159,0.7673,0.761,0.5873,0.7919,0.6896,0.6801,0.6994,0.6897,0.7416,0.763,0.7523
10.8,0.0067,0.7499,0.7441,0.5758,0.786,0.6809,0.6867,0.6969,0.6918,0.7482,0.7551,0.7517
10.9,-0.0038,0.732,0.7276,0.5654,0.7781,0.6717,0.6923,0.6932,0.6928,0.7525,0.7449,0.7487
11,-0.016,0.7145,0.7122,0.5563,0.7689,0.6626,0.6965,0.6886,0.6926,0.7546,0.7328,0.7437
11.1,-0.0302,0.6976,0.6982,0.5481,0.7586,0.6534,0.6992,0.6831,0.6911,0.7545,0.7195,0.737
11.2,-0.0462,0.6811,0.6852,0.5402,0.747,0.6436,0.6999,0.6766,0.6883,0.7523,0.7054,0.7288
11.3,-0.0636,0.665,0.6732,0.532,0.734,0.633,0.6987,0.669,0.6838,0.7477,0.6909,0.7193
11.4,-0.0826,0.649,0.662,0.5235,0.7201,0.6218,0.6954,0.6602,0.6778,0.7408,0.6762,0.7085
